TYPES_DE_PRODUITS,STATUT,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,ADRESSE_SUITE_2,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,MARQUES_ET_LABELS,LONGITUDE,LATITUDE
Fruits de mer;Huître,Producteur,Chez Auguste,30 rue Berthelot,Village ostréicole de Petit Piquey,,33950,LEGE-CAP FERRET,+33 5 56 60 52 12,,,-1.2030029,44.72242
Fruits de mer;Huître,Producteur,Chez Bertrand,60 quartier des Pêcheurs,Village ostréicole du Cap Ferret,,33970,LEGE-CAP FERRET,+33 6 63 91 84 88,,,-1.246431,44.641228
Fruits de mer;Huître,Producteur,Chez Boulan,Place de la Douane,Village ostréicole du Cap Ferret,,33970,LEGE-CAP FERRET,+33 5 56 60 77 32,www.huitresboulan.fr,,-1.2459826,44.64307
Fruits de mer;Huître,Producteur,Chez Degrave,8 quartier des Pêcheurs,Cap Ferret,,33970,LEGE-CAP FERRET,+33 6 60 95 47 10,www.huitres-degrave.com,,-1.2466049,44.644413
Fruits de mer;Huître,Producteur,Chez Yannick,11 bis rue Sainte Catherine,Village ostréicole du Canon,,33950,LEGE-CAP FERRET,+33 5 56 60 92 67,,,-1.229271,44.699856
Fruits de mer;Huître,Producteur,Dégustation de la Conche,Impasse de la Conche,Les Jacquets,,33950,LEGE-CAP FERRET,+33 5 57 76 30 63,,,-1.1957287,44.727406
Fruits de mer;Huître,Producteur,Ets Larrarté,7 rue Sainte Catherine - Chai N°93,Village ostréicole du Canon,,33950,LEGE-CAP FERRET,+33 5 56 60 97 61,,,-1.2289452,44.698875
Fruits de mer;Huître,Producteur,Ets Reveleau,190 route du Cap Ferret,Village ostréicole du Canon,,33950,LEGE-CAP FERRET,+33 5 56 60 53 99,,,-1.2295889,44.700523
Fruits de mer;Huître,Producteur,Frédéric Séverin,Impasse du Grand Coin,Petit Piquey,,33950,LEGE-CAP FERRET,+33 6 03 16 75 93,,,-1.20477,44.721226
Fruits de mer;Huître,Producteur,La Bonne Franquette,Cabane 8,Port ostréicole de Claouey,,33950,LEGE-CAP FERRET,+33 5 56 60 72 06,,,-1.1741209,44.746063
Fruits de mer;Huître,Producteur,La Cabane d'Edouard,Cabane 1,Port ostréicole de Claouey,,33950,LEGE-CAP FERRET,+33 5 57 70 30 44,www.lacabanededouard.com,,-1.1740994,44.74559
Fruits de mer;Huître,Producteur,La Cabane du Mimbeau,28 avenue de la Conche,Village ostréicole du Cap Ferret,,33970,LEGE-CAP FERRET,+33 5 56 60 61 67,www.bassindarcachon.com/pro/capostrea/,,-1.2461972,44.637802
Fruits de mer;Huître,Producteur,Le Monte à Bord - Compagnie de l'Huître,104 avenue de L'Herbe,Village ostréicole de L'Herbe,,33950,LEGE-CAP FERRET,+33 5 56 03 64 60,,,-1.2324857,44.692516
Fruits de mer;Huître,Producteur,Le Vivier du Jacquet,Impasse des Réservoirs,Village ostréicole des Jacquets,,33950,LEGE-CAP FERRET,+33 5 56 03 66 54,www.huitre33.com,,-1.195494,44.727695
Fruits de mer;Huître,Producteur,Les Parcs du Noroît,30 allée du Grand Piquey,Village ostréicole de Grand Piquey,,33950,LEGE-CAP FERRET,+33 5 56 60 59 24,,,-1.210767,44.71572
Fruits de mer;Huître,Producteur,Les Pieds dans l'Eau,Cabane 13,Le Four,,33950,LEGE-CAP FERRET,+33 5 56 60 76 59,www.lespieds-dansleau.com,Bienvenue à la Ferme,-1.1904716,44.732468
Fruits de mer;Huître,Producteur,L'R de l'Aigle,Cabane 52,Village ostréicole de Piraillan,,33950,LEGE-CAP FERRET,+33 5 56 60 85 54,,,-1.2232375,44.707493
Fruits de mer;Huître,Producteur,Madame Catherine ROUX,6 Escourre de la Douane,Village ostréicole du Cap Ferret,,33970,LEGE-CAP FERRET,+33 5 56 60 67 97,www.huitres-roux.com,,-1.2460899,44.64188
Fruits de mer;Huître,Producteur,Monsieur Christophe MALEYRAN,32 impasse du Grand Coin,Village ostréicole de Petit Piquey,,33950,LEGE-CAP FERRET,+33 5 56 60 53 07,,,-1.20477,44.72123
Fruits de mer;Huître,Producteur,Monsieur Grégory BOUCHER,Escourre de la Douane,Village ostréicole du Cap Ferret,21 avenue de l'Océan,33970,LEGE-CAP FERRET,+33 5 57 70 30 57,,,-1.2461328,44.641483
Fruits de mer;Huître,Producteur,Monsieur Guillaume FOURNIER LAROQUE,83 avenue de L'Herbe,Village ostréicole de L'Herbe,,33950,LEGE-CAP FERRET,+33 6 17 08 11 20,,,-1.2325716,44.692104
Fruits de mer;Huître,Producteur,Monsieur Jean-Louis NORA,Rue de la Conche - Chai N° 92,Village ostréicole du Cap Ferret,,33970,LEGE-CAP FERRET,+33 6 79 67 98 77,,,-1.2466049,44.64124
Fruits de mer;Huître,Producteur,Monsieur Pascal TECHOUEYRES,20 avenue du Littoral,Village ostréicole de Piraillan,,33950,LEGE-CAP FERRET,+33 5 56 60 80 85,,,-1.221435,44.7076
Fruits de mer;Huître,Producteur,Monsieur Pierre SAUBESTY,49 avenue de L'Herbe - Chai 119,Village ostréicole de L'Herbe,,33950,LEGE-CAP FERRET,+33 5 56 60 55 17,,,-1.2325716,44.691936
Fruits de mer;Huître,Producteur,Monsieur Serge CASTAING,4 avenue de L'Herbe,Village ostréicole de L'Herbe,,33950,LEGE-CAP FERRET,+33 5 56 60 52 26,www.huitrecastaing.com,,-1.2325716,44.69148
Fruits de mer;Huître,Producteur,Monsieur Sylvain FREDEFON,Cabane 4,Port ostréicole de Claouey,,33950,LEGE-CAP FERRET,+33 5 57 70 39 78,,,-1.1742925,44.746124
Fruits de mer;Huître,Producteur,Monsieur Thierry PASCAUD,38 rue Sainte-Catherine,Le Canon,,33950,LEGE-CAP FERRET,+33 6 07 09 51 58,,,-1.2293042,44.699295
Huître,Producteur,Ets Cruchon et Fille,Port de Claouey,Dernière cabane côté plage,Claouey,33950,LEGE-CAP FERRET,+33 6 99 34 06 89,,,-1.1736488,44.746307
Huître,Producteur,Sandrine et Eric THUMEREL,40B rue Sainte-Catherine,Le Canon,,33950,LEGE-CAP FERRET,+33 5 56 60 15 22,,,-1.2293042,44.699295
Confiserie / chocolat;Glaces;Pâtisserie,Producteur,La Marquisette,6 rue Jean-Jacques Rousseau,,,33340,LESPARRE-MEDOC,+33 5 56 41 00 49,www.lamarquisette33.fr,,-0.9403086,45.307007
Foie gras;Conserverie,Producteur,Ferme du Moulinat,Le Roquet,,,33190,LOUBENS,+33 5 56 71 30 84,www.lafermedumoulinat.com,Bienvenue à la Ferme,-0.029519,44.630856
Foie gras;Conserverie,Producteur,La Ferme Auberge de Biorne,,,,24130,LUNAS,+33 5 53 57 67 26,www.ferme-biorne.com,,0.4030075,44.91762
