,,,,,,,,Hôtels classés en 2012,Hôtels classés sans étoile en 2012,Hôtels classés 1 étoile en 2012,Hôtels classés 2 étoiles en 2012,Hôtels classés 3 étoiles en 2012,Hôtels classés 4 étoiles ou plus en 2012,Chambres dans hôtels classés en 2012,Chambres dans hôtels classés sans étoile en 2012,Chambres dans hôtels classés 1 étoile en 2012, Chambres dans hôtels classés 2 étoiles en 2012,Chambres dans hôtels classés 3 étoiles en 2012,Chambres hôtels classés 4 étoiles ou plus en 2012,Hôtels classés en 2008,Hôtels classés sans étoile en 2008,Hôtels classés 1 étoile en 2008,Hôtels classés 2 étoiles en 2008,Hôtels classés 3 étoiles en 2008,Hôtels classés 4 étoiles ou plus en 2008,Chambres dans hôtels classés en 2008,Chambres dans hôtels classés sans étoile en 2008,Chambres dans hôtels classés 1 étoile en 2008,Chambres dans hôtels classés 2 étoiles en 2008,Chambres dans hôtels classés 3 étoiles en 2008,Chambres hôtels classés 4 étoiles ou plus en 2008,Campings classés en 2012,Campings classés 1 étoile en 2012,Campings classés 2 étoiles en 2012,Campings classés 3 étoiles en 2012,Campings classés 4 étoiles en 2012,Emplacements de camping en 2012,Emplacements camping classés 1 étoile en 2012,Emplacements camping classés 2 étoiles en 2012,Emplacements camping classés 3 étoiles en 2012,Emplacements camping 4 étoiles en 2012,Campings classés en 2008,Campings classés 1 étoile en 2008,Campings classés 2 étoiles en 2008,Campings classés 3 étoiles en 2008,Campings classés 4 étoiles en 2008,Emplacements de camping en 2008,Emplacements camping classés 1 étoile en 2008,Emplacements camping classés 2 étoiles en 2008,Emplacements camping classés 3 étoiles en 2008,Emplacements camping 4 étoiles en 2008,Résidences secondaires en 2009  (princ),Rés secondaires 1 pièce en 2009  (princ),Rés secondaires 2 pièces en 2009  (princ),Rés secondaires 3 pièces en 2009  (princ),Rés secondaires 4 pièces en 2009  (princ),Rés secondaires 5 pièces ou plus en 2009  (princ),Logements en 2009  (princ),Rés secondaires 1 seul logement en 2009  (princ),Rés secondaires 2 logements ou plus en 2009  (princ),Rés secondaires autres (mobil-home…) en 2009  (princ)
33010,72,33,334,3320,7204,243301447,Arcins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,1,183,7,0,0
33011,72,33,336,3302,7204,243301504,Ares,4,0,1,3,0,0,63,0,7,56,0,0,3,0,0,3,0,0,55,0,0,55,0,0,8,1,2,4,1,850,62,113,549,126,8,1,2,4,1,894,62,158,568,106,1238,80,211,306,434,207,4097,1189,47,2
33012,72,33,334,3320,7204,243301447,Arsac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,2,16,1249,19,0,0
33013,72,33,332,3355,7204,243300316,Artigues-pres-Bordeaux,4,3,0,1,0,0,233,187,0,46,0,0,3,2,0,1,0,0,185,139,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,6,6,2837,14,0,0
33014,72,33,335,3331,7205,243301553,Les Artigues-de-Lussac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,4,5,421,12,0,0
33015,72,33,335,3330,7204,243301322,Arveyres,1,0,0,1,0,0,43,0,0,43,0,0,1,0,0,1,0,0,42,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,2,5,3,853,10,0,0
33016,72,33,335,3324,7204,243301397,Asques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,1,4,200,9,0,0
33017,72,33,333,3304,7204,243301272,Aubiac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,3,1,0,110,6,0,0
33018,72,33,331,3339,7204,243301223,Aubie-et-Espessas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,494,4,0,0
33019,72,33,336,3302,7207,243301504,Audenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,200,0,0,200,0,1,0,1,0,0,200,0,200,0,0,232,3,9,23,161,36,2865,220,5,7
33020,72,33,333,3334,7204,243301116,Auriolles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,68,6,3,0
33021,72,33,333,3303,7204,243301520,Auros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,1,4,407,7,0,0
33022,72,33,334,3320,7204,243301389,Avensan,1,0,0,0,1,0,9,0,0,0,9,0,1,0,0,0,1,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,1,5,0,858,11,0,0
33023,72,33,332,3327,7204,243301264,Ayguemorte-les-Graves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,387,2,0,0
33024,72,33,333,3338,7204,243301512,Bagas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,2,1,119,7,0,0
33025,72,33,333,3348,7204,243301298,Baigneaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,156,4,0,0
33026,72,33,333,3345,7204,243301306,Balizac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,3,21,8,208,32,0,0
33027,72,33,333,3303,7204,243301520,Barie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,9,155,14,0,0
33028,72,33,335,3316,7204,243301215,Baron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,2,3,1,402,9,0,0
33029,72,33,336,3305,7204,243301405,Le Barp,1,0,0,1,0,0,11,0,0,11,0,0,1,0,0,1,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,2,2,7,10,1823,25,3,1
33030,72,33,333,3336,7204,243301538,Barsac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6,4,7,1004,18,0,0
33031,72,33,333,3303,7204,243301520,Bassanne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,2,44,9,0,0
33032,72,33,332,3360,7204,243300316,Bassens,1,0,0,1,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,0,3,2882,6,0,0
33033,72,33,332,3323,7204,243301439,Baurech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,4,0,4,9,342,18,0,0
33034,72,33,335,3326,7205,200027068,Bayas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,39,0,0,39,0,0,0,0,0,0,0,0,0,0,0,9,2,1,3,1,2,208,9,0,0
33035,72,33,331,3315,7204,243300894,Bayon-sur-Gironde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,2,6,367,14,0,0
33036,72,33,333,3304,7204,243301272,Bazas,1,0,0,0,1,0,50,0,0,0,50,0,2,0,0,1,1,0,67,0,0,17,50,0,1,0,0,0,1,152,0,0,0,152,1,0,0,0,1,34,0,0,0,34,42,5,3,15,10,8,2462,38,4,0
33037,72,33,332,3327,7204,243301264,Beautiran,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,10,865,14,0,0
33038,72,33,334,3329,7206,243301421,Begadan,1,0,0,0,0,1,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,8,16,22,23,530,73,0,0
33039,72,33,332,3352,7204,243300316,Begles,2,0,0,0,1,1,141,0,0,0,50,91,1,0,0,1,0,0,46,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,12,33,19,15,12249,63,16,0
33040,72,33,333,3317,7204,243301470,Beguey,1,0,0,0,1,0,32,0,0,0,32,0,1,0,0,0,1,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,14,546,15,0,0
33042,72,33,336,3305,7207,243301405,Belin-Beliet,1,1,0,0,0,0,23,23,0,0,0,0,1,1,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,2,33,14,38,1950,84,2,1
33043,72,33,333,3348,7204,243301298,Bellebat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,93,5,0,1
33044,72,33,333,3348,7204,243301298,Bellefond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,4,4,5,120,14,0,0
33045,72,33,335,3321,7205,ZZZZZZZZZ,Belves-de-Castillon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,142,8,0,0
33046,72,33,333,3304,7204,243301272,Bernos-Beaulac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,7,7,5,13,549,30,2,0
33047,72,33,331,3307,7204,200023794,Berson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,7,9,10,779,29,0,0
33048,72,33,333,3303,7204,243301520,Berthez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,93,2,0,0
33049,72,33,332,3355,7204,243301249,Beychac-et-Caillau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,7,780,11,0,0
33050,72,33,333,3328,7204,243301488,Bieujac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,194,6,0,0
33051,72,33,336,3302,7207,243301504,Biganos,2,0,1,1,0,0,35,0,11,24,0,0,2,0,1,1,0,0,32,0,11,21,0,0,1,0,0,1,0,117,0,0,117,0,1,0,1,0,0,127,0,127,0,0,104,5,26,30,27,15,4116,98,5,1
33052,72,33,335,3330,7205,200027068,Les Billaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,506,3,0,0
33053,72,33,333,3304,7204,243301272,Birac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,104,3,0,0
33054,72,33,333,3338,7204,243301512,Blaignac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,5,118,6,0,0
33055,72,33,334,3329,7206,243301421,Blaignan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,10,0,142,13,0,0
33056,72,33,332,3306,7204,243300316,Blanquefort,2,0,0,0,1,1,31,0,0,0,21,10,2,0,0,0,1,1,31,0,0,0,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,5,5,6428,7,5,0
33057,72,33,333,3347,7204,243301124,Blasimon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,4,1,0,17,423,21,1,0
33058,72,33,331,3307,7204,200023794,Blaye,3,0,0,3,0,0,55,0,0,55,0,0,3,0,0,3,0,0,55,0,0,55,0,0,1,0,1,0,0,50,0,50,0,0,1,0,1,0,0,50,0,50,0,0,30,0,9,2,14,5,2813,25,5,0
33059,72,33,332,3323,7204,243301215,Blesignac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,114,1,0,0
33060,72,33,333,3328,7204,243301488,Bommes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,6,0,0,242,14,0,0
33061,72,33,332,3323,7204,243301355,Bonnetan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,6,329,6,0,1
33062,72,33,335,3326,7205,200027068,Bonzac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,2,7,297,11,0,0
33063,72,33,332,3399,7204,243300316,Bordeaux,64,3,2,28,21,10,4303,301,29,1121,1558,1294,60,6,2,32,16,4,4029,455,30,1587,1475,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2177,670,573,392,268,273,144250,407,1767,3
33064,72,33,335,3337,7204,243301454,Bossugan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,22,2,0,0
33065,72,33,332,3358,7204,243300316,Bouliac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,2,3,1279,7,0,0
33066,72,33,333,3338,7204,243301512,Bourdelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,2,61,5,0,0
33067,72,33,331,3315,7204,243300894,Bourg,1,0,0,1,0,0,10,0,0,10,0,0,1,0,0,1,0,0,11,0,0,11,0,0,1,0,1,0,0,23,0,23,0,0,1,0,1,0,0,25,0,25,0,0,49,2,0,4,17,26,1156,48,1,0
33068,72,33,333,3350,7207,243301280,Bourideys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,3,4,3,5,59,16,0,0
33069,72,33,332,3354,7204,243300316,Le Bouscat,1,0,0,1,0,0,49,0,0,49,0,0,1,0,0,1,0,0,49,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,8,31,56,62,36,12118,68,124,1
33070,72,33,334,3320,7204,243301389,Brach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,0,2,13,200,20,0,0
33071,72,33,335,3316,7204,200000446,Branne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,3,563,4,0,0
33072,72,33,333,3303,7204,243301520,Brannens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0
33073,72,33,331,3340,7204,243300811,Braud-et-Saint-Louis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,122,0,122,0,0,1,0,1,0,0,122,0,122,0,0,34,0,1,28,2,3,733,33,0,1
33074,72,33,333,3303,7204,243301520,Brouqueyran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0
33075,72,33,332,3354,7204,243300316,Bruges,1,0,1,0,0,0,72,0,72,0,0,0,1,0,1,0,0,0,72,0,72,0,0,0,1,0,0,0,1,238,0,0,0,238,0,0,0,0,0,0,0,0,0,0,27,1,1,10,5,10,6407,18,9,0
33076,72,33,333,3336,7204,243301538,Budos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,13,5,357,18,0,0
33077,72,33,332,3327,7204,243301264,Cabanac-et-Villagrains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,10,5,793,15,0,0
33078,72,33,335,3316,7204,200000446,Cabara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,16,5,192,20,0,0
33079,72,33,335,3330,7204,243301322,Cadarsac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,115,2,0,0
33080,72,33,332,3327,7204,243301264,Cadaujac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,5,2,4,1900,11,1,0
33081,72,33,333,3317,7204,243301470,Cadillac,1,0,0,1,0,0,15,0,0,15,0,0,1,0,0,1,0,0,15,0,0,15,0,0,1,0,1,0,0,30,0,30,0,0,1,0,1,0,0,30,0,30,0,0,5,0,0,1,1,3,1160,5,0,0
33082,72,33,335,3324,7204,243301397,Cadillac-en-Fronsadais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,5,465,7,0,0
33083,72,33,332,3323,7204,243301355,Camarsac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,377,2,0,0
33084,72,33,332,3323,7204,243301439,Cambes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,2,8,543,13,0,0
33085,72,33,332,3323,7204,243301439,Camblanes-et-Meynac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,2,8,1066,11,1,0
33086,72,33,335,3316,7204,243300795,Camiac-et-Saint-Denis,1,0,0,0,1,0,14,0,0,0,14,0,1,0,0,0,1,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,4,145,6,0,0
