SAISON,COMMUNE,NOM_DU_TIERS,NOM_EMS,MT_TARIF_ANNUEL,NB_SEMAINES_FONCTIONNEMENT_ANNUEL,NB_JEUNE_INSCRIT,NB_FILLES_INSCRITES,NB_PLAQUETTE_CG33,NB_JEUNES_6_7_ans,NB_JEUNES_8_9_ans,NB_JEUNES_10_11_ans
2008/2009,CARBON-BLANC,COMMUNE DE CARBON BLANC,Ecole Carbon-Blanc Pasteur,26,31,48,27,500,0,36,12
2008/2009,CARCANS,COMMUNE DE CARCANS,Ecole Carcans,0,29,57,16,0,19,25,13
2008/2009,CARIGNAN-DE-BORDEAUX,CLUB ATHLETIQUE CARIGNANAIS OMNISPORT,Ecole C.A.C Carignan,70,33,61,36,500,30,15,16
2008/2009,CARTELEGUE,COMMUNE DE CARTELEGUE,Ecole Cartelegue,0,28,14,7,0,0,2,12
2008/2009,CASTELNAU-DE-MEDOC,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Ecole Francas Castelnau,36,33,8,23,200,22,13,0
2008/2009,CASTILLON-LA-BATAILLE,AMICALE LAIQUE CASTILLONAISE,Ecole Amicale Laïque Castillon,80,31,71,30,0,28,21,22
2008/2009,CAUDROT,COMMUNE DE CAUDROT,Ecole Caudrot,0,33,29,10,0,0,9,20
2008/2009,CAVIGNAC,COMMUNE DE CAVIGNAC,Ecole Cavignac,15,29,41,16,30,0,22,19
2008/2009,CENON,OFFICE MINICIPAL DES SPORTS DE CENON,Ecole O.M.S Cenon,120,31,48,18,0,13,26,9
2008/2009,CESTAS,SPORT ATHLETIQUE GAZINET CESTAS OMNISPORTS,Ecole S.A.G.Cestas,77,30,123,44,0,72,38,13
2008/2009,CHAMADELLE,COMMUNE DE CHAMADELLE,Ecole de Chamadelle,0,34,24,14,0,9,9,6
2008/2009,CISSAC-MEDOC,CDC DU CENTRE MEDOC,Ecole CDC Centre Médoc Cissac,26,27,16,7,0,3,7,6
2008/2009,CIVRAC-EN-MEDOC,CDC DU COEUR MEDOC,Ecole CDC Coeur du Médoc Civrac,18,29,20,8,0,0,11,9
2008/2009,COUQUEQUES,CDC DU COEUR MEDOC,Ecole CDC Coeur du Médoc Couqueques,18,29,14,3,0,0,4,10
2008/2009,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,Ecole L.J.C Baron,70,28,12,1,0,4,8,0
2008/2009,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,Ecole L.J.C Lacaume,70,26,36,11,0,18,18,0
2008/2009,CUBZAC-LES-PONTS,COMMUNE DE CUBZAC LES PONTS,Ecole Cubzac les Ponts,24,31,24,7,100,11,12,1
2008/2009,DONNEZAC,COMMUNE DE DONNEZAC,Ecole Donnezac,15,28,15,7,0,0,5,10
2008/2009,EYNESSE,CDC DU PAYS FOYEN,Ecole CDC Pays Foyen Eynesse,91,28,17,6,0,7,7,3
2008/2009,EYRANS,CDC DE L'ESTUAIRE-CANTON DE ST CIERS S/GIRONDE,Ecole CDC Estuaire Eyrans,20,13,7,2,0,0,1,6
2008/2009,EYSINES,MAISON DES JEUNES DE LA CULTURE ET DES SPORTS,Ecole MJCS Eysines,10,21,158,76,1000,48,60,0
2008/2009,FARGUES,COMMUNE DE FARGUES,Ecole Fargues de Langon,0,22,16,10,0,1,10,5
2008/2009,FARGUES-SAINT-HILAIRE,UFCV BORDEAUX R CABIROL,Ecole U.F.C.V Bordeaux,40,33,13,7,300,3,7,3
2008/2009,FLAUJAGUES,SIRP DE FLAUJAGUES MOULIETS ET VILLEMARTIN,Ecole Flaujagues SIRP,0,22,27,10,0,3,20,4
2008/2009,FRONSAC,CDC DU FRONSADAIS,Ecole CDC Fronsac Fronsac,18,29,12,4,30,0,4,6
2008/2009,GAILLAN-EN-MEDOC,CDC DU COEUR MEDOC,Ecole CDC Coeur du Médoc Gaillan,18,26,22,8,0,0,0,9
2008/2009,GALGON,CDC DU FRONSADAIS,Ecole CDC Fronsac Galgon,18,29,34,15,90,0,15,19
2008/2009,GAURIAGUET,COMMUNE DE GAURIAGUET,Ecole Gauriaguet,40,35,36,22,36,10,16,10
2008/2009,GENERAC,SIRP DE GENERAC SAUGON,Ecole Générac SIRP,0,30,20,7,0,6,6,8
2008/2009,GRADIGNAN,MJC ANIMATION RENCONTRE,Ecole MJC Malartic,60,34,20,9,0,13,10,2
2008/2009,GRAYAN-ET-L'HOPITAL,COMMUNE DE GRAYAN ET L'HOPITAL,Ecole Grayan et l'Hôpital,0,30,22,13,100,9,6,7
2008/2009,GUITRES,COMMUNE DE GUITRES,Ecole Guîtres,15,31,43,13,0,7,24,12
2008/2009,GUJAN-MESTRAS,COMMUNE DE GUJAN MESTRAS,Ecole Gujan-Mestras,67,32,60,24,0,35,25,0
2008/2009,HOSTENS,CDC DU PAYS DE PAROUPIAN,Ecole CDC Pays de Paroupian,28,35,48,19,0,15,22,11
2008/2009,HOURTIN,UNION SPORTIVE ET CULTURELLE D'HOURTIN,Ecole U.S.C Hourtin,10,32,26,17,100,6,7,13
2008/2009,IZON,COMMUNE D'IZON,Ecole Izon,26,30,71,29,0,40,24,7
2008/2009,LA-BREDE,COMMUNE DE LA BREDE,Ecole La Bréde,35,28,35,21,0,15,20,0
2008/2009,LA-REOLE,COMMUNE DE LA REOLE,Ecole La Réole,32,35,42,13,0,13,17,12
2008/2009,LA-SAUVE,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,Ecole L.J.C La Sauve,70,26,24,12,0,12,12,0
2008/2009,LA-TESTE-DE-BUCH,CCAS DE LA TESTE DU BUCH,Ecole CCAS La Teste,30,35,16,0,0,0,8,8
2008/2009,LACANAU,COMMUNE DE LACANAU,Ecole Lacanau,20,35,101,45,0,25,50,26
2008/2009,LANGOIRAN,CDC DU VALLON D ARTOLIE,Ecole CDC Artolie Langoiran,51,32,34,15,0,10,10,14
2008/2009,LANSAC,ASSOCIATION ANIMATION ET PROMOTION,Ecole Lansac Asso Animation Promotion,10,27,27,8,0,9,9,9
2008/2009,LANTON,COMMUNE DE LANTON,Ecole Lanton Blagon,30,28,17,1,0,7,6,4
2008/2009,LANTON,COMMUNE DE LANTON,Ecole Lanton Cassy,15,28,61,16,0,20,30,11
2008/2009,LARUSCADE,COMMUNE DE LARUSCADE,Ecole Laruscade,10,31,32,18,60,10,11,11
2008/2009,LATRESNE,CDC PORTES ENTRE DEUX MERS,Ecole CDC E2M Latresne,30,28,14,5,0,0,13,1
2008/2009,LE-BARP,COMMUNE DU BARP,Ecole Le BARP,40,30,48,21,0,23,15,10
2008/2009,LE-HAILLAN,ASSOCIATION SPORTIVE DU HAILLAN,Ecole Le Haillan La Luzerne,70,30,13,3,0,11,2,0
2008/2009,LE-HAILLAN,ASSOCIATION SPORTIVE DU HAILLAN,Ecole Le Haillan Centre,70,30,14,5,0,14,0,0
2008/2009,LE-PORGE,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Ecole Francas Le Porge,30,33,12,5,200,4,6,2
2008/2009,LE-TEICH,COMMUNE DU TEICH,Ecole Le Teich,25,35,90,38,450,19,31,40
2008/2009,LE-TEMPLE,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Ecole Francas Le Temple,30,33,24,10,200,12,0,12
2008/2009,LE-TOURNE,CDC DU VALLON D ARTOLIE,Ecole CDC Artolie Le Tourne,51,35,12,5,0,4,4,4
2008/2009,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,Ecole Lége Claouey,15,30,35,17,0,18,8,9
2008/2009,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,Ecole Lège Bourg,15,30,91,5,120,7,5,4
2008/2009,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,Ecole Lège Phare,15,29,26,12,60,14,9,10
2008/2009,LEOGNAN,COMMUNE DE LEOGNAN,Ecole Léognan,0,28,28,8,0,5,17,6
2008/2009,LESPARRE-MEDOC,CDC DU COEUR MEDOC,Ecole CDC Coeur du Médoc Curie,18,29,20,9,0,0,5,15
2008/2009,LESPARRE-MEDOC,CDC DU COEUR MEDOC,Ecole CDC Coeur du Médoc Beaugency,18,29,12,7,0,0,3,9
2008/2009,LESPARRE-MEDOC,CDC DU COEUR MEDOC,Ecole CDC Coeur du Médoc Notre Dame,18,29,21,12,0,0,9,13
2008/2009,LIBOURNE,COMMUNE DE LIBOURNE,Ecole Libourne,0,33,90,36,0,30,30,30
2008/2009,LIGNAN-DE-BORDEAUX,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,Ecole L.J.C Lignan,70,16,24,2,0,0,19,5
2008/2009,LISTRAC-MEDOC,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Ecole Francas Listrac,30,33,12,7,200,5,3,4
2008/2009,LORMONT,COMMUNE DE LORMONT,Ecole Lormont Camus,0,33,30,13,0,0,12,18
2008/2009,LORMONT,COMMUNE DE LORMONT,Ecole Lormont Curie,0,33,19,8,0,0,7,12
2008/2009,LORMONT,COMMUNE DE LORMONT,Ecole Lormont Rostand,0,33,50,30,0,0,23,27
2008/2009,LORMONT,COMMUNE DE LORMONT,Ecole Lormont Pagnol,0,33,26,17,0,0,18,16
2008/2009,LORMONT,COMMUNE DE LORMONT,Ecole Lormont Mercredi,0,33,56,22,0,18,18,20
2008/2009,LORMONT,COMMUNE DE LORMONT,Ecole Lormont Rolland,0,31,26,7,0,0,10,16
2008/2009,LUDON-MEDOC,COMMUNE DE LUDON MEDOC,Ecole Ludon Médoc,45,35,51,18,200,0,25,26
2008/2009,LUGON-ET-L'ILE-DU-CARNAY,CDC DU FRONSADAIS,Ecole CDC Fronsac,18,29,12,7,30,0,6,6
2008/2009,LUSSAC,COMMUNE DE LUSSAC,Ecole Lussac,0,29,15,5,0,1,5,10
2008/2009,MARCENAIS,COMMUNE DE MARCENAIS,Ecole Marcenais,0,29,12,5,50,0,6,6
2008/2009,MARCHEPRIME,CLUB DES ECUREUILS,Ecole Club des Ecureuils Marcheprime,0,34,51,22,0,22,25,4
2008/2009,MARGUERON,CDC DU PAYS FOYEN,Ecole CDC Pays Foyen Margueron,91,28,12,5,0,4,4,4
2008/2009,MARTIGNAS-SUR-JALLE,ASS SPORTIVE OMNISPORTS DE MARTIGNAS,Ecole A.S Martignas sur Jalles,114,24,46,28,500,23,19,4
2008/2009,MARTILLAC,COMMUNE DE MARTILLAC,Ecole Martillac,0,35,34,6,70,2,20,12
2008/2009,MERIGNAC,CL2V MJC CENTRE SOCIAL BORDEAUX CAUDERAN,Ecole MJC CL2V,78,34,23,3,0,5,7,11
2008/2009,MERIGNAC,GUYENNE HANDISCOLE SPORT,Ecole Guyenne Handiscole'sport SAM,90,30,8,5,0,0,5,5
2008/2009,MERIGNAC,AMICALE LAIQUE LA GLACIERE,Ecole La Glacière,80,30,15,0,0,7,7,1
2008/2009,MERIGNAC,SPORT ATHLETIQUE MERIGNACAIS,Ecole SAM,110,32,148,55,100,65,61,22
2008/2009,MOMBRIER,SIRP MOMBRIER ST TROJAN SAMONAC ,Ecole Mombrier SIRP,0,28,15,4,30,0,0,15
2008/2009,MONGAUZY,COMMUNE DE MONGAUZY,Ecole Mongauzy,0,29,22,10,100,6,7,9
2008/2009,MONTAGNE,COMMUNE DE MONTAGNE,Ecole Montagne,0,19,32,14,50,17,6,9
2008/2009,MONTUSSAN,COMMUNE DE MONTUSSAN,Ecole Montussan,57,35,94,37,250,23,37,34
2008/2009,MOULIS-EN-MEDOC,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Ecole Francas Moulis,30,33,24,16,200,10,9,5
2008/2009,MOURENS,SIRP DU HAUT BENAUGE ,Ecole S.I.R.P Haut Benauge,23,23,20,10,50,2,11,7
2008/2009,PAREMPUYRE,COMMUNE DE PAREMPUYRE,Ecole Parempuyre,65,34,46,15,0,24,17,5
2008/2009,PAUILLAC,CDC DU CENTRE MEDOC,Ecole CDC Centre Médoc Mousset,26,29,35,14,0,9,12,14
2008/2009,PAUILLAC,CDC DU CENTRE MEDOC,Ecole CDC Centre Médoc Hauteville,26,28,31,8,0,8,15,8
2008/2009,PAUILLAC,CDC DU CENTRE MEDOC,Ecole CDC Centre Médoc St Lambert,26,29,23,9,0,7,8,8
2008/2009,PELLEGRUE,CDC DU PAYS DE PELLEGRUE,Ecole CDC Pays de Pellegrue,45,30,14,1,0,6,7,1
2008/2009,PESSAC,GUYENNE HANDISCOLE SPORT,Ecole Guyenne Handiscole'sport BEC,90,34,19,4,0,0,15,9
2008/2009,PESSAC,OFFICE MUNICIPAL DU SPORT PESSAC,Ecole O.M.S Pessac,105,32,19,7,0,19,0,0
2008/2009,PESSAC,STADE PESSACAIS UNION CLUB,Ecole S.P.U.C Pessac,99,32,31,5,500,24,7,0
2008/2009,PESSAC,ASS SPORTIVE CULTURELLE PESSAC ALOUETTE,Ecole A.S.C.P.A Pessac,115,32,25,12,0,11,9,5
2008/2009,PLASSAC,COMMUNE DE PLASSAC,Ecole Plassac,0,25,11,8,0,0,3,8
2008/2009,PRIGNAC-ET-MARCAMPS,COMMUNE DE PRIGNAC ET MARCAMPS,Ecole Prignac et Marcamps,5,29,25,7,25,6,7,12
2008/2009,PUGNAC,COMMUNE DE PUGNAC,Ecole Pugnac,0,30,45,25,100,11,20,14
2008/2009,PUISSEGUIN-MONBADON,COMMUNE DE PUISSEGUIN,Ecole Puisseguin,0,22,25,15,30,9,11,3
2008/2009,QUEYRAC,TENNIS CLUB DE QUEYRAC,Ecole Tennis Club Queyrac,10,34,34,13,100,13,8,13
2008/2009,QUINSAC,CDC PORTES ENTRE DEUX MERS,Ecole CDC E2M Quinsac,30,30,14,7,0,0,12,2
2008/2009,REIGNAC,CDC DE L'ESTUAIRE-CANTON DE ST CIERS S/GIRONDE,Ecole CDC Estuaire Reignac,15,14,9,4,0,0,3,6
2008/2009,ROMAGNE,COMMUNE DE ROMAGNE,Ecole Romagne mercredi,8,11,32,13,0,4,21,7
2008/2009,ROMAGNE,COMMUNE DE ROMAGNE,Ecole Romagne,16,22,24,12,0,3,11,10
2008/2009,SADIRAC,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,Ecole L.J.C Sadirac,70,28,24,9,0,12,12,0
2008/2009,SAILLANS,CDC DU FRONSADAIS,Ecole CDC Fronsac Saillans,18,29,12,5,30,0,7,3
2008/2009,SAINT-ANDRE-DE-CUBZAC,COMMUNE DE SAINT ANDRE DE CUBZAC,Ecole St André de Cubzac,38,34,48,19,0,24,12,12
2008/2009,SAINT-ANDRE-ET-APPELLES,CDC DU PAYS FOYEN,Ecole CDC Pays Foyen St André,91,28,17,8,0,5,6,6
2008/2009,SAINT-ANTOINE-SUR-L'ISLE,COMMUNE DE SAINT ANTOINE SUR L'ISLE,Ecole St Antoine sur l'Isle,0,28,32,0,40,0,22,10
2008/2009,SAINT-AUBIN-DE-BLAYE,CDC DE L'ESTUAIRE-CANTON DE ST CIERS S/GIRONDE,Ecole CDC Estuaire St Aubin,20,13,5,2,0,0,2,3
2008/2009,SAINT-AUBIN-DE-MEDOC,COMMUNE DE SAINT AUBIN DE MEDOC,Ecole St Aubin de Médoc,29,30,56,19,0,28,10,18
2008/2009,SAINT-AVIT-SAINT-NAZAIRE,CDC DU PAYS FOYEN,Ecole CDC Pays Foyen St Avit,91,28,11,4,0,4,5,2
2008/2009,SAINT-CAPRAIS-DE-BLAYE,CDC DE L'ESTUAIRE-CANTON DE ST CIERS S/GIRONDE,Ecole CDC Estuaire St Caprais,9,14,5,2,0,0,3,2
2008/2009,SAINT-CAPRAIS-DE-BORDEAUX,CDC PORTES ENTRE DEUX MERS,Ecole CDC E2M St Caprais de Bordeaux,30,31,11,0,0,0,6,5
2008/2009,SAINT-CHRISTOPHE-DE-DOUBLE,COMMUNE DE SAINT CHRISTOPHE DE DOUBLE,Ecole St Christophe de Double,0,32,11,3,15,0,6,5
2008/2009,SAINT-CIERS-SUR-GIRONDE,CDC DE L'ESTUAIRE-CANTON DE ST CIERS S/GIRONDE,Ecole CDC Estuaire St Ciers,20,16,21,10,0,0,9,12
2008/2009,SAINT-ESTEPHE,CDC DU CENTRE MEDOC,Ecole CDC Centre Médoc St Estephe,26,27,17,4,0,5,7,5
2008/2009,SAINT-GENES-DE-FRONSAC,CDC DU FRONSADAIS,Ecole CDC Fronsac St Genés,18,29,24,9,60,5,12,7
2008/2009,SAINT-GERMAIN-D'ESTEUIL,CDC DU COEUR MEDOC,Ecole CDC Coeur du Médoc St Germain d'Esteuil,18,29,7,2,0,0,5,2
2008/2009,SAINT-GERVAIS,COMMUNE DE SAINT GERVAIS,Ecole St Gervais,15,35,28,9,40,8,16,4
2008/2009,SAINT-HILAIRE-DE-LA-NOAILLE,COMMUNE DE SAINT HILAIRE LA NOAILLE,Ecole St Hilaire de la Noaille,14,30,28,11,100,7,10,11
2008/2009,SAINT-JEAN-D'ILLAC,ASSOCIATION SPORTIVE ILLACAISE,Ecole Illacaise,50,31,80,60,700,47,12,21
2008/2009,SAINT-JULIEN-BEYCHEVELLE,CDC DU CENTRE MEDOC,Ecole CDC Centre Médoc St Julien,26,29,19,9,0,4,7,8
2008/2009,SAINT-LAURENT-MEDOC,CDC DU CENTRE MEDOC,Ecole Centre Médoc St Laurent,26,26,19,8,0,3,11,5
2008/2009,SAINT-LAURENT-MEDOC,ADAPEI IME DU MEDOC,Ecole IME du Médoc,0,26,10,3,0,0,6,4
2008/2009,SAINT-LOUBES,COMMUNE DE SAINT LOUBES,Ecole St Loubés,55,30,117,53,0,64,41,12
2008/2009,SAINT-LOUIS-DE-MONTFERRAND,COMMUNE DE SAINT LOUIS MONTFERRAND,Ecole St Louis de Montferrand,48,32,39,15,130,15,24,0
2008/2009,SAINT-MACAIRE,VACANCES LOISIRS DE ST PIERRE D AURILLAC,Ecole A.V.L St Pierre d'Aurillac,54,35,16,4,0,2,6,8
2008/2009,SAINT-MAGNE-DE-CASTILLON,COMMUNE DE SAINT MAGNE CASTILLON,Ecole St Magne de Castillon,51,26,53,23,0,15,16,22
2008/2009,SAINT-MARTIN-DU-BOIS,RPI DU BOIS DE L'ISLE,Ecole RPI du Bois de l'Isle,0,26,21,13,0,0,12,9
2008/2009,SAINT-MEDARD-DE-GUIZIERES,COMMUNE DE SAINT MEDARD GUIZIERES,Ecole St Médard de Guizières,0,33,31,16,0,12,10,9
2008/2009,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,Ecole St Médard en Jalles Gajac,53,31,46,16,0,32,14,0
2008/2009,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,Ecole St Médard en Jalles Magudas,53,31,65,24,0,43,16,6
2008/2009,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,Ecole St Médard en Jalles Cérillan,53,31,97,40,0,60,26,11
2008/2009,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,Ecole St Médard en Jalles Hastignan,53,31,100,42,0,49,37,14
2008/2009,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,Ecole St Médard en Jalles La Garenne,53,31,98,42,0,55,24,19
2008/2009,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,Ecole St Médard en Jalles Montaigne,53,31,89,31,0,45,34,10
2008/2009,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,Ecole St Médard en jalles Corbiac,53,31,92,42,0,48,34,10
2008/2009,SAINT-PIERRE-DE-MONS,ASS COMMUNALE DES PARENTS ELEVES,Ecole ACPE St Pierre de Mons,48,16,32,6,0,8,10,14
2008/2009,SAINT-QUENTIN-DE-BARON,COMMUNE DE SAINT QUENTIN DE BARON,Ecole St Quentin de Baron,0,25,62,15,155,31,15,16
2008/2009,SAINT-ROMAIN-LA-VIRVEE,CDC DU FRONSADAIS,Ecole CDC Fronsac Asques,18,29,12,4,30,0,4,0
2008/2009,SAINT-SAUVEUR,CDC DU CENTRE MEDOC,Ecole CDC Centre Médoc St Sauveur,26,27,26,11,0,10,10,6
2008/2009,SAINT-SELVE,COMMUNE DE SAINT SELVE,Ecole Les Platanes St selve,125,34,5,0,0,1,4,0
2008/2009,SAINT-SEURIN-DE-CADOURNE,CDC DU CENTRE MEDOC,Ecole CDC Centre Médoc St Seurin de Cadourne,26,27,19,8,0,5,8,6
2008/2009,SAINT-SULPICE-ET-CAMEYRAC,COMMUNE DE SAINT SULPICE CAMEYRAC,Ecole St Sulpice et Cameyrac,30,22,37,12,300,18,13,6
2008/2009,SAINT-VINCENT-DE-PAUL,COMMUNE DE SAINT VINCENT DE PAUL,Ecole St Vincent de Paul,40,34,21,6,100,8,8,5
2008/2009,SAINT-VIVIEN-DE-MEDOC,ASS SPORT ET LOISIRS DE ST VIVIEN,Ecole A.S.L St Vivien Médoc,4,31,30,18,200,3,21,6
2008/2009,SAINT-YZAN-DE-SOUDIAC,COMMUNE DE SAINT YZAN DE SOUDIAC,Ecole St Yzan de Soudiac,24,30,4,17,100,18,17,9
2008/2009,SAINTE-FOY-LA-GRANDE,CDC DU PAYS FOYEN,Ecole CDC Pays Foyen Port Ste Foy,91,18,5,3,0,0,3,2
2008/2009,SAINTE-FOY-LA-GRANDE,CDC DU PAYS FOYEN,Ecole CDC Pays Foyen Longalerie,81,9,4,3,0,2,2,0
2008/2009,SALAUNES,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Ecole Francas Salaunes,30,33,12,5,200,6,3,3
2008/2009,SALIGNAC,COMMUNE DE SALIGNAC,Ecole Salignac,0,31,61,25,0,24,22,15
