Identifiant,Date de dernière modification,Nom,Label,Label Net-Public,Demande de labellisation Net-Public,Site Web,N° et libellé de voie,Code Insee commune,Code postal,Localité,Téléphone,Email,Latitude,Longitude,Précision,Personne à contacter,Services proposés,Nombre d'animateurs,Numéro DUI,Photo,Statut,Autre label,N° et libellé de voie,Horaires d'ouverture,Entrée - Accès [Accessibilité],Équipement,Entrée - Ouverture de porte [Accessibilité],Entrée - Obstacle à la porte d'entrée [Accessibilité],Circulation - Circulation dans les allées [Accessibilité],Circulation - Accès en fauteuil dans tout le lieu [Accessibilité],Circulation - Ascenseurs (dimensions) [Accessibilité],Services et équipements - Sanitaires [Accessibilité],Services et équipements - Personnel formé à l'accueil des personnes en situation de handicap [Accessibilité],Services et équipements - Personnel initié à la langue des signes [Accessibilité],Extérieur - Place de parking réservée [Accessibilité],Extérieur - Places GIC/GIR à proximité [Accessibilité],Extérieur - Transports accessibles à proximité [Accessibilité],Tarif,Photo,Photo,Photo,N° et libellé de voie,Code Insee commune,Code postal,Localité,N° et libellé de voie,Circulation - Signalétique adaptée [Accessibilité],Services et équipements - Hauteur adaptée des comptoirs / guichets [Accessibilité],services et équipements - Personnel formé à l'accueil des personnes en situation de handicap [Accessibilité],Services et équipements - Place réservée au PMR [Accessibilité],Extérieur - Enseigne suffisamment lisible et visible [Accessibilité],Spécificité territoriale,Circulation - Ascenseurs (adaptations) [Accessibilité],Photo,Photo,Photo,Photo,Photo,Flux d'actualité,Courriel,Horaires initiations et ateliers,Entrée - Accès contrôlé [Accessibilité],Circulation - Escaliers [Accessibilité],Services et équipements - Visites adaptées aux personnes ayant une déficience [Accessibilité],Entrée - Largeur de porte en cm [Accessibilité],Circulation - Guidage [Accessibilité],Blog,Extérieur - Trottoirs (Obstacles) [Accessibilité],"Entrée - En cas de présence d'une marche, préciser sa hauteur en cm [Accessibilité]","Rue, Voie, Chemin","Rue, Voie, Chemin",Fédération Nationale de Sport Numérique,Ateliers,Espace Public Numérique (EPN des Yvelines),Commentaire,Intitulé,Autre Site Web,Texte long,N° et libellé de voie,N° et libellé de voie,Code Insee commune,Code postal,Localité,Site Web2,Vidéo,Circulation - Plan du lieu [Accessibilité],NETPUBLIC,Site Web de Formation ORDIDACTIC60,Vidéo,Visio-accueil Pôle-Emploi,Le blog de la médiathèque,Fax,Ce flux présente les actualités locales de l'Espace Informatique Cyber-base®,Ce flux affiche les programmes des ateliers qui sont planifiés à l'Espace Informatique Cyber-base®,Services proposés,Villes Internet,Accueil de jeunes,Accueil de seniors,Organisation d'évènements,Centre d'Animation des Portes Ferrées,Personne à contacter,Image,N° et libellé de voie,Mission
4f3401a4de77fe55ff000598,14/02/2012,Ligue de l'enseignement fédération de Gironde,,0,0,http://www.liguefol33.asso.fr/,72 avenue de l'Église Romane,33013,33370,ARTIGUES PRES BORDEAUX,+33 5 56 44 52 25,contact@liguefol33.asso.fr,44.855685,-0.485719,8,Stéphane Delprat,"Accompagnement individuel
Initiation Internet et multimédia",1,9929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f3401afde77fe55ff000695,14/02/2012,Mediathèque Gabriela Mistral,,0,0,http://www.mediatheque-artigues.com/,Allée Bétailhe,33013,33370,ARTIGUES PRES BORDEAUX,+33 5 56 33 86 90,gabrielamistral@mediatheque-artigues.com,44.858364,-0.497466,6,Evelyne Truant,"Accompagnement individuel
Initiation Internet et multimédia",1,10203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13B,,PIJ – Espace jeunes ,PAPI,Jeunesse,,www.mairie-artigues-bordeaux.fr,Parc du Château Betailhe,13,33370,Artigues-près-Bordeaux,05 57 80 24 11,,pij.artigues@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,Payant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16A,,Bibliothèque publique,PAPI,Bibliothèque,,,,16,33240,Asques,,,asques.mairie.asques@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,Payant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24A,,Bibliothèque publique,PAPI,Bibliothèque,,,,24,33190,Bagas,,,bagas@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28A,,Mairie,PAPI,Services publics,,,16 le Bourg,28,33750,Baron,05 57 24 17 28,,ptlect.@wanadoo.fr,,,Mme Margontier,,,,,,,,Lundi au vendredi : 9h-12H/13h30-17H,,,,,,,,,,,,,,Gratuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30A,,Bibliothèque municipale,PAPI,Bibliothèque,,www.barsac.fr,23 Place Paul Doumer,30,33720,Barsac,05 56 27 43 04,,bibliotheque@barsac.fr,,,François LAFFEYCHINE,,,,,,,,,,,,,,,,,,,,,,Payant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f3401a4de77fe55ff00059c,14/02/2012,Médiathèque municipale François Mitterrand,,0,0,,42 avenue Jean Jaurès,33032,33530,BASSENS,+33 5 57 80 81 78,mediatheque@ville-bassens.fr,44.899585,-0.516585,8,Maryse DOUMAX,"Accompagnement individuel
Initiation Internet et multimédia",1,9933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32B,,Souris / CSF,PAPI,EducPop,,,,32,33530,Bassens,,,souriscsf@wanadoo.fr,,,,,,,,,,,Lundi/mardi/mercredi : 9h-12h/14h-17h30 jeudi : 10h-12h/14h-17h30 vendredi : 9h-12H ,,,,,,,,,,,,,,Gratuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f340215de77fe55ff000f87,14/02/2012,Bibliothèque Municipale,,0,0,,Le Bourg Mairie,33033,33880,BAURECH,+33 5 56 21 32 67,mairie.baurech@wanadoo.fr,44.732023,-0.43447,4,"Mme BAUSTERT - Responsable Bibliothèque
Mr KAYA - Permanences Internet","Accompagnement individuel
Initiation Internet et multimédia",1,7191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f3401aede77fe55ff000680,14/02/2012,Bibliothèque,,0,0,http://www.mediathequebazas.net/,17 esplanade Saint-Sauveur,33036,33430,BAZAS,+33 5 56 65 12 46,mediatheque.bazas@orange.fr,44.43123,-0.214759,7,,"Accompagnement individuel
Initiation Internet et multimédia",1,10182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f3401aede77fe55ff00067e,14/02/2012,BIJ,,0,0,,20 avenue Paul Lamarque,33036,33430,BAZAS,+33 5 56 65 49 51,bijbazas@yahoo.fr,44.431105,-0.223062,8,,"Accompagnement individuel
Initiation Internet et multimédia",1,10180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36A,,Médiathèque,PAPI,Bibliothèque,,www.mediathequebazas.net,17 Esplanade Saint Sauveur,36,33430,Bazas,05.56.65.12.46,mediatheque.bazas@orange.fr,,,,Marie FELSMANN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36B,,B@zas.jeunes ,PAPI,Jeunesse,,www.ville-bazas.fr/orgmpaj.htm,"20, Av. Paul Lamarque",36,33430,Bazas,05 56 65 49 51,bijbazas@yahoo.fr ,,,,,,,,,,,,Mercredi/jeudi : 14h-18h Vendredi : 9h30-18h,,,,,,,,,,,,,,Gratuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f3401aede77fe55ff000687,14/02/2012,BIJ espace jeunes,,0,0,,21 avenue jeanne d'Arc Espace Jeunes Square de Suhl,33039,33130,BEGLES,+33 5 56 49 06 34,bij@mairie-begles.fr,44.800726,-0.55515,4,,"Accompagnement individuel
Initiation Internet et multimédia",1,10189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f3401f3de77fe55ff000c89,14/02/2012,Bibliothèque Municipale de Bègles,,0,0,,"58, avenue du Maréchal de Lattre de Tassigny",33039,33130,BEGLES,+33 5 56 49 54 81,bibliotheque@mairie-begles.fr,44.806394,-0.542762,8,"Dominique MITOU -
Cécile FAUCONNET",,,5796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39B,,BIJ,PAPI,Jeunesse,,ijb.olympe-network.com,21 rue Calixte Camelle,39,33130,Bègles,05 56 49 06 34,bij@mairie-begles.fr,,,,,,,,,,,,"Lundi : 14h-18h Mardi/jeudi : 9h-12h30/14h-18h Mercredi/vendredi : 9h-12h30 (pendant les vacances scolaires,lundi au vendredi : 9h-12h30)",,,,,,,,,,,,,,Gratuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39D,,Point Accueil jeunes des Lacs,PAPI,EducPop,,ijb.olympe-network.com,Maison des Lacs 12 Rue de Bray ,39,33130,Bègles,05.56.85.63.20 , jeunesse.lacs@mairie-begles.fr,,,,,,,,,,,,Mardi/vendredi : 10h-13h/15h-18h mercredi : 10h-18h jeudi : 10h-13h samedi :10h-17h,,,,,,,,,,,,,,Payant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39C,,Point Accueil jeunes des Terres Neuves,PAPI,EducPop,,ijb.olympe-network.com,Résidence Yves Farge rue du Théatre de Verdure Apt 91 Bat B3 ,39,33130,Bègles,05.56.85.60.20 , jeunesse.terresneuves@mairie-begles.fr,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45A,,Bibliothèque publique,PAPI,Bibliothèque,,,,45,33350,Belvès-de-Castillon,,mairie-belves-de-castillon@wanadoo.fr,,,,,,,,,,,,"Lundi : 10h-17h, Mardi : 10h-19h, Mercredi : 10h-14h/16h30-19h, Jeudi : 12h -19h, Vendredi : 10h-23h, Samedi : 14h-17h",,,,,,,,,,,,,,Gratuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f340230de77fe55ff0011a2,14/02/2012,Centre Multimédia du Bazadais,,0,0,,"27, route de Bernos",33046,33430,BERNOS BEAULAC,+33 5 56 25 49 79,epbernosbeaulac@wanadoo.fr,44.37612,-0.250809,7,,,,7916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46A,,Centre multimédia du Bazadais,EPN,Informatique,,,"27, route de Bernos",46,33430,Bernos-Beaulac,05.56.25.20.35,cmdb33@wanadoo.fr,,,,Karine PINEAU,,,,,,,,Mardi au vendredi : 14h-18h + mercredi/samedi : 9h-12h30 (Vacances scolaires : le matin du mardi au samedi),,,,,,,,,,,,,,Gratuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47A,,Bibliothèque municipale,PAPI,Bibliothèque,,,,47,33390,Berson,,mairie-de-berson@wanadoo.fr,,,,,,,,,,,,Mardi au samedi : 14h-19h Vendredi soir jusqu'à 21h,,,,,,,,,,,,,,Gratuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49B,,ALEJ – Asso. Loisirs Enfance Jeunesse,PAPI,EducPop,,,Bourg de Cailleau,49,33750,Beychac-et-Cailleau,05 56 72 57 70 ,,,,,Nicole Teyssier,,,,,,,,Mercredi 9h30-12h30 et 14h-18h jeudi et vendredi 16h-19h samedi 10h-16h,,,,,,,,,,,,,,Payant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49A,,Bibliothèque municipale,PAPI,Bibliothèque,,www.mairie-beychac-cailleau.fr,Bourg de Cailleau,49,33750,Beychac-et-Cailleau,05.56.72.47.12,biblio.beychac.caillau@wanadoo.fr,,,,GUARRIGUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f3401bfde77fe55ff0007e6,18/03/2013,Espace Intercommunal de Vie Sociale et d'Animation  L'ENCRIER-LE ROSEAU,,1,1,http://www.lencrier.eu,14-16  rue de la Verrerie,33051,33380,BIGANOS,+33 5 57 17 54 57,ass.lencrier@wanadoo.fr,44.6373603098,-0.978104493393,9,Nadine Gouard,"Accompagnement individuel et collectif
Initiation Internet et multimédia
Perfectionnement, accompagnement de projets
Pratiques culturelles, création artistique
Accompagnement scolaire, actions éducatives
Recherche d'emploi sur Internet
Démarches administratives
Vie quotidienne (achats, loisirs, …)
Accueil de personnes handicapées
Accueil de jeunes
Accueil de seniors
Accompagnement d'associations
Centre d'évaluation PIM
Accès WIFI",3,7223,,Structure associative,,,"Lundi 14h à 18h
Mardi à vendredi 9h/12h30  13h30/18h
Samedi 10h/18h",Rampe,"6 postes pour la formation
2 postes en accès libre",,,,,,,,,,1,,5€/h,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f3401aede77fe55ff00068e,14/02/2012,PIJ Maison de l'enfance jeunesse,,0,0,http://www.villedebiganos.fr/,52 avenue de la libération,33051,33380,BIGANOS,+33 5 57 70 68 63,pij@villedebiganos.fr,44.642905,-0.977969,8,,"Accompagnement individuel
Initiation Internet et multimédia",1,10196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51C,,PIJ,PAPI,Jeunesse,,www.villedebiganos.fr,10 rue Georges Clémenceau,51,33380,Biganos,05 57 70 68 63,pij@villedebiganos.fr,,,,,,,,,,,,Mardi : 16h-18h Mercredi : 10h–12h/15h-18h Vendredi : 16h-17h Samedi : 9h-12h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f340230de77fe55ff0011a1,14/02/2012,ABC,Point Cyb,1,0,http://www.abc-blanquefort.fr/,rue Raymond Valet,33056,33290,BLANQUEFORT,+33 5 57 93 12 96,a.b.c.@wanadoo.fr,44.909977,-0.634241,6,Jérôme AVRIL,Accompagnement individuel,1,7915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f3401dede77fe55ff000a97,14/02/2012,Médiathèque A. Djebar,,0,0,http://mediatheque.ville-blanquefort.fr/,4 rue du docteur Castéra,33056,33290,BLANQUEFORT,+33 5 56 95 24 27,joelle.danies-caillaud@ville-blanquefort.fr,44.910574,-0.633544,8,Joëlle Danies Caillaud,"Accompagnement individuel
Initiation Internet et multimédia
Pratiques culturelles, création artistique 
Accompagnement scolaire, activités éducatives
Recherche d'emploi sur Internet
Démarches administratives",1,4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56B,,ABC – BIJ,EPN,Jeunesse,,,8 Rue Raymond Valet,56,33294,Blanquefort,05 57 93 12 93,a.b.c@wanadoo.fr,,,,,,,,,,,,"Lundi 14h à 19h mardi, mercredi, jeudi, vendredi : 10h-12h / 14h-19h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56G,,Maison des services publics,PAPI,Services publics,,,1 Avenue de Tanïs,56,33294,Blanquefort,05 56 57 48 48,,,,,,,,,,,,,Mardi/mercredi/jeudi : 14h-17h30 vendredi : 10h30-12h30/14h-17h30,,,,,,,,,,,,,,Gratuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56D,,Hotel de ville,PAPI,Services publics,,,BP 117,56,33294,Blanquefort,05 56 95 50 95,,,,,,,,,,,,,Lundi/Mercredi/Vendredi : 8h30-12h30/13h30-17h30 mardi/jeudi : 8h30-12h30/13h30-19h,,,,,,,,,,,,,,Gratuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56E,,ESB Entente sportive,PAPI,EducPop,,,10 rue Jean Moulin,56,33294,Blanquefort,05 56 95 36 01,,,,,,,,,,,,,"lundi 14h30.19h, mardi, jeudi, vendredi 10h.12h30 / 14h30.19h, mercredi 8h30.12h30 / 14h30.19h, samedi 10h.12h30./ 14h.16h",,,,,,,,,,,,,,Gratuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57A,,Médiathèque,PAPI,Bibliothèque,,,15 Place de la République,57,33540,Blasimon,05 56 71 52 12,,,,,Daniel Barde,,,,,,,,"lundi : 16-17h, merc : 15-17h, vend : 16h30-18h, sam : 10h30-12h",,,,,,,,,,,,,,Gratuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f340230de77fe55ff0011a0,14/02/2012,Bibliothèque municipale Johel Coutura,,0,0,http://www.blaye.net/,"27, cours de la République",33058,33390,BLAYE,+33 5 57 42 23 58,bibliotheque@blaye.net,45.129505,-0.66164,8,,,,7914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f3401aede77fe55ff000688,14/02/2012,Mission Locale de la Haute Gironde,,0,0,,17 rue Saint Simon,33058,33390,BLAYE,+33 5 57 42 89 75,mlhg.blaye@wanadoo.fr,45.124289,-0.663556,8,,"Accompagnement individuel
Initiation Internet et multimédia
Recherche d'emploi sur Internet",1,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f340174de77fe55ff000101,14/02/2012,PIJ,Point Cyb,1,0,,"6, rue André Lamandé",33058,33390,BLAYE,+33 5 57 42 95 45,contact@prij-blaye.com,45.127062,-0.661996,8,Sabrina NICOLAS,,,8588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
