TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,LABEL,CLASSEMENT_LABEL,THEMES_LABEL,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Chambres d'hôtes,Non classé,Domaine Belle Source,4 Belle Source,,33660,PORCHERES,+33 5 57 49 61 25,www.domainebellesource.com,Gîtes de France,3 épis (Gîtes de France),Gîtes de France vignoble;Gîtes Bébé,,0.04,45.03
Chambres d'hôtes,Non classé,Château de Beau-Site,35 route de Mathas,,33640,PORTETS,+33 5 56 67 18 15;+33 5 56 81 54 23,www.chateaudebeausite.fr,Gîtes de France,3 épis (Gîtes de France),Gîte au Château;Gîtes et Cheval;Gîtes Bébé,,-0.4032013,44.680603
Chambres d'hôtes,Non classé,L'Orangerie,1 chemin des Higueyrots,,33640,PORTETS,+33 5 56 40 47 66;+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,2 épis (Gîtes de France),,,-0.424569,44.69632
Chambres d'hôtes,Non classé,Château de Môle,Durand,,33570,PUISSEGUIN,+33 5 57 74 60 86,www.chateau-de-mole.fr,Gîtes de France,4 épis (Gîtes de France),Gîtes de France vignoble;Gîtes Bébé;Séjour bien-être,,-0.0704777,44.934547
Chambres d'hôtes,Non classé,Les Raisins du Bonheur,3 rue du Mayne,,33570,PUISSEGUIN,+33 5 56 81 54 23;+33 5 57 24 96 04,www.gites33.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.0825664,44.975334
Chambres d'hôtes,Non classé,Les Secrets de Tifayne,Château Tifayne,Monbadon,33570,PUISSEGUIN,+33 5 57 40 61 29,www.tifayne.com,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.036157,44.9359
Chambres d'hôtes,Non classé,Chambres d'hôtes Laborie,3 Coussillon,,33570,PUISSEGUIN,+33 5 57 40 69 10,,Gîtes de France,3 épis (Gîtes de France),Gîtes et Vélo,,-0.032772,44.936028
Chambres d'hôtes,Non classé,Mesthomas,Lieu-dit Mesthomas,,33350,PUJOLS,+33 5 57 40 05 47,,Gîtes de France,3 épis (Gîtes de France),,,-0.0312467,44.80774
Chambres d'hôtes,Non classé,Les Gués Rivières,5 place du Général de Gaulle,,33350,PUJOLS,+33 5 57 40 74 73,http://perso.orange.fr/margotte.olivier,Gîtes de France,3 épis (Gîtes de France),Charme Gîtes de France,,-0.031413,44.807163
Chambres d'hôtes,Non classé,La Petite Provence,2 Touron,,33350,PUJOLS,+33 5 57 40 57 57,http://petite.provence.free.fr,Gîtes de France,3 épis (Gîtes de France),Charme Gîtes de France,,-0.040061,44.808018
Chambres d'hôtes,Non classé,La Grande Maison,rue du Stade,,33350,PUJOLS,+33 5 57 40 30 97,www.alagrandemaison.com,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé;Gîtes et Vélo;Bienvenue aux motards;Gîte écocitoyen;Séjour bien-être,,-0.031328,44.808388
Chambres d'hôtes,Non classé,Château Villotte,,,33420,RAUZAN,+33 5 57 84 00 96;+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé;Gîtes de France vignoble;Gîte au Château,,-0.124997,44.77855
Chambres d'hôtes,Non classé,Château du Broustaret,,,33410,RIONS,+33 5 56 62 96 97,www.broustaret.net,Gîtes de France,3 épis (Gîtes de France),Gîtes de France vignoble,,-0.291996,44.665234
Chambres d'hôtes,Non classé,Le Relais des Remparts,13 place du Repos,,33410,RIONS,+33 5 56 27 38 31,www.lerelaisdesremparts.com,Gîtes de France,3 épis (Gîtes de France),Gîtes et Vélo,,-0.3514119,44.664207
Chambres d'hôtes,Non classé,Les Chambres du Broussey,3 le Broussey,,33410,RIONS,+33 5 56 76 12 72,www.leschambresdubroussey.com,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé;Gîtes et Vélo,,-0.3047609,44.670155
Chambres d'hôtes,Non classé,Domaine de Blaignac,,,33350,RUCH,+33 5 57 40 54 57,www.domainedeblaignac.com,Gîtes de France,3 épis (Gîtes de France),Gîtes et Vélo;Gîtes Bébé,,-0.036975,44.77596
Chambres d'hôtes,Non classé,Le Prieuré de Mouquet,6 chemin de Mouquet,,33670,SADIRAC-CREON,+33 5 56 23 26 57,www.prieure-de-mouquet.com,Gîtes de France,3 épis (Gîtes de France),Charme Gîtes de France;Gîtes Bébé;Gîtes et Vélo,,-0.35949,44.781334
Chambres d'hôtes,Non classé,Les Charmes de Vincent,14 Vincent,,33126,SAINT-AIGNAN,+33 5 57 24 90 05,http://perso.wanadoo.fr/francoise.tiret,Gîtes de France,3 épis (Gîtes de France),,,-0.301012,44.94911
Chambres d'hôtes,Non classé,Château La Lagune de Mercey,2215 route de Libourne,,33240,SAINT-ANDRE-DE-CUBZAC,+33 5 56 81 54 23,www.chateaulalagunedemercey.com;www.gites33.fr,Gîtes de France,2 épis (Gîtes de France),Gîtes de France vignoble;Séjour bien-être,,-0.4092407,44.982323
Chambres d'hôtes,Non classé,La Source,Les Chapelains,,33220,SAINT-ANDRE-ET-APPELLES,+33 5 57 41 29 11,www.lasourcechapelains.com,Gîtes de France,3 épis (Gîtes de France),,,0.21328926,44.803673
Chambres d'hôtes,Non classé,La Treille d'Aubin,2 rue Emile Zola,,33160,SAINT-AUBIN-DE-MEDOC,+33 5 56 95 80 03,www.latreilledaubin.fr,Gîtes de France,2 épis (Gîtes de France),Gîtes Bébé,,-0.7203347,44.90234
Chambres d'hôtes,Non classé,Château du Bru,1 Grande Font,,33220,SAINT-AVIT-SAINT-NAZAIRE,+33 5 57 46 12 71;+33 5 56 81 54 23,,Gîtes de France,3 épis (Gîtes de France),,,0.3025,44.852898
Chambres d'hôtes,Non classé,Château Les Tours de Seguy,2 Le Seguy,,33710,SAINT-CIERS-DE-CANESSE,+33 5 57 64 99 57,www.chateau-les-tours-seguy.com,Gîtes de France,3 épis (Gîtes de France),Gîtes de France vignoble;Gîtes Bébé,,-0.6,45.08
Chambres d'hôtes,Non classé,Moulin de Laboirie,1 Laboirie,,33430,SAINT-COME,+33 9 52 29 95 69;+33 5 56 25 47 92,,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.179422,44.42696
Chambres d'hôtes,Non classé,Dyr Slot,18 chemin des Gravières,,33910,SAINT-DENIS-DE-PILE,+33 5 57 74 29 18;+33 5 57 80 29 98,http://perso.wanadoo.fr/chambre.hotes.dyrslot/,Gîtes de France,3 épis (Gîtes de France),,,-0.197993,44.98587
Chambres d'hôtes,Non classé,La Luzernière,4 route de Lamarche,Dallau,33910,SAINT-DENIS-DE-PILE,+33 5 56 81 54 23;+33 5 57 84 29 77,www.gite-gironde.com/tourism.html,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.175258,44.971775
Chambres d'hôtes,Non classé,Château Lamarque,,,33410,SAINTE-CROIX-DU-MONT,+33 5 56 76 72 78,www.ch-lamarque.com,Gîtes de France,3 épis (Gîtes de France),,,-0.286474,44.60146
Chambres d'hôtes,Non classé,Chambres d'hôtes Dumartin ,4 Guilhem,,33350,SAINTE-FLORENCE,+33 5 57 40 07 02,,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé;Gîtes et Vélo,,-0.09488,44.825645
Chambres d'hôtes,Non classé,La Ferme de Mouline,,,33490,SAINTE-FOY-LA-LONGUE,+33 5 56 76 44 25;+33 5 56 81 54 23,www.a2z-agency.com,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.1572418,44.623096
Chambres d'hôtes,Non classé,La Cigogne,Le Grand Janot,,33580,SAINTE-GEMME,+33 5 56 71 19 70,www.chambres-lacigogne.fr,Gîtes de France,3 épis (Gîtes de France),,,0.082071,44.626102
Chambres d'hôtes,Non classé,Maison Le Sèpe,1 Le Sèpe,,33350,SAINTE-RADEGONDE,+33 9 61 55 90 56,www.maisonlesepe@orange.fr,Gîtes de France,3 épis (Gîtes de France),,,0.0160639,44.80496
Chambres d'hôtes,Non classé,L'Etang d'en Bas,Le Moulin Notre Dame,,33350,SAINT-GENES-DE-CASTILLON,+33 5 57 47 93 56;+33 5 56 81 54 23,www.moulin-notre-dame.com,Gîtes de France,3 épis (Gîtes de France),,,-0.047323,44.84318
Chambres d'hôtes,Non classé,Les Roses du Barry,Impasse Le Barry,,33240,SAINT-GENES-DE-FRONSAC,+33 5 57 43 22 46,www.rosesdubarry.sitew.com,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.3435268,45.023426
Chambres d'hôtes,Non classé,Château de l'Escarderie,2 rue Goffre,,33240,SAINT-GERMAIN-DE-LA-RIVIERE,+33 5 57 84 46 28,http://lescarderie.free.fr,Gîtes de France,3 épis (Gîtes de France),Charme Gîtes de France;Gîtes Bébé;Gîte au Château;Gîtes et Vélo,,-0.33,44.95
Chambres d'hôtes,Non classé,La Halte de Segondignac,5 route de Saint-Gaux,,33340,SAINT-GERMAIN-D'ESTEUIL,+33 5 56 73 09 32,www.la-halte-de-segondignac.com,Gîtes de France,2 épis (Gîtes de France),Hébergement à la ferme,,-0.894869,45.32131
Chambres d'hôtes,Non classé,Le Voisy,14 route des Côtes de Bourg,,33240,SAINT-GERVAIS,+33 5 57 43 19 08,www.levoisy.jimdo.com,Gîtes de France,2 épis (Gîtes de France);3 épis (Gîtes de France),,,-0.488026,45.0308
Chambres d'hôtes,Non classé,Les Beychevelloises,23 rue de la Loi,,33250,SAINT-JULIEN-BEYCHEVELLE,+33 5 56 59 20 19,http://beychevelloises.vpweb.fr/,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé;Gîtes et Vélo,,-0.7432748,45.149754
Chambres d'hôtes,Non classé,La Petite Madeleine,6 Saint Jean de Béard,,33330,SAINT-LAURENT-DES-COMBES,+33 5 57 24 78 45,www.la-petite-madeleine.com,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.12851,44.87938
Chambres d'hôtes,Non classé,Château d'Esther,37 chemin du Caderot,,33450,SAINT-LOUBES,+33 5 56 68 69 35,www.gites-de-france-gironde.com/fiche-hebergement-33305.html?,Gîtes de France,3 épis (Gîtes de France),,,-0.4296838,44.93278
Chambres d'hôtes,Non classé,Château de Gourdet,,,33620,SAINT-MARIENS,+33 5 57 58 05 37,,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.42,45.12
Chambres d'hôtes,Non classé,La Lézardière,,,33540,SAINT-MARTIN-DE-LERM,+33 5 56 71 30 12,www.lalezardiere-chambresdhotes.com,Gîtes de France,2 épis (Gîtes de France),Gîtes et Vélo;Gîtes Bébé,,-0.0454044,44.637573
Chambres d'hôtes,Non classé,Château Frédignac,7 rue Emile Frouard,,33390,SAINT-MARTIN-LACAUSSADE,+33 5 57 42 24 93,www.chateau-fredignac.fr,Gîtes de France,2 épis (Gîtes de France),Gîtes de France vignoble;Gîtes et Vélo,,-0.658518,45.14199
Chambres d'hôtes,Non classé,Château Laborde,13 Laborde,,33230,SAINT-MEDARD-DE-GUIZIERES,+33 5 57 69 80 65,www.chateaulaborde.com,Gîtes de France,2 épis (Gîtes de France),,,-0.03,45.02
Chambres d'hôtes,Non classé,Chambres d'hôtes Delahaie ,Larrivat,,33840,SAINT-MICHEL-DE-CASTELNAU,+33 5 56 65 80 78,,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,Handicap mental;Handicap moteur,-0.110246,44.29627
Chambres d'hôtes,Non classé,Le Prieuré,17 route de l'Eglise,,33350,SAINT-PEY-DE-CASTETS,+33 5 57 40 68 14,http://leprieure33350.free.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé;Gîtes et Vélo,,-0.06832,44.811222
Chambres d'hôtes,Non classé,Le Sac,2 Le Sac,,33350,SAINT-PHILIPPE-D'AIGUILLE,+33 8 72 43 25 15,www.lapetitegirondine.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé;Charme Gîtes de France,,-0.039946,44.912464
Chambres d'hôtes,Non classé,La Girarde,La Girarde,,33220,SAINT-QUENTIN-DE-CAPLONG,+33 5 57 41 02 68,www.lagirarde.com,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,0.1334523,44.805275
Chambres d'hôtes,Non classé,Réal,6 rue Clément Lemaignan,,33180,SAINT-SEURIN-DE-CADOURNE,+33 5 56 59 31 04,www.real-en-medoc.com,Gîtes de France,3 épis (Gîtes de France),,,-0.792385,45.28085
Chambres d'hôtes,Non classé,Au Canton,,,33190,SAINT-SEVE,+33 5 56 61 04 88,,Gîtes de France,3 épis (Gîtes de France),,,-0.02528,44.610107
Chambres d'hôtes,Non classé,Chambres d'hôtes Cailley ,5 rue Maine Martin,,33450,SAINT-SULPICE-ET-CAMEYRAC,+33 5 56 30 82 34;+33 5 56 30 21 65,,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.384227,44.90816
Chambres d'hôtes,Non classé,Les Jardins du Broy,,,33113,SAINT-SYMPHORIEN,+33 5 56 25 74 46,www.jardins-de-broy.com,Gîtes de France,3 épis (Gîtes de France),Gîtes Panda;Gîtes Bébé;Ecogîte,,-0.56308,44.44603
Chambres d'hôtes,Non classé,Chambres d'hôtes Berthelot ,15 rue du Général de Gaulle,,33590,SAINT-VIVIEN-DE-MEDOC,+33 5 57 75 09 49,,Gîtes de France,2 épis (Gîtes de France),,,-1.041078,45.43171
Chambres d'hôtes,Non classé,Chambres d'hôtes Cochard ,50, rue du Général de Gaulle,Mirambeau,33590,SAINT-VIVIEN-DE-MEDOC,+33 5 56 09 51 07,,Gîtes de France,2 épis (Gîtes de France),,,-1.041078,45.43171
Chambres d'hôtes,Non classé,Chambres d'hôtes Hazan,4 cours Pierre Lassalle,,33590,SAINT-VIVIEN-DE-MEDOC,+33 5 57 75 04 56,,Gîtes de France,2 épis (Gîtes de France),,,-1.0340023,45.426346
Chambres d'hôtes,Non classé,Le Moulin,5 route de Queyzans,,33340,SAINT-YZANS-DE-MEDOC,+33 5 56 09 02 80,www.medoc-hote.com,Gîtes de France,3 épis (Gîtes de France),Charme Gîtes de France;Gîtes Côté Jardin;Gîtes Bébé,,-0.829448,45.34897
Chambres d'hôtes,Non classé,Plavengut,Le Lanot,73 rue Jean Roux,33770,SALLES,+33 5 56 88 47 52,www.plavengut.com,Gîtes de France,2 épis (Gîtes de France),Gîtes et Vélo,,-0.871154,44.519115
Chambres d'hôtes,Non classé,La Cardabelle,230 Tallet,,33710,SAMONAC,+33 5 57 68 49 13,www.gite-prop.com/33/33229,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.5696582,45.073975
Chambres d'hôtes,Non classé,La Maison de Soussans,4 rue des Tastes,,33460,SOUSSANS,+33 5 57 88 00 91;+33 5 56 81 54 23,www.lamaisondesoussans.com,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.7004535,45.056854
Chambres d'hôtes,Non classé,Château de Talais,4 route des Quatre Passes,,33590,TALAIS,+33 5 56 09 80 13,www.chateau-talais.com,Gîtes de France,3 épis (Gîtes de France),Gîte au Château,,-1.0628234,45.474594
Chambres d'hôtes,Non classé,Château Les Eyquems,1 chemin de Trousse Bergère,,33710,TAURIAC,+33 5 57 68 42 08;+33 5 56 81 54 23,www.chateau-les-eyquems.com,Gîtes de France,3 épis (Gîtes de France),Gîtes de France vignoble;Gîte au Château,,-0.4909667,45.062943
Chambres d'hôtes,Non classé,Le Clos Norma,17 rue de Faza,,33730,UZESTE,+33 5 56 25 29 48;+33 5 56 81 54 23,www.closnorma.com,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé;Charme Gîtes de France;Gîtes et Vélo,,-0.3236537,44.443542
Chambres d'hôtes,Non classé,Chambres d'hôtes Warin ,La Housie,,33730,UZESTE,+33 5 56 25 80 19,,Gîtes de France,3 épis (Gîtes de France),,,-0.321687,44.44955
Chambres d'hôtes,Non classé,Château Le Souley,,,33180,VERTHEUIL,+33 5 56 41 98 76;+33 5 56 81 54 23,www.lesouley.com,Gîtes de France,2 épis (Gîtes de France),,,-0.83,45.25
Chambres d'hôtes,Non classé,Villa Madeleine,2 rue Madeleine,,33730,VILLANDRAUT,+33 5 56 25 60 64;+33 5 56 81 54 23,www.villa-madeleine.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes et Vélo,,-0.373201,44.45562
Chambres d'hôtes,Non classé,Les Batarelles,103 Deyma,,33550,VILLENAVE-DE-RIONS,+33 5 56 72 16 08,http://lesbatarelles.free.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.326097,44.692123
Chambres d'hôtes,Non classé,Janoutic,2 Le Tach,,33124,AILLAS,+33 5 56 65 32 58,www.chambresdhotesjanoutic.com,Gîtes de France,3 épis (Gîtes de France),,,-0.052508,44.47299
Chambres d'hôtes,Non classé,Capsus,4 avenue de Capsus,,33510,ANDERNOS-LES-BAINS,+33 5 56 26 50 35,,Gîtes de France,2 épis (Gîtes de France),,,-1.081842,44.74956
Chambres d'hôtes,Non classé,Le Clair de Lune,2 rue Rosa Bonheur,,33510,ANDERNOS-LES-BAINS,+33 5 57 70 27 16,www.leclairdelune.net,Gîtes de France,3 épis (Gîtes de France),,,-1.090069,44.735878
Chambres d'hôtes,Non classé,L'Ecureuil,12 rue des Eglantiers,,33510,ANDERNOS-LES-BAINS,+33 5 56 26 96 19,www.lecureuil.net,Gîtes de France,3 épis (Gîtes de France),,,-1.081631,44.73585
Chambres d'hôtes,Non classé,Les Albatros,10 boulevard de Verdun,,33510,ANDERNOS-LES-BAINS,+33 5 56 82 04 46,www.lesalbatros.com,Gîtes de France,3 épis (Gîtes de France),,,-1.093757,44.73772
Chambres d'hôtes,Non classé,L'Escale,15 rue des Grillons,,33510,ANDERNOS-LES-BAINS,+33 5 56 60 13 29,www.escale-andernos.com,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé;Gîtes et Vélo,,-1.099414,44.75272
Chambres d'hôtes,Non classé,L'Orée du Bois,2 rue de l'Orée du Bois,,33510,ANDERNOS-LES-BAINS,+33 5 56 82 31 81,www.loreedubois-andernos.com,Gîtes de France,2 épis (Gîtes de France),,,-1.083772,44.75608
Chambres d'hôtes,Non classé,Château Le Queyroux,6 Coulon,,33390,ANGLADE,+33 5 57 64 46 54;+33 5 56 81 54 23,www.lhommecheval.com,Gîtes de France,3 épis (Gîtes de France),,,-0.62,45.22
Chambres d'hôtes,Non classé,Château Haut Domingue,,,33760,ARBIS,+33 5 56 81 54 23;+33 5 56 23 62 89,,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.258715,44.662773
Chambres d'hôtes,Non classé,Charme d'Arès,50 avenue du Port,,33740,ARES,+33 5 56 60 08 15,www.charmedares.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes et Vélo,,-1.135899,44.76535
Chambres d'hôtes,Non classé,Chambres d'hôtes Urtizverea ,Hameau des Mimosas,2 allées des Arbousiers,33740,ARES,+33 5 56 82 43 68,http://edmond.urtizverea.pagesperso-orange.fr,Gîtes de France,3 épis (Gîtes de France),,,-1.13479,44.76617
Chambres d'hôtes,Non classé,Lou Pignot,20 allées des Frênes,,33740,ARES,+33 5 56 82 20 89,http://jeanbernard.bornet.perso.sfr.fr,Gîtes de France,2 épis (Gîtes de France),Gîtes Bébé,,-1.12755,44.75926
Chambres d'hôtes,Non classé,Villa La Louisiane,1 rue des Grépins,,33740,ARES,+33 6 23 08 57 75,,Gîtes de France,3 épis (Gîtes de France),,,-1.127941,44.756634
Chambres d'hôtes,Non classé,Chambres d'hôtes Esteva,chemin de Sourbey,,33480,AVENSAN,+33 5 56 58 72 79;+33 5 56 81 54 23,,Gîtes de France,3 épis (Gîtes de France),Gîtes et Cheval;Gîtes Bébé,,-0.748671,45.018898
Chambres d'hôtes,Non classé,Les Bordes,1 Les Bordes,,33730,BALIZAC,+33 5 56 25 88 45,www.lesbordes.net,Gîtes de France,3 épis (Gîtes de France),Gîtes et Vélo;Gîtes et Cheval,,-0.4230964,44.48799
Chambres d'hôtes,Non classé,Les Vignes de Camperos,8 Camperos,,33720,BARSAC,+33 5 56 27 15 47,www.lesvignesdecamperos.com,Gîtes de France,3 épis (Gîtes de France),Gîtes de France vignoble;Gîtes Bébé,,-0.322042,44.60071
Chambres d'hôtes,Non classé,Domaine de Plisseau,,,33710,BAYON-SUR-GIRONDE,+33 5 57 64 92 61;+33 5 56 81 54 23,www.domaine-de-plisseau.com,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.58,45.05
Chambres d'hôtes,Non classé,Le Sorbet,3 Sorbet,,33430,BAZAS,+33 5 56 25 08 83,www.ausorbet.com,Gîtes de France,3 épis (Gîtes de France),Gîte écocitoyen;Charme Gîtes de France;Gîtes Bébé;Gîtes et Vélo,,-0.2064244,44.429295
Chambres d'hôtes,Non classé,Château Couloumey,SCEA Vignobles La Toscane,12 route des Landes,33640,BEAUTIRAN,+33 5 56 67 66 65,www.chateau-couloumey.fr,Gîtes de France,3 épis (Gîtes de France),Gîte au Château,,-0.461977,44.69792
Chambres d'hôtes,Non classé,Chambres d'hôtes Lilaire,9, route du Preuilh,Lilaire,33830,BELIN-BELIET,+33 5 56 88 02 27,www.lilaire.com,Gîtes de France,3 épis (Gîtes de France),,,-0.836629,44.42365
Chambres d'hôtes,Non classé,Domaine de Teynac,22 Teynac,,33750,BEYCHAC-ET-CAILLAU,+33 5 56 72 92 46,www.golf-teynac.com,Gîtes de France,3 épis (Gîtes de France),,,-0.365605,44.858913
Chambres d'hôtes,Non classé,Sam Suffi,17 rue Jules Ferry,,33380,BIGANOS,+33 5 56 26 56 43,http://sam-suffi.jimdo.com/,Gîtes de France,3 épis (Gîtes de France),,,-0.9742321,44.644012
Chambres d'hôtes,Non classé,Lou Bercail,13 rue des Michels,,33290,BLANQUEFORT,+33 5 56 95 29 42,,Gîtes de France,2 épis (Gîtes de France),,,-0.6256654,44.916134
Chambres d'hôtes,Non classé,Les Vignes de Darnèches,,,33910,BONZAC,+33 5 57 25 01 81,www.darneche.fr.vu,Gîtes de France,3 épis (Gîtes de France),,,-0.21,45
Chambres d'hôtes,Non classé,Bordeaux Autrement,Barrière Saint-Genès,100 boulevard Franklin Roosevelt,33000,BORDEAUX,+33 5 56 81 54 23;+33 5 56 33 80 25,www.bordeaux-autrement-maison-hotes.com;www.gites-de-france-gironde.com/chambre-hotes-bordeaux-premium-pres-bordeaux-faure-33295.html,Gîtes de France,4 épis (Gîtes de France),City break Premium;Gîtes Bébé,,-0.5786789,44.818653
Chambres d'hôtes,Non classé,Castel de Camillac,Camillac,,33710,BOURG,+33 6 74 31 15 85,www.lecasteldecamillac.com,Gîtes de France,4 épis (Gîtes de France),Charme Gîtes de France;Gîtes et Vélo,,-0.575058,45.045208
Chambres d'hôtes,Non classé,Daleau,5 allée François Daleau,,33710,BOURG,+33 5 57 68 39 73,,Gîtes de France,3 épis (Gîtes de France),,,-0.55753,45.04007
Chambres d'hôtes,Non classé,Le Petit Brésil,26 Le Pain de Sucre,,33710,BOURG,+33 5 57 68 23 42,http://guerin.gite.free.fr,Gîtes de France,3 épis (Gîtes de France),,,-0.585882,45.041348
Chambres d'hôtes,Non classé,Domaine de Londeix,,,33840,CAPTIEUX,+33 5 56 65 68 83,www.londeix.com,Gîtes de France,3 épis (Gîtes de France),Séjour bien-être,,-0.214869,44.28886
Chambres d'hôtes,Non classé,Château de l'Isle,22 rue de l'Isle,,33480,CASTELNAU-DE-MEDOC,+33 5 56 79 70 96,www.chateau-de-lisle.fr,Gîtes de France,4 épis (Gîtes de France),Charme Gîtes de France;Gîtes et Vélo;Gîte au Château;Gîtes et Cheval;Gîtes Bébé,,-0.8071873,45.02349
Chambres d'hôtes,Non classé,Au Clos Magnolia,4 Saupiquet Sud,,33210,CASTILLON-DE-CASTETS,+33 5 56 71 68 82,www.auclosmagnolia.com,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.1039442,44.550545
Chambres d'hôtes,Non classé,Les Hauts de Castillon,Robin,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 20 55,www.hauts-de-castillon.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes de France vignoble;Gîtes Bébé;Gîtes et Vélo,,-0.032371,44.872295
Chambres d'hôtes,Non classé,Le Temps Retrouvé,43 chemin de Gars,,33610,CESTAS,+33 5 56 21 82 45,www.letemps-retrouve.com,Gîtes de France,3 épis (Gîtes de France),,,-0.6975553,44.725098
Chambres d'hôtes,Non classé,Chambres d'hôtes Longet,27 rue du Commerce,,33250,CISSAC-MEDOC,+33 5 56 73 48 70,,Gîtes de France,3 épis (Gîtes de France),,,-0.8318533,45.22638
