NOM_SITE,ADR_L1,ADR_L2,ADR_L3,ADR_L4_NUM,ADR_L4_NUMEXT,ADR_L4_VOIE,ADR_L5,ADR_L6_CP,ADR_L6_COMM,TELEPHONE,FAX,ADRESSE_MAIL,ADRESSE_WEB,CIVILTE_RESPONSABLE,NOM_RESPONSABLE,PRENOM_RESPONSABLE,HEURE_OUVERTURE
MDSI de Bazas,MDSI de Bazas,,,2,,CHEMIN DE MARMANDE,,33430,BAZAS,0556251162,0556250313,cms_bazas@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Langon,MDSI de Langon,,,34,,COURS DU GENERAL LECLERC,,33210,LANGON,0556636220,0556623183,cms_langon@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Villenave d'Ornon,MDSI de Villenave d'Ornon,,,601,B,ROUTE DE TOULOUSE,,33140,VILLENAVE D ORNON,0557961268,0556758313,cms_villenave-ornon@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Bègles,MDSI de Bègles,,,13,,RUE DU MARECHAL JOFFRE,,33130,BEGLES,0556858197,0556495109,cms_begles@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de La Réole,MDSI de La Réole,,,3,,RUE JULES FERRY,,33190,LA REOLE,0556710910,0556710008,cms_la-reole@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Cadillac,MDSI de Cadillac,,,21,,ROUTE DE SAUVETERRE,,33410,CADILLAC,0557981200,0556621108,cms_cadillac@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Créon,MDSI de Créon,,,1,,CHEMIN DE LA DOUVE,,33670,CREON,0557345270,0556233006,cms_creon@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Cenon,MDSI de Cenon,,,2,,RUE PAULINE KERGOMARD,La Marègue,33150,CENON,0557807990,0556409863,cms_cenon@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Floirac,MDSI de Floirac,,,25,,AVENUE DU PRESIDENT FRANCOIS MITTERRAND,,33270,FLOIRAC,0556401350,0556324792,cms_floirac@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Ste Foy la Grande,MDSI de Ste Foy la Grande,,,85,B,RUE WALDECK ROUSSEAU,,33220,STE FOY LA GRANDE,0557419200,0557465500,cms_ste-foy-la-grande@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Libourne,MDSI de Libourne,,,7,,AVENUE FOCH,,33500,LIBOURNE,0557514870,0557518096,cms_libourne@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Coutras,MDSI de Coutras,,,1,,RUE DENIS CORDONNIER,,33230,COUTRAS,0557493232,0557492063,cms_coutras@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Blaye,MDSI de Blaye,,,2,,RUE DE LA LIBERATION,,33390,BLAYE,0557420228,0557423176,cms_blaye@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de St André de Cubzac,MDSI de St André de Cubzac,,,,,RUE SOUCARROS,BP 9,33240,ST ANDRE DE CUBZAC,0557431922,0557433486,cms_st-andre-cubzac@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Lormont,MDSI de Lormont,,,,,ESPLANADE FRANCOIS MITTERAND,,33310,LORMONT,0556060070,0556383488,cms_lormont@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Léognan,MDSI de Léognan,,,15,,COURS GAMBETTA,,33850,LEOGNAN,0557960260,0556647932,cms_leognan@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Talence,MDSI de Talence,,,226,,COURS GAMBETTA,,33400,TALENCE,0556805464,0556043647,cms_talence@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de St Loubès,MDSI de St Loubès,,,,,RUE DU STADE,,33450,ST LOUBES,0556789909,0556789257,cms_st-loubes@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
Service social spéc.d'accompagnement des pers.non domiciliés,Service social spéc.d'accompagnement des pers.non domiciliés,,,6,,RUE DU NOVICIAT,,33000,BORDEAUX,,,,,Madame,ELISSALDE REGEON,Fabienne,
