CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,TEL__INFORMATIONS,SITE_WEB,COMMUNE,CHAINES,LABELS,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
3 étoiles,Privilège Resort L'Estuaire,21 rue Ausone,,33123,+33 5 56 59 37 72,www.privilege-hr.com/portail/?p=boutique&categorie_id=1&id=4,LE VERDON-SUR-MER,,,,-1.0803844,45.546196
Non classé,Résidence Nord du Phare,9 avenue Nord du Phare,Cap Ferret,33970,+33 5 56 60 45 69,www.location-capferret.com,LEGE-CAP FERRET,,,,-1.2491369,44.653877
2 étoiles,Ténéo Apparthotel Bordeaux-Mérignac,1 impasse Rudolf Diesel,,33700,+33 5 67 34 10 89;+33 5 57 10 30 30,www.teneo.fr/concept/2/2/8/teneo-suites-merignac.html,MERIGNAC,,,,-0.6857845,44.83729
3 étoiles,All Suites Appart Hôtel Bordeaux Mérignac,27 allée Félix Nadar,,33700,+33 5 56 18 41 84,www.allsuites-apparthotel.com/Nos-residences/appart-hotel-merignac,MERIGNAC,,,,-0.673414,44.845737
3 étoiles,Appart'City Bordeaux Mérignac,25 avenue Neil Armstrong,,33700,+33 5 57 92 61 77,www.appartcity.com/appart-hotel-bordeaux/accueil-residence.htm?res=7,MERIGNAC,Appart'City,,,-0.690536,44.839417
4 étoiles,Quality Suites Bordeaux Aéroport & Spa,83 avenue J.F. Kennedy,,33700,+33 5 57 53 21 22,www.qualitybordeaux.com,MERIGNAC,,Qualité Tourisme,,-0.671675,44.8345
3 étoiles,Park & Suites Village Saint Jean d¿Illac,1140 avenue de Bordeaux,,33127,+33 5 56 68 86 00,www.parkandsuites.com/fr/appart-hotel-bordeaux.php,SAINT-JEAN-D'ILLAC,,,,-0.752128,44.810852
4 étoiles,Résidence du Château de Salles,25 route du Beguey,,33770,+33 5 56 91 11 11,http://villaparcfrance.com/fr/,SALLES,,,,-0.861097,44.541985
3 étoiles,Résidence Pierre et Vacances Les Dunes du Médoc,67 boulevard Marsan de Montbrun,,33780,+33 5 56 73 89 03,www.pierreetvacances.com,SOULAC-SUR-MER,Pierre et Vacances,,,-1.1324071,45.501205
3 étoiles,Résidence Villa Marine,106 route des lacs,,33780,+33 5 57 14 20 87,http://estivel.com/residences.php?id=191,SOULAC-SUR-MER,,,,-1.1210346,45.491066
Non classé,Le Domaine des Sables,Boulevard Marsan de Montbrun,,33780,+33 5 57 14 20 88;+33 5 57 14 20 87,www.estivel.com,SOULAC-SUR-MER,,,,-1.1230945,45.50027
Non classé,Ô Village Le Cordouan,66 route des Lacs,Les Cousteaux Sud,33780,+33 5 24 57 73 04,www.o-village.fr,SOULAC-SUR-MER,,,,-1.1203908,45.493263
3 étoiles,Ténéo Apparthôtel Talence Arthena,281 cours de la Libération,,33400,+33 5 57 01 10 10,www.teneo.fr,TALENCE,,,,-0.590997,44.812157
