TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE_1,ADRESSE_2,CODE_POSTAL,COMMUNE,TEL__INFORMATION_RESERVATION,SITE_WEB,LABELS_ET_MARQUES,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE,COLUMN13
Terrain de camping classé - tourisme,2 étoiles,Camping Brémontier,Le Grand Crohot Océan,,33950,LEGE-CAP FERRET,+33 5 56 60 03 99,www.campingbremontier.fr,,,-1.2265634,44.7981598,
Terrain de camping classé - tourisme,2 étoiles,Camping La Prairie,93 avenue du Médoc,,33950,LEGE-CAP FERRET,+33 5 56 60 09 75,www.campinglaprairie.com,,,-1.1333084,44.803032,
Terrain de camping classé - tourisme,3 étoiles,Camping Les Embruns,Claouey,Avenue Edouard Branly,33950,LEGE-CAP FERRET,+33 5 56 60 70 76,www.camping-lesembruns.fr,,,-1.189785,44.7521126,
Terrain de camping classé - tourisme,3 étoiles,Camping Le Grand Crohot Océan,Le Grand Crohot,,33950,LEGE-CAP FERRET,+33 5 56 60 09 04,www.fondationmg.fr,,,-1.2265954,44.7977905,
Terrain de camping classé - tourisme,4 étoiles,Camping Airotel Les Viviers,CD 106,Claouey,33950,LEGE-CAP FERRET,+33 5 56 60 70 04;+33 1 76 76 70 10,www.lesviviers.com,La Clef Verte,,-1.1963081,44.7345706,
Terrain de camping classé - tourisme,4 étoiles,Camping du Truc Vert,Route Forestière du Truc Vert,Le Canon,33950,LEGE-CAP FERRET,+33 5 56 60 89 55,www.trucvert.com,,,-1.2423133,44.7156662,
Terrain de camping classé - tourisme,3 étoiles,Camping l'Eau Vive,6 Fond de Bournac,,33230,LES EGLISOTTES-ET-CHALAURES,+33 5 57 41 00 03,www.camping-leau-vive.com,,,-0.0496101,45.0963673,
Camping à la ferme,Terrain déclaré,Camping du Domaine de Chichoye,6 route de Sainte-Croix-du-Mont,,33410,LOUPIAC,+33 5 56 62 01 79,www.bienvenue-a-la-ferme.com/gironde/ferme-camping-du-domaine-de-chichoye-162847,Bienvenue à la Ferme,,-0.2998,44.6237,
Terrain de camping classé - tourisme,Non classé,Camping La Cypréa,Lugos Gare,,33830,LUGOS,+33 5 57 71 93 30,,,,-0.8826,44.4816,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping Les Tilleuls,Les Alberts,,33390,MAZION,+33 5 57 42 18 13,www.chateau-les-alberts.com,,,-0.6177234,45.1677271,
Terrain de camping classé - tourisme,2 étoiles,Camping de Samba,2 route de Samba,Lacanau de Mios,33380,MIOS,+33 5 57 71 18 81,www.campingdesamba.com,,,-0.858991,44.648246,
Terrain de camping classé - tourisme,3 étoiles,Camping municipal de l'Eyre,Allée de la Plage,,33380,MIOS,+33 5 56 26 42 04,www.ville-mios.fr/tourisme-et-loisirs/camping-municipal/,,,-0.941020,44.605736,
Terrain de camping classé - tourisme,Non classé,Camping l'Etoile du Drot,10 lieu-dit Monlot,,33580,MONSEGUR,+33 5 56 61 67 54,http://etoile.du.drot.free.fr,,,0.072890,44.646817,
Parc résidentiel de loisirs,1 étoile,Parc résidentiel de loisirs La Belle Etoile,24 rue de la Gravière,,33990,NAUJAC-SUR-MER,,,,,-1.0214097,45.2581718,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping,35 impasse Roussignan,,33990,NAUJAC-SUR-MER,+33 5 56 73 00 71,,,,-1.022,45.2539,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping Les Ajoncs,15 route des Lacs,,33990,NAUJAC-SUR-MER,,,,,-1.080902,45.245735,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping Les Grands Chênes,Route des Lacs,,33990,NAUJAC-SUR-MER,,,,,-1.080902,45.245735,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping Pey Bruga,Pey Bruga,18 rue de la Bruyère,33990,NAUJAC-SUR-MER,+33 5 56 73 02 20,,,,-1.072136,45.267036,
Terrain de camping classé - loisirs,2 étoiles,Camping du Ranch,Lanbroise,4 rue de la Bache,33990,NAUJAC-SUR-MER,+33 5 56 73 00 63,www.camping-ranch.fr,,,-1.022,45.2539,
Terrain de camping classé - loisirs,2 étoiles,Camping Les Hirondelles,10 rue de la Bache,,33990,NAUJAC-SUR-MER,+33 5 56 73 01 66,,,,-1.057260,45.275957,
Terrain de camping classé - tourisme,1 étoile,Camping municipal Le Pin Sec,60 route du Pin Sec,,33990,NAUJAC-SUR-MER,+33 5 56 73 00 66,www.naujac.com,,,-1.055969,45.210168,
Terrain de camping classé - tourisme,2 étoiles,Camping La Rochade,51 route de la Gare,,33990,NAUJAC-SUR-MER,+33 5 56 73 02 94,www.campinglarochade.com,,,-1.022,45.2539,
Terrain de camping classé - tourisme,4 étoiles,Camping municipal Les Gabarreys,Route de la Rivière,,33250,PAUILLAC,+33 5 56 59 10 03,www.pauillac-medoc.com,Camping Qualité;La Clef Verte;Qualité Tourisme,,-0.7417917,45.1839425,
Terrain de camping classé - tourisme,4 étoiles,Camping Le Pressoir,29 Queyrai,,33570,PETIT-PALAIS-ET-CORNEMPS,+33 5 57 69 73 25,www.campinglepressoir.com,,,-0.0629138,44.9970965,
Terrain de camping classé - tourisme,3 étoiles,Camping de la Dune,Route de Biscarrosse,,33115,PYLA-SUR-MER,+33 5 56 22 72 17,www.campingdeladune.fr,,,-1.2126588,44.5813284,
Terrain de camping classé - tourisme,3 étoiles,FranceLoc Le Petit Nice,Route de Biscarrosse,,33115,PYLA-SUR-MER,+33 5 56 22 74 03,www.petitnice.com,La Clef Verte,,-1.2221431,44.5720966,
Terrain de camping classé - tourisme,3 étoiles,Pyla Camping,Route de Biscarrosse,,33115,PYLA-SUR-MER,+33 5 56 22 74 56,www.pyla-camping.com,,,-1.2133026,44.5776603,
Terrain de camping classé - tourisme,3 étoiles,Village Center Camping La Forêt,Route de Biscarrosse,,33115,PYLA-SUR-MER,+33 5 56 22 73 28,www.village-center.com,La Clef Verte;Camping Qualité,,-1.2086248,44.5847823,
Terrain de camping classé - tourisme,4 étoiles,Camping Panorama,Route de Biscarrosse,,33115,PYLA-SUR-MER,+33 5 56 22 10 44,www.camping-panorama.com,La Clef Verte;Camping Qualité;Qualité Tourisme,,-1.2201046,44.5726621,
Terrain de camping classé - tourisme,3 étoiles,Camping du Vieux Château,6 Blabot,,33420,RAUZAN,+33 5 57 84 15 38,www.camping-levieuxchateau.com,,,-0.128941,44.783551,
Terrain de camping classé - tourisme,Non classé,Camping de Port Neuf,1125 route de Port Neuf,,33240,SAINT-ANDRE-DE-CUBZAC,+33 5 57 43 16 44,http://perso.wanadoo.fr/camping.port.neuf,,,-0.4775190,45.007205,
Parc résidentiel de loisirs,Non classé,Domaine du Moulin des Sandaux,Les Sandaux,,33220,SAINT-ANDRE-ET-APPELLES,+33 5 57 46 17 69,www.moulindessandaux.fr,,,0.210935,44.817427,
Terrain de camping classé - loisirs,1 étoile,Camping de l'Ecluse,1820 route de l¿Ecluse,Lieu-dit Logerie,33660,SAINT-ANTOINE-SUR-L'ISLE,+33 5 57 49 70 01,www.pays-de-coutras.com/stantoine/index.php?idrub=ficheberg&idheb=65,,,0.02231597,45.0173649,
Terrain de camping classé - tourisme,1 étoile,Camping de la Sauzelle,2 bis Francicot,,33820,SAINT-AUBIN-DE-BLAYE,+33 5 57 32 64 73,http://camping.sauzelle.pagesperso-orange.fr/accueil/index.html,,,-0.5627918,45.2597241,
Terrain de camping classé - tourisme,3 étoiles,Camping Le Maine Blanc,Départementale 22,,33920,SAINT-CHRISTOLY-DE-BLAYE,+33 5 57 42 52 81,http://saint-christoly.fr/tourisme/hebergement.html,,,-0.4867967,45.13978,
Terrain de camping classé - tourisme,Non classé,Camping La Forêt,Base nautique et de loisirs,1 lieu-dit "Les Petits Chênes",33230,SAINT-CHRISTOPHE-DE-DOUBLE,+33 5 57 49 50 02,www.saint-christophe-de-double.com,,,0.0152,45.0803,
Terrain de camping classé - tourisme,3 étoiles,Camping de la Bastide,2 Les Tuileries,Pineuilh,33220,SAINTE-FOY-LA-GRANDE,+33 5 57 46 13 84,www.camping-bastide.com,,,0.2183,44.8388,
Terrain de camping classé - tourisme,3 étoiles,Yelloh! Saint-Emilion,Domaine de la Barbanne,2 Les Combes,33330,SAINT-EMILION,+33 5 57 24 75 80,www.camping-saint-emilion.com,,,-0.1427793,44.916012,
Terrain de camping classé - tourisme,Non classé,Camping municipal Bord de Dordogne,,,33350,SAINTE-TERRE,+33 5 57 47 16 23,http://sainteterre.fr,,,-0.1095199,44.8232167,
Terrain de camping classé - tourisme,4 étoiles,Camping Le Paradis,8 Fourthon,Route départementale 1215,33112,SAINT-LAURENT-MEDOC,+33 5 56 59 42 15,www.leparadis-medoc.com,,,-0.8225,45.1484,
Terrain de camping classé - tourisme,Non classé,Camping du Guâ,Le Gât,,33230,SAINT-MEDARD-DE-GUIZIERES,+33 5 57 56 45 45,www.saintmedarddeguizieres.fr,,,-0.0566482,45.0191547,
Terrain de camping classé - tourisme,2 étoiles,Camping Chez Gendron,,,33820,SAINT-PALAIS,+33 5 57 32 96 47,www.chezgendron.com,La Clef Verte,,-0.602912,45.314314,
Terrain de camping classé - tourisme,2 étoiles,Camping Vert Bord'Eau,Route de Sore,,33113,SAINT-SYMPHORIEN,+33 5 56 25 79 54,www.vertbordeau.com,,,-0.4905,44.4275,
Terrain de camping classé - tourisme,Non classé,Camping municipal de Saint-Vivien-de-Médoc,35 rue Ludovic Trarieux,,33590,SAINT-VIVIEN-DE-MEDOC,+33 5 56 09 43 77,www.stviviendemedoc.fr/fr/information/49620/camping-municipal,,,-1.031173,45.433909,
Terrain de camping classé - tourisme,2 étoiles,Camping de Bilos,37 route de Bilos,,33770,SALLES,+33 5 56 88 36 53;+33 5 56 88 45 14,www.lebilos.com,,,-0.895444,44.52358,
Terrain de camping classé - tourisme,3 étoiles,Camping Parc du Val de l'Eyre,8 route du Minoy,,33770,SALLES,+33 5 56 88 47 03,www.camping-parcduvaldeleyre.com,La Clef Verte,,-0.877956,44.541352,
Terrain de camping classé - tourisme,1 étoile,Camping Les Cratères,9005 allée Montaigne,,33780,SOULAC-SUR-MER,+33 5 56 09 76 63,www.soulac.com/camping-les-crat%C3%A8res/,,,-1.1144716,45.4832325,
Terrain de camping classé - tourisme,2 étoiles,Camping municipal Les Oyats,Route départementale 101 bis,L'Amélie,33780,SOULAC-SUR-MER,+33 5 56 09 78 54,www.soulac-campinglesoyats.com,,,-1.139574,45.4835143,
Terrain de camping classé - tourisme,3 étoiles,Camping des Pins,213 Passe de Formose,L'Amélie,33780,SOULAC-SUR-MER,+33 5 56 09 82 52,www.campingdespins.fr,La Clef Verte,,-1.1276865,45.4835744,
Terrain de camping classé - tourisme,3 étoiles,Camping Mussonville,7 route de Bordeaux,,33780,SOULAC-SUR-MER,+33 5 56 09 73 40,www.campingmussonville.com,,,-1.1112928,45.5153089,
Terrain de camping classé - tourisme,3 étoiles,Camping de l'Océan,62 allée de la Négade,L'Amélie,33780,SOULAC-SUR-MER,+33 5 56 09 76 10,http://perso.wanadoo.fr/camping.ocean/,,,-1.1463117,45.4819195,
Terrain de camping classé - tourisme,3 étoiles,Camping Les Genêts,L'Amélie,219 boulevard Guy Albospeyre,33780,SOULAC-SUR-MER,+33 5 56 09 85 79,www.campinglesgenets-soulac.com,,,-1.1266779,45.4860567,
Terrain de camping classé - tourisme,3 étoiles,Camping Les Sables d'Argent "Bord de Mer",Boulevard de l'Amélie,,33780,SOULAC-SUR-MER,+33 5 56 09 82 87,www.sables-d-argent.com,,,-1.1402606,45.4963305,
Terrain de camping classé - tourisme,3 étoiles,Camping Nature et Océan,39-43 boulevard de l'Amélie,,33780,SOULAC-SUR-MER,+33 5 32 09 00 42,www.soulac-camping.fr,,,-1.146148,45.4882412,
Terrain de camping classé - tourisme,4 étoiles,Camping Le Palace,65 boulevard J. Marsan de Montbrun,,33780,SOULAC-SUR-MER,+33 5 56 09 80 22,www.camping-palace.com,,,-1.1266994,45.49985,
Terrain de camping classé - tourisme,4 étoiles,Camping Yelloh! Soulac-sur-Mer,8 allée Michel Montaigne,L'Amélie,33780,SOULAC-SUR-MER,+33 5 56 09 77 63,www.camping-club-soulac.com,,,-1.1176013,45.4859514,
Terrain de camping classé - tourisme,4 étoiles,Sandaya Camping Soulac Plage,Amélie Plage,,33780,SOULAC-SUR-MER,+33 5 56 09 87 27;+33 4 11 32 90 00,www.sandaya.fr,,,-1.1509466,45.4844771,
Terrain de camping classé - tourisme,5 étoiles,Camping Les Lacs,126 route des Lacs,,33780,SOULAC-SUR-MER,+33 5 56 09 76 63,www.camping-les-lacs.com,Camping Qualité;Qualité Tourisme,,-1.1189746,45.4848682,
Terrain de camping classé - tourisme,Non classé,Camping CCAS IEG,89 route des Lacs,,33780,SOULAC-SUR-MER,+33 5 56 09 80 99,http://gds.ccas.fr/index.php?ref=205&template=template_guide.php&gdc_ref=489,,,-1.1207629,45.4956044,
Terrain de camping classé - tourisme,Non classé,Camping EPAF Villa Formose,Boulevard Guy Albospeyre,L'Amélie,33780,SOULAC-SUR-MER,+33 5 56 09 80 79,www.epaf.asso.fr/vf/fiche_residence.php?id=20100723113647,,,,,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping La Rivière,310 Passe Castillonaise,,33590,TALAIS,,www.camping-lariviere.fr,,,-1.049866,45.477847,
Terrain de camping classé - saisonnier,Non classé,Camping municipal de Teuillac,Le Bourg,,33710,TEUILLAC,+33 5 57 64 34 55,www.teuillac.a3w.fr,,,-0.5462265,45.0963067,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping La Pignade,77 Lamodeneuve Nord,,33930,VENDAYS-MONTALIVET,+33 5 56 41 71 81,,,,-1.0604,45.3552,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping l'Alouette,5 route de Gueyt,,33930,VENDAYS-MONTALIVET,+33 5 56 41 73 34,http://aire-naturelle-alouette.fr.gd/,,,-1.0604,45.3552,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping Laouba,Toupet,2 chemin Laouba,33930,VENDAYS-MONTALIVET,+33 5 56 41 73 06,www.vacancesmontalivet.com/aire-naturelle-camping.html,,,-1.0604,45.3552,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping Le Bonheur est dans le Pré,Lieu-dit 177 Lamodeneuve Sud,,33930,VENDAYS-MONTALIVET,+33 5 56 41 03 39;+33 5 56 34 12 26,http://sites.google.com/site/campinglebonheurestdanslepre/,,,-1.0604,45.3552,
Terrain de camping classé - loisirs,3 étoiles,NaturissimO CHM de Montalivet,46 avenue de l'Europe,,33930,VENDAYS-MONTALIVET,+33 5 56 73 73 73,www.chm-montalivet.com,,,-1.144098,45.374958,
Terrain de camping classé - tourisme,2 étoiles,Camping Le Mérin,7 route du Mérin,,33930,VENDAYS-MONTALIVET,+33 5 56 41 78 64,www.campinglemerin.com,,,-1.096927,45.337846,
Terrain de camping classé - tourisme,2 étoiles,Camping Le Soleil d'Or,Front de mer,,33930,VENDAYS-MONTALIVET,+33 5 56 09 31 37,www.campinglesoleildor.com,,,-1.0604,45.3552,
Terrain de camping classé - tourisme,3 étoiles,Camping Les Peupliers,17 route de Sarnac,,33930,VENDAYS-MONTALIVET,+33 5 56 41 70 44,www.camping-montalivet-lespeupliers.com,,,-1.058553,45.350918,
Terrain de camping classé - tourisme,3 étoiles,Camping La Chesnays,8 route de Mayan,,33930,VENDAYS-MONTALIVET,+33 5 56 41 72 74,www.camping-montalivet.com,,,-1.065857,45.359677,
Terrain de camping classé - tourisme,4 étoiles,Camping Campéole Montalivet,Avenue de l'Europe,,33930,VENDAYS-MONTALIVET,+33 5 56 09 33 45,www.campeole.com,,,-1.144098,45.374958,
Terrain de camping classé - tourisme,5 étoiles,Camping Atlantic Club Montalivet,La Rège,,33930,VENDAYS-MONTALIVET,+33 5 56 09 14 14;+33 8 25 00 20 30,http://campings.village-center.fr/aquitaine/camping-atlantic-club-montalivet.php,,,-1.1500125,45.3490746,
Terrain de camping classé - tourisme,Non classé,Camping Club de France,3 route de Mayan,,33930,VENDAYS-MONTALIVET,+33 5 56 41 76 51;+33 5 56 40 27 96,http://campingmayan.wifeo.comwww.campingclub.asso.fr,,,-1.068803,45.357653,
Terrain de camping classé - loisirs,2 étoiles,Camping municipal du Vieux Moulin,15 route du Moulin,,33590,VENSAC,+33 5 56 09 45 98,www.campingduvieuxmoulin.frwww.vensac-medoc.com,,,-1.075293,45.431424,
Terrain de camping classé - tourisme,2 étoiles,Camping Le Tastesoule,2 route des Grigots,,33590,VENSAC,+33 5 56 09 54 50,www.campingtastesoule.com,,,-1.092162,45.42794,
Terrain de camping classé - tourisme,4 étoiles,Camping Les Acacias,44 route de Saint-Vivien,,33590,VENSAC,+33 5 56 09 58 81,www.les-acacias-du-medoc.fr,,,-1.031133,45.383748,
Terrain de camping classé - tourisme,Non classé,Camping du Ciron,Route d'Arcachon,,33730,VILLANDRAUT,+33 5 56 25 53 71,www.campingduciron-fr.com,,,-0.3712,44.457,
Camping à la ferme,Terrain déclaré,Camping de Camelot,40 route de Camelot,,33141,VILLEGOUGE,+33 5 57 84 43 08,www.camelot-villegouge.fr,Bienvenue à la Ferme,,-0.310475,44.961238,
Terrain de camping classé - loisirs,2 étoiles,Camping Le Paradis,8 champ des Ardouins,Port du Mas,33230,ABZAC,+33 5 57 49 05 10,www.camping-residentiel-le-paradis.fr,,,-0.1061034,45.0130198,
Terrain de camping classé - loisirs,2 étoiles,Camping Les Arbousiers,134 avenue de Bordeaux,,33510,ANDERNOS-LES-BAINS,+33 5 56 82 12 46,www.camping-les-arbousiers.fr,,,-1.072426,44.758052,
Terrain de camping classé - loisirs,3 étoiles,Camping Pleine Forêt,Avenue de Bordeaux,,33510,ANDERNOS-LES-BAINS,+33 5 56 82 17 18,www.campingpleineforet.comwww.pleineforet.com,,,-1.0724544,44.7580263,
Terrain de camping classé - tourisme,3 étoiles,Camping Fontaine Vieille,4 boulevard du Colonel Wurtz,,33510,ANDERNOS-LES-BAINS,+33 5 56 82 01 67,www.fontaine-vieille.comwww.fontaine-vieille.com/camping-gironde-news.html,Camping Qualité;Qualité Tourisme,,-1.0873031,44.7262473,
Terrain de camping classé - tourisme,4 étoiles,Camping Club d'Arcachon,5 allée de la Galaxie,Les Abatilles,33120,ARCACHON,+33 5 56 83 24 15,www.camping-arcachon.com,Camping Qualité,,-1.175709,44.651701,
Terrain de camping classé - loisirs,2 étoiles,Camping Le Pot de Résine,29 allée de Saint-Brice,,33740,ARES,+33 5 56 60 25 31,http://campinglepotderesine.wifeo.com/,,,-1.1299824,44.7573239,
Terrain de camping classé - tourisme,3 étoiles,Camping Les Ecureuils,79 avenue de la Libération,,33740,ARES,+33 5 56 26 09 47,www.les-ecureuils.com,Famille Plus,,-1.1252725,44.7605312,
Terrain de camping classé - tourisme,3 étoiles,Camping Les Abberts,17 rue des Abberts,,33740,ARES,+33 5 56 60 26 80,www.lesabberts.com,Famille Plus,,-1.1428356,44.7707461,
Terrain de camping classé - tourisme,3 étoiles,Camping Les Goélands,64 avenue de la Libération,,33740,ARES,+33 5 56 82 55 64,www.goelands.com,Famille Plus,,-1.1186420,44.7574534,
Terrain de camping classé - tourisme,3 étoiles,Camping Pasteur Vacances,1 rue du Pilote,,33740,ARES,+33 5 56 60 33 33,www.atlantic-vacances.com,Famille Plus;Accueil Vélo;Vélodyssée,,-1.1369347,44.7619938,
Terrain de camping classé - tourisme,4 étoiles,Camping La Cigale,Route de Lège,,33740,ARES,+33 5 56 60 22 59,www.camping-lacigale-ares.com,Famille Plus,,-1.1414837,44.7730235,
Terrain de camping classé - tourisme,4 étoiles,Camping La Canadienne,82 rue du Général de Gaulle,,33740,ARES,+33 5 56 60 24 91,www.lacanadienne.com,Camping Qualité;Famille Plus;Accueil Vélo;Vélodyssée,,-1.1425566,44.7776845,
Terrain de camping classé - tourisme,Non classé,Camping CCAS La Lagune,1 avenue du Goéland,,33740,ARES,+33 5 56 60 21 06,http://gds.ccas.fr/index.php?ref=205&template=template_guide.php&gdc_ref=19,,,-1.1444446,44.7621686,
Terrain de camping classé - tourisme,Non classé,Camping Les Mouettes,,,33740,ARES,,,,,-1.1401104,44.7603179,
Terrain de camping classé - tourisme,3 étoiles,Camping Le Braou,26 rue de Bordeaux,,33980,AUDENGE,+33 5 56 26 90 03,www.camping-audenge.com,,,-0.997489,44.689199,
Terrain de camping classé - tourisme,3 étoiles,Camping Le Chêne du Lac,,,33230,BAYAS,+33 5 57 69 13 78,www.camping-lechenedulac.com,,,-0.2061223,45.0791573,
Terrain de camping classé - tourisme,4 étoiles,Le Paradis de Bazas,Route de Casteljaloux,,33430,BAZAS,+33 5 56 65 13 17,www.franceloc.fr,,,-0.1994705,44.4251528,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping Houtlust,1 route de La Lande,,33340,BEGADAN,+33 5 56 41 50 23,,,,-0.887078,45.393692,
Terrain de camping classé - aire naturelle,Non classé,Aire de camping de Bernet,80 route de Bayonne,,33830,BELIN-BELIET,+33 5 56 88 00 06,www.belin-beliet.fr,,,-0.7922472,44.4872584,
Terrain de camping classé - tourisme,4 étoiles,Camping Le Marache Vacances,25 rue Gambetta,,33380,BIGANOS,+33 5 57 70 61 19,www.marachevacances.com,,,-0.975818,44.650061,
Terrain de camping classé - tourisme,Non classé,Camping de Blasimon,Domaine Départemental,de Sports et de Loisirs,33540,BLASIMON,+33 5 56 71 59 62,www.cg33.fr/jcms/c_5113/le-domaine-de-blasimon,,,-0.0868606,44.7541697,
