NOM,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,MODE_DE_GESTION,TEL__INFORMATIONS,SITE_WEB,LONGITUDE,LATITUDE
Aire de camping-cars de Frontenac,,,33760,FRONTENAC,Public,+33 5 56 23 96 38,www.targon-tourisme.com,-0.1629924,44.736828
Aire de stationnement de Générac,Parking de l'église,,33920,GENERAC,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.5483,45.1804
Aire de services du Gurp,Le Gurp,,33590,GRAYAN-ET-L'HOPITAL,Public,+33 5 56 59 54 93;+33 5 56 59 54 93,www.grayan.fr/tourisme-loisirs/hébergements,-1.1442947,45.432972
Aire de camping-cars d'Hourtin-Port,108 avenue du Lac,,33990,HOURTIN PORT,Public,+33 5 56 09 69 60,www.medococean.com,-1.0819709,45.180397
Aire de camping-cars des Justices,Avenue Gabriel Chaigne,,33190,LA REOLE,Public,+33 5 56 61 13 55;+33 5 56 61 10 11,www.entredeuxmers.com,-0.0305342,44.58087
Aire de camping-cars du Huga,Rue des Sauviels,,33680,LACANAU OCEAN,Public,+33 5 56 03 83 03;+33 5 56 03 21 22,www.mairie-lacanau.fr,-1.1662244,45.007034
Aire de stationnement de Taussat,Rue Albert Pitres,,33980,LANTON,Public,+33 5 57 70 26 55,www.tourisme-coeurdubassin.com,-1.070137,44.71652
Aire de stationnement de Laruscade,Lac des Vergnes,,33620,LARUSCADE,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.34446,45.106834
Aire de camping-cars du Verdon,Allée des Baïnes,,33123,LE VERDON-SUR-MER,Public,+33 5 56 09 60 19,www.ville-verdon.org,-1.057975,45.54402
Aire de services de Claouey,Route des Pastourelles,,33950,LEGE-CAP FERRET,Public,+33 5 56 60 70 61,www.lege-capferret.com,-1.1801719,44.751274
Aire de stationnement de Claouey,Avenue Edouard Branly,,33950,LEGE-CAP FERRET,Public,+33 5 56 03 94 49,www.lege-capferret.com,-1.1885404,44.751823
Aire de stationnement de Claouey,Route des Pastourelles,,33950,LEGE-CAP FERRET,Public,+33 5 56 03 94 49,www.lege-capferret.com,-1.1885404,44.751823
Aire de stationnement de L'Herbe,Route départementale 106,,33950,LEGE-CAP FERRET,Public,+33 5 56 03 94 49,www.lege-capferret.com,-1.2455105,44.686123
Aire de stationnement de Marcenais,Parking derrière la salle des fêtes,,33620,MARCENAIS,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.3388166,45.057995
Aire de stationnement de Marsas,Rue Chaignaud,,33620,MARSAS,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.383985,45.067444
Aire de camping-cars de Monségur,Place du 8 Mai 1945,,33580,MONSEGUR,Public,+33 5 56 61 89 40;+33 5 56 61 60 12,www.entredeuxmers.com,0.08025169,44.650017
Aire de camping-cars de Pellegrue,Route de Castillon,,33790,PELLEGRUE,Public,+33 5 56 61 37 80;+33 5 56 61 30 21,www.entredeuxmers.com,0.07207632,44.745514
Aire de camping-cars de Pomerol,13 rue Tropchaud,,33500,POMEROL,Public,+33 5 57 51 12 94,,-0.2008438,44.929897
Aire de camping-cars de Saint-Caprais-de-Blaye,9 lieu dit Ferchaud,route départementale 137,33820,SAINT-CAPRAIS-DE-BLAYE,Public,+33 5 57 32 76 86,www.ot-estuaire.fr,-0.5695295,45.291374
Aire de services de Saint-Christoly-de-Blaye,Face à la mairie,,33920,SAINT-CHRISTOLY-DE-BLAYE,Public,+33 5 57 42 50 40,http://saint-christoly.fr,-0.5075865,45.130127
Aire de stationnement de Saint-Christoly-de-Blaye,Lacs du Moulin Blanc,,33920,SAINT-CHRISTOLY-DE-BLAYE,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.4758453,45.15243
Aire de camping-cars de Port Sainte-Foy,Place de l'Eglise,Port Sainte-Foy,33220,SAINTE-FOY-LA-GRANDE,Public,+33 5 53 22 24 10,www.port-sainte-foy.info/situation-acces/aires-de-camping-car,0.234322,44.82576
Aire de camping-cars de Saint-Estèphe,Boulevard Maritime,,33180,SAINT-ESTEPHE,Public,+33 5 56 59 35 93,www.mairie-saint-estephe.fr,-0.7583141,45.264317
Aire de stationnement de Saint-Girons-d'Aiguevives,Parking face à l'église,,33620,SAINT-GIRONS-D'AIGUEVIVES,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.5429434,45.14007
Aire de stationnement de Saint-Mariens,Aire des Lagunes,,33620,SAINT-MARIENS,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.399,45.1152
Aire de camping-cars de Saint-Médard-de-Guizières,Place du 14 juillet,,33230,SAINT-MEDARD-DE-GUIZIERES,Public,+33 5 57 56 45 45,www.pays-de-coutras.com/ot.php,-0.056805,45.014805
Aire de camping-cars de Saint-Paul,Le bourg est,,33390,SAINT-PAUL,Public,+33 5 57 42 08 01,www.mairie-st-paul.com,-0.60503,45.148197
Aire de services de Saint-Savin,Rue des vignes,,33920,SAINT-SAVIN,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.4419368,45.139812
Aire de stationnement de Saint-Savin,Rue Jacques Vergeron,,33920,SAINT-SAVIN,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.4469633,45.138187
Aire de stationnement de Saint-Vivien-de-Blaye,Eglise,,33920,SAINT-VIVIEN-DE-BLAYE,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.5161,45.099
Aire de stationnement de Saugon,Parking de la mairie,,33920,SAUGON,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.5043303,45.177876
Aire de stationnement de Sauternes,,,33210,SAUTERNES,Public,+33 5 56 76 61 12;+33 5 56 63 68 00,www.sauternes.com,-0.343051,44.53458
Aire de camping-cars de Sauveterre-de-Guyenne,18 Bourrassat,,33540,SAUVETERRE-DE-GUYENNE,Public,+33 5 56 71 50 43;+33 5 56 71 53 45,www.entredeuxmers.com,-0.0884914,44.694042
Aire de camping-cars de Soulac-sur-Mer,31 boulevard de l'Amélie,,33780,SOULAC-SUR-MER,Public,+33 5 56 09 86 61,www.soulac.com,-1.1358357,45.501064
Aire de stationnement La Forêt - Vendays,Avenue de l'Europe,,33930,VENDAYS-MONTALIVET,Public,+33 5 56 73 32 02;+33 5 56 09 30 12,www.ot-vendays-montalivet.fr,-1.1441459,45.374256
Aire de stationnement plage sud - Montalivet,Boulevard du Front de Mer,,33930,VENDAYS-MONTALIVET,Public,+33 5 56 73 32 02,www.ot-vendays-montalivet.fr,-1.1579334,45.37813
