CD_DEPOT,LB_DEPOT,TYPE_DEPOT,LB_TYPE_DEPOT,COORD_TEL,COORD_FAX,COORD_MAIL,COORD_SITEWEB,ADR_L1,ADR_L2,ADR_L3,ADR_L4_NUM,ADR_L4_NUMEXT,ADR_L4_VOIE,ADR_L5,ADR_L6_CP,ADR_L6_COMM,INSEE_COMMUNE,CD_CANTON,RESPONSABLE,FL_DESSERVI,FL_INTERNET,NB_POSTEINT,NB_POSTEPUB,NB_MULT,ACCESS_HANDICAPES,H_DEB_MATIN_LUNDI,H_FIN_MATIN_LUNDI,H_DEB_APRM_LUNDI,H_FIN_APRM_LUNDI,H_DEB_MATIN_MARDI,H_FIN_MATIN_MARDI,H_DEB_APRM_MARDI,H_FIN_APRM_MARDI,H_DEB_MATIN_MERCREDI,H_FIN_MATIN_MERCREDI,H_DEB_APRM_MERCREDI,H_FIN_APRM_MERCREDI,H_DEB_MATIN_JEUDI,H_FIN_MATIN_JEUDI,H_DEB_APRM_JEUDI,H_FIN_APRM_JEUDI,H_DEB_MATIN_VENDREDI,H_FIN_MATIN_VENDREDI,H_DEB_APRM_VENDREDI,H_FIN_APRM_VENDREDI,H_DEB_MATIN_SAMEDI,H_FIN_MATIN_SAMEDI,H_DEB_APRM_SAMEDI,H_FIN_APRM_SAMEDI,H_DEB_MATIN_DIMANCHE,H_FIN_MATIN_DIMANCHE,H_DEB_APRM_DIMANCHE,H_FIN_APRM_DIMANCHE
1676,Lège-Cap-Ferret,6,,0556608178,0556036956,mediatheque@legecapferret.fr,http://bmlegecapferret.dnsalias.net/,BDP Lège-Cap-Ferret,,,1,B,AVENUE DES ÉCOLES PETIT PIQUEY,,33950,LÈGE CAP FERRET,33236,2,,Oui,1,6,,0,Accès aux personnes à mobilité réduite,,,,,10h00, 13h00, 15h00, 18h00,10h00, 13h00, 13h00, 18h00,10h00, 13h00,,,10h00, 13h00, 15h00, 18h00,10h00, 13h00, 13h00, 17h00,,,,
1776,Pondaurat,25,,0556610738,0556710871,mairie.pondaurat@wanadoo.fr,,BDP Pondaurat,,MAIRIE,,B,,,33190,PONDAURAT,33331,3,BENTEJAC Jacqueline,Oui,0,0,,0,,,,,,,, 17h00, 18h00,,,,,,,,,,,,,,,,,,,,
1154,Aillas,20,,0556653172,0556653333,titi.aillas@wanadoo.fr,,BDP Aillas,,MAIRIE,,B,,,33124,AILLAS,33002,3,GOURGUE Laetitia,Oui,0,0,,0,,,, 16h00, 17h30,,,,,,,,,,,,,,, 14h30, 17h00,,,,,,,,
1661,Loupiac-de-la-Réole,25,,0556610816,0556712322,mairie-de-loupiac-de-la-reole@wanadoo.fr,,BDP Loupiac-de-la-Réole,,,,,ECOLE PUBLIQUE,,33190,LOUPIAC DE LA RÉOLE,33254,38,,Oui,0,0,,0,,,,,,,, 14h00, 17h00,,,,,,,,,,,,,09h00, 12h00,,,,,,
1748,Soussans,21,,0557883304,0557883708,mairie.soussans33@wanadoo.fr,,BDP Soussans,,,,,ROUTE DE PAUILLAC,,33460,SOUSSANS,33517,20,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10214,Lacanau,0,,,,,,BDP Lacanau,,,,,,,,,33214,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,Guîtres,9,,0557691562,0557561940,bibliotheque.guitres@orange.fr,,BDP Guîtres,,,2,,RUE DU COLOMBIER,,33230,GUÎTRES,33198,26,,Oui,0,0,,0,Accés aux personnes à mobilité réduite,,, 14h00, 17h00,,,,,10h00, 12h00, 14h00, 17h00,,,,,,,,,,, 14h00, 17h00,,,,
1694,Saint-Ciers-de-Canesse,14,,0557649140,0557649417,mairie-de-st-ciers-de-canesse@wanadoo.fr,,BDP Saint-Ciers-de-Canesse,,MAIRIE,,B,,,33710,SAINT CIERS DE CANESSE,33388,15,SEGUE Florence,Oui,0,0,,2,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,, 16h00, 18h00,,,,,,,,
1180,Préchac,21,,0556652017,0556652687,mairie-prechac33@prechac33.fr,,BDP Préchac,,MAIRIE,,B,,,33730,PRÉCHAC,33336,50,DITTLO Yvonne,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,, 14h00, 17h00,10h00, 12h00,,,,,,
1532,Montagne,27,,0557552100,0557552101,accueil.courrier@mairie-montagne.com,,BDP Montagne,,MAIRIE,,B,,,33570,MONTAGNE,33290,31,ALPHONSE Evelyne,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,Saint-Sauveur,0,,0556595713,,,,BDP Saint-Sauveur,,,,,PLACE DU 19 MARS 1962,,33250,SAINT SAUVEUR MÉDOC,,,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,Saint-Laurent-Médoc,16,,0556594096,0556733271,bibliotheque.slm@wanadoo.fr,,BDP Saint-Laurent-Médoc,,,7,,RUE DU GÉNÉRAL DE GAULLE,,33112,SAINT LAURENT MÉDOC,33424,42,,Oui,1,2,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Arcachon,32,,0556225847,0557527099,bibliotheque@ville-arcachon.fr,http://www.arcachon.fr/,BDP Arcachon,,,51,,COURS TARTAS,,33120,ARCACHON,33009,1,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,Gours,25,,0557497440,0557497326,mairiedegours@wanadoo.fr,,BDP Gours,,MAIRIE,14,,LE BOURG,,33660,GOURS,33191,31,CHAUSSADAS Jocelyne,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,Hure,25,,0556610613,0556612480,mairie.hure@wanadoo.fr,,BDP Hure,,MAIRIE,,B,,,33190,HURE,33204,38,VIGNAU Isabelle,Non,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Lanton,5,,0556038610,,s.tillier@ville-lanton.fr,,BDP Lanton,,,15,,AVENUE DE LA LIBÉRATION,,33138,LANTON,33229,2,,Oui,0,1,,0,Accès aux personnes à mobilité réduite,,,,,,, 15h00, 18h00,,, 10h00, 18h00,,,,,,, 10h00, 18h00,,, 10h00, 13h00,,,,
1522,Morizès,26,,0556714080,0556714080,morizes2@wanadoo.fr,,BDP Morizès,,MAIRIE,,B,,,33190,MORIZÈS,33294,38,Chovin Michèle,Oui,0,0,,0,,,, 16h00, 17h00,,,,,,,,,,,,,,,,,,, 14h00, 16h00,,,,
1698,Samonac,25,,0557684351,0557683839,mairie.samonac@wanadoo.fr,,BDP Samonac,,MAIRIE,,B,,,33710,SAMONAC,33500,15,AUDOUIN Jean-Paul,Non,0,0,,0,Accès aux personnes à mobilité réduite,,, 14h00, 17h00,,, 14h00, 17h00,,,,,,, 14h00, 17h00,,, 14h00, 17h00,09h00, 12h00,,,,,,
2089,Saint-Julien-Beychevelle,0,,,,,,BDP Saint-Julien-Beychevelle,,,,,,,,,,,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,Sainte-Eulalie,11,,0556383521,,bibliotheque@mairie-ste-eulalie.fr,,BDP Sainte-Eulalie,,,,,PLACE FRANZ LISZT,,33560,SAINTE EULALIE,33397,19,,Oui,1,3,,0,,,,,,,, 14h00, 18h00,10h00, 12h00, 14h00, 18h30,,, 14h00, 18h00,,, 14h00, 18h00,10h00, 13h00,,,,,,
2006,Mérignac,32,,0557000239,,mediatheque@merignac.com,,BDP Mérignac,,,,,PLACE CHARLES DE GAULLE,,33700,MÉRIGNAC,33281,98,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Blanquefort,32,,0556574840,0556574846,mediatheque@ville-blanquefort.fr,http://mediatheque.ville-blanquefort.fr/,BDP Blanquefort,,,4,,RUE DU DOCTEUR CASTÉRA,,33290,BLANQUEFORT,33056,6,,Non,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Saint Aubin de Médoc,32,,0556702483,,mediatheque.saint-aubin@wanadoo.fr,,BDP Saint Aubin de Médoc,,,10,B,ROUTE DE GERMIGNAN,,33160,SAINT AUBIN DE MÉDOC,33376,63,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,Vayres,22,,0557551930,0557552556,bibliotheque@wanadoo.fr,http://bibliotheque-vayres.over-blog.com,BDP Vayres,,,44,,AVENUE DE LIBOURNE,,33870,VAYRES,33539,30,,Oui,1,1,,0,,,,,,,,,,09h00, 12h30, 14h00, 18h00,,,,,,, 16h00, 19h00,09h00, 12h30,,,,,,
2008,Gradignan,32,,0557121890,0557121891,mediatheque@ville-gradignan.fr,http://www.lamediathequedegradignan.fr/,BDP Gradignan,,,32,,ROUTE DE LÉOGNAN,,33170,GRADIGNAN,33192,59,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,Mazères,20,,0556761406,0556761406,bibliotheque-mazeres@cc-paysdelangon.fr,http://www.bibliotheques-paysdelangon.net,BDP Mazères,,,,,LE BOURG,,33210,MAZÈRES,33279,28,,Oui,1,0,,0,,,,,,,,,,,,,,,,,,,,,,10h00, 11h30,,,,,,
1764,Lugon-et-l'Ile-du-Carnay,9,,0557843332,0516440453,bibliothequedelugon33@wanadoo.fr,,BDP Lugon-et-l'Ile-du-Carnay,,,5,,PLACE JEAN MOULIN,,33240,LUGON ET L ILE DU CARNEY,33259,24,,Oui,1,1,,0,,09h00, 12h00, 14h00, 18h00,,, 14h00, 18h00,, 00h10, 14h00, 18h00,,, 14h00, 18h00,09h00, 12h00, 14h00, 18h00,,,,,,,,
1012,Saint-Magne,20,,0556885109,0556885403,,,BDP Saint-Magne,,MAIRIE,,B,,,33125,SAINT MAGNE,33436,5,DE ROBERT Nicole,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,Fargues-Saint-Hilaire,10,,0556685376,0556683362,bibli-fargues-st-hilaire@wanadoo.fr,,BDP Fargues-Saint-Hilaire,,,61,,AVENUE DE L'ENTRE DEUX MERS,,33370,FARGUES SAINT HILAIRE,33165,23,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,,,,,, 16h00, 18h00,10h00, 12h00, 14h00, 17h00,,, 16h00, 18h00,,, 16h00, 17h00,10h00, 12h00,,,,,,
1726,Léognan,12,,0557960133,0557960131,bibliotheque@mairie-leognan.fr,http://www.bibliothequemunicipale-leognan.fr,BDP Léognan,,,,,RUE DU 19 MARS 1962,,33850,LÉOGNAN,33238,27,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,,,,,, 16h00, 18h00,10h30, 12h30, 15h00, 19h00,,, 16h00, 18h00,,, 16h00, 19h00,10h30, 12h30, 15h00, 18h00,,,,
1743,Izon,16,,0557554968,0557554969,bibliotheque.izon@orange.fr,,BDP Izon,,,219,,AVENUE DU GÉNÉRAL DE GAULLE,,33450,IZON,33207,30,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,,,,,, 16h00, 17h30,10h00, 12h00, 14h00, 17h00,10h30, 11h30,,,,, 16h00, 17h30,10h00, 12h00,,,,,,
1729,Hostens,21,,0556887490,0556885794,mairie@hostens.fr,,BDP Hostens,,,1,,ROUTE DE MONT DE MARSAN,,33125,HOSTENS,33202,45,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,10h00, 12h00,,,,,,,,, 16h00, 18h00,,,,,,,,,,, 15h00, 17h00,,,,
1101,Mombrier,19,,0557643936,0557642020,bibliothequemombrier@laposte.fr,,BDP Mombrier,,MAIRIE,4,,LE BOURG,,33710,MOMBRIER,,15,Landreau Noëlle,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,Langoiran,10,,0556676685,0556676685,bibliotheque@langoiran.fr,http://bibliothequelang.canalblog.com/,BDP Langoiran,,,3,,AV DU GÉNÉRAL DE GAULLE,,33550,LANGOIRAN,33226,17,,Oui,1,1,,1,,,,,,,, 15h00, 18h00,,, 15h00, 18h00,09h30, 12h00, 15h00, 18h00,,, 15h00, 18h00,,,,,,,,
1162,Caudrot,20,,0556628123,0556627122,mairiecaudrot@orange.fr,,BDP Caudrot,,,,,CENTRE SOCIO-CULTUREL,,33490,CAUDROT,33111,43,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 15h00, 17h30,,, 15h00, 16h30,,,,,,, 14h00, 15h30,,,,
2025,Saint-Pierre-d'Aurillac,21,,0556639721,,lapetitemediathequedestpierre@gmail.com,http://www.coupsdecoeurstpierre.fr/,BDP Saint-Pierre-d'Aurillac,,,4,,RUE DES COOPÉRATIVES,,33490,SAINT PIERRE D AURILLAC,33463,43,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,Les Billaux,14,,0557512876,0557514679,mairie.lesbillaux@wanadoo.fr,,BDP Les Billaux,,,2,,RUE DU BOCAGE,,33500,LES BILLAUX,33052,30,,Oui,0,0,,0,Accès au personnes à mobilité réduite,,,,,,,,,10h00, 12h00, 17h00, 19h00,,, 14h00, 16h00,,,,,10h30, 12h30,,,,,,
1655,Pauillac,11,,0556590220,,bibliotheque.pauillac@wanadoo.fr,,BDP Pauillac,,,13,,RUE ARISTIDE BRIAND,,33250,PAUILLAC,33314,33,,Oui,1,1,,0,,,,,,,, 15h00, 18h00,10h00, 18h00,,,10h00, 12h00,,,,, 15h00, 18h00,10h00, 15h00,,,,,,
1794,Saint-Vincent-de-Paul,27,,0556775660,0556388556,mairie.svp33@wanadoo.fr,,BDP Saint-Vincent-de-Paul,,,,,AVENUE GUSTAVE EIFFEL,,33440,SAINT VINCENT DE PAUL,33487,19,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,, 15h00, 17h00,,,,,,,,
1523,Le Fieu,25,,0557696438,0557697208,mairie.lefieu@wanadoo.fr,,BDP Le Fieu,,MAIRIE,,B,,,33230,LE FIEU,33166,22,BENECH Mariette,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,Castelnau-de-Médoc,16,,0556582389,,contact@mairie-castelnau-medoc.fr,,BDP Castelnau-de-Médoc,,,34,,RUE VICTOR HUGO,,33480,CASTELNAU DE MÉDOC,33104,20,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,09h00, 11h30,,,,, 14h00, 19h00,,,,,,, 16h30, 19h00,,,,,,,,
1025,Marcheprime,16,,0557718021,0557711906,bibliotheque@ville-marcheprime.fr,,BDP Marcheprime,,,4,,AVENUE DE LA RÉPUBLIQUE,,33380,MARCHEPRIME,33555,2,,Oui,1,0,,0,Accès aux personnes à mobilité réduite,,, 16h00, 18h00,,,,,09h30, 12h30, 13h00, 18h00,,,,,,,,,09h30, 12h30, 13h00, 18h00,,,,
2027,Nérigean,20,,,,bibliothequenerigean@gmail.com,,BDP Nérigean,,MAIRIE,14,,LE BOURG,,33750,NERIGEAN,,,Dubernet Francis,Oui,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Toulenne,16,,0556635670,,bibliotheque-toulenne@cc-paysdelangon.fr,http://www.bibliotheques-paysdelangon.net,BDP Toulenne,,,30,,RUE DE VINCENNES,,33210,TOULENNE,33533,28,,Oui,1,5,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 14h00, 19h00,,,,,,, 15h00, 17h30,,, 14h00, 16h30,,,,
1549,Lagorce,21,,0557560530,0557560531,mairie.de.lagorce@wanadoo.fr,,BDP Lagorce,,MAIRIE,11,,LIEU DIT MONTIGAUD,,33230,LAGORCE,33218,26,LAVIDALIE Véronique,Oui,0,0,,0,,,, 14h00, 18h00,,, 14h00, 18h00,,, 14h00, 18h00,,, 14h00, 18h00,,, 14h00, 18h00,,,,,,,,
1998,Martignas-sur-Jalle,18,,0557979123,0557979120,bibliotheque@ville-martignas.fr,,BDP Martignas-sur-Jalle,,,1,,AVENUE DE LA RÉPUBLIQUE,,33127,MARTIGNAS SUR JALLE,33273,98,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,,,,,, 13h00, 14h30,,, 14h00, 18h00,,, 15h30, 18h00,,, 15h30, 18h00,10h00, 12h30,,,,,,
1671,Saint-Médard-d'Eyrans,22,,0556726434,0556726924,bibliotheque@saint-medard-deyrans.fr,http://biblistmed.pem-aquitaine.org,BDP Saint-Médard-d'Eyrans,,,9,,AVENUE DU 8 MAI,,33650,SAINT MÉDARD D EYRANS,33448,27,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 15h30, 17h30,,,,,,,,,10h00, 12h00,,,,,,
1491,St Michel Rieufret,26,,0556625225,0556624867,marion.roche@cc-podensac.fr,,BDP St Michel Rieufret,,CDC PODENSAC-PRIMEVER ,12,,RUE DU MARÉCHAL LECLERC DE HAUTECLOCQUE,,33720,PODENSAC,33452,36,SEGUIN Rolande,Oui,0,0,,0,,,,,,,,,,,, 14h00, 18h00,,,,,,,,,,,,,,,,
1734,Galgon,16,,0557550410,0557550419,mairie-de-galgon.bibliotheque@wanadoo.fr,,BDP Galgon,,,,,ESPLANADE FRANÇOIS MITTERRAND,,33133,GALGON,33179,24,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,, 16h30, 18h30,,,,,10h30, 12h00, 16h30, 18h30,,,,,,, 16h30, 18h30,10h00, 12h00,,,,,,
1766,Saumos,19,,,,byblos.saumos@laposte.net,,BDP Saumos,,MAIRIE,,B,,,33680,SAUMOS,33503,20,LABORDE Jacqueline,Oui,0,0,,0,,,,,,,,,,,, 15h00, 17h00,,,,,,,,,,, 15h00, 17h00,,,,
2011,Villenave d'Ornon,32,,0557965630,0557965640,service.mediatheque@mairie-villenavedornon.fr,,BDP Villenave d'Ornon,,,46,B,RUE JEAN-JACQUES ROUSSEAU,,33140,VILLENAVE D ORNON,33550,57,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,Cadillac-en-Fronsadais,20,,,,,,BDP Cadillac-en-Fronsadais,,,,,BIBLIOTHÈQUE,,33240,CADILLAC EN FRONSADAIS,33082,24,,Oui,0,0,,0,,09h00, 10h30,,,,, 14h00, 15h00,,,,,09h00, 10h30,,,11h00, 12h00, 15h00, 16h00,10h30, 12h00,,,,,,
1714,Sadirac,4,,0556306117,,bibliotheque@sadirac.com,,BDP Sadirac,,,,,PLACE DE L'ÉGLISE,,33670,SADIRAC,33363,23,,Oui,1,4,,3,accès aux personnes à mobilité réduite,,,,,,, 16h00, 18h30,09h30, 12h30, 14h30, 18h30,,,,,,, 16h00, 18h30,09h30, 12h30,,,,,,
2003,Bruges,32,,0556575732,0556168099,bruges@bdp33.fr,,BDP Bruges,,,87,,AVENUE CHARLES DE GAULLE,,33520,BRUGES,33075,54,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Saint-Macaire,21,,0556633452,,cflorence@gmail.com,,BDP Saint-Macaire,,,10,,PLACE DE L'ÉGLISE,,33490,SAINT MACAIRE,33435,43,,Oui,0,0,,0,,,,,,,,,,,, 16h00, 18h00,,,,,,,,,,, 15h00, 17h00,,,,
1654,Naujac-sur-Mer,26,,0556730055,0556730387,mairie.naujac@wanadoo.fr,,BDP Naujac-sur-Mer,,,,,LE BOURG,,33990,NAUJAC SUR MER,33300,29,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,Saint-Yzan-de-Soudiac,15,,0557580045,,bibliotheque.st-yzandesoudiac@wanadoo.fr,,BDP Saint-Yzan-de-Soudiac,,,,,CHEMIN DE FAUCHARD,,33920,SAINT YZAN DE SOUDIAC,33492,44,,Oui,1,1,,0,,,,,,,,,,10h00, 12h00, 14h00, 17h00,,, 16h30, 17h30,,,,,,,,,,,,
1760,Lamarque,14,,0556589012,0556589751,mairie-de-lamarque@wanadoo.fr,,BDP Lamarque,,,,,RUE DES ÉCOLES,,33460,LAMARQUE,33220,20,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,, 16h00, 17h00,,, 16h00, 17h00,,, 16h00, 18h00,,,,,,, 16h30, 18h00,10h00, 12h00,,,,,,
1977,Origne,25,,0556257485,0556258371,,,BDP Origne,,MAIRIE,,B,,,33113,ORIGNE,,45,PERRODIN Béatrice,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Blasimon,20,,0556715212,0556717856,bmblasimon@gmail.com,,BDP Blasimon,,,15,,PLACE DE LA RÉPUBLIQUE,,33540,BLASIMON,33057,47,,Oui,1,2,,0,,,,,,,,,,09h00, 12h00,,,,,,,,,,,10h00, 12h00,,,,,,
1552,Bagas,25,,0556713590,0556714046,de-bagas.mairie@wanadoo.fr,,BDP Bagas,,,43,,ROUTE DU DROPT,,33190,BAGAS,33024,38,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 14h30, 16h30,,,,,,,,,,,,,,,,
1634,Saint-Estèphe,15,,0556593355,0556593918,bibliotheque@mairie-saint-estephe.fr,,BDP Saint-Estèphe,,,33,,ROUTE DE LA MAIRIE,,33180,SAINT ESTÈPHE,33395,33,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,, 15h00, 18h30,,, 15h00, 18h30,,, 13h30, 16h30,,, 15h00, 18h30,,, 15h00, 18h30,,,,,,,,
1524,Saint-Christophe-de-Double,26,,0557695111,0557495720,communedestchristophededouble@orange.fr,,BDP Saint-Christophe-de-Double,,MAIRIE,46,,LE BOURG,,33230,SAINT CHRISTOPHE DE DOUBLE,33385,22,BOUVRY Liliane,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392,La Brède,16,,0556209458,,bibli.labrede@orange.fr,,BDP La Brède,,,18,,RUE MONTESQUIEU,,33650,LA BRÈDE,33213,27,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,, 16h30, 18h30,,,,,10h00, 12h00, 15h00, 18h00,,,,,,,,,10h00, 12h00, 16h00, 18h00,,,,
1584,Peujard,9,,0557940225,0557940229,bibpeujard@orange.fr,,BDP Peujard,,,7,,PLACE JEAN JAURÈS,,33240,PEUJARD,33321,39,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,, 16h00, 18h00,10h00, 12h00, 15h00, 18h30,,,,,,, 16h00, 18h00,10h00, 12h30,,,,,,
1606,Romagne,13,,0556810956,0556239798,biblimedia@laposte.net,,BDP Romagne,,,,,RUE JACQUES LONGUEVILLE,,33760,ROMAGNE,33358,48,,Oui,1,0,,0,,,,,,,, 16h30, 18h30,,,,,,, 16h30, 18h30,,,,,,,,,,,,
1521,Cazalis,19,,0556652204,0556652546,biblicazalis@orange.fr,,BDP Cazalis,,MAIRIE,,B,,,33113,CAZALIS,33115,50,BOUDIGUES Corinne,Oui,1,1,,1,Accès aux personnes à mobilité réduite,,,,,,,,,10h00, 11h00, 17h00, 18h00,,,,,10h30, 11h30,,,,,,,,,,
