UAI,NOM_LONG,NOM_COURT,INSEE_COMMUNE,CONTRAT,TEL,FAX,MAIL,CHEF,ADJOINT,GESTIONNAIRE,N_ZAP,N_SECTEUR,RRS,SEGPA,UPI,SECTION_INTERNATIONAL,SECTION_EURO,TECHNO,ENS_SPE,DATEOUVERTURE,DATEFERMETURE,EFFECTIF_ANNEE_2007,EFFECTIF_ANNEE_2008,EFFECTIF_ANNEE_2009,EFFECTIF_ANNEE_2010,EFFECTIF_ANNEE_2011,EFFECTIF_ANNEE_2012,LONGITUDE,LATITUDE
0332982M,Collège Val Des Pins,Val Des Pins,33527,PUBLIC,0557523333,0557523330,ce.0332982M@ac-bordeaux.fr,MONSIEUR CHAMOULAUD THIERRY,MADAME BENAMZA STEPHANIE,MADAME SAINT-RAMON ANNY,09,0330910,,0,,,,,,01/09/1998,,561,585,592,643,657,645,-1.0284985,44.62374
0333108Z,Collège Jean Moulin,Jean Moulin,33069,PUBLIC,0556089028,0556029369,ce.0333108Z@ac-bordeaux.fr,MONSIEUR CAURET DIDIER,,MONSIEUR ANDRE SERGE,02,0330215,,0,,,,,,01/09/2004,,368,385,396,372,346,357,-0.60558516,44.863354
0333121N,Collège Gaston Flament,Gaston Flament,33555,PUBLIC,0557715670,0557715671,ce.0333121N@ac-bordeaux.fr,MADAME THILLAY SUZANNE,MONSIEUR LAFORGUE OLIVIER,MADAME SIMON LABRIC GISELE,09,0330911,,0,,,,,,01/09/2005,,503,519,560,586,645,661,-0.8471712,44.697594
0333132A,Collège de Carbon-Blanc,Carbon-Blanc,33096,PUBLIC,0557771025,0556066145,ce.0333132A@ac-bordeaux.fr,MONSIEUR MARTIN FRANCK,,MELLE SAINT MARC ESTELLE,03,0330315,,0,,,,,,01/09/2006,,482,523,558,570,538,559,-0.5001279,44.910755
0333133B,Collège de Cadaujac,Cadaujac,33080,PUBLIC,0557832455,0557832456,ce.0333133B@ac-bordeaux.fr,MONSIEUR BONNET NICOLAS,MADAME CHASSEUR CATHERINE,MONSIEUR AUCHTER OLIVIER,05,0330511,,0,,,,,,01/09/2006,,459,509,521,592,614,624,-0.5281189,44.750816
0333213N,Collège Marguerite Duras,Marguerite Duras,33243,PUBLIC,0557840606,0557249368,ce.0333213N@ac-bordeaux.fr,MONSIEUR GORSE VINCENT,MADAME FLOREAN SANDRINE,MONSIEUR DIHAL JOËL,04,0330414,,1,,,,,,01/09/2009,,,,599,607,599,573,-0.23645148,44.90468
0333268Y,Collège Notre Dame Du Rosaire,Notre Dame Du Rosaire,33435,PRIVE,0556634537,0556632905,,,,,06,0330604,,0,,,,,,01/09/2010,,,,,,,,,
0331532L,Collège Jeanne d'Arc,Jeanne d'Arc,33447,PRIVE,0557560088,0557560089,ce.0331532L@ac-bordeaux.fr,MONSIEUR EDOUARD MOTYL,,,04,0330404,,0,,,,,,05/04/1967,,322,321,335,326,335,328,,
0331618E,Collège Léonard Lenoir,Léonard Lenoir,33063,PUBLIC,0557807616,0557802229,ce.0331618E@ac-bordeaux.fr,MADAME CAILLOT SYLVIE,,MONSIEUR GRATRAUD JEAN PIERRE,03,0330303,RRS,0,,,,,,02/04/1968,,289,295,299,292,292,290,-0.5532821,44.84165
0331619F,Collège Georges Lapierre,Georges Lapierre,33249,PUBLIC,0557801025,0556317176,ce.0331619F@ac-bordeaux.fr,MONSIEUR CIRET GUILLAUME,MADAME ULYSSE FRANÇOISE,MADEMOISELLE FEUILLAS ASTRID,03,0330311,RAR,1,,,,,,02/04/1968,,489,529,503,489,452,471,-0.52306294,44.87459
0330140Y,Collège Grand Parc,Grand Parc,33063,PUBLIC,0556111960,0556111965,ce.0330140Y@ac-bordeaux.fr,MONSIEUR THOMAS ERIC CLAUDE,Madame FLOC'H M.Lucile,MELLE HAEGEL FRANÇOISE,02,0330204,,1,,,,,,01/05/1965,,430,400,413,429,417,423,-0.5820867,44.856155
0332806W,Collège Le Mirail,Le Mirail,33063,PRIVE,0557950680,0557950684,ce.0332806W@ac-bordeaux.fr,MONSIEUR COUCHARRIERE,,,01,0330107,,0,,,,,,01/10/1990,,172,167,214,251,264,310,,
0331891B,Collège Les Lesques,Les Lesques,33240,PUBLIC,0556411398,0556416643,ce.0331891B@ac-bordeaux.fr,MADAME BOIRIE DOMINIQUE,Madame FARGEOT Charlotte,MONSIEUR GUYONNAUD Jean Philippe,08,0330804,RRS,0,,,,,,04/02/1971,,536,541,581,617,639,657,-0.9267202,45.3002
0330084M,Collège Toulouse Lautrec,Toulouse Lautrec,33227,PUBLIC,0556622250,0557981918,ce.0330084M@ac-bordeaux.fr,MADAME STEPHANUS MICHELE,MADAME MAUCOURANT-DALLOZ EVELYNE,MADAME BOUGARIT CATHERINE,06,0330604,,1,,,,,,01/05/1965,,692,694,702,723,746,760,-0.25208792,44.545105
0330091V,Collège Les Dagueys,Les Dagueys,33243,PUBLIC,0557511187,0557552131,ce.0330091V@ac-bordeaux.fr,MADAME LALAUDE-LABAYLE MARIE-FRANÇOISE,MADAME CLEMENT CHANTAL,MADAME CABOURDIN DUBOSCQ MARIE-CHRISTINE,04,0330408,,1,,,,,,01/05/1965,,563,576,631,655,653,676,-0.2431213,44.949375
0330093X,Collège de Lussac,Lussac,33261,PUBLIC,0557746032,0557745824,ce.0330093X@ac-bordeaux.fr,MONSIEUR HERCE OLIVIER,,MADAME GUILLOTEAU NICOLE,04,0330410,RRS,0,,,,,,01/05/1965,,302,298,320,326,320,329,-0.09927583,44.949234
0330100E,Collège Eleonore De Provence,Eleonore De Provence,33289,PUBLIC,0556615640,0556616421,ce.0330100E@ac-bordeaux.fr,MONSIEUR DAUDET JEAN-PIERRE,,MADAME BOGET NATHALIE,06,0330605,,0,,,,,,01/05/1965,,214,236,255,272,293,294,0.06904372,44.64875
0330103H,Collège Pierre De Belleyme,Pierre De Belleyme,33314,PUBLIC,0556732600,0556592672,ce.0330103H@ac-bordeaux.fr,MADAME RONNE VERONIQUE,MONSIEUR CASTAIGNON SAMUEL,MONSIEUR LUBEIGT BENOIT,08,0330805,RRS,1,,,,,,01/05/1965,,713,709,734,744,793,798,-0.75141025,45.20332
0330105K,Collège Champ d'Eymet,Champ d'Eymet,33316,PUBLIC,0556613045,0556614154,ce.0330105K@ac-bordeaux.fr,MADAME BAGGIO-THOMAS CAROLE,,MADAME CELESTE PATRICIA,06,0330606,,0,,,,,,01/05/1965,,145,154,157,152,157,158,0.07338794,44.742992
0330106L,Collège Francois Mitterrand,Francois Mitterrand,33318,PUBLIC,0556451579,0556453644,ce.0330106L@ac-bordeaux.fr,MADAME JAFFRE FRANÇOISE,,MADAME LALANNE BENAC JOCELYNE,07,0330708,,0,,,,,,01/05/1965,,417,404,403,422,407,392,-0.64585596,44.791985
0330108N,Collège Georges Brassens,Georges Brassens,33327,PUBLIC,0556271761,0556274750,ce.0330108N@ac-bordeaux.fr,MONSIEUR COURTIN PHILIPPE,MADAME BRUNEL NATHALIE,MADAME GOYARD CATHERINE,06,0330607,,1,,,,,,01/05/1965,,577,553,569,616,658,696,-0.35206866,44.649727
0330113U,Collège Jean Monnet,Jean Monnet,33389,PUBLIC,0557326039,0557328069,ce.0330113U@ac-bordeaux.fr,MONSIEUR GUIBON LOÏC,MONSIEUR BATISTA HUMBERTO,MADAME COUTURIER JACQUELINE,10,0331005,,0,,,,,,01/05/1965,,482,503,490,521,528,562,-0.61241394,45.29336
0330125G,Collège Georges Mandel,Georges Mandel,33514,PUBLIC,0556098324,0556098183,ce.0330125G@ac-bordeaux.fr,MADAME DEGUILLAUME FABIENNE,,MONSIEUR BAYLE LAURENT,08,0330806,,0,,,,,,01/05/1965,,325,308,286,295,311,338,-1.1222091,45.505756
0330129L,Collège Henri Dheurle,Henri Dheurle,33529,PUBLIC,0557525520,0556668957,ce.0330129L@ac-bordeaux.fr,MONSIEUR BARRAT PHILIPPE,MADAME CLAVERIE MURIEL,MADAME SABATIER MARIA,09,0330908,,0,,,,,,01/05/1965,,832,861,843,778,759,765,-1.1370032,44.632088
0330138W,Collège Jean Aviotte,Jean Aviotte,33198,PUBLIC,0557691265,0557692160,ce.0330138W@ac-bordeaux.fr,MADAME LANDES REGINE,MONSIEUR BRISSEAU JEROME,MONSIEUR DESCHAMPS SYLVAIN,04,0330405,RRS,0,,,,,,01/05/1965,,379,368,378,419,440,464,-0.18563807,45.041653
0330146E,Collège Jules Ferry,Jules Ferry,33281,PUBLIC,0556470167,0556188340,ce.0330146E@ac-bordeaux.fr,MADAME LEMONNIER ANNE-FREDERIQUE,Madame CHADEFFAUD-HERZIG Claire,MADAME LEON ODILE,07,0330704,,0,,,,,,08/12/1965,,412,391,367,471,434,459,-0.6500492,44.842815
0330162X,Collège Eugene Atget,Eugene Atget,33243,PUBLIC,0557251331,0557256728,ce.0330162X@ac-bordeaux.fr,MONSIEUR GOURSOLLE PIERRE,,MELLE GIRAUD MONIQUE,04,0330406,,0,,,,,,14/03/1977,,402,412,437,443,451,456,-0.24223901,44.917683
0330167C,Collège Marie Bartette,Marie Bartette,33009,PUBLIC,0556223580,0556223586,ce.0330167C@ac-bordeaux.fr,MADAME GUERRA-DEVIGNE PATRICIA,MADAME SORIA VERONIQUE,MADAME MALFATTI MARIE-JOSE,09,0330902,,0,,,,,,14/03/1977,,476,451,459,463,471,486,-1.1614008,44.650925
0331511N,Collège Jeanne d'Arc St Romain,Jeanne d'Arc St Romain,33058,PRIVE,0557420008,0557429263,ce.0331511N@ac-bordeaux.fr,MADAME CATHERINE PADOVANI,,,10,0331001,,0,,,,,,05/04/1967,,186,165,151,167,207,216,,
0331519X,Collège St Seurin,St Seurin,33063,PRIVE,0556242788,0556240121,ce.0331519X@ac-bordeaux.fr,MADAME SOPHIE LAFAYE,,,02,0330203,,0,,,,,,16/03/1967,,180,179,198,202,218,227,,
0331523B,Collège Ste Anne,Ste Anne,33069,PRIVE,0556087922,0556085297,ce.0331523B@ac-bordeaux.fr,MADAME ROZENN LE MENN,,,02,0330208,,0,,,,,,05/04/1967,,392,399,411,412,436,450,,
0331527F,Collège Ste Marie Jeanne d'Arc,Ste Marie Jeanne d'Arc,33227,PRIVE,0556631439,0556633112,stm33@free.fr,MADAME ANNE-MARIE CORDIN,,,06,0330604,,0,,,,,,05/04/1967,,200,177,171,175,165,167,,
0331529H,Collège Ste J.d'Arc Assomption,Ste J.d'Arc Assomption,33318,PRIVE,0556450450,0556455191,ce.0331529H@ac-bordeaux.fr,MONSIEUR SYLVAIN RICHARD,,,07,0330709,,0,,,,,,05/04/1967,,452,456,466,509,526,550,,
0331530J,Collège Ste Marie,Ste Marie,33366,PRIVE,0557430652,0557434518,ce.0331530J@ac-bordeaux.fr,MONSIEUR YVES GIRARD,,,10,0331004,,0,,,,,,05/04/1967,,532,543,577,572,587,611,,
0331419N,Collège Georges Rayet,Georges Rayet,33167,PUBLIC,0556401015,0557802230,ce.0331419N@ac-bordeaux.fr,MONSIEUR ROMAIN PHILIPPE,MONSIEUR SCHAAL JEROME,Madame HAMM-SMAER Nathalie,03,0330309,,0,,,,,,11/05/1977,,457,506,560,606,600,610,-0.5146897,44.842236
0331435F,Collège Les Eyquems,Les Eyquems,33281,PUBLIC,0556470604,0556976532,ce.0331435F@ac-bordeaux.fr,MADAME OILLEAUX PELLERIN FRANÇOISE,MADAME GOUINEAU DELPHINE,MONSIEUR LARTIRIGOYEN ALAIN,07,0330703,,0,,,,,,10/10/1966,,433,451,445,555,580,573,-0.6454013,44.827316
0331462K,Collège Francisco Goya,Francisco Goya,33063,PUBLIC,0557950730,0557950749,ce.0331462K@ac-bordeaux.fr,MONSIEUR YVART XAVIER,,MADAME BARRA MARTINE,01,0330107,RRS,0,,,,,,07/11/1967,,243,241,262,291,289,292,-0.5769029,44.8344
0331464M,Collège Jean Zay,Jean Zay,33119,PUBLIC,0557809292,0557809299,ce.0331464M@ac-bordeaux.fr,MADAME BOIREAU-CANNET CHRISTINE,MONSIEUR RAISON JEAN PIERRE,MADAME REVOLAT PASCALE,03,0330306,RRS,0,,,,,,07/11/1967,,608,576,576,577,587,629,-0.5128824,44.85517
0331492T,Collège Ste Clotilde   Assomption,Ste Clotilde   Assomption,33063,PRIVE,0556482906,0556791876,ce.0331492T@ac-bordeaux.fr,Monsieur Anthony ODIN,,,02,0330203,,0,,,,,,15/03/1967,,408,389,396,424,462,475,,
0331621H,Collège Henri De Navarre,Henri De Navarre,33138,PUBLIC,0557560040,0557560042,ce.0331621H@ac-bordeaux.fr,MONSIEUR CHAMPIGNEUL J.YVES,MADAME LABBE MONIQUE,MONSIEUR IRR JEAN FRANCOIS,04,0330404,,1,,,,,,02/04/1968,,784,796,806,840,837,803,-0.11791464,45.041336
0331623K,Collège Alouette,Alouette,33318,PUBLIC,0557891112,0557891113,ce.0331623K@ac-bordeaux.fr,MONSIEUR CAMPOS GERARD,MADEMOISELLE MOUY LAURENCE,MADAME GARDES AMANTE MADELEINE,07,0330707,,0,,,,,,03/04/1968,,689,690,680,612,625,638,-0.6688621,44.801647
0331644H,Collège St Jean,St Jean,33314,PRIVE,0557752021,0556596293,ce.0331644H@ac-bordeaux.fr,MONSIEUR XAVIER LIDOUREN,,,08,0330805,,0,,,,,,18/11/1968,,241,253,230,231,217,240,,
0331663D,Collège Cheverus,Cheverus,33063,PUBLIC,0556485700,0556487218,ce.0331663D@ac-bordeaux.fr,MADAME NAUGE CATHERINE,MONSIEUR KITTEN HUGUES,MADAME JACTEL LAURENCE,01,0330104,,1,,,,,,03/03/1969,,680,677,642,523,443,400,-0.5754772,44.839325
0331666G,Collège Alienor d'Aquitaine,Alienor d'Aquitaine,33498,PUBLIC,0556884227,0556881410,ce.0331666G@ac-bordeaux.fr,MADAME BRINBOEUF-DULARY LAURENCE,MONSIEUR PERUCH LAURENT,MADAME CHATAIGNIER MONIQUE,09,0330909,RRS,0,,,,,,03/03/1969,,645,685,704,779,815,819,-0.8663773,44.55079
0331667H,Collège Robert Barriere,Robert Barriere,33506,PUBLIC,0556715151,0556715340,ce.0331667H@ac-bordeaux.fr,MONSIEUR SURGET JEAN LUC,MONSIEUR BRUANT,MADAME ROUFFIGNAT MICHELLE,06,0330610,,1,,,,,,03/03/1969,,365,388,403,398,382,388,-0.08531073,44.695896
0331752A,Collège Marcellin Berthelot,Marcellin Berthelot,33039,PUBLIC,0557350850,0557350854,ce.0331752A@ac-bordeaux.fr,MONSIEUR MARTINEZ JEAN-MICHEL,MADAME GODARD NADINE,MADAME JAFFRES MORGANE,01,0330101,RRS,0,,,,,,18/02/1970,,537,566,589,592,583,602,-0.5672612,44.807808
0331753B,Collège Blanqui,Blanqui,33063,PUBLIC,0556508228,0557191490,ce.0331753B@ac-bordeaux.fr,MADAME ROBIN MARIE PIERRE,,MELLE  LASFARGUES ISABELLE,02,0330202,RRS,0,,,,,,18/02/1970,,220,230,239,225,245,233,-0.55136245,44.87451
0331754C,Collège Emmanuel Dupaty,Emmanuel Dupaty,33056,PUBLIC,0556955222,0556955239,ce.0331754C@ac-bordeaux.fr,MADAME CAPOT MICHELE,MONSIEUR BOUZIGNAC LAURENT,MADAME MIQUAU  VALERIE,02,0330201,,1,,,,,,18/02/1970,,810,798,756,752,765,784,-0.62703514,44.907207
0331757F,Collège La Garosse,La Garosse,33366,PUBLIC,0557431236,0557948323,ce.0331757F@ac-bordeaux.fr,MONSIEUR PRUNEL ALAIN,MADAME HEINTZ CHRISTINE,MADAME TIFFON NATHALIE,10,0331004,,1,,,,,,18/02/1970,,653,672,694,711,776,796,-0.43237343,45.005898
0331758G,Collège Noes,Noes,33318,PUBLIC,0556152540,0556455054,ce.0331758G@ac-bordeaux.fr,MONSIEUR GIOUD JEAN-FRANÇOIS,MADAME CHAUCHET-SAMUEL ARMELLE,MONSIEUR PORTA BONETE JEAN PAUL,07,0330709,,0,,,,,,18/02/1970,,614,626,576,566,579,594,-0.63638604,44.81215
0331759H,Collège Chante Cigale,Chante Cigale,33199,PUBLIC,0556660572,0556667882,ce.0331759H@ac-bordeaux.fr,MADAME CAUTY MARTINE,MADAME DOR ELISABETH,MADAME BECHOU BRIGITTE,09,0330906,,1,,,,,,18/02/1970,,813,802,805,805,826,876,-1.0595875,44.621956
0332493F,Collège Ste Marie Grand Lebrun,Ste Marie Grand Lebrun,33063,PRIVE,0556083213,0556022225,ce.0332493F@ac-bordeaux.fr,MADAME CATHERINE DEREMBLE,,,02,0330207,,0,,,,,,01/09/1980,,1045,1031,1006,1035,1055,1045,,
0332494G,Collège Rambaud,Rambaud,33213,PRIVE,0557971717,0557971710,ce.0332494G@ac-bordeaux.fr,MONSIEUR PIERRE FALIZE,,,05,0330504,,0,,,,,,01/09/1980,,396,398,396,433,446,444,,
0332657J,Collège de Lège Cap-Ferret,Lège Cap-Ferret,33236,PUBLIC,0556039903,0556039904,ce.0332657J@ac-bordeaux.fr,MONSIEUR BOIREAU LAURENT,MADAME CARRUESCO CATHERINE,MONSIEUR TOUYA MICHEL,09,0330907,,0,,,,,,01/09/1984,,475,474,474,547,572,563,-1.145146,44.792484
0331880P,Collège Pablo Neruda,Pablo Neruda,33039,PUBLIC,0556859604,0556852688,ce.0331880P@ac-bordeaux.fr,MADAME FORT MARYSE,MONSIEUR RICHARD ARNAUD,MONSIEUR NIEL FRANCK,01,0330102,RRS,1,,,,,,04/02/1971,,418,438,426,401,416,397,-0.5630497,44.794617
0331884U,Collège Manon Cormier,Manon Cormier,33032,PUBLIC,0556061033,0556069898,ce.0331884U@ac-bordeaux.fr,MADAME BEN HATTATE DJEMAIA,MONSIEUR RAVACHE STEPHANE,MADAME DEROUAISNE ODILE,03,0330302,,1,,,,,,04/02/1971,,502,515,486,524,519,518,-0.5083992,44.900074
0331885V,Collège Jean Jaures,Jean Jaures,33119,PUBLIC,0556863420,0556409336,ce.0331885V@ac-bordeaux.fr,MONSIEUR FELBER PHILIPPE,MONSIEUR SALAS ABDELOUAHED,MADAME MACALLI EMILIE,03,0330305,RRS,1,,,,,,04/02/1971,,590,557,527,525,548,551,-0.5147182,44.863125
0331890A,Collège André Lahaye,André Lahaye,33005,PUBLIC,0556820723,0556260695,ce.0331890A@ac-bordeaux.fr,MONSIEUR MILAN PASCAL,MONSIEUR LABROUCHE PIERRE,MADAME BARTHEL FRANCINE,09,0330901,,1,,,,,,04/02/1971,,796,815,841,848,848,866,-1.0881894,44.746265
0332082J,Collège Edouard Vaillant,Edouard Vaillant,33063,PUBLIC,0556396276,0556396320,ce.0332082J@ac-bordeaux.fr,MONSIEUR CANOT ALAIN,MONSIEUR MARMIESSE YANNICK,MADAME LAURENT CHRISTINE,02,0330205,RRS,0,,,,,,23/02/1972,,505,488,492,471,471,379,-0.5651724,44.86452
0332084L,Collège Albert Camus,Albert Camus,33162,PUBLIC,0556280669,0556286270,ce.0332084L@ac-bordeaux.fr,MADAME PEREZ CHANTAL,MONSIEUR ALAVOINE PHILIPPE,MADAME DERUY MARTINE,02,0330209,,0,,,,,,23/02/1972,,581,544,526,549,550,561,-0.64342284,44.88439
0332090T,Collège Bourran,Bourran,33281,PUBLIC,0556978293,0556120871,ce.0332090T@ac-bordeaux.fr,MADAME BATTLES MARYSE,MONSIEUR MOY GERARD,MONSIEUR FAYE HERVE,07,0330705,,1,,,,,,24/02/1972,,465,469,446,548,491,497,-0.6312102,44.838276
0332189A,Collège Nelson Mandela,Nelson Mandela,33167,PUBLIC,0556866044,0557544158,ce.0332189A@ac-bordeaux.fr,MONSIEUR  MEGARD PASCAL,,MONSIEUR KAYED  IZZAT,03,0330308,RRS,0,,,,,,03/04/1973,,259,219,198,203,207,253,-0.5329277,44.84141
0332190B,Collège Alfred Mauguin,Alfred Mauguin,33192,PUBLIC,0556890719,0556895814,ce.0332190B@ac-bordeaux.fr,MONSIEUR DERAMBURE PHILIPPE,MADAME BAUDERON NOËLLE,Madame LEGRAND SYLVIE,05,0330502,,1,,,,,,02/04/1973,,471,453,454,426,436,447,-0.5957913,44.772255
0332195G,Collège Victor Louis,Victor Louis,33522,PUBLIC,0557350060,0557350061,ce.0332195G@ac-bordeaux.fr,MONSIEUR SEYT PHILIPPE,MADAME TRUCHON VIDAL VALERIE,MONSIEUR STAES MIGUEL,05,0330508,,0,,,,,,14/05/1973,,610,596,643,667,645,666,-0.590594,44.80092
0332244K,Collège Francois Mauriac,Francois Mauriac,33238,PUBLIC,0556647203,0556648280,ce.0332244K@ac-bordeaux.fr,MONSIEUR DERAMBURE CHRISTOPHE,MONSIEUR GOULPIER THIERRY,MONSIEUR BASTIEN PATRICK,05,0330505,,0,,,,,,02/05/1974,,595,571,570,576,599,627,-0.5913995,44.729866
0332248P,Collège Paul Esquinance,Paul Esquinance,33352,PUBLIC,0556611140,0516440466,ce.0332248P@ac-bordeaux.fr,MONSIEUR SCIAU FABRICE,MADAME LABAT-MARRE CORALIE,MADAME DELETANG SYLVIANE,06,0330608,,0,,,,,,02/05/1974,,573,614,615,651,661,691,-0.03167319,44.58433
0332285E,Collège Jacques Ellul,Jacques Ellul,33063,PUBLIC,0556866411,0557800015,ce.0332285E@ac-bordeaux.fr,MONSIEUR MERCIER PASCAL,,MADAME BIAUX VIOLENE,03,0330304,RRS,1,,,,,,14/09/1976,,229,224,221,258,272,289,-0.5416347,44.845406
0332288H,Collège Ausone,Ausone,33036,PUBLIC,0556250024,0556252508,ce.0332288H@ac-bordeaux.fr,MONSIEUR CAPDEVILLE BERNARD,Monsieur PEROUMAL Fred,MADAME WALTER CATHERINE,06,0330601,,1,,,,,,09/04/1975,,730,730,707,706,715,762,-0.21971343,44.427868
0332340P,Collège Max Linder,Max Linder,33433,PUBLIC,0556204040,0556204267,ce.0332340P@ac-bordeaux.fr,MADAME MARTIN CATHERINE,MONSIEUR COUPEAU ALAIN,MADAME ORSAT CHANTAL,03,0330313,,0,,,,,,13/02/1976,,959,955,946,935,971,1020,-0.42771268,44.91041
0332342S,Collège Cantelande,Cantelande,33122,PUBLIC,0556076169,0556363578,ce.0332342S@ac-bordeaux.fr,MONSIEUR LAFERRIERE JACQUES,MONSIEUR CONSTANTIN CHRISTIAN,MONSIEUR HIVET LAURENT,05,0330501,,0,,,,,,13/02/1976,,886,884,839,848,840,869,-0.68774766,44.75906
0332343T,Collège Montesquieu,Montesquieu,33213,PUBLIC,0556202114,0557977941,ce.0332343T@ac-bordeaux.fr,MONSIEUR BIDOT BENOIT,MADAME ABALEA JOELLE,MONSIEUR VAYNE ERIC,05,0330504,,0,,,,,,13/02/1976,,685,731,771,733,731,744,-0.5295599,44.684
0332437V,Collège Emile Zola,Emile Zola,33200,PUBLIC,0556280829,0556284923,ce.0332437V@ac-bordeaux.fr,MADAME BERNON PATRICIA,Monsieur STEFANI Christophe,MONSIEUR LAUNAY THIERRY,02,0330210,,0,,,,,,01/09/1978,,537,550,558,567,596,576,-0.6730115,44.87123
0332486Y,Collège Ste Claire,Ste Claire,33167,PRIVE,0556862282,0556408695,ce.0332486Y@ac-bordeaux.fr,MADAME ELIANE CURNIER,,,03,0330308,,0,,,,,,01/09/1980,,429,432,444,451,462,482,,
0332488A,Collège St Joseph De Tivoli,St Joseph De Tivoli,33063,PRIVE,0556080440,0556020550,ce.0332488A@ac-bordeaux.fr,MONSIEUR DOMINIQUE GERARD,,,02,0330207,,0,,,,,,01/09/1980,,979,981,967,974,1003,991,,
0332489B,Collège Notre Dame,Notre Dame,33063,PRIVE,0556006900,0556480949,ce.0332489B@ac-bordeaux.fr,MONSIEUR BRUNO GRUYER,,,02,0330203,,0,,,,,,01/09/1980,,289,275,215,246,268,234,,
0330122D,Collège Francois Mauriac,Francois Mauriac,33484,PUBLIC,0556257164,0556257825,ce.0330122D@ac-bordeaux.fr,MONSIEUR GUNSETT BERNARD,,MADAME ROUFFAUD NICOLE,06,0330609,RRS,0,,,,,,01/05/1965,,341,347,387,417,454,475,-0.49247333,44.43092
0330128K,Collège Henri Brisson,Henri Brisson,33522,PUBLIC,0556041280,0557969801,ce.0330128K@ac-bordeaux.fr,MONSIEUR MANIGAND ALAIN,,MADAME FAYARD ALEXANDRA,05,0330507,,0,,,,,,01/05/1965,,413,410,427,447,493,518,-0.5914263,44.818985
