TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL_INFO_RESERVATION,SITE_WEB,CHAINES,LABELS,TOURISME_ET_HAND,LONGITUDE,LATITUDE
Résidence hôtelière,Non Classé,Villas d'Eden Club,Golf de l'Ardilouse,route du Baganais,33680,LACANAU OCEAN,+33 5 57 14 20 87,http://estivel.com,,,,-1.1740672,44.991364
Résidence hôtelière,Non Classé,Villas d'Eden Parc,Golf de l'Ardilouse,route du Baganais,33680,LACANAU OCEAN,+33 5 56 12 49 11 ou +33 5 56 26 32 55,www.topotel.com,,Famille Plus,,-1.16925,44.992863
Résidence hôtelière,Non Classé,Villas Eden Parc Prestige,route du Baganais,,33680,LACANAU OCEAN,+33 5 57 14 20 87,http://estivel.com,,Famille Plus,,-1.1680752,44.994476
Résidence hôtelière,Non Classé,Domaine de Pitrot,route de l'Océan,,33680,LACANAU VILLE,+33 5 56 03 09 01,www.sports-service.fr,,,,-1.086511,44.993565
Résidence hôtelière,Non Classé,Domaine Résidentiel Naturiste La Jenny,route de la Jenny,,33680,LE PORGE,+33 5 56 26 56 90,www.lajenny.fr,,,,-1.2128734,44.848873
Résidence hôtelière,Non Classé,Madame Vacances - Le Domaine du Phare,chemin de Grayan,21, rue Ausone,33123,LE VERDON-SUR-MER,+33 4 79 65 07 65;+33 5 56 09 24 21,www.madamevacances.co.uk/le-verdon-sur-mer-le-domaine-du-phare.html,Madame Vacances,,,-1.0770202,45.543243
Résidence hôtelière,Non Classé,Résidence Nord du Phare,9, avenue Nord du Phare,Cap Ferret,33970,LEGE-CAP FERRET,+33 5 56 60 45 69,www.location-capferret.com,,,,-1.2491369,44.653877
Résidence hôtelière,Non Classé,E.P.A.F. Les Grépins,Avenue de la Douane,Cap Ferret,33970,LEGE-CAP FERRET,+33 5 56 03 83 50,www.epaf.asso.fr/vf/fiche_residence.php?id=20080801130947,,,,-1.2479782,44.64368
Résidence hôtelière,Non Classé,Le Sporting La Vigne,48, avenue de la Vigne,,33970,LEGE-CAP FERRET,+33 5 56 60 55 18,www.sportingleferret.com,,,,-1.2413048,44.67271
Résidence hôtelière,Non Classé,Résidence Maminotte,3, avenue des Acacias,,33115,PYLA-SUR-MER,+33 5 57 72 05 05,www.residencemaminotte.com,,,,-1.199516,44.631565
Résidence hôtelière,Non Classé,Résidence Oyana,52, boulevard Louis Gaume,,33115,PYLA-SUR-MER,+33 5 57 14 20 87,http://estivel.com,,,,-1.2088823,44.60228
Résidence hôtelière,Non Classé,Village aux oiseaux,4, rue des Anciens Combattants d'AFN,,33820,SAINT-CIERS-SUR-GIRONDE,+33 5 57 32 60 45,www.saint-ciers-sur-gironde.fr/locations-a-saint-ciers-sur/ ,,,,-0.614662,45.29152
Résidence hôtelière,Non Classé,Résidence du Château de Salles,25 route du Beguey,,33770,SALLES,+33 5 56 91 11 11,www.villaparcfrance.com,,,,-0.861097,44.541985
Résidence hôtelière,Non Classé,Le Domaine des Sables,boulevard Marsan de Montbrun,,33780,SOULAC-SUR-MER,+33 5 56 12 49 11;+33 5 56 73 89 89,www.topotel.com,,,,-1.1230945,45.50027
Résidence hôtelière,Non Classé,Ô Village Le Cordouan,66 route des Lacs,Les Cousteaux Sud,33780,SOULAC-SUR-MER,+33 5 24 57 73 04,www.o-village.fr,,,,-1.1203908,45.493263
Résidence hôtelière,Non Classé,Résidence Capdeville,21, boulevard de l'Amélie,,33780,SOULAC-SUR-MER,+33 5 57 14 20 87,http://estivel.com,,,,-1.1361408,45.501625
Résidence hôtelière,Non Classé,Stud'otel,angle rues C. Thomas,et F. Sévène et Blumerel,33400,TALENCE,+33 5 56 84 59 59,www.studotel.fr,,,,-0.590739,44.812725
Résidence hôtelière,Non Classé,Ténéo Student Gambetta,224, cours Gambetta,,33400,TALENCE,+33 5 56 44 42 26,www.teneo.fr/concept/2/1/1/teneo-student-gambetta.html,,,,-0.5892723,44.81374
Résidence hôtelière,Non Classé,Ténéo Student Médoquine,16 avenue de la Vieille Tour,,33400,TALENCE,+33 5 57 12 56 90,www.teneo.fr/concept/2/1/2/teneo-student-medoquine.html,,,,-0.60059,44.812847
Résidence hôtelière,Non Classé,Ténéo Student Université,28 rue Marc Sangnier,,33400,TALENCE,+33 5 56 36 29 75,www.teneo.fr/concept/2/1/3/teneo-student-universite.html,,,,-0.6020562,44.808346
Résidence hôtelière,Non Classé,Ténéo Suites Talence,8 allée du 7ème Art,,33400,TALENCE,+33 5 57 35 76 00,www.teneo.fr/concept/2/2/5/teneo-suites-talence.html,,,,-0.592594,44.811584
Résidence hôtelière,Non Classé,Résidence Abitel,1 rue Pierre Proudhon,,33140,VILLENAVE-D'ORNON,+33 5 56 84 75 75,www.abitelbordeaux.fr,,,,-0.585577,44.78345
