ACTIVITES,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,LABELS,LONGITUDE,LATITUDE
Motonautisme (bateau à moteur),Bateau Ecole du Cap Ferret,Port de la Vigne,La Vigne,33970,LEGE-CAP FERRET,+33 5 56 60 19 79,www.batmarine.fr,,-1.2418842,44.674328
Motonautisme (bateau à moteur),Balade sur chaland,82, boulevard des Arbousiers,Le Canon,33950,LEGE-CAP FERRET,+33 6 58 82 27 57,www.baladesurchaland.fr,,-1.2326057,44.699596
Motonautisme (bateau à moteur);Ski nautique;Wake board,Bateau Loc,60, route du Cap Ferret,Grand Piquey,33950,LEGE-CAP FERRET,+33 5 56 03 65 03,www.bateauloc.fr,,-1.215105,44.713806
Scooter de mer,Dolphin Jet,47, route du Cap Ferret,Grand Piquey,33950,LEGE-CAP FERRET,+33 5 56 03 64 23,www.dolphinjet.com,,-1.212852,44.71625
Ski nautique;Bouées tractées;Canoé kayak;Stand-up-paddel-board;Wake board,Glisse en Herbe,Boulevard de la Plage,L'Herbe,33950,LEGE-CAP FERRET,+33 7 61 05 67 26,http://glisseenherbe.blogspot.com,,-1.2345886,44.686962
Ski nautique;Wake board;Bouées tractées,Cap and Ride,Débarcadère,Grand Piquey,33950,LEGE-CAP FERRET,+33 6 14 04 13 83,www.capandride.fr,,-1.2126374,44.716427
Stand-up-paddel-board;Stand-up-paddel-board,Stand Up Board Center,Impasse des Goëlands,Cap Ferret,33970,LEGE-CAP FERRET,+33 6 15 21 06 96;+33 6 98 96 65 80,,,-1.2451457,44.647957
Surf,ESCF - Ecole de Surf du Cap Ferret,plage de la Garonne,Petit-Piquey,33950,LEGE-CAP FERRET,+33 6 21 27 83 29,www.surf-cap-ferret.com,,-1.1753654,44.745758
Surf,L'Andade - Ecole de Surf du Bassin,24, avenue du Port,Claouey,33950,LEGE-CAP FERRET,+33 5 56 60 08 93,www.ecoledesurfdubassin.com,,-1.1776614,44.745163
Surf,Surf Mobile,17 bis rue des Goëlands,Cap-Ferret,33970,LEGE-CAP FERRET,+33 6 62 72 38 01,www.surf-mobile.fr,,-1.2489652,44.6484
Surf;Bodyboard,Cap Glisse - Ecole de Surf d'Aquitaine,plage océane du Truc Vert,,33950,LEGE-CAP FERRET,+33 6 10 78 39 93,www.capglisse.com ,,-1.2448883,44.716732
Surf;Bodyboard,Surf Center - Ecole de surf du Cap Ferret,22, rue des Goélands,Quartier du Phare,33970,LEGE-CAP FERRET,+33 5 56 60 61 05,www.surf-center.fr,,-1.2496519,44.647743
Surf;Bodyboard,Tutti Fruti Surf School,42, boulevard de la Plage,Cap Ferret,33970,LEGE-CAP FERRET,+33 5 56 60 61 78,www.lecoledesurf.com,,-1.2431287,44.651344
Surf;Bodyboard,Cap Ferret Surf School,Plage du Truc Vert,,33950,LEGE-CAP FERRET,+33 6 98 71 20 33,www.capferretsurfschool.com,,-1.2023699,44.72399
Surf;Bodyboard;Stand-up-paddel-board,Surf Club de la Presqu'île,Maison de la Glisse,Lège-Océan,33950,LEGE-CAP FERRET,+33 5 57 70 40 14,www.surfingcapferret.com,,-1.2314987,44.798283
Surf,Ecole de Surf du Grand Crohot - ESGC,26 le Clos du Près,Lège,33950,LEGE-CAP FERRET,+33 7 60 91 75 25,http://ecole-de-surf-lege-cap-ferret.com,,-1.2339019,44.79743
Voile,Voile Liberté,4 allée des Linots,Petit Piquey,33950,LEGE-CAP FERRET,+33 5 56 60 85 82,www.voileliberte.net,,-1.215137,44.727886
Voile;Aviron;Catamaran,Club nautique de Claouey,place Eric Tabarly,Claouey,33950,LEGE-CAP FERRET,+33 5 56 60 73 15,www.cnclaouey.com,Ecole Française de Voile,-1.1747646,44.74466
Voile;Planche à voile;Catamaran,Cercle nautique du Ferret,quartier des Pêcheurs,plage du Phare,33970,LEGE-CAP FERRET,+33 5 56 60 44 06,www.capferret-voile.fr,Ecole Française de Voile,-1.243472,44.645912
Canoé kayak,Alokanoë,rue du Bois Perron,,33380,LUGOS,+33 5 57 71 96 13,www.alokanoe.fr,,-0.8899216,44.485943
Canoé kayak,Halte nautique de Mios,allée de la Plage,,33380,MIOS,+33 5 56 26 63 00;+33 5 56 26 69 82,www.canoe-mios.com,,-0.94102,44.605736
Canoé kayak;Jet-ski,Base de Sports et Loisirs de La Cadie,,,33350,MOULIETS-ET-VILLEMARTIN,+33 6 80 72 65 88,www.lacdelacadie.com,,-0.017563,44.837204
Canoé kayak,Club de Canoë de Pessac-sur-Dordogne,Les quais,,33890,PESSAC-SUR-DORDOGNE,+33 5 57 47 49 46,www.canoe-fjep.org,,0.090033,44.811104
Bodyboard;Surf,Océan Roots,Plage de La Salie Nord,,33260,PYLA SUR MER,+33 6 62 26 04 11,www.oceanroots.com,,-1.2568187,44.529495
Surf;Bodyboard,Seven Seas,plage de La Salie Nord,,33115,PYLA SUR MER,+33 6 67 24 66 88,www.sevenseasurf.com,,-1.2453174,44.54889
Kite-surf,Cercle de voile de Pyla-sur-Mer - Kite surf,place Daniel Meller,,33115,PYLA-SUR-MER,+33 5 56 54 00 29,www.cvpm.fr,,-1.2031531,44.63203
Motonautisme (bateau à moteur),Grenon Marine,6, avenue de la Plage,,33115,PYLA-SUR-MER,+33 5 56 54 00 99,www.grenon-marine.fr,,-1.2030094,44.63799
Surf;Stand-up-paddel-board,Surf en Buch,plage de la Salie,,33115,PYLA-SUR-MER,+33 6 80 05 46 95,www.ecoledesurf-arcachon.com,,-1.253128,44.50483
Voile;Planche à voile;Catamaran,Cercle de voile de Pyla-sur-Mer,place Daniel Meller,,33115,PYLA-SUR-MER,+33 5 56 54 00 29,www.cvpm.fr,Ecole Française de Voile,-1.2031531,44.63203
Canoé kayak,Balade au fil de l'eau en Canot Rabaska,L'Ilot - Port Sainte-Foy,,33220,SAINTE-FOY-LA-GRANDE,+33 5 53 24 76 28,www.canoe-rabaska.com,,0.21015644,44.8428
Kayak de mer,Passion Nature,252 rue Gay Lussac,Zone d'Activités Lionne Chazeau,33127,SAINT-JEAN-D'ILLAC,+33 5 56 03 94 49,www.passionnature.fr,,-1.222186,44.70976
Canoé kayak,Kayak et Découvertes,16 bis route du Port,,33590,SAINT-VIVIEN-DE-MEDOC,+33 6 49 27 30 05,http://kayak-et-decouvertes.blogspot.fr,,-1.0326432,45.468822
Canoé kayak,H2O Aventure,Tour Ronde du Pont de l'Eyre,rue Haute Lande,33770,SALLES,+33 5 56 88 20 53,www.h2oaventure.com,,-0.872762,44.547462
Canoé kayak,Canoë Passion,6 bis route du Minoy,,33770,SALLES,+33 5 56 88 22 19,www.canoe-passion.com,,-0.877956,44.54135
Canoé kayak,Les Eclaireurs de Gascogne,7 route du Martinet,,33770,SALLES,+33 5 56 88 20 07,www.eclaireurs.gascogne.free.fr,,-0.872762,44.547462
Voile;Planche à voile;Catamaran,Club nautique de Taussat-Cassy,port ostréicole,,33138,TAUSSAT,+33 5 56 82 57 22;+33 5 56 82 83 49,http://cntaussatcassy.fr ,Ecole Française de Voile,-1.069622,44.71576
Surf,Carakas,37 avenue des Dunes,,33930,VENDAYS-MONTALIVET,+33 5 56 73 68 26,www.carakas.fr,,-1.1531907,45.37986
Surf;Bodyboard,Monta Surf School,15 rue de Mayne Mounin,,33930,VENDAYS-MONTALIVET,+33 6 81 94 45 90,www.montasurfschool.com,,-1.0620351,45.366047
Canoé kayak,Base nautique de Villandraut,Base nautique du Pré,,33730,VILLANDRAUT,+33 5 56 25 38 65,www.cc-villandraut.fr,,-0.343213,44.40954
Voile;Planche à voile;Catamaran,Asa Ambarès,base nautique de Beaujet ,,33440,AMBARES-ET-LAGRAVE,+33 5 56 77 69 16 ,http://asambares.free.fr ,Ecole Française de Voile,-0.490401,44.926495
Surf,Wegosurfing Surf Camp,8 rue Henri Cochet,,33510,ANDERNOS-LES-BAINS,+33 6 64 21 72 69,www.wegosurfing.com,,-1.0788247,44.760555
Surf,L'Andade - Ecole de Surf du Bassin,,,33510,ANDERNOS-LES-BAINS,+33 5 56 60 08 93,www.ecoledesurfdubassin.com,,-1.0993194,44.743443
Voile;Planche à voile;Catamaran,Sport nautique Andernosien,1, rue Louis Lamothe,,33510,ANDERNOS-LES-BAINS,+33 5 56 82 07 03,www.snandernos.fr ,Ecole Française de Voile,-1.100304,44.742126
Aviron;Canoé kayak,Aviron Arcachonnais,Garage nautique,quai Goslar,33120,ARCACHON,+33 5 56 83 82 40,www.aviron-arcachonnais.fr,,-1.1475563,44.660717
Bodyboard;Surf,Ocean Roots,230, boulevard de la Côte d'Argent,,33120,ARCACHON,+33 6 62 26 04 11,www.oceanroots.com,,-1.20153,44.641685
Bodyboard;Surf,Seven Seas,210, boulevard de la Côte d'Argent,,33120,ARCACHON,+33 6 67 24 66 88,www.sevenseasurf.com ,,-1.20105,44.642864
Jet-ski,Jet 33 Arcachon,quai goslar,,33120,ARCACHON,+33 6 16 55 20 45,www.jet-33.fr ,,-1.1449704,44.66044
Kayak de mer,Arcachon Kayak Aventure,Port de Plaisance,Centre Nautique Pierre Mallet,33120,ARCACHON,+33 5 57 52 97 70;+33 5 56 83 77 42,www.arcachonkayak.com,,-1.1489295,44.657787
Motonautisme (bateau à moteur),Cap 114,Track 14 place 54 et 52,,33120,ARCACHON,+33 6 61 52 26 67,www.cap114.fr,,-1.170215,44.661385
Motonautisme (bateau à moteur),Les pinasses du Bassin,quai Patrimoine,,33120,ARCACHON,+33 6 88 08 32 94,http://pinasse-bassin-arcachon.com,,-1.170215,44.661385
Motonautisme (bateau à moteur),Prestitourisme La Jouvence,15 avenue du Général de Gaulle,,33120,ARCACHON,+33 5 56 66 36 64,www.vedettejouvence.fr,,-1.1647009,44.662228
Motonautisme (bateau à moteur),Alizés 33,14, quai Capitaine Allègre,,33120,ARCACHON,+33 5 56 83 75 47,www.alizes33.net,,-1.1441808,44.656624
Motonautisme (bateau à moteur),Arca-boat,petit Port de Plaisance,6 rue des Marins ,33120,ARCACHON,+33 5 56 83 62 91,www.location-bateaux-arcachon.net ,,-1.1434364,44.65681
Motonautisme (bateau à moteur),Atlantic Navy,1, quai du Commandant Silhouette,,33120,ARCACHON,+33 5 56 83 88 49,,,-1.144297,44.657333
Motonautisme (bateau à moteur),Nautic Service,2, rue de l'Aiguillon,,33120,ARCACHON,+33 5 57 72 27 27,www.nautic-service.com,,-1.141636,44.65295
Motonautisme (bateau à moteur),Plaibat,port de plaisance,,33120,ARCACHON,+33 5 56 54 88 90,www.plaibat.fr,,-1.1434364,44.657543
Motonautisme (bateau à moteur);Bouées tractées;Monoski;Ski nautique;Scooter de mer;Wake board,Agence Nautique,2, quai Goslar,Port de Plaisance,33120,ARCACHON,+33 6 08 01 75 83,www.agence-nautique.com,,-1.146654,44.6609
Motonautisme (bateau à moteur);Scooter de mer;Bouées tractées;Jet-ski,Arcachon Marine,4, quai du Capitaine Allègre,Port de Plaisance,33120,ARCACHON,+33 5 57 72 23 23,www.arcachonmarine.com,,-1.14417,44.656704
Motonautisme (bateau à moteur),Yacht Club du Bassin d'Arcachon,quai Goslar,Port de Plaisance,33120,ARCACHON,+33 5 56 83 22 11,www.ycba-arcachon.com,,-1.146654,44.6609
Scooter de mer;Motonautisme (bateau à moteur),Côte et Mer,4, quai Goslar,,33120,ARCACHON,+33 5 56 22 03 45 ,www.coteetmer-arcachon.com,,-1.146654,44.6609
Surf;Stand-up-paddel-board;Bodyboard,Surf en Buch,238 boulevard de la Plage,,33120,ARCACHON,+33 6 80 05 46 95,www.ecoledesurf-arcachon.com,,-1.168037,44.662514
Voile,Activoile EURL,impasse Ostrea-Edulis,,33120,ARCACHON,+33 5 56 83 82 81,www.activoileocean.com,,-1.1485862,44.657177
Voile,Vent d'Arguin Organisation,petit port de plaisance,,33120,ARCACHON,+33 5 57 15 11 97,www.ventdarguin.com,,-1.1710739,44.663525
Voile;Motonautisme (bateau à moteur),Nautic Events,6, rue de Joigny,,33120,ARCACHON,+33 6 80 25 72 38,www.arcachonequipages.com,,-1.1869243,44.66086
Voile;Planche à voile;Kite-surf;Catamaran,Cercle de Voile d'Arcachon,Centre Nautique Pierre Mallet,Port de plaisance,33120,ARCACHON,+33 5 56 83 05 92,www.voile-arcachon.org,Ecole Française de Voile,-1.1424064,44.65864
Voile;Planche à voile;Sports à voile,Voile sensation,allée des Arbousiers,plage des Abatilles,33120,ARCACHON,+33 6 07 60 03 68,www.voile-sensation.com ,,-1.198521,44.645218
Canoé kayak,Bécalou Canoë-Kayak,cabane n°29,port ostréicole,33740,ARES,+33 5 57 70 49 00,www.becalou.com,Famille Plus,-1.1499166,44.766495
Voile;Planche à voile;Catamaran,Club nautique d'Arès,Place Jean Moulin,,33740,ARES,+33 5 56 60 05 37 ,http://cnares.fr ,Ecole Française de Voile,-1.13716,44.75757
Voile,Association Nautique Audengeoise,port d'Audenge,,33980,AUDENGE,+33 6 10 12 88 68,www.nautisme-audenge.fr,,-1.01938,44.678883
Canoé kayak,Location Monsieur Sylvestre GONZALEZ,15 route du Graoux,,33830,BELIN-BELIET,+33 5 56 88 04 10,,,-0.800081,44.506523
Canoé kayak,Centre d'animation du Graoux,31, route du Graoux,,33830,BELIN-BELIET,+33 5 57 71 99 29,www.canoesurlaleyre.com,,-0.800081,44.506523
Canoé kayak,Club Canoë-kayak de Bernos-Beaulac,,,33430,BERNOS-BEAULAC,+33 5 56 25 47 44,,,-0.2432012,44.370987
Planche à voile;Voile,Beabatô,4, Loumède,,33390,BERSON,+33 5 57 64 33 03,,,-0.592128,45.11859
Canoé kayak,Base nautique de Biganos,Port de Biganos,,33380,BIGANOS,+33 5 56 03 94 65,www.villedebiganos.fr ,,-0.9995627,44.64478
Canoé kayak,Descente de la Leyre avec Courant d'Eyre,Port de Biganos,,33380,BIGANOS,+33 6 85 49 72 53,www.courantdeyre.com,,-0.9995198,44.64414
Voile,Blaye Nautique,6, allées Marines,,33390,BLAYE,+33 5 57 42 80 67,www.blayenautique.com,,-0.6652307,45.123867
Canoé kayak,Canoë Kayak Bommes Nautique,22, Le Tachon,,33210,BOMMES,+33 5 56 76 61 42,http://bommesnautique.free.fr/,,-0.358775,44.54749
Voile,Ligue Aquitaine de Voile,Boulevard Jacques Chaban Delmas,,33520,BRUGES,+33 5 56 50 47 93,www.ligue-voile-aquitaine.com,Ecole Française de Voile,-0.5812883,44.880222
Voile;Catamaran;Planche à voile,Cercle de Voile de Bordeaux-Lac,boulevard Jacques Chaban Delmas,,33520,BRUGES,+33 5 57 10 60 35,www.voilebordeaux-lac.fr.st,Ecole Française de Voile,-0.612747,44.881794
Canoé kayak,Sail Wheeling Club - Canoë,Le Montaut,Maubuisson,33121,CARCANS,+33 5 57 70 14 60,www.charavoilecarcans.fr,,-1.131682,45.062206
Canoé kayak;Planche à voile;Motonautisme (bateau à moteur);Sports à voile,Maubuisson Nautic - Location de matériel nautique,boulevard du lac,Maubuisson,33121,CARCANS,+33 5 56 03 47 49,http://maubuisson-nautic.com ,,-1.132998,45.063747
Motonautisme (bateau à moteur);Voile,Au Petit Mousse - Location de matériel nautique,81, boulevard du lac,Maubuisson,33121,CARCANS,+33 5 56 03 31 91,www.petitmousse.fr,,-1.132998,45.063747
Planche à voile;Canoé kayak;Sports à voile;Stand-up-paddel-board,Force 7 - location de matériel nautique,boulevard du Lac,,33121,CARCANS,+33 6 31 79 00 65,www.force-7.com,,-1.132998,45.063747
Ski nautique;Wake board,Médoc Nautique - Location ski nautique,68, route de Bordeaux,,33121,CARCANS,+33 5 56 03 33 58,www.medoc-nautique.fr,,-1.039371,45.07895
Surf;Bodyboard,UCPA - Ecole de surf et body board,Domaine de Bombannes,,33121,CARCANS,+33 5 57 70 12 13,http://bombannes.ucpa.com,Famille Plus,-1.1418914,45.08249
Voile,Au Petit Mousse - Ecole de voile,81, boulevard du lac,,33121,CARCANS,+33 5 56 03 31 91,www.petitmousse.fr,Famille Plus,-1.1349391,45.06558
Voile,UCPA - Voile,Domaine de Bombannes,,33121,CARCANS,+33 5 57 70 12 13,www.ucpa-bombannes.com,Famille Plus,-1.1482429,45.06782
Voile,UCPA - Voile loisirs,Domaine de Bombannes,,33121,CARCANS,+33 5 57 70 12 13,www.ucpa-bombannes.com,Famille Plus,-1.0428554,45.088604
Planche à voile;Voile;Catamaran,Cercle de Voile de Bordeaux Carcans-Maubuisson,Domaine de bombannes,,33121,CARCANS-MAUBUISSON,+33 5 56 03 30 19,www.cerclevoilebordeaux.com,Famille Plus;Ecole Française de Voile,-1.1406898,45.07655
Surf,Carcans Océan Surf Club,5, place Marcel Prévot,,33121,CARCANS-OCEAN,+33 5 56 03 41 81,www.carcanssurfclub.com,Famille Plus,-1.1889266,45.082733
Surf,Ecole de Surf Les Loubines,rue piétonne,,33121,CARCANS-OCEAN,+33 6 03 24 47 90,www.lesloubines.onlc.fr,,-1.18721,45.083702
Surf,He'enalu Surf Shop - Ecole de Surf,5 bis, place Marcel Prévôt,,33121,CARCANS-OCEAN,+33 5 56 03 42 72,www.he-enalu.com,Famille Plus,-1.187242,45.082993
Aviron;Canoé kayak,Rowing Club Castillonnais,quai André Duranton,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 23 68,,,-0.040744,44.852207
Ski nautique;Wake board,Club de Jaumard,,,33260,CAZAUX,+33 5 56 22 23 68,www.leplandeau.fr,,-1.1524057,44.554638
Voile;Planche à voile;Catamaran,Cercle de voile de Cazaux,halte nautique,,33260,CAZAUX,+33 5 56 22 91 00,www.cercle-de-voile-cazaux-lac.com,Ecole Française de Voile,-1.1716961,44.52553
Canoé kayak,Base canoë kayak de Coutras,1 Prés des Piles,,33230,COUTRAS,+33 5 57 49 73 48,www.ckc-st-seurin.fr,,-0.1321578,45.040794
Surf,Ecole de surf Ze Gurp surf school,68, route de l'Océan,,33590,GRAYAN-ET-L'HOPITAL,+33 5 56 09 31 20,www.legurpsurfschool.com,,-1.152041,45.434265
Voile;Canoé kayak;Stand-up-paddel-board,Domaine Départemental Gérard Lagors,54, route de Bazas,,33125,HOSTENS,+33 5 56 88 70 29,www.gironde.fr,,-0.621158,44.483257
Motonautisme (bateau à moteur);Ski nautique;Wake board,Sea Fly,Jetée du Lac,,33990,HOURTIN,+33 6 61 57 09 78,www.plein-r-loc.com,,-1.0878181,45.1801
Planche à voile,UCPA - Planche à voile,Base Nautique,,33990,HOURTIN,+33 5 56 09 20 69,www.ucpa-vacances.com/centre/hourtin/,,-1.057202,45.18609
Planche à voile;Voile,UCPA - Jardin nautique,Base Nautique,,33990,HOURTIN,+33 5 56 09 20 69,www.ucpa-vacances.com/centre/hourtin/,,-1.057202,45.18609
Planche à voile;Voile,UCPA - Wake board,Base Nautique,,33990,HOURTIN,+33 5 56 09 20 69,www.ucpa-vacances.com/centre/hourtin/,,-1.057202,45.18609
Voile;Planche à voile;Catamaran,Club de Voile Hourtin Médoc,Piqueyrot,,33990,HOURTIN,+33 5 56 09 10 05,http://cvhm.free.fr,Famille Plus;Ecole Française de Voile,-1.121275,45.2011
Canoé kayak;Planche à voile;Sports à voile,Plein R' Loc,pointe de de Piqueyrot,avenue de la marine,33990,HOURTIN,+33 6 61 57 09 78,www.plein-r-loc.com,,-1.1209349,45.199917
Surf;Flysurf;Kite-surf,Kite Zone School,14 rue de Buffon,Lachanau,33990,HOURTIN,+33 6 37 58 48 07,www.kitezone-school.com,Ecole Française de Kite,-1.073184,45.164505
Surf,Hourtin Surf Club,Maison de la Glisse,rue des Sables,33990,HOURTIN PLAGE,+33 5 56 09 24 16,www.hourtinsurfclub.com,,-1.170001,45.222797
Surf;Bodyboard,Surfing Médoc,Résidence Plein Océan,avenue Jean Laffite,33990,HOURTIN PLAGE,+33 5 56 09 02 47,www.surfing-medoc.com,Famille Plus,-1.1691427,45.22319
Surf;Bodyboard,Surf & Co,9, avenue Jean Laffitte,,33990,HOURTIN PLAGE,+33 5 56 09 27 64,www.kanabeach.com,,-1.1671045,45.2231
Canoé kayak;Planche à voile;Sports à voile;Voile;Pêche,Les Calicobas,plage du lac,lieu-dit Couleyre,33990,HOURTIN PORT,+33 5 56 09 28 05,www.lescalicobas.com,,-1.0858654,45.178528
Voile,Centre Nautique UCPA Hourtin,Le port,,33990,HOURTIN PORT,+33 5 56 09 20 69,www.ucpa-vacances.com/centre/hourtin/,,-1.0867452,45.180283
Canoé kayak,Canoë de Garonne,Cale de Hure,,33190,HURE,+33 6 77 68 53 75,www.canoesdegaronne.jimdo.fr,,0.001006,44.54512
Kite-surf,Alex Kite School,3b avenue de Binghamton,,33260,LA TESTE-DE-BUCH,+33 5 57 52 38 07,www.alexkite.com,Ecole Française de Kite,-1.1354903,44.61576
Kite-surf,APC Kite,,,33260,LA TESTE-DE-BUCH,+33 6 19 44 18 12,www.apckite.com,,-1.2040758,44.636444
Motonautisme (bateau à moteur),Cap 114,lieu-dit Lapin Blanc,,33260,LA TESTE-DE-BUCH,+33 6 61 52 26 67,www.cap114.fr,,-1.1489939,44.649803
Motonautisme (bateau à moteur),I2eF (location de tilloles électriques),avenue des Pêcheurs,Cabane 55,33260,LA TESTE-DE-BUCH,+33 6 79 33 66 53,www.tillole-electrique.com,,-1.1456251,44.641422
Stand-up-paddel-board,Yak'Ocean,121 Les Solariales,Domaine de la Forge,33260,LA TESTE-DE-BUCH,+33 6 11 92 05 83,www.yakocean.com,,-1.1775326,44.52076
Flysurf;Wake board;Kite-surf,Lacanau Kite Center,12 allée de la Conches,,33680,LACANAU,+33 6 08 34 59 07,http://lacanaukite-wakecenter.com,Famille Plus;Ecole Française de Kite,-1.0985523,44.98197
Canoé kayak;Stand-up-paddel-board,Cris Loisirs,plage du Moutchic,,33680,LACANAU,+33 6 72 21 54 41,,Famille Plus,-1.1272788,45.003315
Planche à voile;Catamaran,Voile Lacanau Guyenne,24, allée du Club,La Grande Escoure,33680,LACANAU,+33 5 56 03 05 11,http://voilelacanau.free.fr,Famille Plus;Ecole Française de Voile,-1.1407488,44.967407
Voile,Le Mahi-mahi,Longarisse,,33680,LACANAU,+33 6 61 21 38 09,www.le-mahi-mahi.com,Famille Plus,-1.1328309,44.95674
Voile,Long'aventure,plage du Bernos,Longarisse,33680,LACANAU,+33 6 60 10 69 02,,,-1.1312484,44.948154
Voile;Planche à voile,Chamoulou,plage du Moutchic,,33680,LACANAU,+33 5 56 03 05 97,www.catamaran-voile-lacanau.fr,,-1.1346173,45.00215
Canoé kayak;Stand-up-paddel-board;Voile;Surf,Nomade,6, avenue Plantey,,33680,LACANAU OCEAN,+33 5 56 03 06 99,www.nomade.lacanauocean.com,Accueil Vélo;Vélodyssée,-1.1926742,45.00135
Surf,Lacanau Surf Club,Maison de la Glisse,,33680,LACANAU OCEAN,+33 5 56 26 38 84,www.lacanausurfclub.com,Famille Plus,-1.2007766,45.00551
Surf,Aola Surf School,2, place de la Concorde,,33680,LACANAU OCEAN,+33 5 56 03 53 72,www.aolasurfschool.com,,-1.2008196,44.994164
Surf,Bo & Co - Ecole de Surf,5, avenue Poincaré,,33680,LACANAU OCEAN,+33 5 56 26 33 99,www.bocosurf.com,Famille Plus,-1.1993819,45.003647
Surf,Océan Ride,8, avenue du Maréchal des Logis Garnung,,33680,LACANAU OCEAN,+33 5 57 17 46 71,www.ocean-ride.com,Famille Plus,-1.194735,45.002136
Surf,UCPA - Le Surf Sans Frontière,,,33680,LACANAU OCEAN,+33 5 56 03 27 60,http://lacanau.ucpa.com,Famille Plus,-1.201002,44.997005
Surf;Bodyboard,Ecole de surf HCL et bodyboard,1, avenue Pierre Loti,,33680,LACANAU OCEAN,+33 5 56 26 31 82,www.bodyboardhouse.com,,-1.2007069,45.003727
Surf;Bodyboard,Big Mama Surf School,4, boulevard d'Espérey,,33680,LACANAU OCEAN,+33 5 56 26 33 55,www.ecole-surf-lacanau.com,Famille Plus,-1.195085,45.00764
Surf;Bodyboard,Wally Glisse,plage du Lion,,33680,LACANAU OCEAN,+33 6 19 07 05 53,www.wallyglisse.com,Famille Plus,-1.2001597,44.980373
Wave-ski;Canoé kayak,Canoë Kayak Lacanau Guyenne,24 allée du Club,La Grande Escoure,33680,LACANAU OCEAN,+33 6 06 47 79 74,www.cklg.a3w.fr,,-1.201812,44.99652
Surf;Bodyboard,Skeepskool - Ecole de surf,plage du Gressier,,33680,LE PORGE,+33 6 70 60 54 26,www.ecole2surf.com,,-1.2151908,44.89285
Surf;Bodyboard,So Nice Surf School,plage du Gressier,,33680,LE PORGE,+33 6 59 99 04 21,www.sonicesurfschool.com,,-1.2134742,44.896923
Surf;Bodyboard,UCPA - Ecole de surf,Le Porge Océan,,33680,LE PORGE,+33 5 57 70 95 00,www.ucpa.com/centre_sportif/porge_ocean.htm,,-1.2153625,44.89285
Surf;Bodyboard;Wave-ski,Naucala Surf Shop,63 avenue de Bordeaux,,33680,LE PORGE,+33 5 57 70 91 07,www.naucala.com,,-1.0740637,44.87561
