COMMUNE_INSEE,COMMUNE_LIBMIN,COMMUNE_LIBSNA,COMMUNE_LIBDOC,ARR_V3CAR,ARR_V1CAR,ARR_LIBMIN,CANTON_V4CAR,CANTON_V2CAR,CANTON_LIBMIN,MAIRIE_ADR_L1,MAIRIE_ADR_L2,MAIRIE_ADR_L3,MAIRIE_ADR_L4NUM,MAIRIE_ADR_L4B,MAIRIE_ADR_L4VOIE,MAIRIE_ADR_L4_COMPLET,MAIRIE_ADR_L5,MAIRIE_ADR_L6CP,MAIRIE_ADR_L6COMMUNE,MAIRE_MR_MME,MAIRE_NOM,MAIRE_PRENOM,MAIRIE_TEL,MAIRIE_FAX,MAIRIE_MAIL,MAIRIE_SITE
33504,Sauternes,SAUTERNES                             ,,333,3,,3328,28,Langon,,,,,,,5 PLACE DE LA MAIRIE,,33210,SAUTERNES,Monsieur,DESCAMPS,Jean-Michel,0556766112,0556766308,mairie@sauternes.com,www.sauternes.com
33505,La Sauve,LA SAUVE                              ,,332,2,,3323,23,Créon,,,,,,,14 RUE DE LA MAIRIE,,33670,LA SAUVE MAJEURE,Monsieur,TERRAZA,Alain,0557970220,0557970210,mairie.de.la.sauve.majeure@wanadoo.fr,www.lasauvemajeure.com
33506,Sauveterre-de-Guyenne,SAUVETERRE DE GUYENNE                 ,,333,3,,3347,47,Sauveterre-de-Guyenne,,,,,,,28 PLACE REPUBLIQUE,,33540,SAUVETERRE DE GUYENNE,Monsieur,d'AMECOURT,Yves,0556715043,0556715939,sauveterre.mairie@wanadoo.fr,www.sauveterre de guyenne.eu
33507,Sauviac,SAUVIAC                               ,,333,3,,3304,04,Bazas,,,,,,,HOTEL DE VILLE,,33430,SAUVIAC,Monsieur,AIME,Michel,0556250919,0556258137,mairie de sauviac@nordnet.fr,
33508,Savignac,SAVIGNAC                              ,,333,3,,3303,03,Auros,,,,,,,HOTEL DE VILLE,,33124,SAVIGNAC,Monsieur,MONTO,Patrick,0556654086,0556654209,savignac3@wanadoo.fr,
33509,Savignac-de-l'Isle,SAVIGNAC DE L ISLE                    ,,335,5,,3326,26,Guîtres,,,,,,,HOTEL DE VILLE,,33910,SAVIGNAC DE L'ISLE,Monsieur,TILH,Yves,0557842590,0557842590,mairie de savignac@wanadoo.fr,
33510,Semens,SEMENS                                ,,333,3,,3343,43,Saint-Macaire,,,,,,,HOTEL DE VILLE,,33490,SEMENS,Monsieur,LARTIGAU,David,0556620513,0556620513,mairie.semens@wanadoo.fr,
33511,Sendets,SENDETS                               ,,333,3,,3325,25,Grignols,,,,,,,HOTEL DE VILLE,,33690,SENDETS,Monsieur,LABAT,Marc,0556255982,0556256171,mairie.sendets33@wanadoo.fr,www.cc captieux grignols.fr/mairies_sendets
33512,Sigalens,SIGALENS                              ,,333,3,,3303,03,Auros,,,,,,,HOTEL DE VILLE,,33690,SIGALENS,Monsieur,PERAUDEAU,Claude,0556653202,0556653202,mairie.sigalens@wanadoo.fr,
33513,Sillas,SILLAS                                ,,333,3,,3325,25,Grignols,,,,,,,HOTEL DE VILLE,2 LOUSTEAU NEUF,33690,SILLAS,Monsieur,DABITCH,Claude,0556255001,0556255001,mairiedesillas@wanadoo.fr,
33514,Soulac-sur-Mer,SOULAC SUR MER                        ,,334,4,,3346,46,Saint-Vivien-de-Médoc,,,,,,,2 RUE DE L'HOTEL DE VILLE,,33780,SOULAC SUR MER,Monsieur,PINTAT,Xavier,0556732929,0556732901,webmaster@mairie soulac.fr,www.soulac.com
33515,Soulignac,SOULIGNAC                             ,,333,3,,3348,48,Targon,,,,,,,HOTEL DE VILLE,,33760,SOULIGNAC,Monsieur,PARGADE,Alain,0556239212,0556239212,mairie.soulignac@wanadoo.fr,
33516,Soussac,SOUSSAC                               ,,333,3,,3334,34,Pellegrue,,,,,,,HOTEL DE VILLE,18 LE BOURG,33790,SOUSSAC,Monsieur,COURGEAU,Alain,0556613740,0556613063,soussac@wanadoo.fr,
33517,Soussans,SOUSSANS                              ,,334,4,,3320,20,Castelnau-de-Médoc,,,,,,,16 ROUTE DE PAUILLAC,,33460,SOUSSANS,Monsieur,CHARRON,Pierre-Yves,0557883304,0557883708,mairie.soussans33@wanadoo.fr,
33518,Tabanac,TABANAC                               ,,332,2,,3323,23,Créon,,,,,,,HOTEL DE VILLE,,33550,TABANAC,Monsieur,BROUSTAUT,Jean-François,0556670519,0556675604,mairie.tabanac@wanadoo.fr,
33519,Le Taillan-Médoc,LE TAILLAN MEDOC                      ,,332,2,,3363,63,Saint-Médard-en-Jalles,,,,,,,PLACE MICHEL REGLADE,,33320,LE TAILLAN MEDOC,Monsieur,FREYGEFOND,Ludovic,0556355060,0556355061,mairie@taillan medoc.fr,www.mairie taillan medoc.fr
33520,Taillecavat,TAILLECAVAT                           ,,333,3,,3332,32,Monségur,,,,,,,LE BOURG,,33580,TAILLECAVAT,Monsieur,BORDAS,Bernard,0556616469,0556616469,taillecavat@orange.fr,
33521,Talais,TALAIS                                ,,334,4,,3346,46,Saint-Vivien-de-Médoc,,,,,,,6 ROUTE DU BOURG,,33590,TALAIS,Monsieur,LAPORTE,Franck,0556731773,0556731769,mairietalais@wanadoo.fr,www.pointe medoc.com
33522,Talence,TALENCE                               ,,332,2,,3356,56,Talence,,,,,,,RUE DU PROFESSEUR ARNOZAN,BP 35,33401,TALENCE CEDEX,Monsieur,CAZABONNE,Alain,0556847828,0556847825,cabinet@talence.fr,www.mairie talence.fr
33523,Targon,TARGON                                ,,333,3,,3348,48,Targon,,,,,,,HOTEL DE VILLE,,33760,TARGON,Monsieur,PEZAT,Richard,0556239013,0556234547,mairie.targon@wanadoo.fr,
33524,Tarnès,TARNES                                ,,335,5,,3324,24,Fronsac,,,,,,,HOTEL DE VILLE,,33240,TARNES,Monsieur,MALLIE,Bernard,0557581815,0557581815,mairietarnes@wanadoo.fr,
33525,Tauriac,TAURIAC                               ,,331,1,,3315,15,Bourg,,,,,,,2 RUE DES ECOLES,,33710,TAURIAC,Madame,SAEZ,Catherine,0557684333,0557683601,mairiedetauriac2@wanadoo.fr,www.tauriac.com
33526,Tayac,TAYAC                                 ,,335,5,,3331,31,Lussac,,,,,,,LE BOURG,,33570,TAYAC,Madame,BUORO,Catherine,0557406657,0557406657,mairiedetayac@orange.fr,
33527,Le Teich,LE TEICH                              ,,336,6,,3349,49,Teste-de-Buch (La),,,,,,,MAIRIE DU TEICH,PLACE DU SOUVENIR,33470,LE TEICH,Monsieur,DELUGA,François,0556223360,0556223361,contact@leteich.com,
33528,Le Temple,LE TEMPLE                             ,,334,4,,3320,20,Castelnau-de-Médoc,,,,,,,18 ROUTE DU PORGE,,33680,LE TEMPLE,Monsieur,PALLIN,Jean-Luc,0556265131,0557709270,mairiedutemple@free.fr,
33529,La Teste-de-Buch,LA TESTE DE BUCH                      ,,336,6,,3349,49,Teste-de-Buch (La),,,,,,,PLACE GAMBETTA,BP 105,33260,LA TESTE DE BUCH,Monsieur,EROLES,Jean-Jacques,0556223500,0556544640,mairie@latestedebuch.fr,www.latestedebuch.com
33530,Teuillac,TEUILLAC                              ,,331,1,,3315,15,Bourg,,,,,,,LE BOURG,,33710,TEUILLAC,Monsieur,BLANC,Jean-Franck,0557643455,0557642225,accueil@mairie teuillac.com,www.teuillac.a3w.fr
33531,Tizac-de-Curton,TIZAC DE CURTON                       ,,335,5,,3316,16,Branne,,,,,,,7 GAILLOT,,33420,TIZAC DE CURTON,Monsieur,FERRAND,Edmond,0557242430,0557241097,mairie.tizac.de.curton@wanadoo.fr,
33532,Tizac-de-Lapouyade,TIZAC DE LAPOUYADE                    ,,335,5,,3326,26,Guîtres,,,,,,,10 LE BOURG NORD,,33620,TIZAC DE LAPOUYADE,Monsieur,DE ZALDUA,Marcel,0557494006,0557690531,mairie.tizac.de.lapouyade@wanadoo.fr,
33533,Toulenne,TOULENNE                              ,,333,3,,3328,28,Langon,,,,,,,73 AVENUE DU 8 MAI 1945,,33210,TOULENNE,Monsieur,DAIRE,Christian,0556634839,0556761527,mairie.toulenne@wanadoo.fr,www.mairie toulenne.fr
33534,Le Tourne,LE TOURNE                             ,,332,2,,3323,23,Créon,,,,,,,2 CHEMIN DE PEYROUTIC,,33550,LE TOURNE,Monsieur,LARRIEU-MANAN,J. Louis,0556670261,0556670933,mairieletourne@wanadoo.fr,
33535,Tresses,TRESSES                               ,,332,2,,3358,58,Floirac,,,,,,,BP 67,,33370,TRESSES,Monsieur,SOUBIE,Christian,0557341327,0557340618,mairie@tresses.org,www.tresses.org
33536,Le Tuzan,LE TUZAN                              ,,333,3,,3345,45,Saint-Symphorien,,,,,,,HOTEL DE VILLE,,33125,LE TUZAN,Monsieur,PALSEUR,Daniel,0556257928,0556253549,mairie.le.tuzan@wanadoo.fr,
33537,Uzeste,UZESTE                                ,,333,3,,3350,50,Villandraut,,,,,,,11 PLACE DE L'EGLISE,,33730,UZESTE,Madame,BAUP,Jeanne-Marie,0556253311,0556258573,mairie uzeste@wanadoo.fr,
33538,Valeyrac,VALEYRAC                              ,,334,4,,3329,29,Lesparre-Médoc,,,,,,,3 PLACE DU 11 NOVEMBRE 1918,,33340,VALEYRAC,Monsieur,DUPORT,Philippe,0556415201,0556415733,valeyrac@wanadoo.fr,
33539,Vayres,VAYRES                                ,,335,5,,3330,30,Libourne,,,,,,,44 AVENUE DE LIBOURNE,,33870,VAYRES,Madame,MAIDON,Hélène,0557552555,0557552556,mairiedevayres@wanadoo.fr,www.mairie vayres.fr
33540,Vendays-Montalivet,VENDAYS MONTALIVET                    ,,334,4,,3329,29,Lesparre-Médoc,,,,,,,HOTEL DE VILLE,,33930,VENDAYS MONTALIVET,Monsieur,BIBEY,Michel,0556733202,0556733203,mairie@vendaysmontalivet.com,www.vendaysmontalivet.com
33541,Vensac,VENSAC                                ,,334,4,,3346,46,Saint-Vivien-de-Médoc,,,,,,,1 PLACE DE LA MAIRIE,,33590,VENSAC,Monsieur,PIQUEMAL,Jean-Luc,0556094404,0556095355,mairiedevensac@vensac medoc.com,www.vensac medoc.com
33542,Vérac,VERAC                                 ,,335,5,,3324,24,Fronsac,,,,,,,LE BOURG,,33240,VERAC,Monsieur,PINEAUD,Jack,0557844126,0557848467,mairiedeverac@wanadoo.fr,
33543,Verdelais,VERDELAIS                             ,,333,3,,3343,43,Saint-Macaire,,,,,,,HOTE DE VILLE,3 LES ALLEES,33490,VERDELAIS,Monsieur,MESNARD,Philippe,0556620206,0556767001,mairie de verdelais@wanadoo.fr,www.verdelais.com
33544,Le Verdon-sur-Mer,LE VERDON SUR MER                     ,,334,4,,3346,46,Saint-Vivien-de-Médoc,,,,,,,9 BOULEVARD LAHENS,,33123,LE VERDON SUR MER,Monsieur,BIDALUN,Jacques,0556096019,0556096475,contact@ville verdon.org,www.ville verdon.org
33545,Vertheuil,VERTHEUIL                             ,,334,4,,3333,33,Pauillac,,,,,,,2 PLACE SAINT PIERRE,,33180,VERTHEUIL,Monsieur,JARRIS,Rémi,0556733010,0556733819,communedevertheuil@orange.fr,
33546,Vignonet,VIGNONET                              ,,335,5,,3321,21,Castillon-la-Bataille,,,,,,,4 DARTUS,,33330,VIGNONET,Monsieur,DANGIN,Xavier,0557845312,0557551421,mairie.vignonet@wanadoo.fr,
33547,Villandraut,VILLANDRAUT                           ,,333,3,,3350,50,Villandraut,,,,,,,PLACE DU GENERAL DE GAULLE,,33730,VILLANDRAUT,Monsieur,PAIROYS,Dominique,0556253141,0556258614,mairiedevillandraut@wanadoo.fr,
33548,Villegouge,VILLEGOUGE                            ,,335,5,,3324,24,Fronsac,,,,,,,3 PLACE DU GENERAL DE GAULLE,,33141,VILLEGOUGE,Madame,MEDES,Jeanine,0557844208,0557844964,mairie.villegouge@wanadoo.fr,
33549,Villenave-de-Rions,VILLENAVE DE RIONS                    ,,333,3,,3317,17,Cadillac,,,,,,,315 NORMAND NORD,,33550,VILLENAVE DE RIONS,Monsieur,ANTOINE,René Dominique,0556721703,0556721809,mairie.villenavederions33@orange.fr,
33550,Villenave-d'Ornon,VILLENAVE D ORNON                     ,,332,2,,3357,57,Villenave-d'Ornon,,,,,,,RUE DU PROFESSEUR CALMETTE,BP 97,33883,VILLENAVE D'ORNON CEDEX,Monsieur,PUJOL,Patrick,0556756900,0556756916,maire@mairie villenavedornon.fr,www.mairie villenavedornon.fr
33551,Villeneuve,VILLENEUVE                            ,,331,1,,3315,15,Bourg,,,,,,,LE BOURG,,33710,VILLENEUVE,Madame,VERGES,Catherine,0557648724,0557648157,mairie.villeneuve33@wanadoo.fr,
33552,Virelade,VIRELADE                              ,,333,3,,3336,36,Podensac,,,,,,,BP 17,4 RUE DE LA MAIRIE,33720,VIRELADE,Monsieur,FAUBET,Dominique,0556271770,0556272647,mairie.virelade@wanadoo.fr,www.virelade.fr
33553,Virsac,VIRSAC                                ,,331,1,,3339,39,Saint-André-de-Cubzac,,,,,,,2 BERDAT,,33240,VIRSAC,Madame,BOURSEAU,Christiane,0557431103,0557434622,mairie.virsac@wanadoo.fr,
33554,Yvrac,YVRAC                                 ,,332,2,,3355,55,Cenon,,,,,,,9 AVENUE DE BLANZAC,,33370,YVRAC,Monsieur,CARTY,Claude,0556066878,0556062651,yvrac.mairie@wanadoo.fr,
33555,Marcheprime,MARCHEPRIME                           ,,336,6,,3302,02,Audenge,,,,,,,3 AVENUE DE LA REPUBLIQUE,,33380,MARCHEPRIME,Monsieur,BAUDY,Serge,0557711870,0557711906,lemaire@ville marcheprime.fr,www.ville marcheprime.fr
33134,Couquèques,COUQUEQUES                            ,,334,4,,3329,29,Lesparre-Médoc,,,,,,,2 RUE DU 3 JUILLET 1895,,33340,COUQUEQUES,Monsieur,FAUGEROLLE,Thieery,0556415372,0556415912,commune de couqueque@wanadoo.fr,
33135,Courpiac,COURPIAC                              ,,333,3,,3348,48,Targon,,,,,,,HOTEL DE VILLE,,33760,COURPIAC,Madame,ANDRON CLAVERIE,Monique,0962069496,0556239309,de courpiac.mairie@orange.fr,
33136,Cours-de-Monségur,COURS DE MONSEGUR                     ,,333,3,,3332,32,Monségur,,,,,,,HOTEL DE VILLE,9 LE BOURG,33580,COURS DE MONSEGUR,Monsieur,JOUSSEAUME,Yannick,0556616243,0556616243,mairie.coursdemonsegur@orange.fr,
33137,Cours-les-Bains,COURS LES BAINS                       ,,333,3,,3325,25,Grignols,,,,,,,HOTEL DE VILLE,,33690,COURS LES BAINS,Monsieur,LABARDIN,Etienne,0556255576,0556256149,mairie.courslesbains@wanadoo.fr,
33138,Coutras,COUTRAS                               ,,335,5,,3322,22,Coutras,,,,,,,PLACE ERNEST BARRAUD,BP 69,33230,COUTRAS,Madame,ARNAUD,Marie-Claire,0557560909,0557560904,accueil@mairie coutras.fr,
33139,Coutures,COUTURES                              ,,333,3,,3332,32,Monségur,,,,,,,HOTEL DE VILLE,,33580,COUTURES SUR DROT,Monsieur,HATRON,Jean-Marie,0556616321,0556616321,pas d'email,
33140,Créon,CREON                                 ,,332,2,,3323,23,Créon,,,,,,,50 PLACE DE LA PREVOTE,,33670,CREON,Monsieur,DARMIAN,Jean-Marie,0557345454,0557345446,contact@mairie creon.fr,www.mairie creon.fr
33141,Croignon,CROIGNON                              ,,332,2,,3323,23,Créon,,,,,,,HOTEL DE VILLE,2 RUE DE LA MAIRIE,33750,CROIGNON,Monsieur,COUSSO,Frédéric,0556301064,0556301629,mairiedecroignon@wanadoo.fr,www.croignon.fr
33142,Cubnezais,CUBNEZAIS                             ,,331,1,,3344,44,Saint-Savin,,,,,,,3 RUE DE LA GRAVETTE,,33620,CUBNEZAIS,Monsieur,DESPERIEZ,Jean-Luc,0557687071,0557680004,mairiedecubnezais33@wanadoo.fr,
33143,Cubzac-les-Ponts,CUBZAC LES PONTS                      ,,331,1,,3339,39,Saint-André-de-Cubzac,,,,,,,49 AVENUE DE PARIS,,33240,CUBZAC LES PONTS,Monsieur,TABONE,Alain,0557430211,0557439247,mairie.cubzac@wanadoo.fr,www.mairie cubzaclesponts.com
33144,Cudos,CUDOS                                 ,,333,3,,3304,04,Bazas,,,,,,,7 LE BOURG OUEST,,33430,CUDOS,Monsieur,DUPIOL,Jean-Claude,0556254183,0556254739,mairie cudos@wanadoo.fr,
33145,Cursan,CURSAN                                ,,332,2,,3323,23,Créon,,,,,,,HOTEL DE VILLE,,33670,CURSAN,Monsieur,SEURIN,Jean-Pierre,0556230629,0556230660,mairiedecursan@wanadoo.fr,
33146,Cussac-Fort-Médoc,CUSSAC FORT MEDOC                     ,,334,4,,3320,20,Castelnau-de-Médoc,,,,,,,34 AVENUE HAUT MEDOC,,33460,CUSSAC FORT MEDOC,Monsieur,FEDIEU,Dominique,0557888500,0557888515,cussac.medoc@wanadoo.fr,
33147,Daignac,DAIGNAC                               ,,335,5,,3316,16,Branne,,,,,,,HOTEL DE VILLE,,33420,DAIGNAC,Monsieur,MASSIAS,Michel,0557242543,0557242833,mairie.daignac@wanadoo.fr,
33148,Dardenac,DARDENAC                              ,,335,5,,3316,16,Branne,,,,,,,HOTEL DE VILLE,CHEMIN DE TURON,33420,DARDENAC,Monsieur,BASTIE,Ludovic,0556239457,0556239457,mairie.dardenac@wanadoo.fr,
33149,Daubèze,DAUBEZE                               ,,333,3,,3347,47,Sauveterre-de-Guyenne,,,,,,,HOTEL DE VILLE,,33540,DAUBEZE,Monsieur,MAUMY,Patrck,0556718894,0556718894,mairie.daubeze@wanadoo.fr,
33150,Dieulivol,DIEULIVOL                             ,,333,3,,3332,32,Monségur,,,,,,,HOTEL DE VILLE,,33580,DIEULIVOL,Monsieur,GOULARD,Jean-Jacques,0556616231,0556616231,mairie.dieulivol@orange.fr,
33151,Donnezac,DONNEZAC                              ,,331,1,,3344,44,Saint-Savin,,,,,,,HOTEL DE VILLE,,33860,DONNEZAC,Monsieur,PRINCE,Bernard,0557589011,0557580768,mairiedonnezac@wanadoo.fr,
33152,Donzac,DONZAC                                ,,333,3,,3317,17,Cadillac,,,,,,,HOTEL DE VILLE,,33410,DONZAC,Monsieur,QUEYRENS,Alain,0556629755,0556629755,donzac.mairie@wanadoo.fr,
33153,Doulezon,DOULEZON                              ,,335,5,,3337,37,Pujols,,,,,,,HOTEL DE VILLE,,33350,DOULEZON,Madame,GALINEAU,Annie,0557405183,0557405189,communedoulezon@orange.fr,http://doulezon.over blog.com/
33154,Les Églisottes-et-Chalaures,LES EGLISOTTES ET CHALAURES           ,,335,5,,3322,22,Coutras,,,,,,,42 AVENUE VICTOR HUGO,,33230,LES EGLISOTTES ET CHALAURES,Monsieur,NADEAU,Bernard,0557695015,0557495286,mairie les eglisottes@wanadoo.fr,
33155,Escaudes,ESCAUDES                              ,,333,3,,3318,18,Captieux,,,,,,,HOTEL DE VILLE,,33840,ESCAUDES,Monsieur,MANSENCAL,Christian,0556656453,0556656453,mairie.escaudes@wanadoo.fr,
33156,Escoussans,ESCOUSSANS                            ,,333,3,,3348,48,Targon,,,,,,,HOTEL DE VILLE,,33760,ESCOUSSANS,Monsieur,MENGUIN,Jean-Michel,0556234741,0556234253,mairie.escoussans@wanadoo.fr,
33157,Espiet,ESPIET                                ,,335,5,,3316,16,Branne,,,,,,,HOTEL DE VILLE,,33420,ESPIET,Monsieur,PIOT,Bernard,0557242427,0557241790,mairie.espiet@wanadoo.fr,
33158,Les Esseintes,LES ESSEINTES                         ,,333,3,,3338,38,Réole (La),,,,,,,HOTEL DE VILLE,,33190,LES ESSEINTES,Monsieur,CAPDEVILLE,Xavier,0556714345,0556714378,lesesseintes@wanadoo.fr,
33159,Étauliers,ETAULIERS                             ,,331,1,,3340,40,Saint-Ciers-sur-Gironde,,,,,,,55 RUE PRINCIPALE,,33820,ETAULIERS,Monsieur,LAVIE-CAMBOT,Bernard,0557647027,0557645038,mairie.etauliers@wanadoo.fr,www.etauliers.fr
33160,Eynesse,EYNESSE                               ,,335,5,,3341,41,Sainte-Foy-la-Grande,,,,,,,HOTEL DE VILLE,,33220,EYNESSE,Monsieur,DUFOUR,Gérard,0557410038,0557410821,mairie.eynesse@orange.fr,
33161,Eyrans,EYRANS                                ,,331,1,,3340,40,Saint-Ciers-sur-Gironde,,,,,,,HOTEL DE VILLE,,33390,EYRANS,Monsieur,BAILAN,Bernard,0557647116,0557645158,mairie.eyrans@wanadoo.fr,
33162,Eysines,EYSINES                               ,,332,2,,3306,06,Blanquefort,,,,,,,BP 9,,33326,EYSINES CEDEX,Madame,BOST,Christine,0556161800,0556575264,cabinet@ville eysines.fr,www.ville eysines.fr
33163,Faleyras,FALEYRAS                              ,,333,3,,3348,48,Targon,,,,,,,30 LE BOURG,,33760,FALEYRAS,Madame,BESSE CASTANT,Josie,0556239213,0556239213,mairie.de.faleyras@orange.fr,http://faleyras.mairie.com
33164,Fargues,FARGUES                               ,,333,3,,3328,28,Langon,,,,,,,HOTEL DE VILLE,13 ROUTE DES ECOLES,33210,FARGUES DE LANGON,Monsieur,AUGEY,Pierre,0556633142,0556768018,mairie fargues@wanadoo.fr,
33165,Fargues-Saint-Hilaire,FARGUES ST HILAIRE                    ,,332,2,,3323,23,Créon,,,,,,,61 AVENUE ENTRE DEUX MERS,,33370,FARGUES SAINT HILAIRE,Monsieur,LAFON,André,0556212141,0556683362,Mairie fargues st hilaire@wanadoo.fr,www.fargues saint hilaire.fr
33166,Le Fieu,LE FIEU                               ,,335,5,,3322,22,Coutras,,,,,,,HOTEL DE VILLE,5 LE BOURG,33230,LE FIEU,Monsieur,VACHER,Michel,0557696438,0557697208,mairie.lefieu@wanadoo.fr,http://www.pays de coutras.com/lefieu/
33167,Floirac,FLOIRAC                               ,,332,2,,3358,58,Floirac,,,,,,,6 AVENUE PASTEUR,BP 110,33270,FLOIRAC,Madame,LACUEY,Conchita,0557808700,0556408008,accueil@ville floirac33.fr,www.ville floirac33.fr
33168,Flaujagues,FLAUJAGUES                            ,,335,5,,3337,37,Pujols,,,,,,,HOTEL DE VILLE,,33350,FLAUJAGUES,Monsieur,DUBORIE,Guy,0557400833,0557402935,mairie.flaujagues@orange.fr,
33169,Floudès,FLOUDES                               ,,333,3,,3338,38,Réole (La),,,,,,,HOTEL DE VILLE,,33190,FLOUDES,Monsieur,MONIC,Dominique,0556612611,0556612611,mairie de floudes@wanadoo.fr,
33170,Fontet,FONTET                                ,,333,3,,3338,38,Réole (La),,,,,,,HOTEL DE VILLE,,33190,FONTET,Monsieur,MONGIE,Jean-Marie,0556610830,0556710482,mairie.de.fontet@wanadoo.fr,
33171,Fossès-et-Baleyssac,FOSSES ET BALEYSSAC                   ,,333,3,,3338,38,Réole (La),,,,,,,HOTEL DE VILLE,,33190,FOSSES ET BALEYSSAC,Madame,BRUJERE,Michèle,0556617051,0556617868,fossesetbaleyssac@wanadoo.fr,
33172,Fours,FOURS                                 ,,331,1,,3307,07,Blaye,,,,,,,25 ROUTE DE CANTELOUP,,33390,FOURS,Monsieur,PASTOR,Georges-André,0557428366,0557328466,mairiedefours1@orange.fr,
33173,Francs,FRANCS                                ,,335,5,,3331,31,Lussac,,,,,,,11 LE BOURG,,33570,FRANCS,Madame,MADRID,Claudine,0557406675,0557406675,mairiedefrancs@wanadoo.fr,
33174,Fronsac,FRONSAC                               ,,335,5,,3324,24,Fronsac,,,,,,,RUE DU GENERAL DE GAULLE,,33126,FRONSAC,Monsieur,DURANT,Marcel,0557513020,0557516035,mairie.fronsac@wanadoo.fr,
33175,Frontenac,FRONTENAC                             ,,333,3,,3348,48,Targon,,,,,,,1 PLACE DU 19 MARS 1962,,33760,FRONTENAC,Monsieur,PAULY,Hervé,0556239638,0556234133,mairie.frontenac@wanadoo.fr,
33176,Gabarnac,GABARNAC                              ,,333,3,,3317,17,Cadillac,,,,,,,HOTEL DE VILLE,,33410,GABARNAC,Monsieur,MASSIEU,André,0556629774,0556629774,mairie de gabarnac@wanadoo.fr,
33177,Gaillan-en-Médoc,GAILLAN EN MEDOC                      ,,334,4,,3329,29,Lesparre-Médoc,,,,,,,2 RUE DE L'HOTEL DE VILLE,,33340,GAILLAN EN MEDOC,Monsieur,HENRY,Jean-Brice,0556410308,0556411021,mairie de gaillan@wanadoo.fr,
33178,Gajac,GAJAC                                 ,,333,3,,3304,04,Bazas,,,,,,,HOTEL DE VILLE,,33430,GAJAC,Monsieur,DIONIS DU SEJOUR,Bruno,0556250302,0556250302,communedegajac@orange.fr,
33179,Galgon,GALGON                                ,,335,5,,3324,24,Fronsac,,,,,,,RUE FRANÇOIS MITTERRAND,,33133,GALGON,Monsieur,BAYARD,Jean-Marie,0557550410,0557743330,mairie de galgon@wanadoo.fr,
