TYPE,THEMES_DU_SITE,CATEGORIE,NOM_DU_SITE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,LABELS,LONGITUDE,LATITUDE
Site et monument historiques,Croix,Sites et monuments historiques inscrits,Croix du Cimetière de Croignon,,,33750,CROIGNON,+33 5 56 30 10 64 ,www.croignon.fr ,,-0.3443527,44.819107
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Martin de Cubnezais,,,33620,CUBNEZAIS,+33 5 57 68 70 71,,,-0.4067087,45.077793
Site et monument historiques,Ruines et vestiges,Sites et monuments historiques inscrits,Le Château des Quatre Fils Aymon,,,33240,CUBZAC-LES-PONTS,+33 5 57 43 64 80,www.cubzaguais-tourisme.com,,-0.45538,44.968925
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Jean de Cudos,,,33430,CUDOS,+33 5 56 25 41 83,,,-0.219728,44.38727
Site et monument historiques,Fort,Sites et monuments historiques classés;Patrimoine mondial UNESCO;ZPPAUP,Fort Médoc,Avenue du Fort Médoc,,33460,CUSSAC-FORT-MEDOC,+33 5 56 58 98 40;+33 5 57 88 85 00,www.cussac-fort-medoc.fr,,-0.660191,45.050877
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Notre-Dame de Daubèze,,,33540,DAUBEZE,+33 5 56 71 53 45,www.entredeuxmers.com,,-0.141654,44.71279
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Pierre de Dieulivol,,,33580,DIEULIVOL,+33 5 56 61 82 73,www.entredeuxmers.com,,0.082404,44.65918
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Gervais et Saint-Protais de Faleyras,,,33760,FALEYRAS,+33 5 56 23 92 13,,,-0.586586,45.08703
Site et monument historiques,Château fort,Sites et monuments historiques inscrits,Château de Fargues,,,33210,FARGUES,+33 5 56 63 68 00,www.sauternais-graves-langon.com,,-0.29364,44.53062
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Front de Fontet,,,33190,FONTET,+33 5 56 61 82 73,www.entredeuxmers.com,,-0.011378,44.57648
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Pierre de Fossès-et-Baleyssac,Fossès,,33190,FOSSES-ET-BALEYSSAC,+33 5 56 61 82 73,www.entredeuxmers.com,,0.059058,44.594
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Église Saint-Martin de Fronsac,,,33126,FRONSAC,+33 5 57 51 26 44;+33 5 57 84 86 86,,,-0.2712629,44.924316
Site et monument historiques,Chapelle,Sites et monuments historiques inscrits,Chapelle Sainte-Présentine de Frontenac,,,33760,FRONTENAC,+33 5 56 23 96 38,,,-0.586586,45.08703
Site et monument historiques,Commanderie,Sites et monuments historiques inscrits,Commanderie de Sallebruneau,Sallebruneau,,33760,FRONTENAC,+33 5 56 80 33 37;+33 5 56 75 48 92;+33 5 56 45 05 46,www.assrag.org,,-0.121888,44.73016
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Paul de Frontenac,,,33760,FRONTENAC,+33 5 56 23 96 38,,,-0.586586,45.08703
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Seurin de Gabarnac,,,33410,GABARNAC,+33 9 60 01 92 10,,,-0.276075,44.6385
Site et monument historiques,Château;Pigeonnier,Sites et monuments historiques inscrits,Château de Gageac,,,24240,GAGEAC-ROUILLAC,+33 5 53 27 85 69,www.chateau-gageac.com,,0.34812927,44.79816
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Pierre de Gaillan,,,33340,GAILLAN-EN-MEDOC,+33 5 56 41 03 08;+33 5 56 41 85 02,,,-0.9551837,45.324936
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Martin de Gajac,,,33430,GAJAC,+33 5 56 25 03 02,,,-0.129344,44.43715
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Église Saint-Seurin de Galgon,,,33133,GALGON,+33 5 57 84 33 00;+33 5 57 84 86 86,,,-0.275265,44.991947
Site et monument historiques,Ensemble fortifié et remparts,Sites et monuments historiques inscrits,Maison forte du Prat,,,33920,GENERAC,+33 5 57 64 50 13,,,-0.5692291,45.181553
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Village ancien de Gensac,,,33890,GENSAC,+33 5 57 47 46 67,www.tourisme-castillonpujols.fr,,0.071972,44.801697
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques inscrits,Bergerie ronde (ou courbe) de Goualade,,,33840,GOUALADE,+33 5 56 25 25 84,,,-0.1458569,44.309647
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Pierre de Gours,,,33660,GOURS,+33 5 57 49 74 40,,,0.010684,45.0198
Site et monument historiques,Cloître;Eglise,Sites et monuments historiques inscrits,Ensemble Jacquaire de Cayac,257 bis cours du Général de Gaulle,,33170,GRADIGNAN,+33 5 56 75 65 17,www.ville-gradignan.fr,,-0.61846,44.76643
Site et monument historiques,Eglise,Sites et monuments historiques classés,Abbatiale Notre-Dame de Guîtres,,,33230,GUITRES,+33 5 57 69 11 48,www.otguitres.fr;www.abbatialedeguitres.com,,-0.1873898,45.039963
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint Martin de Haux,,,33550,HAUX,+33 5 56 23 23 00,www.tourisme-creonnais.fr,,-0.375595,44.737953
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Laurent d'Illats,,,33720,ILLATS,+33 5 56 62 53 14,www.illats.fr,,-0.373898,44.59768
Site et monument historiques,Château;Château fort,Sites et monuments historiques classés,Château de La Brède,Avenue du Château,,33650,LA BREDE,+33 5 56 78 47 72,www.chateaulabrede.com,Maisons des Illustres,-0.5427074,44.67924
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Jean d'Etampes,,,33650,LA BREDE,+33 5 56 78 47 72,www.otmontesquieu.com,,-0.527373,44.681385
Site et monument historiques,Eglise,Sites et monuments historiques classés,Église Saint-Pierre de La Lande-de-Fronsac,,,33240,LA LANDE-DE-FRONSAC,+33 5 57 58 18 99;+33 5 57 84 86 86,www.cdc-fronsadais.com,,-0.381466,44.979237
Site et monument historiques,Château fort,Sites et monuments historiques classés,Château des Quat'Sos,Place Albert Rigoulet,,33190,LA REOLE,+33 5 56 61 13 55,www.entredeuxmers.com,,-0.041656,44.58178
Site et monument historiques,Cloître,Sites et monuments historiques classés,Grilles du Cloître,Ancien prieuré des Bénédictins,,33190,LA REOLE,+33 5 56 61 13 55,www.entredeuxmers.com,,-0.040256,44.583748
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Pierre de La Réole,Place Albert Rigoulet,,33190,LA REOLE,+33 5 56 61 13 55,www.entredeuxmers.com,,-0.041656,44.58178
Site et monument historiques,Ensemble fortifié et remparts,Sites et monuments historiques classés,Les remparts de La Réole,,,33190,LA REOLE,+33 5 56 61 13 55,www.entredeuxmers.com,,-0.034662,44.58299
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques classés,Ancien Hôtel de Ville de La Réole,Place Richard Coeur de Lion,,33190,LA REOLE,+33 5 56 61 13 55,www.entredeuxmers.com,,-0.0379371,44.583378
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques inscrits,Hôtel de Briet,Rue de Verdun,,33190,LA REOLE,+33 5 56 61 13 55,www.entredeuxmers.com,,-0.039207,44.583595
Site et monument historiques,Monastère,Sites et monuments historiques classés,Abbaye de La Réole - Prieuré des Bénédictins,Esplanade Charles de Gaulle,,33190,LA REOLE,+33 5 56 61 13 55,www.entredeuxmers.com,,-0.041656,44.58178
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Cité médiévale de La Réole,,,33190,LA REOLE,+33 5 56 61 13 55,www.entredeuxmers.com,Station Verte de Vacances,-0.0402562,44.583748
Site et monument historiques,Abbaye;Ruines et vestiges,Patrimoine mondial UNESCO;Sites et monuments historiques classés,Abbaye de La Sauve Majeure,14 rue de l'Abbaye,,33670,LA SAUVE,+33 5 56 23 01 55,www.la-sauve-majeure.monuments-nationaux.fr,Accueil Vélo,-0.3128608,44.76533
Site et monument historiques,Eglise,Patrimoine mondial UNESCO;Sites et monuments historiques classés,Eglise Saint Pierre de la Sauve Majeure,,,33670,LA SAUVE,+33 5 56 23 31 17;+33 5 56 23 23 00,www.tourisme-creonnais.fr,,-0.3131103,44.76843
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Martin de Ladaux,,,33760,LADAUX,+33 5 56 23 61 35,,,-0.586586,45.08703
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Pierre de Lagorce,,,33230,LAGORCE,+33 5 57 56 05 30,www.otguitres.fr,,-0.1391016,45.069263
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise de Saint-Martin-de-Serres,Saint-Martin-sous-les-Coteaux,,33190,LAMOTHE-LANDERRON,+33 5 56 61 82 73,www.entredeuxmers.com,,0.061206,44.56489
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Martin de Landiras,,,33720,LANDIRAS,+33 5 56 62 50 28;+33 5 56 62 58 75,www.landiras.fr,,-0.415378,44.567028
Site et monument historiques,Château fort,Sites et monuments historiques classés,Château de Langoiran,,,33550,LANGOIRAN,+33 5 56 67 12 00,www.chateaumedievaldelangoiran.com,,-0.383971,44.698578
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint Pierre-ès-Liens,,,33410,LANGOIRAN,+33 5 56 67 01 06,,,-0.40082,44.708595
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques inscrits,Domaine de Bouliac,,,33410,LANGOIRAN,+33 5 56 67 01 06,,,-0.40082,44.708595
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Gervais de Langon,,,33210,LANGON,+33 5 56 63 68 00,www.sauternais-graves-langon.com,,-0.249192,44.55673
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques inscrits,Castel d'Andorte et Parc de la Chêneraie,87 rue Raymond Lavigne,,33110,LE BOUSCAT,+33 5 57 22 26 66,www.mairie-le-bouscat.fr,,-0.612311,44.864727
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Martin du Nizan,,,33430,LE NIZAN,+33 5 56 25 11 58,,,-0.203976,44.408295
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Seurin du Porge,Place Saint-Seurin,,33680,LE PORGE,+33 5 56 26 54 34,www.leporge.com,,-1.093322,44.872787
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint Martin de le Pout,,,33670,LE POUT,+33 5 56 23 02 75;+33 5 56 23 23 00,www.tourisme-creonnais.fr,,-0.3598022,44.794018
Site et monument historiques,Tour,Sites et monuments historiques classés,Phare de Cordouan,,,33123,LE VERDON-SUR-MER,+33 5 57 42 28 76 ,www.estuaire-gironde.fr,,-1.064967,45.550423
Site et monument historiques,Chapelle,Sites et monuments historiques inscrits,Chapelle de la Villa Algérienne,L'Herbe,,33950,LEGE-CAP FERRET,+33 5 56 03 94 49,www.lege-capferret.com ,,-1.236708,44.690304
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques inscrits,Cité ouvrière Le Corbusier,33 avenue du Médoc,Lège,33950,LEGE-CAP FERRET,+33 5 56 03 94 49,www.lege-capferret.com ,,-1.1421731,44.798893
Site et monument historiques,Phare,Sites et monuments historiques inscrits,Phare du Cap Ferret,Place Souchet Valmont,Cap Ferret,33970,LEGE-CAP FERRET,+33 5 57 70 33 30,www.lege-capferret.com,,-1.2488579,44.64614
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Christophe de Léogeats,,,33210,LEOGEATS,+33 5 56 63 68 00,www.sauternais-graves-langon.com,,-0.368045,44.51235
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Martin de Léognan,Chemin Tourte,,33850,LEOGNAN,+33 5 56 78 47 72,www.otmontesquieu.com,,-0.600453,44.728535
Site et monument historiques,Donjon,Sites et monuments historiques classés,La Tour de l'Honneur et son musée,17 rue Pierre Curie,,33340,LESPARRE-MEDOC,+33 5 56 41 06 75;+33 5 56 41 21 96,http://tour-de-lhonneur.jimdo.com,,-0.943354,45.307953
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Notre-Dame de Lestiac-sur-Garonne,,,33410,LESTIAC-SUR-GARONNE,+33 5 56 72 32 34,,,-0.3738999,44.693523
Site et monument historiques,Bastide,Sites et monuments historiques inscrits,Bastide de Libourne,,,33500,LIBOURNE,+33 5 57 51 15 04,www.libourne-tourisme.com,,-0.231506,44.918026
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Chapelle Royale Notre Dame de Condat,Avenue de Condat,,33500,LIBOURNE,+33 5 57 51 15 04,www.libourne-tourisme.com,,-0.2427291,44.89683
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Sainte-Eulalie de Lignan-de-Bordeaux,,,33360,LIGNAN-DE-BORDEAUX,+33 5 56 21 23 59;+33 5 56 23 23 00,www.tourisme-creonnais.fr,,-0.4305267,44.798405
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Barthélémy de Listrac-de-Durèze,,,33790,LISTRAC-DE-DUREZE,+33 5 56 61 37 80;+33 5 56 61 36 21,www.entredeuxmers.com,,0.076562,44.74256
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Village ancien de Lormont,,,33310,LORMONT,+33 5 56 74 29 17,www.office-tourisme-lormont.com,,-0.517829,44.875126
Site et monument historiques,Château,Sites et monuments historiques inscrits,Château de Lavison,Lavison Est,,33190,LOUBENS,+33 5 56 71 48 82,www.chateau-lavison.fr,,-0.029344,44.619717
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Vincent de Loubens,,,33190,LOUBENS,+33 5 56 61 82 73,www.entredeuxmers.com,,-0.011378,44.57648
Site et monument historiques,Moulin,Sites et monuments historiques inscrits,Moulin de Loubens,,,33190,LOUBENS,+33 5 56 61 13 55,www.entredeuxmers.com,,-0.011378,44.57648
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Pierre de Loupiac,Route de Saint-Macaire,,33410,LOUPIAC,+33 5 56 62 99 62,,,-0.2974033,44.61882
Site et monument historiques,Eglise,Sites et monuments historiques classés,Façade de l'église Saint-Pierre de Loupiac,,,33410,LOUPIAC,+33 5 56 62 12 92,www.cadillac-tourisme.com,,-0.276075,44.6385
Site et monument historiques,Ruines et vestiges;Site archéologique,Sites et monuments historiques inscrits,Château du Cros,,,33410,LOUPIAC,+33 5 56 62 99 31,www.chateauducros.com,,-0.2962338,44.611183
Site et monument historiques,Site archéologique,Sites et monuments historiques inscrits,Villa gallo-romaine de Loupiac,Lieu-dit Saint Romain,,33410,LOUPIAC,+33 5 56 62 93 82,http://villa.loupiac.free.fr,,-0.305419,44.629715
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise de Loupiac-de-La-Réole,,,33190,LOUPIAC-DE-LA-REOLE,+33 5 56 61 13 55,www.entredeuxmers.com,,-0.011378,44.57648
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-André de Lucmau,,,33840,LUCMAU,+33 5 56 65 22 65,,,-0.214869,44.28886
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Martin de Lugasson,,,33760,LUGASSON,+33 5 56 23 96 78,,,-0.586586,45.08703
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Michel du Vieux Lugo,,,33830,LUGOS,+33 5 57 71 95 26,,,-0.853776,44.49588
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Notre-Dame de Marcenais,,,33620,MARCENAIS,+33 5 57 68 70 14;+33 5 57 68 70 31,,,-0.3364562,45.05788
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Vincent de Marcillac,,,33860,MARCILLAC,+33 5 57 32 41 03,,,-0.5234975,45.268967
Site et monument historiques,Château,Sites et monuments historiques classés,Château Margaux,B.P. 31,,33460,MARGAUX,+33 5 57 88 83 83,www.chateau-margaux.com,,-0.660191,45.050877
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Vincent de Marimbault,,,33430,MARIMBAULT,+33 5 56 25 08 87,http://mairie.marimbault.free.fr,,-0.203976,44.408295
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Village de Marimbault,Le Bourg,,33430,MARIMBAULT,+33 5 56 25 08 87,http://mairie.marimbault.free.fr,,-0.203976,44.408295
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Notre-Dame de Martillac,,,33650,MARTILLAC,+33 5 56 78 47 72,www.otmontesquieu.com,,-0.542663,44.713787
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Pierre de Martres,,,33760,MARTRES,+33 5 56 71 53 16,commune-de-martres@orange.fr,,-0.586586,45.08703
Site et monument historiques,Abbaye,Sites et monuments historiques inscrits,Ancienne abbaye de Fontguilhem,,,33690,MASSEILLES,+33 5 56 25 55 38,,,-0.05434,44.40618
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Notre-Dame de Massugas,,,33790,MASSUGAS,+33 5 56 61 33 88;+33 5 56 61 37 80,www.entredeuxmers.com,,0.076562,44.74256
Site et monument historiques,Croix,Sites et monuments historiques classés,Croix de cimetière de Mauriac,,,33540,MAURIAC,+33 5 56 71 53 45,www.entredeuxmers.com,,-0.0359845,44.745667
Site et monument historiques,Château fort,Sites et monuments historiques classés,Château de Roquetaillade,,,33210,MAZERES,+33 5 56 76 14 16,www.roquetaillade.eu,,-0.268065,44.49498
Site et monument historiques,Château,Sites et monuments historiques classés,Maison Carrée d'Arlac,Avenue François Mitterand,,33700,MERIGNAC,+33 5 56 55 66 00  ,www.merignac.com ,,-0.656358,44.844875
Site et monument historiques,Château,Sites et monuments historiques inscrits,Château Bourran,Avenue de Verdun,,33700,MERIGNAC,+33 5 56 55 66 00  ,www.merignac.com ,,-0.6371401,44.839516
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,La Vieille Eglise Saint-Vincent,Avenue Beaumarchais,,33700,MERIGNAC,+33 5 56 47 59 85,,,-0.6492971,44.841415
Site et monument historiques,Tour,Sites et monuments historiques classés,La Tour de Veyrines,Rue Tour de Veyrines,,33700,MERIGNAC,+33 5 56 55 66 00  ,www.merignac.com ,,-0.6457268,44.826454
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Jean de Mongauzy,,,33190,MONGAUZY,+33 5 56 61 82 73,www.entredeuxmers.com,,-0.011378,44.57648
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Jean de Monprimblanc,,,33410,MONPRIMBLANC,+33 5 56 62 95 12,,,-0.276075,44.6385
Site et monument historiques,Bastide,Sites et monuments historiques inscrits,Bastide de Monségur,,,33580,MONSEGUR,+33 5 56 61 89 40,www.entredeuxmers.com,,0.080653,44.650795
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Notre-Dame de Monségur,,,33580,MONSEGUR,+33 5 56 61 89 40,www.entredeuxmers.com,,0.082404,44.65918
Site et monument historiques,Halle,Sites et monuments historiques inscrits,Halle de Monségur,,,33580,MONSEGUR,+33 5 56 61 82 73,www.entredeuxmers.com,,0.082404,44.65918
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Notre-Dame de Parsac,Parsac,,33570,MONTAGNE,+33 5 57 24 95 62,www.regiondesaintemilion.com,,-0.096269,44.906258
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglises Saint-Martin et Saint-Georges de Montagne,,,33570,MONTAGNE,+33 5 57 24 95 62,www.regiondesaintemilion.com,,-0.083435,44.95231
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Médard de Montignac,,,33760,MONTIGNAC,+33 5 56 23 51 51,,,-0.586586,45.08703
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Église Saint-Fort de Mouillac,,,33240,MOUILLAC,+33 5 57 84 44 41;+33 5 57 84 86 86,,,-0.352959,45.00815
Site et monument historiques,Château,Sites et monuments historiques inscrits,Château d'Abzac,,,33230,ABZAC,+33 5 57 49 07 38,,,-0.118324,45.056057
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Pierre d'Abzac,,,33230,ABZAC,+33 5 57 49 07 38,,,-0.118324,45.056057
Site et monument historiques,Moulin,Sites et monuments historiques inscrits,Ancien moulin d'Abzac,,,33230,ABZAC,+33 5 57 49 07 38,,,-0.1243686,45.018215
Site et monument historiques,Ruines et vestiges,Sites et monuments historiques classés,Vestiges gallo-romains,Boulevard de la Plage,,33510,ANDERNOS-LES-BAINS,+33 5 56 82 02 95,www.andernoslesbains.fr,,-1.1044692,44.7421
Site et monument historiques,Château fort,Sites et monuments historiques inscrits,Château de Benauge,,,33760,ARBIS,+33 5 56 23 62 64,,,-0.246348,44.677795
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Ville d'Hiver d'Arcachon,,,33120,ARCACHON,+33 5 57 52 97 97,www.arcachon.com,,-1.1707305,44.658276
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Vincent de Paul d'Arès,,,33740,ARES,+33 5 56 60 18 07 ,www.ares-tourisme.com,,-1.1399388,44.76738
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques inscrits,L'Aérium,Boulevard de l'Aérium,,33740,ARES,+33 5 56 60 18 07 ,www.ares-tourisme.com,,-1.132624,44.76125
Site et monument historiques,Ruines et vestiges,Sites et monuments historiques classés,Les canons d'Arès,,,33740,ARES,+33 5 56 60 18 07,www.ares-tourisme.com,,-1.083963,44.79934
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Germain d'Arsac,,,33460,ARSAC,+33 5 56 58 82 23,www.arsac.fr,,-0.660191,45.050877
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise d'Espessas,,,33240,AUBIE-ET-ESPESSAS,+33 5 57 43 64 80,www.cdc-cubzaguais.fr/tourisme,,-0.4009151,45.016544
Site et monument historiques,Château,Sites et monuments historiques inscrits,Château de Certes,Domaine de Certes,,33980,AUDENGE,+33 5 57 70 67 56,www.tourisme-coeurdubassin.com,,-1.020307,44.68892
Site et monument historiques,Abbaye,Sites et monuments historiques inscrits,Abbaye Sainte-Marie du Rivet,,,33124,AUROS,+33 5 56 65 05 30,http://abbayesaintemariedurivet.com,,-0.146575,44.49585
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Pierre d'Avensan,,,33480,AVENSAN,+33 5 56 58 17 07,,,-0.854479,45.00596
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Notre-Dame de Bagas,,,33190,BAGAS,+33 5 56 61 82 73,www.entredeuxmers.com,,-0.011378,44.57648
Site et monument historiques,Moulin,Sites et monuments historiques inscrits,Moulin fortifié de Bagas,Route du Dropt,,33190,BAGAS,+33 5 56 61 82 73,www.entredeuxmers.com,,-0.0585365,44.626884
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Paul de Baigneaux,,,33760,BAIGNEAUX,+33 5 56 23 97 50,,,-0.196132,44.72282
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint Christophe de Baron,,,33750,BARON,+33 5 57 24 26 32;+33 5 56 23 23 00,www.tourisme-creonnais.fr,,-0.310707,44.81838
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Vincent de Barsac,,,33720,BARSAC,+33 5 56 27 43 00,www.barsac.fr,,-0.317094,44.607906
Site et monument historiques,Château;Chapelle,Sites et monuments historiques inscrits,Château de Lyde,,,33880,BAURECH,+33 5 56 78 73 02,,,-0.44193,44.738804
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Notre-Dame de Bayon-sur-Gironde,Place de la mairie,,33710,BAYON-SUR-GIRONDE,+33 5 57 68 31 76,www.bourg-en-gironde.fr,,-0.599699,45.053604
Site et monument historiques,Cathédrale,Sites et monuments historiques classés;Patrimoine mondial UNESCO,Cathédrale Saint Jean Baptiste de Bazas,,,33430,BAZAS,+33 5 56 25 25 84,www.tourisme-bazadais.com,,-0.203976,44.408295
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Ville historique de Bazas,,,33430,BAZAS,+33 5 56 25 25 84,www.tourisme-bazadais.com,,-0.203976,44.408295
Site et monument historiques,Château;Pigeonnier,Sites et monuments historiques inscrits,Château de Couloumey,12 route des Landes,,33640,BEAUTIRAN,+33 5 56 67 66 65,www.chateau-couloumey.fr,,-0.461977,44.69792
