TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,MARQUES_ET_LABELS,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme d'ArÃšs,Place Weiss,,33740,ARES,+33 5 56 60 18 07,www.ares-tourisme.com,Famille Plus;Accueil VÃ©lo;VÃ©lodyssÃ©e,Handicap mental;Handicap moteur,-1.1414623,44.76485
Offices de tourisme et Syndicats d'initiative,3 Ã©toiles,Office de Tourisme Intercommunal CÅ¿ur du Bassin d'Arcachon,20 allÃ©e Ernest de BoissiÃšre,,33980,AUDENGE,+33 5 56 26 95 97,www.tourisme-coeurdubassin.com,,,-1.0151839,44.68365
Offices de tourisme et Syndicats d'initiative,Syndicat d'initiative,Syndicat d'Initiative du Canton d'Auros,6 place de la Mairie,,33124,AUROS,+33 5 56 65 47 69,www.pays-auros-tourisme.com,,,-0.1473784,44.495808
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme du Bazadais,1 place de la CathÃ©drale,,33430,BAZAS,+33 5 56 25 25 84,www.tourisme-bazadais.com,Accueil VÃ©lo,,-0.211952,44.431454
Offices de tourisme et Syndicats d'initiative,3 Ã©toiles,Office de Tourisme Intercommunal CÅ¿ur du Bassin d'Arcachon,1 rue Jean Zay,,33380,BIGANOS,+33 5 57 70 67 56,www.tourisme-coeurdubassin.com,,,-0.9753638,44.64205
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme de Blaye,Rue des Minimes,La Citadelle,33390,BLAYE,+33 5 57 42 12 09,www.tourisme-blaye.com,,,-0.666486,45.128033
Offices de tourisme et Syndicats d'initiative,4 Ã©toiles,Office de Tourisme de Bordeaux,12 cours du XXX juillet,,33000,BORDEAUX,+33 5 56 00 66 00,www.bordeaux-tourisme.com,QualitÃ© Tourisme;Famille Plus,Handicap auditif;Handicap mental;Handicap moteur;Handicap visuel,-0.5744862,44.843678
Points d'informations touristiques,4 Ã©toiles,Bordeaux Monumental - Office de Tourisme de Bordeaux,Vitrine du patrimoine bordelais,28 rue des Argentiers,33000,BORDEAUX,+33 5 56 48 04 24,www.bordeaux-tourisme.com,QualitÃ© Tourisme,Handicap mental;Handicap moteur;Handicap visuel,-0.569633,44.838768
Points d'informations touristiques,4 Ã©toiles,Office de Tourisme de Bordeaux- Antenne Gare St Jean,Parvis Louis Armand,rue Charles Domercq,33800,BORDEAUX,+33 5 56 91 64 70,www.bordeaux-tourisme.com,,Handicap auditif;Handicap mental;Handicap moteur;Handicap visuel,-0.5554962,44.827267
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme de Bourg en Gironde,Place de la libÃ©ration,HÃŽtel de la Jurade,33710,BOURG,+33 5 57 68 31 76,www.tourisme.bourg-en-gironde.fr,QualitÃ© Tourisme,Handicap auditif;Handicap mental;Handicap moteur,-0.560088,45.039734
Offices de tourisme et Syndicats d'initiative,Syndicat d'initiative,Syndicat d'Initiative de Branne Entre-deux-Mers,Route de Cabara,,33420,BRANNE,+33 5 57 74 90 24,www.tourismebrannais-entredeuxmers.com,,,-0.1870253,44.829323
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme intercommunal du Canton de Saint Ciers sur Gironde,Terres d'Oiseaux,2 les Nouvelles Possessions,33820,BRAUD-ET-SAINT-LOUIS,+33 5 57 32 88 88,www.ot-estuaire.fr,,,-0.6996381,45.284218
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme du Cadillacais et en Langoirannais,9 place de la LibÃ©ration,,33410,CADILLAC,+33 5 56 62 12 92,www.cadillac-tourisme.com,,,-0.3165435,44.638184
Points d'informations touristiques,CatÃ©gorie 1,Office de Tourisme Communautaire MÃ©doc OcÃ©an,Bureau de Carcans-Maubuisson,127 avenue de Maubuisson,33121,CARCANS-MAUBUISSON,+33 5 56 03 21 01,www.medococean.com,Famille Plus;Accueil VÃ©lo;VÃ©lodyssÃ©e,Handicap auditif;Handicap mental;Handicap moteur;Handicap visuel,-1.134118,45.063503
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme de Castillon/Pujols,7 allÃ©e de la RÃ©publique,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 27 58;+33 5 57 84 03 88;+33 5 57 47 46 67,www.tourisme-castillonpujols.fr,,,-0.041188,44.855167
Points d'informations touristiques,2 Ã©toiles,Bureau d'accueil de Castillon La Bataille,Place Marcel Paul,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 27 58,www.tourime-castillonpujols.fr,,,-0.043008,44.852066
Points d'informations touristiques,Non concernÃ©,Point Information Tourisme de Cazaux,Place du GÃ©nÃ©ral de Gaulle,,33260,CAZAUX,+33 5 56 22 91 75,www.tourisme-latestedebuch.fr,,,-1.1521589,44.538345
Offices de tourisme et Syndicats d'initiative,1 Ã©toile,Office de Tourisme de la CommunautÃ© d'agglomÃ©ration du Libournais - Antenne de Coutras,17 rue Sully,,33230,COUTRAS,+33 5 57 69 36 53,www.pays-de-coutras.com,,,-0.127565,45.04234
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme du CrÃ©onnais,62 boulevard Victor Hugo,La Gare,33670,CREON,+33 5 56 23 23 00,www.tourisme-creonnais.com,,,-0.3461084,44.773502
Points d'informations touristiques,2 Ã©toiles,Bureau d'accueil de Gensac,Place de la Mairie,,33890,GENSAC,+33 5 57 47 46 67,www.tourisme-castillonpujols.fr,,,0.072007,44.80697
Offices de tourisme et Syndicats d'initiative,1 Ã©toile,Office de Tourisme de Grayan-et-L'HÃŽpital,49 rue des GoÃ«lands,,33590,GRAYAN-ET-L'HOPITAL,+33 5 56 59 54 93,www.grayan-tourisme.com,,,-1.0874091,45.444023
Offices de tourisme et Syndicats d'initiative,Non classÃ©,Office de Tourisme de la CommunautÃ© d'agglomÃ©ration du Libournais - GuÃ®tres,4 avenue de la Gare,,33230,GUITRES,+33 5 57 69 11 48,www.otguitres.fr,,,-0.1880657,45.03961
Offices de tourisme et Syndicats d'initiative,3 Ã©toiles,Office de Tourisme de Gujan-Mestras,37 avenue de Lattre de Tassigny,,33470,GUJAN-MESTRAS,+33 5 56 66 12 65,www.gujanmestras.com,,,-1.1123871,44.638535
Points d'informations touristiques,3 Ã©toiles,Point d'Informations Touristiques de Gujan-Mestras,Parc de Loisirs de La Hume,Route des Lacs,33470,GUJAN-MESTRAS,+33 5 56 66 12 65,www.gujanmestras.com,,,-1.1049789,44.61994
Offices de tourisme et Syndicats d'initiative,Non classÃ©,Office de Tourisme du Pays Paroupian,Domaine DÃ©partemental d'Hostens,BP 11,33125,HOSTENS,+33 5 56 88 71 94,www.office-tourisme-paroupian-hostens.fr,,,-0.6487941,44.49626
Points d'informations touristiques,CatÃ©gorie 1,Office du Tourisme communautaire MÃ©doc OcÃ©an,Bureau de Hourtin,,33990,HOURTIN,+33 5 56 03 21 01,www.medococean.com,Famille Plus;Accueil VÃ©lo,Handicap auditif;Handicap mental;Handicap moteur;Handicap visuel,-1.0838699,45.181553
Points d'informations touristiques,Non classÃ©,Point I La BrÃšde,Avenue du ChÃ¢teau,,33650,LA BREDE,+33 5 56 78 47 72,www.tourisme-montesquieu.com,,,-0.5398964,44.677135
Points d'informations touristiques,3 Ã©toiles,Bureau d'Information Touristique de La RÃ©ole,15 rue Armand Caduc,,33190,LA REOLE,+33 5 56 61 13 55,www.entredeuxmers.com,Station Verte de Vacances,,-0.0373411,44.582035
Offices de tourisme et Syndicats d'initiative,3 Ã©toiles,Office de Tourisme de la Teste de Buch,13 bis rue Victor Hugo,BP 30553,33164,LA TESTE-DE-BUCH Cedex,+33 5 56 54 63 14,www.tourisme-latestedebuch.fr,,,-1.1483126,44.63272
Offices de tourisme et Syndicats d'initiative,CatÃ©gorie 1,Office de Tourisme Communautaire MÃ©doc OcÃ©an,Place de l'Europe,,33680,LACANAU OCEAN,+33 5 56 03 21 01,www.medococean.com,QualitÃ© Tourisme;Famille Plus;Accueil VÃ©lo;VÃ©lodyssÃ©e,Handicap auditif;Handicap mental;Handicap moteur;Handicap visuel,-1.1961847,45.00135
Points d'informations touristiques,Non concernÃ©,Info Tourisme MÃ©doc Estuaire,Port de Lamarque,,33460,LAMARQUE,+33 5 56 58 76 19,www.cc-medoc-estuaire.fr/-Tourisme-et-loisirs-.html,,,-0.6916667,45.1
Offices de tourisme et Syndicats d'initiative,3 Ã©toiles,Office de Tourisme de Sauternes et Graves,11 allÃ©es Jean JaurÃšs,,33210,LANGON,+33 5 56 63 68 00,www.tourisme-sauternes-graves.com,,,-0.245154,44.553253
Offices de tourisme et Syndicats d'initiative,3 Ã©toiles,Office de Tourisme Intercommunal CÅ¿ur du Bassin d'Arcachon,1 route du Stade,,33138,LANTON,+33 5 57 70 26 55,www.tourisme-coeurdubassin.com,,,-1.059453,44.716873
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme du Porge,2 place Saint-Seurin,,33680,LE PORGE,+33 5 56 26 54 34,www.leporge.com,,,-1.0929,44.872536
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme du Teich,HÃŽtel de Ville,,33470,LE TEICH,+33 5 56 22 80 46,www.leteich-tourisme.com,,,-1.0216856,44.63475
Points d'informations touristiques,Non concernÃ©,Relais Nature du Delta de La Leyre,Route dÃ©partementale 650,Avenue de la CÃŽte d'Argent,33470,LE TEICH,+33 (0)5 56 22 61 53,,,,-0.9984683,44.626823
Offices de tourisme et Syndicats d'initiative,1 Ã©toile,Office de Tourisme du Verdon-sur-Mer,2 rue AndrÃ© et Marcel Tard,,33123,LE VERDON-SUR-MER,+33 5 56 09 61 78,www.tourisme-leverdon.com,,,-1.0694993,45.54851
Offices de tourisme et Syndicats d'initiative,3 Ã©toiles,Office de Tourisme de LÃšge-Cap Ferret,1 avenue du GÃ©nÃ©ral de Gaulle,Claouey,33950,LEGE-CAP FERRET,+33 5 56 03 94 49,www.lege-capferret.com,,,-1.1809229,44.74992
Points d'informations touristiques,Non concernÃ©,Point I LÃ©ognan,,,33850,LEOGNAN,+33 5 56 78 47 72,www.tourisme-montesquieu.com,,,-0.5972367,44.727238
Offices de tourisme et Syndicats d'initiative,1 Ã©toile,Office de Tourisme Coeur MÃ©doc,37 cours de Lattre de Tassigny,,33340,LESPARRE-MEDOC,+33 5 56 41 21 96,www.tourisme-coeurmedoc.com,,,-0.9360909,45.30587
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme du Libournais,40 place Abel Surchamp,,33500,LIBOURNE,+33 5 57 51 15 04,www.libourne-tourisme.com,,,-0.2450358,44.91464
Offices de tourisme et Syndicats d'initiative,Syndicat d'initiative,Syndicat d'Initiative de Lormont et la Presqu'Ã®le,4 avenue de la LibÃ©ration,,33310,LORMONT,+33 5 56 74 29 17,www.office-tourisme-lormont.com,,,-0.5200353,44.87322
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme de Montesquieu,3 place Marcel VayssiÃšre,,33650,MARTILLAC,+33 5 56 78 47 72,www.tourisme-montesqueu.com,,,-0.5432845,44.713764
Offices de tourisme et Syndicats d'initiative,1 Ã©toile,Office de Tourisme de Mios,1 allÃ©e Val de San Vincente,,33380,MIOS,+33 5 56 26 63 00,www.ville-mios.fr,,,-0.9442818,44.61035
Offices de tourisme et Syndicats d'initiative,3 Ã©toiles,Office de Tourisme de l'Entre-deux-Mers,4 rue Issartier,,33580,MONSEGUR,+33 5 56 61 82 73,www.entredeuxmers.com,,,0.08051991,44.65068
Points d'informations touristiques,3 Ã©toiles,Bureau d'Information Touristique de MonsÃ©gur,33 rue des Victimes du 3 aoÃ»t 1944,,33580,MONSEGUR,+33 5 56 61 89 40,www.entredeuxmers.com,,,0.080653,44.650795
Offices de tourisme et Syndicats d'initiative,Non classÃ©,Office de Tourisme du Lussacais,45 Le Bourg,,33570,MONTAGNE,+33 5 57 24 95 62,www.regiondesaintemilion.com,,,-0.12947,44.930367
Offices de tourisme et Syndicats d'initiative,4 Ã©toiles,Maison du Tourisme et du Vin de Pauillac,La Verrerie,,33250,PAUILLAC,+33 5 56 59 03 08,www.pauillac-medoc.com,QualitÃ© Tourisme,,-0.7446241,45.194557
Points d'informations touristiques,3 Ã©toiles,Bureau d'Information Touristique de Pellegrue,21 rue de la RÃ©publique,,33790,PELLEGRUE,+33 5 56 61 37 80,www.entredeuxmers.com,,,0.075902,44.743637
Points d'informations touristiques,Non classÃ©,Vitrine du Pays Foyen,Centre commercial Grand Pineuilh,,33220,PINEUILH,+33 5 57 41 21 79,http://www.tourisme-dordogne-paysfoyen.com,,,0.22728,44.82954
Points d'informations touristiques,Non classÃ©,Point d'accueil de Portets,31 rue du 8 Mai 1945,,33640,PORTETS,+33 5 56 67 41 65,www.tourisme-sauternes-graves.com,,,-0.4240733,44.69229
Points d'informations touristiques,3 Ã©toiles,Point Information Tourisme de Pyla sur Mer,Rond point du Figuier,,33115,PYLA-SUR-MER,+33 5 56 54 53 83,www.tourisme-latestedebuch.fr,,,-1.2005567,44.633087
Points d'informations touristiques,Non classÃ©,Espace accueil et informations touristiques Idune,Aire d'accueil de La Dune du Pilat,Route de Biscarrosse,33115,PYLA-SUR-MER,+33 5 56 22 12 85,www.ladunedupilat.com,,,-1.1982393,44.598076
Points d'informations touristiques,2 Ã©toiles,Bureau d'accueil de Rauzan,12 rue Chapelle,,33420,RAUZAN,+33 5 57 84 03 88,www.tourisme-castillonpujols.fr,,,-0.125914,44.780025
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme du Cubzaguais,9 allÃ©e du Champ de Foire,Square FranÃ§ois Mitterrand,33240,SAINT-ANDRE-DE-CUBZAC,+33 5 57 43 64 80,www.cubzaguais-tourisme.com,,,-0.4440987,44.99504
Points d'informations touristiques,Non classÃ©,Point Information Touristique,9 Ferchaud,,33820,SAINT-CAPRAIS-DE-BLAYE,+33 5 57 32 76 86,www.ot-estuaire.fr,,,-0.5692505,45.291267
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme du Pays Foyen,102 rue de la RÃ©publique,,33220,SAINTE-FOY-LA-GRANDE,+33 5 57 46 03 00,www.tourisme-dordogne-paysfoyen.com,Station Verte de Vacances;QualitÃ© Tourisme,Handicap auditif;Handicap mental,0.21831035,44.84221
Offices de tourisme et Syndicats d'initiative,4 Ã©toiles,Office de Tourisme de la Juridiction de Saint-Emilion,Place des CrÃ©neaux,,33330,SAINT-EMILION,+33 5 57 55 28 28,www.saint-emilion-tourisme.com,QualitÃ© Tourisme,Handicap auditif;Handicap mental;Handicap moteur;Handicap visuel,-0.1565492,44.8936
Offices de tourisme et Syndicats d'initiative,1 Ã©toile,Office de Tourisme de Sainte-Terre,20 rue Charles de Gaulle,Lavagnac Nord,33350,SAINTE-TERRE,+33 5 57 47 14 34,www.jardindelalamproie.fr,,,-0.1347541,44.819473
Offices de tourisme et Syndicats d'initiative,2 Ã©toiles,Office de Tourisme du Fronsadais,Maison du Pays Fronsadais,1 avenue du GÃ©nÃ©ral de Gaulle,33240,SAINT-GERMAIN-DE-LA-RIVIERE,+33 5 57 84 86 86,www.tourismefronsadais.com,,,-0.3276157,44.945454
Offices de tourisme et Syndicats d'initiative,1 Ã©toile,Office de Tourisme de Saint-Laurent-MÃ©doc,1 rue Saint ExupÃ©ry,,33112,SAINT-LAURENT-MEDOC,+33 5 56 59 92 66,www.officedetourisme-saintlaurentmedoc.fr,,,-0.8220113,45.15064
Points d'informations touristiques,3 Ã©toiles,Bureau d'Information Touristique de Saint-Macaire,8 rue du Canton,BP 60032,33490,SAINT-MACAIRE,+33 5 56 63 32 14,www.entredeuxmers.com,,,-0.2268826,44.564823
Offices de tourisme et Syndicats d'initiative,Non classÃ©,Office de Tourisme du Canton de Saint-Savin,Maison de la CDC,BP 8,33920,SAINT-SAVIN,+33 5 57 58 47 79,www.cdc-saintsavin.fr,,,-0.4419153,45.13924
