TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,CHAINES,CLASSEMENT_LOGIS,LABELS,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Hôtel - Restaurant,4 étoiles,Best Western Golf Hôtel Lacanau,Domaine de l'Ardilouse,,33680,LACANAU-OCEAN,+33 5 56 03 92 92,www.golf-hotel-lacanau.fr,Best Western,,Famille Plus,,-1.1710363,45.000755
Hôtel,2 étoiles,Hôtel Aliénor,Route de Fargues,,33210,LANGON,+33 5 56 62 15 15,www.hotel-alienorlangon.fr,Logis,3 cheminées,,Handicap mental;Handicap moteur,-0.2705725,44.537003
Hôtel - Restaurant,3 étoiles,Hôtel Horus,2 rue des Bruyères,,33210,LANGON,+33 5 56 62 36 37,www.hotel-restaurant-horus-langon.com,Logis,2 cheminées;2 cocottes,Qualité Tourisme,,-0.261448,44.545517
Hôtel - Restaurant,3 étoiles,Hôtel Claude Darroze,95 cours du Général Leclerc,,33210,LANGON,+33 5 56 63 00 48,www.darroze.com,,,Tables et Auberges de France,,-0.246597,44.552982
Hôtel - Restaurant,Non classé,Hôtel Atlantis,6 rue des Bruyères,,33210,LANGON,+33 5 57 98 21 65,www.hotel-atlantis.fr,,,,,-0.263909,44.545372
Hôtel,2 étoiles,Hôtel de la Plage,20 boulevard de la Plage,Taussat,33138,LANTON,+33 5 56 82 06 01,www.hotel-de-la-plage.fr,Logis,2 cheminées,,,-1.068429,44.71779
Hôtel - Restaurant,2 étoiles,Hôtel l'Océana,7 avenue Guy Célerier,Taussat,33138,LANTON,+33 5 56 82 06 20,www.oceana-hotel.fr,Logis,2 cheminées;2 cocottes,Qualité Tourisme,,-1.0710647,44.71957
Hôtel,2 étoiles,Hôtel d'Arcins,11 bis avenue de la Libération,,33360,LATRESNE,+33 5 56 20 15 27,,,,Accueil Vélo,,-0.49634,44.78432
Hôtel - Restaurant,2 étoiles,Hôtel Le Résinier,68 avenue des Pyrénées,,33114,LE BARP,+33 5 56 88 60 07,www.leresinier.com,Logis,3 cheminées;3 cocottes,,,-0.7686,44.6058
Hôtel - Restaurant,3 étoiles,Campanile Bordeaux Ouest Le Bouscat,128 route du Médoc,,33110,LE BOUSCAT,+33 5 56 28 33 84,www.campanile-bordeaux-ouest-le-bouscat.fr,Campanile,,,,-0.617673,44.873707
Hôtel - Restaurant,2 étoiles,Hôtel Bel-Air,1 allée Bel Air,,33185,LE HAILLAN,+33 5 56 04 08 50,www.hotel-lehaillan.com,,,,,-0.6715178,44.868805
Hôtel - Restaurant,3 étoiles,Hôtel Le Pont Bernet,1160 route de Soulac,Louens,33290,LE PIAN-MEDOC,+33 5 56 70 20 19,www.pont-bernet.fr,Logis,2 cheminées;3 cocottes,Qualité Tourisme,,-0.698042,44.947823
Hôtel - Restaurant,4 étoiles,Golf du Médoc Hôtel & Spa,Chemin de Courmateau,Louens,33290,LE PIAN-MEDOC,+33 5 56 70 31 31,www.hotelgolfdumedoc.com,MGallery,,,,-0.69256,44.944557
Hôtel - Restaurant,Non classé,Hôtel du Porge,30 avenue du Bassin d'Arcachon,,33680,LE PORGE,+33 5 57 70 92 92,www.hotel-du-porge.com,,,,,-1.0901892,44.868015
Hôtel,3 étoiles,Hôtel All Suites,Technoparc,7 rue Copernic,33470,LE TEICH,+33 5 56 22 08 08,www.allsuites-apparthotel.com,,,,,-1.0264062,44.61323
Hôtel,Non classé,Hôtel Les Terrasses,66 cours de la République,,33123,LE VERDON-SUR-MER,+33 5 56 09 65 59,http://hotel-des-terrasses.com,,,,,-1.072635,45.541855
Hôtel,4 étoiles,Hôtel Côté Sable,37 boulevard de la Plage,Cap Ferret,33970,LEGE-CAP FERRET,+33 5 57 17 07 27,www.cotesable.fr,,,,,-1.2429596,44.65212
Hôtel,Non classé,Hôtel du Cap,58 avenue de l'Océan,Cap Ferret,33970,LEGE-CAP FERRET,+33 5 56 60 60 60,www.hotelducapferret.com,,,,,-1.2502312,44.65498
Hôtel,2 étoiles,Hôtel La Frégate,34 avenue de l'Océan,Cap Ferret,33970,LEGE-CAP FERRET OCEAN,+33 5 56 60 41 62,www.hotel-la-fregate.net,,,,,-1.2449097,44.65614
Hôtel,3 étoiles,Hôtel des Dunes,119 avenue de Bordeaux,Cap Ferret,33970,LEGE-CAP FERRET OCEAN,+33 5 56 60 61 81,www.hoteldesdunes.com,,,,,-1.25404,44.64572
Hôtel,Non classé,Hôtel Le Sporting,48 avenue de la Vigne,Cap Ferret,33970,LEGE-CAP FERRET OCEAN,+33 5 56 60 55 18,www.sportingleferret.com,,,,,-1.2429356,44.664318
Hôtel - Restaurant,2 étoiles,Hôtel des Pins,23 rue des Fauvettes,Cap Ferret,33970,LEGE-CAP FERRET OCEAN,+33 5 56 60 60 11,www.hoteldespins.eu,,,,,-1.2440621,44.653053
Hôtel - Restaurant,2 étoiles,Hôtel Le Pavillon Bleu,75 avenue de l'Océan,Cap Ferret,33970,LEGE-CAP FERRET OCEAN,+33 5 56 60 65 48,www.hotel-pavillonbleu.com,,,,,-1.252377,44.655254
Hôtel - Restaurant,Non classé,La Maison du Bassin,5 rue des Pionniers,Cap Ferret,33970,LEGE-CAP FERRET OCEAN,+33 5 56 60 60 63,www.lamaisondubassin.com,,,,,-1.2470555,44.64432
Hôtel - Restaurant,2 étoiles,Hôtel Le Bon Duc,16 route de Paris,,33500,LES BILLAUX,+33 5 57 51 25 98,www.lebonduc.fr,Logis,2 cheminées;2 cocottes,,,-0.2323386,44.951427
Hôtel - Restaurant,2 étoiles,Tour Hôtel Médoc,Zac de Belloc,,33340,LESPARRE-MEDOC,+33 5 56 73 39 20,www.tourhotelmedoc.com,,,Qualité Tourisme,,-0.9211349,45.286785
Hôtel,2 étoiles,Etap Hôtel Libourne,Zone d'activités des Dagueys,,33500,LIBOURNE,+33 8 92 70 20 17,www.ibisbudget.com,Etap Hotel,,,,-0.235056,44.94618
Hôtel,3 étoiles,Hôtel de France,7 rue Chanzy,,33500,LIBOURNE,+33 5 57 51 01 66,www.hoteldefrancelibourne.com,,,Qualité Tourisme,,-0.239326,44.9164
Hôtel,4 étoiles,Hôtel Mercure Libourne-Saint Emilion,3 quai Souchet,,33500,LIBOURNE,+33 5 57 25 64 18,www.mercure.com/fr/hotel-6238-mercure-libourne-saint-emilion/index.shtml,Mercure,,,,-0.247549,44.915886
Hôtel,Non classé,Hôtel des Vignobles,35 rue André Nhévoit,,33500,LIBOURNE,+33 5 57 51 23 29,www.hotel-des-vignobles.fr,,,,,-0.2341997,44.909912
Hôtel,Non classé,Hôtel Duc de Libourne,9 rue des Treilles,,33500,LIBOURNE,+33 5 57 74 04 47,www.hotelducdelibourne.com,,,,,-0.238594,44.91566
Hôtel - Restaurant,2 étoiles,Hôtel La Tour du Vieux Port,23 quai Souchet,,33500,LIBOURNE,+33 5 57 25 75 56,http://latourduvieuxport.fr/,Logis,2 cheminées;2 cocottes,Qualité Tourisme,,-0.247159,44.91648
Hôtel,1 étoile,Hôtel Formule 1 Bordeaux Nord,Rue du Courant,,33310,LORMONT,+33 8 91 70 51 90,www.accorhotels.com/fr/hotel-2254-formule-1-hotelf1-bordeaux-nord-lormont/index.shtml,Formule 1,,,,-0.51747,44.8797
Hôtel,2 étoiles,P'tit Dej Hôtel,Allée l'Oiseau de France,,33310,LORMONT,+33 5 56 74 99 88,www.ptitdej-hotel-lormont.com,,,,,-0.5096,44.8823
Hôtel,3 étoiles,Hôtel Kyriad Bordeaux Lormont,1 avenue de Paris,,33310,LORMONT,+33 5 56 38 23 22,www.kyriadbordeauxlormont.com,Kyriad,,,,-0.510628,44.875923
Hôtel,Non classé,Hôtel B & B Bordeaux Lormont,Parc d'Activités de La Gardette,Rue Pierre Mendès France,33310,LORMONT,+33 8 92 78 80 16;+33 8 92 78 29 29,www.hotel-bb.com/detailhotels.phtml?hotelid=4080,B&B,,La Clef Verte,,-0.51404,44.87966
Hôtel,Non classé,Hôtel du Domaine Fontbelleau,Route nationale 10,Avenue de Paris,33310,LORMONT,+33 5 56 06 00 16,http://fontbelleau.free.fr,,,,,-0.5239,44.8761
Hôtel - Restaurant,4 étoiles,Hôtel Le Relais de Margaux,5 route de l'Ile Vincent,B.P. 9,33460,MARGAUX,+33 5 57 88 38 30,www.relais-margaux.fr,,,,,-0.6582784,45.054577
Hôtel - Restaurant,Non classé,Hôtel Le Pavillon de Margaux,3 rue Georges Mandel,,33460,MARGAUX,+33 5 57 88 77 54,www.pavillonmargaux.com,,,,,-0.674782,45.040916
Hôtel - Restaurant,5 étoiles,Les Sources de Caudalie,chemin de Smith Haut Lafitte,,33650,MARTILLAC-BORDEAUX,+33 5 57 83 83 83,www.sources-caudalie.com,Small Luxury Hotel;Châteaux et Hôtels Collection,,Qualité Tourisme,,-0.5560541,44.73073
Hôtel,1 étoile,Hôtel Formule 1 Bordeaux Aéroport,7 avenue Rudolf Diesel,,33700,MERIGNAC,08 91 70 51 88,www.accorhotels.com/fr/hotel-2234-formule-1-hotelf1-bordeaux-aeroport/index.shtml,Formule 1,,,,-0.6871,44.8364
Hôtel,2 étoiles,Ibis Budget Bordeaux Aéroport,2 avenue Charles Lindbergh,,33700,MERIGNAC,+33 8 92 70 09 79,www.ibisbudget.com/fr/hotel-7508-ibis-budget-bordeaux-aeroport/index.shtml#ancre5,Ibis,,,,-0.6918094,44.836075
Hôtel,2 étoiles,Hôtel Altica Mérignac Aéroport,Rue Hipparque,Domaine de Pelus,33700,MERIGNAC,+33 5 56 12 14 14,www.altica.fr/fiche-hotel-altica.php?hotel=bordeaux-merignac,Altica,,,,-0.6790461,44.82795
Hôtel,Non classé,Hôtel B & B Bordeaux Mérignac,Parc d'Activités Marron Ouest,45 rue Jacques Prévert,33700,MERIGNAC,+33 8 92 78 80 15,www.hotel-bb.com/reservation-hotel-bordeaux-merignac-france.html/?hotelId=4182,B&B,,La Clef Verte,,-0.6708,44.8434
Hôtel - Restaurant,2 étoiles,Hôtel l'Etoile Bleue,51 route Jean Briaud,Sortie rocade n°12,33700,MERIGNAC,+33 5 56 47 65 96,www.letoilebleue.com,,,,,-0.6728267,44.82404
Hôtel - Restaurant,2 étoiles,Comfort Hôtel Bordeaux Mérignac,99 avenue J.F. Kennedy,,33700,MERIGNAC,+33 5 56 55 93 66,www.choicehotels.fr/bordeaux_-_merignac-hotel-comfort-FR296-fr?cid=6836,Choice Hotel,,,,-0.6881046,44.83521
Hôtel - Restaurant,2 étoiles,P'tit Dej Hôtel Bordeaux Aéroport,91 avenue J.F. Kennedy,,33700,MERIGNAC,+33 5 56 34 49 88,www.ptitdej-hotelbordeauxaeroport.com,,,,,-0.6877362,44.835865
Hôtel - Restaurant,3 étoiles,Hôtel Balladins Bordeaux Mérignac,3 rue Euler,Parc d'Activités du Château Rouquey,33700,MERIGNAC,+33 5 56 34 43 62,www.balladins.com,Balladins,,,,-0.671479,44.832344
Hôtel - Restaurant,3 étoiles,Best Western Bordeaux Aéroport,Aéroport de Mérignac,3 avenue Roland Garros,33700,MERIGNAC,+33 5 57 78 26 29,www.hotelbordeauxaeroport.com,Best Western,,,,-0.6263,44.8388
Hôtel - Restaurant,3 étoiles,Hôtel Ibis Bordeaux Aéroport,78 avenue J.F. Kennedy,Parc Cadéra Sud,33700,MERIGNAC,+33 5 56 34 10 19,www.ibishotel.com/fr/hotel-0600-ibis-bordeaux-aeroport/index.shtml,Ibis,,Qualité Tourisme,,-0.6802511,44.83504
Hôtel - Restaurant,3 étoiles,Inter-Hôtel du Phare,3 rue des Châtaigniers,,33700,MERIGNAC,+33 5 56 47 89 50,www.interhotel-merignac.com,Inter Hôtels,,Qualité Tourisme,,-0.672124,44.84181
Hôtel - Restaurant,3 étoiles,Ibis Styles Bordeaux Aéroport,95 avenue J.F. Kennedy,,33700,MERIGNAC,+33 5 56 55 93 42,http://ibisstyleshotel.ibis.com/fr/hotel-2079-ibis-styles-bordeaux-aeroport-ex-all-seasons/index.shtml,Ibis,,,,-0.6897354,44.835117
Hôtel - Restaurant,3 étoiles,Brit Hôtel Soretel,97 avenue J.F. Kennedy,,33700,MERIGNAC,+33 5 56 34 33 08,http://soretel.brithotel.fr,Brit Hôtel,,Qualité Tourisme,,-0.6906795,44.834995
Hôtel - Restaurant,4 étoiles,Hôtel Kyriad Prestige Bordeaux Mérignac,116 avenue de Magudas,Rocade sortie n°9,33700,MERIGNAC,+33 5 57 92 00 00,www.kyriad-prestige-bordeaux-ouest-merignac.fr,Kyriad,,,,-0.6642007,44.85727
Hôtel - Restaurant,4 étoiles,Hôtel Mercure Bordeaux Aéroport,1 avenue Charles Lindbergh,,33700,MERIGNAC,+33 5 56 34 74 74,www.mercure.com/fr/hotel-1508-mercure-bordeaux-aeroport/index.shtml;www.hotels-bordeaux-ouest.fr,Mercure,,,,-0.691809,44.836075
Hôtel - Restaurant,4 étoiles,Hôtel Novotel Bordeaux Aéroport,80 avenue J.F. Kennedy,,33700,MERIGNAC,+33 5 57 53 13 30,www.novotel.com/fr/hotel-0402-novotel-bordeaux-aeroport/index.shtml,Novotel,,Qualité Tourisme,,-0.6820803,44.835293
