ACTIVITES,PRESTATIONS,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,LABELS,LONGITUDE,LATITUDE
Equitation,Multiactivités,Poney-club de Guîtres,1, Bel Air,,33230,LAGORCE,+33 5 57 69 19 82,http://poneyclubguitres.free.fr,,-0.178233,45.06319
Equitation,Multiactivités,Club Hippique La Gourmette,Comète,,33210,LANGON,+33 5 56 63 07 46,www.la-gourmette-langon.com,,-0.271135,44.536648
Equitation,Multiactivités,Le Jardin des Poneys,route de la Sablière,,33138,LANTON,+33 6 16 94 35 10,http://lejardindesponeys.com,,-1.0243892,44.70606
Equitation;Randonnée équestre,Accompagnement;Multiactivités,Cercle hippique des Pins,33, rue de la Forêt,,33114,LE BARP,+33 6 80 01 53 99,,,-0.7589418,44.605385
Equitation,Multiactivités,Centre Equestre de Lescarran,chemin de Mérot,,33680,LE PORGE,+33 6 64 43 56 68,www.poney-plage.com,,-1.0808658,44.87941
Equitation,Multiactivités,Le Relais de la Bohème,2 route du Clot Arriou,,33680,LE TEMPLE,+33 5 56 82 95 54,www.lerelaisdelaboheme.com,,-0.970321,44.87353
Equitation,Multiactivités,Centre équestre de Lège-Cap Ferret,route du Truc Vert,,33950,LEGE-CAP FERRET,+33 5 56 60 82 85,www.centre-equestre-lege-cap-ferret.com,,-1.2229156,44.72591
Equitation,Multiactivités,Tinkapalo Ranch,Noailles,,33840,LERM-ET-MUSSET,+33 5 56 65 76 35,www.tinkapalo-ranch.vpweb.fr,,-0.1511372,44.3324
Equitation,Multiactivités;Cours,Poney-club de Sainte-Foy-la-Grande,Les Gaillards,,33220,LES LEVES-ET-THOUMEYRAGUES,+33 5 57 41 22 70,www.poneyclubstefoy.com,,0.174919,44.793102
Equitation,Cours,Le Buffalo de l'Ouest,7 Le Rondier,,33230,MARANSIN,+33 6 26 26 37 63,,,-0.268164,45.07125
Equitation;Randonnée équestre,Pratique libre;Pratique libre,Haras de Croix d'Hins,8 ZI de Croix d'Hins,,33380,MARCHEPRIME,+33 6 77 52 25 38;+33 6 81 20 60 68,www.harasdecroixdhins.com,,-0.816669,44.71222
Equitation;Randonnée équestre,Multiactivités;Accompagnement,Centre équestre de Mios,47, avenue du Général de Gaulle,,33380,MIOS,+33 5 56 26 43 60,http://centre-equestre-mios.ffe.com ,,-0.913977,44.59864
Equitation,Accompagnement,Mustang Aventure,lieu-dit Barbenègre,,33190,MONGAUZY,+33 6 32 77 10 73,www.mustangaventure.com,,0.03762,44.580833
Equitation,Multiactivités,Ecuries Dornic,20, lieu-dit Montignac,,33580,MONSEGUR,+33 5 56 61 68 14,www.ecuriesdornic.fr,,0.082404,44.65918
Equitation,Pratique libre;Accompagnement,Château de Beausite,35 route de Mathas,,33640,PORTETS,+33 5 56 67 18 15,www.chateaudebeausite.fr,,-0.4031867,44.680614
Equitation,Accompagnement,Poney-Club du Château Perron,Château Perron,,33210,ROAILLAN,+33 6 14 51 20 64,www.poneyperron.com,,-0.276097,44.506744
Equitation,Multiactivités,Les écuries du Gaudoux,,,33790,SAINT ANTOINE DU QUEYRET,+33 6 50 70 16 34,www.ecuriesdugaudoux.com,,0.0092339,44.763153
Equitation;Randonnée équestre,Multiactivités;Accompagnement,L'Elevage du Frêne,1, le Frêne,,33390,SAINT-ANDRONY,+33 5 57 64 45 86,www.elevage-du-frene.com,Bienvenue à la Ferme,-0.6493091,45.189445
Equitation,Multiactivités,Les Ecuries du Gaudoux,3, les Gaudoux,,33790,SAINT-ANTOINE-DU-QUEYRET,+33 5 57 40 53 45,http://ecuriesdugaudoux.com,,0.01035,44.77667
Equitation,Multiactivités,Les Ecuries de Logerie,Logerie,,33660,SAINT-ANTOINE-SUR-L'ISLE,+33 5 57 49 70 14,http://perso.orange.fr/ecuries-de-logerie/,,0.039127,45.02788
Equitation,Pratique libre;Multiactivités;Accompagnement,Les Lacs du Moulin Blanc,,,33920,SAINT-CHRISTOLY-DE-BLAYE,+33 5 57 58 47 79,www.cdc-saintsavin.fr,,-0.4755878,45.152565
Equitation,Multiactivités,Centre Equestre La Palombe,84 chemin des Treilles,,33910,SAINT-DENIS-DE-PILE,+33 6 10 84 07 68,www.centre-equestre-la-palombe.com,,-0.1647801,44.9776
Equitation,Multiactivités,Ecuries de la Luzernière,70 route des Artigues,,33910,SAINT-DENIS-DE-PILE,+33 5 57 84 29 38,,,-0.181531,44.974323
Equitation,Multiactivités,Centre Hippique du Bois Vieux,17 chemin Vieux Bois,,33240,SAINT-GERVAIS,+33 5 57 43 32 17,,,-0.4738605,45.01004
Equitation,Multiactivités,Ecurie de l'Ancien Pont,route de l'Ancien Pont,,33490,SAINT-MACAIRE,+33 5 56 63 83 47,www.ecuries-de-lancien-pont.ffe.com ,,-0.2366781,44.56251
Equitation,Multiactivités,Les Ecuries de Subileau,1 lieu-dit Subileau,,33910,SAINT-MARTIN-DE-LAYE,+33 5 57 84 72 14,www.subileau.net,,-0.2181148,45.038506
Equitation,Multiactivités,Centre équestre de Saint-Yzan de Soudiac,26 route du Pas de Méric,,33920,SAINT-YZAN-DE-SOUDIAC,+33 5 57 58 02 02,www.centre-equestre-saint-yzan.com,Bienvenue à la Ferme,-0.412395,45.154278
Equitation,Multiactivités,Les Ecuries de l'Etang,Les Sourderies,route de Marsas,33240,SALIGNAC,+33 6 13 45 83 13;+33 6 17 08 06 21,http://ecuries-de-letang.site.voila.fr,,-0.3716335,45.04123
Equitation,Accompagnement,Promenades à cheval "Danse avec les chevaux",Majouraou,,33430,SAUVIAC,+33 5 56 25 56 73,quali-fourchon.weebly.com,,-0.1763869,44.4105
Equitation,Multiactivités,La Grange de Majouraou,Majouraou,,33430,SAUVIAC,+33 5 56 25 56 73,www.la-grange-de-majouraou.com,,-0.176374,44.410664
Equitation,Multiactivités,Ferme équestre des palombières,Mouillou,,33690,SILLAS,+33 5 40 50 41 98,http://pcb-artiguevieille33cudos.ffe.com ,,-0.0614547,44.373196
Equitation,Multiactivités,Equi'Passion Attelage Loisirs,Ferme équestre,lieu-dit Masse,33550,TABANAC,+33 6 74 28 94 80,http://equipassion-tabanac33.ffe.com ,Bienvenue à la Ferme,-0.4090529,44.71263
Equitation,Accompagnement,Club Atlantique Equestre,avenue de l'Europe,,33930,VENDAYS-MONTALIVET,+33 5 56 34 13 09,,,-1.1458826,45.348434
Equitation,Multiactivités,Centre Equestre de Clavières,96 route d'Hourtin,,33930,VENDAYS-MONTALIVET,+33 5 56 41 05 95,www.equitation-clavieres.com,,-1.0912362,45.35054
Equitation,Multiactivités,Centre équestre de Périgueys,Haras de Périgueys,,33930,VENDAYS-MONTALIVET,+33 5 5 6 41 75 08,www.centre-equestre-de-perigueys.com,,-1.0395595,45.370163
Equitation,Multiactivités,Centre équestre du Ciron,Mouréou,,33730,VILLANDRAUT,+33 6 10 51 27 20,centre-equestre-du-ciron.com,,-0.377577,44.447746
