Saison,Commune,Nom du Tiers,Nom EMS,Tarification annuelle,Nb semaines fonctionnement annuel,Nb jeunes inscrits
2010/2011,BLANQUEFORT,ESB OMNISPORT,ESB Blanquefort,"70,0 €",30,51
2010/2011,BLAYE,COMMUNE DE BLAYE,Blaye Malbeteau,"0,0 €",29,10
2010/2011,BLAYE,COMMUNE DE BLAYE,Blaye Vallaeys,"0,0 €",31,16
2010/2011,BONZAC,COMMUNE DE BONZAC,BONZAC,"30,0 €",27,12
2010/2011,BORDEAUX,ASPTT BORDEAUX,ASPTT Bordeaux,"200,0 €",35,64
2010/2011,BORDEAUX,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Francas Tresses,"13,0 €",25,27
2010/2011,BORDEAUX,ASSOCIATION PROMOTION INSERTION SPORT EN AQUITAINE,APIS Promotion Insertion Sport,"10,0 €",22,36
2010/2011,BORDEAUX,CLUB PYRENEES AQUITAINE,CPA TAUZIN,"80,0 €",32,26
2010/2011,BORDEAUX,COQS ROUGES,Coqs Rouges,"150,0 €",35,8
2010/2011,BORDEAUX,GIRONDINS DE BORDEAUX HAND BALL CLUB,Girondins Bordeaux Hand,"50,0 €",35,108
2010/2011,BORDEAUX,LES JEUNES DE SAINT AUGUSTIN,J.S.A,"90,0 €",32,127
2010/2011,BORDEAUX,UNION SAINT BRUNO,Union St Bruno,"165,0 €",32,26
2010/2011,BORDEAUX,UNION SAINT JEAN,UNION ST JEAN,"0,0 €",35,20
2010/2011,BORDEAUX,UNION SPORTIVE LES CHARTRONS,U.S Chartrons,"0,0 €",35,63
2010/2011,BOULIAC,COMMUNE DE BOULIAC,Bouliac,"60,0 €",31,34
2010/2011,BRACH,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Brach,"30,0 €",33,7
2010/2011,BRANNE,COMMUNE DE BRANNE,Branne,"30,0 €",32,42
2010/2011,BRUGES,COMMUNE DE BRUGES,Bruges Claudel,"50,0 €",31,17
2010/2011,BRUGES,COMMUNE DE BRUGES,Bruges La Marianne,"50,0 €",31,10
2010/2011,BRUGES,COMMUNE DE BRUGES,Bruges Laurencin,"50,0 €",31,15
2010/2011,BRUGES,COMMUNE DE BRUGES,Bruges Prevert,"50,0 €",31,60
2010/2011,CADAUJAC,COMMUNE DE CADAUJAC,CCAS Cadaujac,"0,0 €",31,45
2010/2011,CAMARSAC,FRIMOUSSE DES COTEAUX,Frimousse des Côteaux,"0,0 €",34,25
2010/2011,CAMBLANES-ET-MEYNAC,CDC PORTES ENTRE DEUX MERS,CDC ENTRE 2 MERS Camblanes,"40,0 €",31,19
2010/2011,CANEJAN,COMMUNE DE CANEJAN,Canéjan,"0,0 €",32,52
2010/2011,CARBON-BLANC,COMMUNE DE CARBON BLANC,Carbon Blanc Barbou,"46,0 €",34,56
2010/2011,CARBON-BLANC,COMMUNE DE CARBON BLANC,Carbon Blanc Pasteur,"46,0 €",34,48
2010/2011,CARCANS,COMMUNE DE CARCANS,CARCANS,"0,0 €",31,55
2010/2011,CARIGNAN-DE-BORDEAUX,CLUB ATHLETIQUE CARIGNANAIS OMNISPORT,C.A Carignanais,"0,0 €",34,53
2010/2011,CARTELEGUE,COMMUNE DE CARTELEGUE,Cartelegue,"0,0 €",29,15
2010/2011,CASTELNAU-DE-MEDOC,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Castelnau,"30,0 €",33,16
2010/2011,CASTILLON-LA-BATAILLE,AMICALE LAIQUE CASTILLONAISE,Amicale Laïque Castillon,"85,0 €",30,78
2010/2011,CAUDROT,COMMUNE DE CAUDROT,CAUDROT,"0,0 €",33,37
2010/2011,CAVIGNAC,COMMUNE DE CAVIGNAC,Cavignac,"15,0 €",27,19
2010/2011,CENON,OFFICE MINICIPAL DES SPORTS DE CENON,OMS Cenon,"120,0 €",30,60
2010/2011,CESTAS,PATRONAGE LAIQUE CAZEMAJOR YSER,Patronage Laïque Cazemajor Yser,"48,0 €",33,24
2010/2011,CESTAS,SPORT ATHLETIQUE GAZINET CESTAS OMNISPORTS,SAGC Cestas,"0,0 €",31,87
2010/2011,CHAMADELLE,COMMUNE DE CHAMADELLE,Chamadelle,"0,0 €",34,15
2010/2011,CISSAC-MEDOC,CDC DU CENTRE MEDOC,CDC Centre Médoc Cissac,"0,0 €",30,14
2010/2011,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,L.J.C Baron,"90,0 €",29,9
2010/2011,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,L.J.C La Sauve,"90,0 €",25,13
2010/2011,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,LJCréon,"90,0 €",28,32
2010/2011,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,LJCréon Haux,"356,0 €",26,7
2010/2011,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,LJCréon Lignan,"90,0 €",29,26
2010/2011,CUBZAC-LES-PONTS,COMMUNE DE CUBZAC LES PONTS,Cubzac les Ponts,"24,0 €",29,24
2010/2011,DONNEZAC,COMMUNE DE DONNEZAC,DONNEZAC,"15,0 €",27,17
2010/2011,EYNESSE,CDC DU PAYS FOYEN,CDC Foyen Eynesse,"0,0 €",30,11
2010/2011,EYSINES,MAISON DES JEUNES DE LA CULTURE ET DES SPORTS,Eycho MJCS Eysines,"10,0 €",21,137
2010/2011,EYSINES,MAISON DES JEUNES DE LA CULTURE ET DES SPORTS,MJCS Eysines,"10,0 €",21,137
2010/2011,FARGUES-SAINT-HILAIRE,GIRONDESPORTS,Asso Girondesports,"0,0 €",31,14
2010/2011,FLAUJAGUES,SIRP DE FLAUJAGUES MOULIETS ET VILLEMARTIN,SIRP Flaujagues et Mouliets,"0,0 €",30,22
2010/2011,FRONSAC,CDC DU FRONSADAIS,CDC Fronsac,"18,0 €",29,12
2010/2011,GALGON,CDC DU FRONSADAIS,CDC Fronsac Galgon,"18,0 €",29,11
2010/2011,GAURIAGUET,COMMUNE DE GAURIAGUET,Gauriaguet,"0,0 €",34,33
2010/2011,GENERAC,SIRP DE GENERAC SAUGON,SIRP Générac,"0,0 €",28,18
2010/2011,GRADIGNAN,COMMUNE DE GRADIGNAN,EPAJG,"0,0 €",34,24
2010/2011,GRADIGNAN,COSOG CDC,COSOG,"0,0 €",33,25
2010/2011,GRAYAN-ET-L'HOPITAL,COMMUNE DE GRAYAN ET L'HOPITAL,Grayan et L'Hopital,"0,0 €",30,24
2010/2011,GUITRES,COMMUNE DE GUITRES,Guitres,"15,0 €",31,34
2010/2011,HOURTIN,UNION SPORTIVE ET CULTURELLE D'HOURTIN,U.S.C Hourtin,"10,0 €",35,73
2010/2011,IZON,COMMUNE D'IZON,Izon,"27,0 €",31,69
2010/2011,LA-BREDE,COMMUNE DE LA BREDE,LA BREDE,"38,0 €",28,27
2010/2011,LACANAU,COMMUNE DE LACANAU,Lacanau,"20,0 €",33,152
2010/2011,LANSAC,COMMUNE DE LANSAC,Lansac,"12,0 €",27,35
2010/2011,LANTON,COMMUNE DE LANTON,Lanton,"30,0 €",25,37
2010/2011,LARUSCADE,COMMUNE DE LARUSCADE,Laruscade,"18,0 €",32,30
2010/2011,LATRESNE,CDC PORTES ENTRE DEUX MERS,CDC ENTRE 2 MERS La Tresne,"40,0 €",30,26
2010/2011,LE-BARP,COMMUNE DU BARP,Le Barp,"60,0 €",29,38
2010/2011,LE-BOUSCAT,COMMUNE DU BOUSCAT,Le Bouscat Centre 1,"0,0 €",28,54
2010/2011,LE-BOUSCAT,COMMUNE DU BOUSCAT,Le Bouscat Centre 2,"0,0 €",28,44
2010/2011,LE-BOUSCAT,COMMUNE DU BOUSCAT,Le Bouscat Féline,"0,0 €",28,17
2010/2011,LE-BOUSCAT,COMMUNE DU BOUSCAT,Le Bouscat Jaures,"0,0 €",28,60
2010/2011,LE-BOUSCAT,STADE BORDELAIS,Stade Bordelais,"135,0 €",27,17
2010/2011,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,LEGE Bourg,"0,0 €",29,86
2010/2011,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,LEGE Claouey,"0,0 €",29,50
2010/2011,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,LEGE Phare,"0,0 €",29,36
2010/2011,LE-HAILLAN,ASSOCIATION SPORTIVE DU HAILLAN,Le Haillan Centre,"70,0 €",32,30
2010/2011,LE-HAILLAN,ASSOCIATION SPORTIVE DU HAILLAN,LE Haillan Luz,"70,0 €",32,14
2010/2011,LEOGNAN,COMMUNE DE LEOGNAN,Léognan,"0,0 €",34,46
2010/2011,LE-PIAN-SUR-GARONNE,VACANCES LOISIRS DE ST PIERRE D AURILLAC,AVL Pian sur Garonne,"25,0 €",35,20
2010/2011,LE-PORGE,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Le Porge,"30,0 €",33,12
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc Beaugency,"20,0 €",30,8
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc Begadan,"20,0 €",27,10
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc Civrac,"20,0 €",29,14
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc Couqueques,"20,0 €",27,13
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc Gaillan,"18,0 €",28,19
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc Notre Dame,"18,0 €",29,15
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc P.M Curie,"20,0 €",29,26
2010/2011,LE-TEICH,COMMUNE DU TEICH,LE TEICH,"25,0 €",32,96
2010/2011,LE-TEMPLE,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Le Temple,"30,0 €",33,28
2010/2011,LIBOURNE,COMMUNE DE LIBOURNE,Libourne,"0,0 €",34,112
2010/2011,LISTRAC-MEDOC,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Listrac,"30,0 €",33,14
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Camus,"0,0 €",32,48
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Condorcet,"0,0 €",32,24
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Ecoles Mercredi,"0,0 €",32,60
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont M.Curie,"0,0 €",31,24
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Pagnol,"0,0 €",32,36
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont P.Fort,"0,0 €",32,16
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Rolland,"0,0 €",31,24
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Rostand,"0,0 €",31,40
2010/2011,LUDON-MEDOC,COMMUNE DE LUDON MEDOC,Ludon,"48,0 €",32,65
2010/2011,LUGON-ET-L'ILE-DU-CARNAY,CDC DU FRONSADAIS,CDC Fronsac Lugon,"18,0 €",29,14
2010/2011,LUSSAC,SIRPC LUSSAC ST CIBARD,SIRPC Lussac,"0,0 €",30,14
2010/2011,MARCENAIS,COMMUNE DE MARCENAIS,Marcenais,"0,0 €",32,15
2010/2011,MARCHEPRIME,CLUB DES ECUREUILS,Club des Ecureuils,"0,0 €",34,37
2010/2011,MARGUERON,CDC DU PAYS FOYEN,CDC Foyen Margueron,"0,0 €",30,22
2010/2011,MARTIGNAS-SUR-JALLE,ASS SPORTIVE OMNISPORTS DE MARTIGNAS,A.S Martignas,"114,0 €",24,31
2010/2011,MARTILLAC,COMMUNE DE MARTILLAC,MARTILLAC,"0,0 €",35,46
2010/2011,MAURIAC,CDC DU PAYS SAUVETERROIS,CDC Sauveterrois ALSH Mauriac,"0,0 €",28,14
2010/2011,MERIGNAC,AMICALE LAIQUE LA GLACIERE,Amicale Laïque de la Glacière,"89,0 €",31,15
2010/2011,MERIGNAC,ARTS ET LOISIRS ARLAC,Arts et Loisirs Mérignac,"0,0 €",35,9
2010/2011,MERIGNAC,CL2V MJC CENTRE SOCIAL BORDEAUX CAUDERAN,MJC CL2V,"78,0 €",35,21
2010/2011,MERIGNAC,SPORT ATHLETIQUE MERIGNACAIS,SAM Eveil,"110,0 €",33,180
2010/2011,MERIGNAC,SPORT ATHLETIQUE MERIGNACAIS,SAM Handiscole,"90,0 €",33,6
2010/2011,MOMBRIER,SIRP MOMBRIER ST TROJAN SAMONAC ,SIRP St Trojan,"0,0 €",31,12
2010/2011,MONGAUZY,COMMUNE DE MONGAUZY,MONGAUZY,"0,0 €",30,24
2010/2011,MONTUSSAN,COMMUNE DE MONTUSSAN,Montussan,"55,0 €",35,81
2010/2011,MOULIS-EN-MEDOC,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Moulis,"0,0 €",29,28
2010/2011,MOURENS,SIRP DU HAUT BENAUGE ,SIRP Haut Benauge,"0,0 €",30,14
2010/2011,PAILLET,CDC DU VALLON D ARTOLIE,CDC Artolie ALSH Le Tourne,"0,0 €",35,30
2010/2011,PAILLET,CDC DU VALLON D ARTOLIE,CDC Artolie Capian,"51,0 €",28,14
2010/2011,PAILLET,CDC DU VALLON D ARTOLIE,CDC Artolie Langoiran,"51,0 €",31,20
2010/2011,PAILLET,CDC DU VALLON D ARTOLIE,CDC Artolie Rions,"51,0 €",29,21
2010/2011,PAREMPUYRE,COMMUNE DE PAREMPUYRE,Praempuyre,"0,0 €",30,60
2010/2011,PAUILLAC,CDC DU CENTRE MEDOC,CDC Centre Médoc Hauteville,"0,0 €",32,23
2010/2011,PAUILLAC,CDC DU CENTRE MEDOC,CDC Centre Médoc Mousset,"0,0 €",32,39
2010/2011,PAUILLAC,CDC DU CENTRE MEDOC,CDC Centre Médoc St Lambert,"0,0 €",31,14
2010/2011,PAUILLAC,STADE PAUILLACAIS INDEPENDANT CLUB,SPIC Omnisports,"110,0 €",32,12
2010/2011,PELLEGRUE,CDC DU PAYS DE PELLEGRUE,CDC PELLEGRUE,"45,0 €",34,8
2010/2011,PESSAC,ASS SPORTIVE CULTURELLE PESSAC ALOUETTE,ASCPA Omnisports,"100,0 €",35,32
2010/2011,PESSAC,GUYENNE HANDISCOLE SPORT,Guyenne Handiscole' sport BEC,"0,0 €",0,0
2010/2011,PESSAC,OFFICE MUNICIPAL DU SPORT PESSAC,OMS Pessac,"125,0 €",32,23
2010/2011,PESSAC,STADE PESSACAIS UNION CLUB,SPUC,"101,0 €",33,24
2010/2011,PINEUILH,CDC DU PAYS FOYEN,CDC Foyen Pineuilh,"0,0 €",30,16
2010/2011,PINEUILH,CDC DU PAYS FOYEN,CDC Foyen Port Ste Foy,"0,0 €",30,10
2010/2011,PLASSAC,COMMUNE DE PLASSAC,Plassac,"0,0 €",27,14
2010/2011,PRIGNAC-ET-MARCAMPS,COMMUNE DE PRIGNAC ET MARCAMPS,Prignac,"5,0 €",28,22
2010/2011,PUGNAC,COMMUNE DE PUGNAC,PUGNAC,"0,0 €",32,32
2010/2011,PUISSEGUIN-MONBADON,COMMUNE DE PUISSEGUIN,Puisseguin,"0,0 €",27,18
2010/2011,QUEYRAC,TENNIS CLUB DE QUEYRAC,T.C Queyrac,"12,0 €",33,39
2010/2011,QUINSAC,CDC PORTES ENTRE DEUX MERS,CDC ENTRE 2 MERS Quinsac,"40,0 €",31,28
2010/2011,ROMAGNE,COMMUNE DE ROMAGNE,Romagne Elémentaire,"0,0 €",34,44
2010/2011,ROMAGNE,COMMUNE DE ROMAGNE,Romagne Mercredi,"0,0 €",34,42
2010/2011,SADIRAC,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,L.J.C Sadirac,"90,0 €",28,14
2010/2011,SAILLANS,CDC DU FRONSADAIS,CDC Fronsac Saillans,"18,0 €",29,14
2010/2011,SAINT-ANDRE-DE-CUBZAC,COMMUNE DE SAINT ANDRE DE CUBZAC,St André de Cubzac,"40,0 €",30,48
2010/2011,SAINT-ANDRE-ET-APPELLES,CDC DU PAYS FOYEN,CDC Foyen St André et Appelles,"40,0 €",30,11
2010/2011,SAINT-ANTOINE-SUR-L'ISLE,COMMUNE DE SAINT ANTOINE SUR L'ISLE,St Antoine sur l'Isle,"0,0 €",33,22
2010/2011,SAINT-AUBIN-DE-MEDOC,COMMUNE DE SAINT AUBIN DE MEDOC,St Aubin de Médoc,"0,0 €",33,28
2010/2011,SAINT-AVIT-SAINT-NAZAIRE,CDC DU PAYS FOYEN,CDC Foyen St Avit St Nazaire,"0,0 €",30,10
2010/2011,SAINT-CAPRAIS-DE-BORDEAUX,CDC PORTES ENTRE DEUX MERS,CDC ENTRE 2 MERS St Caprais,"40,0 €",31,11
2010/2011,SAINT-CHRISTOPHE-DE-DOUBLE,COMMUNE DE SAINT CHRISTOPHE DE DOUBLE,St Christophe de Double,"0,0 €",35,14
2010/2011,SAINT-CIERS-DE-CANESSE,SIRP VILLENEUVE ST CIERS CANESSE,SIRP St Ciers de Canesse,"15,0 €",28,26
2010/2011,SAINTE-EULALIE,COMMUNE DE SAINTE EULALIE,Ste Eulalie,"51,0 €",33,14
2010/2011,SAINTE-FOY-LA-GRANDE,CDC DU PAYS FOYEN,CDC Pays Foyen Paul Bert,"0,0 €",30,10
2010/2011,SAINT-ESTEPHE,CDC DU CENTRE MEDOC,CDC Centre Médoc Canteloup,"0,0 €",32,16
2010/2011,SAINT-GENES-DE-FRONSAC,CDC DU FRONSADAIS,CDC Fronsac St Genes,"18,0 €",29,12
2010/2011,SAINT-GERMAIN-D'ESTEUIL,CDC DU COEUR MEDOC,CDC Coeur Médoc St Germain d'Esteuil,"20,0 €",28,14
2010/2011,SAINT-GERMAIN-DU-PUCH,COMMUNE DE SAINT GERMAIN DU PUCH,ST Germain du Puch,"55,0 €",31,27
2010/2011,SAINT-GERVAIS,COMMUNE DE SAINT GERVAIS,St Gervais,"15,0 €",34,40
2010/2011,SAINT-HILAIRE-DE-LA-NOAILLE,COMMUNE DE SAINT HILAIRE LA NOAILLE,St Hilaire de la Noaille,"0,0 €",29,28
2010/2011,SAINT-JEAN-D'ILLAC,ASSOCIATION SPORTIVE ILLACAISE,A.S Illacaise,"55,0 €",33,37
2010/2011,SAINT-JULIEN-BEYCHEVELLE,CDC DU CENTRE MEDOC,CDC Centre Médoc St Julien,"0,0 €",31,17
2010/2011,SAINT-LAURENT-MEDOC,ADAPEI IME DU MEDOC,APEI Médoc,"0,0 €",35,10
2010/2011,SAINT-LAURENT-MEDOC,CDC DU CENTRE MEDOC,CDC Centre Médoc St Laurent,"0,0 €",32,19
2010/2011,SAINT-LOUBES,COMMUNE DE SAINT LOUBES,Saint Loubes,"58,0 €",30,138
2010/2011,SAINT-LOUIS-DE-MONTFERRAND,COMMUNE DE SAINT LOUIS MONTFERRAND,St Louis de Montferrand,"48,0 €",33,37
2010/2011,SAINT-MACAIRE,CENTRE DE VACANCES ET DE LOISIRS VERDELAISIEN,CVLV St Macaire,"0,0 €",31,68
2010/2011,SAINT-MAIXANT,CENTRE DE VACANCES ET DE LOISIRS VERDELAISIEN,CVLV Verdelais St Maixant,"0,0 €",31,47
2010/2011,SAINT-MEDARD-DE-GUIZIERES,COMMUNE DE SAINT MEDARD GUIZIERES,St Médard de Guizières,"0,0 €",33,29
2010/2011,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,St Médard en Jalles Cérillan,"0,0 €",31,86
2010/2011,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,St Médard en Jalles Corbiac,"0,0 €",31,79
2010/2011,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,St Médard en Jalles Gajac,"0,0 €",31,25
2010/2011,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,St Médard en Jalles Hastignan,"0,0 €",31,92
2010/2011,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,St Médard en Jalles La Garenne,"0,0 €",31,89
2010/2011,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,St Médard en Jalles Magudas,"0,0 €",31,89
2010/2011,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,St Médard en Jalles Montaigne,"0,0 €",31,78
2010/2011,SAINT-PEY-DE-CASTETS,SIRP DE SAINT PEY DE CASTET CIVRAC SUR DORDOGNE STE FLORENCE,SIRP St Pey de Castets,"80,0 €",32,18
2010/2011,SAINT-PIERRE-D'AURILLAC,VACANCES LOISIRS DE ST PIERRE D AURILLAC,AVL St Pierre d' Aurillac,"25,0 €",35,20
2010/2011,SAINT-PIERRE-DE-MONS,ASS COMMUNALE DES PARENTS ELEVES,ACPE St Pierre de Mons,"0,0 €",28,24
2010/2011,SAINT-QUENTIN-DE-BARON,COMMUNE DE SAINT QUENTIN DE BARON,St Quentin de Baron,"0,0 €",26,49
2010/2011,SAINT-ROMAIN-LA-VIRVEE,CDC DU FRONSADAIS,CDC Fronsac Asques St Romain,"18,0 €",29,20
2010/2011,SAINT-SAUVEUR,CDC DU CENTRE MEDOC,CDC Centre Médoc St Sauveur,"0,0 €",32,21
2010/2011,SAINT-SELVE,COMMUNE DE SAINT SELVE,CCEJ St Selve,"0,0 €",30,30
2010/2011,SAINT-SEURIN-DE-CADOURNE,CDC DU CENTRE MEDOC,CDC Centre Médoc St Seurin,"0,0 €",31,19
2010/2011,SAINT-SULPICE-ET-CAMEYRAC,COMMUNE DE SAINT SULPICE CAMEYRAC,St Sulpice et Cameyrac,"50,0 €",30,48
2010/2011,SAINT-VINCENT-DE-PAUL,COMMUNE DE SAINT VINCENT DE PAUL,St Vincent de Paul,"42,0 €",34,24
2010/2011,SAINT-VIVIEN-DE-MEDOC,ASSOCIATION LES PTITS POTES,Asso Les Ptits potes St Vivien,"40,0 €",35,20
2010/2011,SAINT-YZAN-DE-SOUDIAC,COMMUNE DE SAINT YZAN DE SOUDIAC,St Yzan de Soudiac,"24,0 €",29,44
2010/2011,SALAUNES,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Salaunes,"30,0 €",33,22
2010/2011,SALIGNAC,COMMUNE DE SALIGNAC,Salignac,"0,0 €",31,61
2010/2011,SALLEBOEUF,ASSOCIATION TAM TAM,TAM TAM,"120,0 €",33,68
2010/2011,SALLES,COMMUNE DE SALLES,SALLES Caisse des écoles,"48,0 €",31,51
2010/2011,SAUCATS,COMMUNE DE SAUCATS,SAUCATS,"0,0 €",32,20
2010/2011,SAUVETERRE-DE-GUYENNE,CDC DU PAYS SAUVETERROIS,CDC Sauveterrois alsh,"0,0 €",35,24
2010/2011,SAUVETERRE-DE-GUYENNE,COMMUNE DE SAUVETERRE DE GUYENNE,Sauveterre de Guyenne,"27,0 €",34,18
2010/2011,SOULAC-SUR-MER,COMMUNE DE SOULAC SUR MER,Soulac sur Mer,"17,0 €",30,16
2010/2011,TABANAC,CDC DU VALLON D ARTOLIE,CDC Artolie Tabanac,"51,0 €",29,29
2010/2011,TARGON,COMMUNE DE TARGON,Targon,"54,0 €",35,29
2010/2011,TEUILLAC,COMMUNE DE TEUILLAC,Teuillac,"10,0 €",26,16
2010/2011,TOULENNE,COMMUNE DE TOULENNE,Toulenne,"30,0 €",32,50
2010/2011,VERAC,CDC DU FRONSADAIS,CDC Fronsac Vérac,"18,0 €",29,18
2010/2011,VERTHEUIL,CDC DU CENTRE MEDOC,CDC Centre Médoc Vertheuil,"0,0 €",32,16
2010/2011,VILLANDRAUT,CDC DE VILLANDRAUT,CDC Villandraut,"0,0 €",31,35
2010/2011,VILLENAVE-D'ORNON,COMMUNE DE VILLENAVE D'ORNON,Villenave d'Ornon,"0,0 €",35,100
