TYPES_DE_PRODUITS,STATUT,AOC,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,MARQUES_ET_LABELS,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Vins,Producteur,Médoc,Château Pierre de Montignac,1 route de Montignac,,33340,CIVRAC-EN-MEDOC,+33 5 56 73 59 08;+33 5 56 41 58 93,www.pierre-de-montignac.com,Vignobles et Chais en Bordelais;Bienvenue à la Ferme,,-0.8986473,45.34418
Vins,Producteur,Blaye Côtes de Bordeaux;Bordeaux Clairet,Château Bertinerie,,,33620,CUBNEZAIS,+33 5 57 68 70 74,www.chateaubertinerie.com,Vignobles et Chais en Bordelais,,-0.4131674,45.074505
Vins,Producteur,Bordeaux Supérieur;Bordeaux;Bordeaux Rosé,Château de Terrefort-Quancard,3 Terrefort,BP 50,33240,CUBZAC-LES-PONTS,+33 5 57 43 00 53,www.chateau-terrefort-quancard.com,Vignobles et Chais en Bordelais,,-0.4448604,44.97582
Vins,Producteur,Bordeaux Supérieur;Bordeaux;Bordeaux Clairet,Château Lagrange Les Tours,30 rue de Bernescut,,33240,CUBZAC-LES-PONTS,+33 5 57 43 04 96,www.chateau-lagrange-les-tours.fr,Vignobles et Chais en Bordelais,,-0.425291,44.969524
Vins,Producteur,Haut-Médoc,Château Beaumont,,,33460,CUSSAC-FORT-MEDOC,+33 5 56 58 92 29,www.chateau-beaumont.com,Vignobles et Chais en Bordelais,,-0.7446455,45.108635
Vins,Producteur,Haut-Médoc,Château de Lauga,,,33460,CUSSAC-FORT-MEDOC,+33 5 56 58 92 83,www.lauga.com,Vignobles et Chais en Bordelais,,-0.71365,45.10691
Vins,Producteur,Haut-Médoc,Château du Moulin Rouge,16 rue de Costes,,33460,CUSSAC-FORT-MEDOC,+33 5 56 58 91 13,www.chateaudumoulinrouge.com,Vignobles et Chais en Bordelais,,-0.730296,45.112183
Vins,Producteur,Haut-Médoc,Château Lanessan,,,33460,CUSSAC-FORT-MEDOC,+33 5 56 58 94 80,www.lanessan.com,Vignobles et Chais en Bordelais,Handicap auditif;Handicap mental;Handicap visuel,-0.7527351,45.1361
Vins,Producteur,Haut-Médoc,Château Micalet,10 rue Jeanne d'Arc,,33460,CUSSAC-FORT-MEDOC,+33 5 56 58 95 48,www.chateaumicalet.fr,Vignobles et Chais en Bordelais,,-0.730296,45.112183
Vins,Producteur,Haut-Médoc,Château Tour du Haut Moulin,,,33460,CUSSAC-FORT-MEDOC,+33 5 56 58 91 10,,Vignobles et Chais en Bordelais,,-0.730296,45.112183
Vins,Coopérative,Haut-Médoc,Les Viticulteurs du Fort-Médoc,105 avenue du Haut-Médoc,,33460,CUSSAC-FORT-MEDOC,+33 5 56 58 92 85,www.cave-fort-medoc.fr,Vignobles et Chais en Bordelais,,-0.730296,45.112183
Vins,Producteur,Bordeaux;Côtes de Duras,Château Faurie,Vignoble de Faurie,Faurie 3,33580,DIEULIVOL,+33 5 56 61 67 19,www.chateaufaurie.com,Vignobles et Chais en Bordelais,,0.103294,44.695545
Vins,Coopérative,Bordeaux Supérieur;Bordeaux;Crémant de Bordeaux;Bordeaux Rosé;Entre-deux-Mers,Union de Producteurs Baron d'Espiet,Lieu dit Fourcade,,33420,ESPIET,+33 5 57 24 24 08,www.baron-espiet.com,Vignobles et Chais en Bordelais,,-0.265206,44.786465
Vins,Producteur,Bordeaux Supérieur,Château Picon,Chateau Picon,,33220,EYNESSE,+33 5 57 41 00 19,www.chateau-picon.com,Vignobles et Chais en Bordelais,,0.176919,44.822372
Vins,Producteur,Entre-deux-Mers;Bordeaux;Bordeaux Rosé;Crémant de Bordeaux,Château Chantelouve,,,33760,FALEYRAS,+33 5 57 24 11 87;+33 5 56 23 90 87,www.chateau-chantelouve.com,Vignobles et Chais en Bordelais,,-0.2181816,44.751976
Vins,Producteur,Sauternes,Domaine de Fillau,13 place du Bourg,,33210,FARGUES,+33 5 56 76 89 31,www.domainedefillau.com,Vignobles et Chais en Bordelais,,-0.2973711,44.53539
Vins,Producteur,Blaye Côtes de Bordeaux,Château L'Haur du Chay,25 chemin du Chay,,33390,FOURS,+33 5 57 32 94 43,www.chateau-haur-du-chay.com,Vignobles et Chais en Bordelais,,-0.63244,45.167767
Vins,Producteur,Francs Côtes de Bordeaux,Château Godard-Bellevue - Vignobles Arbo,,,33570,FRANCS,+33 5 57 40 65 77,www.godardbellevue.com,Vignobles et Chais en Bordelais,,-0.0106859,44.93661
Vins,Producteur,Canon-Fronsac;Fronsac;Bordeaux Rosé,Château Barrabaque,Lieu dit Barrabaque,,33126,FRONSAC,+33 5 57 55 09 09,www.chateaubarrabaque.com,Vignobles et Chais en Bordelais,,-0.2843248,44.929844
Vins,Producteur,Canon-Fronsac;Fronsac;Bordeaux Supérieur,Château Belloy - Vignobles Travers,Lieu dit Naudin,BP 1,33126,FRONSAC,+33 5 57 74 92 28,www.vignobles-travers.com,Vignobles et Chais en Bordelais,,-0.3051334,44.93077
Vins,Producteur,Canon-Fronsac;Fronsac;Bordeaux Supérieur;Bordeaux;Bordeaux Rosé,Château Canon Saint Michel,Lamarche,,33126,FRONSAC,+33 6 08 33 81 11,www.vins-millaire.fr,Vignobles et Chais en Bordelais;Bienvenue à la Ferme,,-0.287522,44.923157
Vins,Producteur,Canon-Fronsac;Fronsac,Château Coustolle,,,33126,FRONSAC,+33 5 57 51 31 25,www.chateau-coustolle.com,Vignobles et Chais en Bordelais,,-0.2793252,44.94044
Vins,Producteur,Fronsac,Château de la Dauphine,10 rue Poitevine,,33126,FRONSAC,+33 5 57 74 06 61,www.chateau-dauphine.com,Vignobles et Chais en Bordelais,,-0.2736349,44.92332
Vins,Producteur,Canon-Fronsac,Château Gaby,,,33126,FRONSAC,+33 5 57 51 24 97,www.chateau-dugaby.com,Vignobles et Chais en Bordelais,,-0.2796363,44.93245
Vins,Producteur,Canon-Fronsac;Fronsac;Bordeaux Supérieur,Château Lamarche Canon,,,33126,FRONSAC,+33 5 57 51 28 13,,Vignobles et Chais en Bordelais,,-0.2888202,44.922638
Vins,Producteur,Canon-Fronsac;Fronsac;Bordeaux Rosé,Château Pey Labrie,10-12 lieu dit Pey Labie,,33126,FRONSAC,+33 5 57 25 35 97,www.pey-labrie.fr,Vignobles et Chais en Bordelais,,-0.2845501,44.93312
Vins,Producteur,Fronsac,Château Richelieu,1 chemin du Tertre,,33126,FRONSAC,+33 5 57 51 13 94,www.chateau-richelieu.com,Vignobles et Chais en Bordelais,,-0.270667,44.92376
Vins,Groupements de producteur,Canon-Fronsac;Fronsac,Maison des Vins de Fronsac,Rue du Tertre,,33126,FRONSAC,+33 5 57 51 80 51,www.vins-fronsac.com,Vignobles et Chais en Bordelais,,-0.2705812,44.923405
Vins,Producteur,Médoc;Bordeaux Rosé,Château Gadet-Terrefort,Coudessan,7 route de Vendays,33340,GAILLAN-EN-MEDOC,+33 5 56 41 78 35,www.gadet-terrefort.com,Vignobles et Chais en Bordelais;Bienvenue à la Ferme,,-0.955184,45.324932
Vins,Coopérative,Médoc,Les Vignerons d'Uni-Médoc,14 route de Soulac,,33340,GAILLAN-EN-MEDOC,+33 5 56 41 03 12,www.unimedoc.com,Vignobles et Chais en Bordelais,,-0.955184,45.324932
Vins,Producteur,Fronsac;Bordeaux Supérieur;Bordeaux;Bordeaux Rosé;Crémant de Bordeaux,Château La Croix de Roche,17 route de Marze,,33133,GALGON,+33 5 57 84 38 52,www.vins-maurin-delmas.com,Vignobles et Chais en Bordelais,,-0.2549815,44.976913
Vins,Producteur,Bordeaux Supérieur;Bordeaux Rosé;Crémant de Bordeaux,Château Recougne,,,33133,GALGON,+33 5 57 74 10 84,www.chateau-recougne.fr,Vignobles et Chais en Bordelais,,-0.278182,44.990913
Vins,Producteur,Blaye Côtes de Bordeaux;Bordeaux Clairet;Bordeaux,Château Anglade-Bellevue,Aux Lamberts,,33920,GENERAC,+33 5 57 64 73 28,www.mege-freres.fr,Vignobles et Chais en Bordelais,,-0.50517,45.165665
Vins,Producteur,Bordeaux Supérieur,Château Lecourt Caillet,70 chemin du Moulin de Trillade,,33420,GENISSAC,+33 5 57 24 46 04,www.chateaulecourtcaillet.fr,Vignobles et Chais en Bordelais;Bienvenue à la Ferme,,-0.258297,44.857677
Vins,Producteur,Bordeaux;Bordeaux Supérieur,Château Penin,,,33420,GENISSAC,+33 5 57 24 46 98,www.chateaupenin.com,Vignobles et Chais en Bordelais,,-0.236549,44.871807
Vins,Coopérative,Bordeaux Supérieur;Bordeaux Clairet,S.C.E.A Vignerons de Saint Pey Génissac,180 rue de la Cave Coopérative,,33420,GENISSAC,+33 5 57 55 55 65,,Vignobles et Chais en Bordelais,,-0.258409,44.856316
Vins,Producteur,Sainte-Foy Bordeaux;Bordeaux Supérieur;Bordeaux,Château Tour de Goupin,,,33890,GENSAC,+33 5 57 47 40 76,,Vignobles et Chais en Bordelais,,0.071972,44.801697
Vins,Producteur,Côtes de Bordeaux Saint-Macaire;Bordeaux Rosé;Bordeaux,Château de Bouillerot,,,33190,GIRONDE-SUR-DROPT,+33 5 56 71 46 04,www.bouillerot.com,Vignobles et Chais en Bordelais,,-0.011378,44.57648
Vins,Producteur,Bordeaux,Château Tire Pé,,,33190,GIRONDE-SUR-DROPT,+33 5 56 71 10 09,www.tirepe.com,Vignobles et Chais en Bordelais,,-0.011378,44.57648
Vins,Producteur,Bordeaux Supérieur,Château Féret-Lambert,,,33420,GREZILLAC,+33 5 57 74 93 18,www.feret-labonnelle.com,Vignobles et Chais en Bordelais,,-0.2132463,44.81533
Vins,Producteur,Premières Côtes de Bordeaux;Cadillac;Bordeaux Rosé;Bordeaux,Château Anniche,Anniche 1152,RD 239N,33550,HAUX,+33 5 56 23 05 15,www.anniche-vin.com,Vignobles et Chais en Bordelais,,-0.353177,44.742702
Vins,Producteur,Premières Côtes de Bordeaux;Bordeaux;Bordeaux Clairet;Cadillac,Château Lamothe,159 Lamothe,BP 6,33550,HAUX,+33 5 57 34 53 00,www.chateau-lamothe.com,Vignobles et Chais en Bordelais,,-0.393764,44.728104
Vins,Producteur,Premières Côtes de Bordeaux;Bordeaux Rosé;Crémant de Bordeaux;Bordeaux;Cadillac,Chateau Peneau,Les Faures,,33550,HAUX,+33 5 56 23 05 10;+33 5 56 23 20 20,http://chateaupeneau.free.fr,Vignobles et Chais en Bordelais,,-0.363156,44.727367
Vins,Producteur,Graves;Sauternes,Château d'Archambeau,Archambeau,,33720,ILLATS,+33 6 81 56 42 57,,Vignobles et Chais en Bordelais,,-0.387559,44.583733
Vins,Producteur,Graves,Château Jouvente,Le Bourg,,33720,ILLATS,+33 5 56 62 49 69,http://chateau-jouvente.com,Vignobles et Chais en Bordelais,,-0.373916,44.596615
Vins,Producteur,Médoc,Château Haut-Gravat,5 chemin du clou,,33590,JAU-DIGNAC-ET-LOIRAC,+33 5 56 09 41 20,www.chateau-haut-gravat.fr,Vignobles et Chais en Bordelais,,-0.9567,45.4089
Vins,Producteur,Médoc,Château Listran,,,33340,JAU-DIGNAC-ET-LOIRAC,+33 5 56 09 48 59,www.listran.fr,Vignobles et Chais en Bordelais,,-0.9704446,45.42591
Vins,Producteur,Médoc,Château Noaillac,6 chemin des Sables des Pins,,33590,JAU-DIGNAC-ET-LOIRAC,+33 5 56 09 52 20,www.noaillac.com,Vignobles et Chais en Bordelais,,-0.970626,45.426632
Vins,Producteur,Bordeaux,Château Font-Vidal,La Grange de Font Vidal,,33890,JUILLAC,+33 5 57 40 55 58,http://font-vidal.com,Vignobles et Chais en Bordelais,,0.036687,44.81606
Vins,Producteur,Graves,Château Bichon Cassignols,50 avenue Edouard de Capdeville,,33650,LA BREDE,+33 5 56 20 28 20,www.bichonvins.com,Vignobles et Chais en Bordelais,Handicap mental;Handicap moteur,-0.5320695,44.685474
Vins,Producteur,Graves,Château Haut Reys,18 allée de la Perrucade,,33650,LA BREDE,+33 5 56 20 38 29,www.haut-reys.com,Vignobles et Chais en Bordelais,,-0.5141915,44.684944
Vins,Producteur,Graves,Château Lassalle,2 allée Lassalle,,33650,LA BREDE,+33 5 56 78 49 65,www.chateaulassalle.com,Vignobles et Chais en Bordelais,,-0.5043043,44.670574
Vins,Producteur,Graves,Château Magneau,12 chemin Maxime Ardurats,,33650,LA BREDE,+33 5 56 20 20 57,www.chateau-magneau.com,Vignobles et Chais en Bordelais;Bienvenue à la Ferme,,-0.531273,44.665546
Vins,Producteur,Graves,Château Méric Chante l'Oiseau,16 avenue Georges Hébert,,33650,LA BREDE,+33 5 56 78 45 05,www.chateauxmeric-chanteloiseau.fr,Vignobles et Chais en Bordelais,,-0.521485,44.666866
Vins,Producteur,Bordeaux Supérieur;Bordeaux;Bordeaux Rosé;Crémant de Bordeaux,Château Lagarenne,,,33240,LA LANDE-DE-FRONSAC,+33 5 57 58 14 00,www.merveillaut.fr,Vignobles et Chais en Bordelais,,-0.389451,44.99821
Vins,Producteur,Fronsac;Bordeaux Supérieur;Bordeaux,Château Loiseau,680 chemin du Château Loiseau,,33240,LA LANDE-DE-FRONSAC,+33 5 57 58 14 02,,Vignobles et Chais en Bordelais,,-0.3678596,44.976215
Vins,Producteur,Bordeaux;Bordeaux Rosé;Bordeaux Supérieur,Château Le Bosquet des Fleurs,7 Saint-Aignan Nord,,33190,LA REOLE,+33 5 56 61 41 55,http://chateaulebosquetdesfleurs.perso.sfr.fr/chateau,Vignobles et Chais en Bordelais;Bienvenue à la Ferme,Handicap mental;Handicap moteur;Handicap visuel,-0.0466522,44.600426
Vins,Producteur,Fronsac;Bordeaux Rosé;Bordeaux Clairet;Bordeaux,Château de la Rivière,,,33126,LA RIVIERE,+33 5 57 55 56 56,www.vignobles-gregoire.com,Vignobles et Chais en Bordelais,,-0.3127348,44.947063
Vins,Producteur,Fronsac;Bordeaux,Château Maroy,,,33126,LA RIVIERE,+33 5 57 24 95 26,,Vignobles et Chais en Bordelais,,-0.3145265,44.94284
Vins,Producteur,Fronsac;Bordeaux Supérieur,Château Pipeau Richotey,Domaine Richotey,,33126,LA RIVIERE,+33 5 57 24 95 58,www.pipeau-richotey.com,Vignobles et Chais en Bordelais,,-0.3135716,44.93801
Vins,Producteur,Fronsac;Bordeaux Supérieur,Château Renard Mondésir,,,33126,LA RIVIERE,+33 5 57 24 96 37,www.vignobles-chassagnoux.com,Vignobles et Chais en Bordelais,,-0.3148162,44.940228
Vins,Producteur,Fronsac;Bordeaux Supérieur;Bordeaux Rosé,Château Roumagnac la Maréchale,1 Le Sable,,33126,LA RIVIERE,+33 5 57 24 94 55,,Vignobles et Chais en Bordelais,,-0.3109323,44.93737
Vins,Groupements de producteur,Entre-deux-Mers;Entre-deux-Mers-Haut-Benauge,Maison des Vins de l'Entre-deux-Mers,16 rue de l'Abbaye,,33670,LA SAUVE,+33 5 57 34 32 12,www.vins-entre-deux-mers.com,Vignobles et Chais en Bordelais;Accueil Vélo,,-0.312766,44.7676
Vins,Producteur,Premières Côtes de Bordeaux;Bordeaux Rosé;Bordeaux;Bordeaux Supérieur,Vignobles Latorse,Gabaron,,33670,LA SAUVE,+33 5 56 23 92 76,www.latorse.fr,Vignobles et Chais en Bordelais,,-0.266178,44.733517
Vins,Producteur,Margaux,Château Giscours,,,33460,LABARDE,+33 5 57 97 09 20,www.chateau-giscours.fr,Vignobles et Chais en Bordelais,,-0.644127,45.010433
Vins,Producteur,Margaux;Haut-Médoc;Bordeaux Supérieur,Château Siran,,,33460,LABARDE,+33 5 57 88 34 04,www.chateausiran.com,Vignobles et Chais en Bordelais,,-0.639509,45.015125
Vins,Producteur,Entre-deux-Mers-Haut-Benauge;Bordeaux Haut-Benauge;Bordeaux Rosé;Bordeaux,Château de la Serizière,5 chemin du Bos,,33760,LADAUX,+33 5 56 23 91 75,www.chateaulaseriziere.com,Vignobles et Chais en Bordelais,,-0.243737,44.696712
Vins,Producteur,Lalande-de-Pomerol,Château Bourseau,,,33500,LALANDE-DE-POMEROL,+33 5 57 51 52 39,www.vignoblesgaboriaud.com,Vignobles et Chais en Bordelais,,-0.210543,44.955444
Vins,Producteur,Lalande-de-Pomerol;Bordeaux,Château Castel Viaud,,,33500,LALANDE-DE-POMEROL,+33 5 57 51 47 31,www.chateaucastelviaud.com,Vignobles et Chais en Bordelais,,-0.210858,44.955822
Vins,Producteur,Lalande-de-Pomerol,Château de l'Evêché,Goujon RN 89,,33500,LALANDE-DE-POMEROL,+33 5 57 25 50 12,www.vignobles-chaumet.com,Vignobles et Chais en Bordelais;Bienvenue à la Ferme,,-0.210858,44.955822
Vins,Producteur,Lalande-de-Pomerol,Château des Moines,Musset,,33500,LALANDE-DE-POMEROL,+33 5 57 51 40 41,www.chateaudesmoines.com,Vignobles et Chais en Bordelais,,-0.199103,44.959324
Vins,Producteur,Lalande-de-Pomerol,Château l'Etoile de Salles,3 Pont de Guîtres,,33500,LALANDE-DE-POMEROL,+33 5 57 51 13 53,www.chateau-etoiledesalles.com,Vignobles et Chais en Bordelais,,-0.2306212,44.949
Vins,Producteur,Haut-Médoc,Château Haut-Bellevue,10 chemin des Calinottes,,33460,LAMARQUE,+33 5 56 58 91 64,www.chateauhautbellevue.fr,Vignobles et Chais en Bordelais,,-0.715935,45.096092
Vins,Coopérative,Sainte-Foy Bordeaux;Entre-deux-Mers;Bordeaux;Bordeaux Rosé;Côtes de Duras;Crémant de Bordeaux,Les Vignerons de Landerrouat - Duras - Cazaugitat,4 route des Vignerons,,33790,LANDERROUAT,+33 5 56 61 47 01;+33 5 56 61 31 21,www.berticot.com,Vignobles et Chais en Bordelais,,0.156046,44.7413
Vins,Producteur,Graves;Graves Supérieures;Bordeaux Rosé;Cérons,Château d'Arricaud,,,33720,LANDIRAS,+33 5 56 62 51 29,www.chateau-darricaud.fr,Vignobles et Chais en Bordelais,,-0.393877,44.575764
Vins,Producteur,Graves,Château Saint-Agrèves,17 rue Joachim de Chalup,Lieu dit Artigues,33720,LANDIRAS,+33 5 56 62 50 85,www.chateau-saint-agreves.com,Vignobles et Chais en Bordelais,,-0.39801,44.58027
Vins,Producteur,Graves;Sauternes;Bordeaux;Bordeaux Supérieur,Château Brondelle,,,33210,LANGON,+33 5 56 62 38 14,www.chateaubrondelle.com,Vignobles et Chais en Bordelais,,-0.244681,44.528046
Vins,Producteur,Graves,Château La Croix,route d'Auros,,33210,LANGON,+33 5 56 63 29 36,,Vignobles et Chais en Bordelais,,-0.2308094,44.53952
Vins,Producteur,Graves;Graves Supérieures;Bordeaux Rosé,Château Le Maine Périn,Au Maine,Route d'Auros,33210,LANGON,+33 5 56 62 29 32,www.chateaulemaineperin.com,Bienvenue à la Ferme;Vignobles et Chais en Bordelais,,-0.216077,44.52646
Vins,Producteur,Graves,Château Léhoul,Route d'Auros,,33210,LANGON,+33 5 56 63 54 74,http://chateaulehoul.com,Vignobles et Chais en Bordelais,,-0.228023,44.537655
Vins,Producteur,Graves;Graves Supérieures,Château Les Guillemins,,,33210,LANGON,+33 5 56 63 37 42,www.chateau-guillemins.com,Vignobles et Chais en Bordelais,,-0.2464413,44.537968
Vins,Producteur,Graves,Château Pont de Brion,Ludeman,,33210,LANGON,+33 5 56 63 09 52,www.chateaupontdebrion.com,Vignobles et Chais en Bordelais,,-0.22997,44.550312
Vins,Producteur,Côtes de Bourg,Château Bégot,5 Bégot,,33710,LANSAC,+33 5 57 68 42 14,,Vignobles et Chais en Bordelais,,-0.552223,45.065765
Vins,Producteur,Côtes de Bourg,Château de Taste,La Sablière,,33710,LANSAC,+33 5 57 68 40 34,http://chateaudetaste.free.fr/,Vignobles et Chais en Bordelais,,-0.524867,45.06724
Vins,Producteur,Côtes de Bourg,Château Fougas,,,33710,LANSAC,+33 5 57 68 42 15,www.fougas.com,Vignobles et Chais en Bordelais,,-0.568206,45.060852
Vins,Producteur,Côtes de Bourg;Bordeaux Rosé,Château Guionne,1 Guionne,,33710,LANSAC,+33 5 57 68 42 17,www.chateauguionne.com,Vignobles et Chais en Bordelais,,-0.568206,45.060852
Vins,Producteur,Côtes de Bourg,Château Lamothe,,,33710,LANSAC,+33 5 57 68 41 07,www.chateaulamothe.com,Vignobles et Chais en Bordelais,,-0.529371,45.06526
Vins,Producteur,Côtes de Bourg;Blaye Côtes de Bordeaux;Bordeaux Rosé;Bordeaux,Château Martinat,,,33710,LANSAC,+33 5 57 68 34 98,www.chateau-martinat.com,Vignobles et Chais en Bordelais,,-0.550508,45.063313
Vins,Producteur,Bordeaux,Château La Raballe,1 lieu dit la Raballe,,33620,LAPOUYADE,+33 5 57 49 40 58,http://laraballe.jimdo.com,Vignobles et Chais en Bordelais,,-0.2883052,45.076065
Vins,Producteur,Cadillac Côtes de Bordeaux,Château Pascot,16 chemin du Moulin de Rambal,,33360,LATRESNE,+33 5 56 20 78 19,www.chateaupascot.com,Vignobles et Chais en Bordelais,,-0.490275,44.795692
Vins,Producteur,Haut-Médoc;Margaux,Château de Malleret,Chemin de Malleret,,33290,LE PIAN-MEDOC,+33 5 56 35 05 36,www.chateau-malleret.fr,Vignobles et Chais en Bordelais,,-0.6450605,44.966984
Vins,Producteur,Bordeaux Rosé;Bordeaux;Crémant de Bordeaux,Château La Piolette,EARL La Piolette,,33490,LE PIAN-SUR-GARONNE,+33 5 56 76 41 67,http://lapiolette.fr,Bienvenue à la Ferme;Vignobles et Chais en Bordelais,Handicap mental;Handicap moteur;Handicap visuel,-0.221473,44.597816
Vins,Producteur,Pomerol;Lalande-de-Pomerol;Lussac-Saint-Emilion;Bordeaux Supérieur,Vignobles Rousseau,1 Petit Sorillon,,33230,ABZAC,+33 5 57 49 06 10,www.vignoblesrousseau.com,Vignobles et Chais en Bordelais,,-0.120458,45.003727
Vins,Producteur,Margaux,Château d'Arsac,1 allée du Conte,,33460,ARSAC,+33 5 56 58 83 90,www.chateau-arsac.com,Vignobles et Chais en Bordelais,,-0.701385,44.990467
Vins,Producteur,Margaux,Château du Tertre,14 allée du Tertre,,33460,ARSAC,+33 5 57 88 52 52,www.chateaudutertre.fr,Vignobles et Chais en Bordelais,,-0.6845855,45.0045
Vins,Négociant,Bordeaux;Bordeaux Supérieur;Côtes de Bourg;Castillon Côtes de Bordeaux;Pessac-Léognan;Graves;Haut-Médoc;Médoc;Moulis ou Moulis-en-Médoc;Margaux;Saint-Julien;Pauillac;Saint-Estèphe;Saint-Emilion Grand Cru;Pomerol;Sauternes,La Winery Philippe Raoux,Rond-point des Vendangeurs,Départementale 1,33460,ARSAC,+33 5 56 39 04 90,www.winery.fr,Vignobles et Chais en Bordelais,,-0.727274,44.98532
Vins,Producteur,Bordeaux;Bordeaux Supérieur,Château La Capelle,1 La Capelle,,33500,ARVEYRES,+33 5 57 51 09 35,,Vignobles et Chais en Bordelais,,-0.269441,44.915585
