Sapi_Type,EPN/PAPI,Code,Pays,CDC,Population 1999,Code Insee Commune,Commune,Nom de la structure,Adresse accueil public,CP,CEDEX,Tel,adresse administrative,Fonction du responsable de la structure,Mél principal (adresse diffusable au près du public),Site Web,Fonction du Contact N°1,Grade N°1,Mél du contact N°1 (non diffusé),Tps travail hebdo N°1 (en heures),% tps consacré à accès internet N°1,Age N°1,Contrat N°1,Niveau formation N°1,Domaine formation N°1,Form. Qualif. N°1,Nom Contact N°2,Fonction Contact N°2,Grade N°2,Mél contact N°2,Tps hebdo N°2,% tps internet N°2,Age N°2,Contrat N°2,Niveau formation N°2,Domaine formation N°2,Form. Qualif. N°2, ,Nom Contact N°3,Fonction Contact N°3,Grade N°3,Mél contact N°3,Tps hebdo N°3,% tps internet N°3,Age N°3,Contrat N°3,Niveau formation N°3,Domaine formation N°3,Form. Qualif. N°3,,Horaires détaillés d'ouverture de l'accès internet,internet réservé inscrits ou adhérents,Coût de l'adhésion ou inscription annuelle,Accès libre à Internet Gratuit ou payant ?,Tarif horaire internet,HypNbH,Nbre heures ouverture hebdo,ouvert Soir,ouvert WE,HypCapa,HypNbPC,Nbre PC,Nbre postes Internet,implantation postes,Nbre professionnels Internet,Effectif total,Nbre bénévoles,Année ouverture SAPI,Nombre d'années SAPI, ,Nbre inscrits SAPI,Nbre visites/an,Nbre visiteurs/jour,Enfants (moins de 11 ans),Juniors (12-17 ans),Adultes (18-60 ans),Seniors (+ de 60 ans), ,Accès Libre,Initiation internet,Conseils équipement,e-administration,création artistique,Messagerie,Chat,Téléchargement,pages web,Animations,OPAC,Sélection sites, ,Emploi,Scolaires,Séniors,Assos,handicap,Touristes,Entreprises,,Type structure portage,Typologie DLL-ADBDP,"Si bibliothèque, le Prêt est informatisé",Labels,Affiliation à des réseaux associatifs régionaux ou nationaux,"Divers : Autres activités, projets ...",Nom personne répondant,Mél. Personne répondant, ,Médiacité 2004,BDP 2007,DUI 2007,ARPEL 2008,AECOM 2007,Cyber-base,ECM,Point Cyb,Net Public,,,,,,,,,,,,,,,,,,,
Informatique,EPN,5B,2-Bassin,Bassin Arcachon Nord Atlantique,,5,Andernos-les-Bains,Club informatique Andernos Nord Bassin,52 Avenue des Colonies,33510,,05 56 82 41 69,,Président,clubinfoandernos@gmail.com,http://clubinfoandernos.canalblog.com/,Président,,clubinfoandernos@gmail.com,,"0,1",54,,Bac+5,Scientifique,,Gérard Thiry,Bénévole,,,,"0,1",,,,,,,Guy Gilly,Secrétaire bénévole,,,,"0,1",,,,,,,,0,20,Payant,1 à 2€,6,6,,Ouvert WE,60,10,10,6 à 10,,1,1,6,1994,5 ans et +,,135,,moins de 10,,,Oui,Oui,,Oui,Oui,Oui,Oui,,Oui,Oui,,Oui,Oui,,Oui,,Oui,Oui,Oui,Oui,,Oui,,,Associative,,,Net Public,FFBA,"Collecte et recyclage de matériel, musée informatique, bourse annuelle de jeux vidéos",M. Bos,,,Médias-Cité 2004,,DUI 2007,,AECOM 2007,,,,Net Public,,,,,,,,,,,,,,,,,,,
Bibliothèque,EPN,5A,2-Bassin,Bassin Arcachon Nord Atlantique,,5,Andernos-les-Bains,Médiathèque municipale,Parc du Broustic,33510,,05 56 26 93 85,,Bibliothécaire,mediatheque.andernos@wanadoo.fr,wwww.andernoslesbains.fr/mediatheque,Technicien Supérieur Territorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardi au samedi : 14h30-18h30 (hiver) ou 15h-18h (été),1,,Payant,1 à 2€,15,15,,,75,5,5,3 à 5,espace multimédia,1,7,0,2000,5 ans et +,,2000,,10 à 50,oui,,Oui,,,,Oui,,Oui,,Oui,Oui,Oui,,Oui,,,,Oui,Oui,Oui,Oui,,Oui,,,Municipale,B1,Oui,,,,,,,,BDP 2007,,ARPEL 2008,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,555B,2-Bassin,Bassin Arcachon Nord Atlantique,,555,Marcheprime,PIJ – CCAS,2 Rue Jacques Blieck,33380,,05 57 71 50 80,,,sce.emploi@ville-marcheprime.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundi/mardi/mercredi : 9h-12h/14h-17h30 jeudi : 10h-12h/14h-17h30 vendredi : 9h-12H ,,,Gratuit,,26,26,,,26,1,1,1 ou 2,,,,,,,,,,,,,,,,Oui,,,Oui,,Oui,,,,,,,,Oui,Oui,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,284A,2-Bassin,Bassin Arcachon Nord Atlantique,,284,Mios,PIJ,2 Allée de la plage,33380,,05 56 26 63 30,"Mairie, Place du 11 Novembre",,pij.mios@wanadoo.fr,villemios.free.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mardi au vendredi : 16h-19h samedi : 9h-12h,,,Gratuit,,15,15,,Ouvert WE,30,2,2,1 ou 2,,2,,,,,,,450,,,,,,,Oui,Oui,Oui,Oui,,,,,,,,,,Oui,Oui,Oui,,Oui,Oui,,,Municipale,,,,,,,,,,,DUI 2007,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,229A,2-Bassin,Bassin Arcachon Nord Atlantique,,229,Lanton,Bibliotheque municipale,,33138,,,,,http://mediatheque.ville-lanton.fr/absopac/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,15,1,,1 ou 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Municipale,,,,,Wi-fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,51C,2-Bassin,Bassin Arcachon Nord Atlantique,,51,Biganos,PIJ,10 rue Georges Clémenceau,33380,,05 57 70 68 63,"Hôtel de Ville, 52 Av. de la Libération",,pij@villedebiganos.fr,www.villedebiganos.fr,Animatrice,,,,,,,,,,Valérie,Animatrice,,,,,,,,,,,,,,,,,,,,,,,Mercredi/jeudi : 14h-18h Vendredi : 9h30-18h,,,Gratuit,,16,16,,,16,1,1,1 ou 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,5C,2-Bassin,Bassin Arcachon Nord Atlantique,,5,Andernos-les-Bains,PIJ – Point de Rencontre Jeunes,46 Avenue des Colonies,33510,,05 56 03 08 04,,,service-jeunesse-andernos@wanadoo.fr,www.andernoslesbains.fr,Animateur,,,,,,,,,,Fabienne Baillères,Animatrice,,,,,,,,,,,,,,,,,,,,,,,"Lundi : 14h-18h Mardi/jeudi : 9h-12h30/14h-18h Mercredi/vendredi : 9h-12h30 (pendant les vacances scolaires,lundi au vendredi : 9h-12h30)",,,Gratuit,,26,26,,,26,1,,1 ou 2,,,2,,,,,,,,,,,,,Oui,,,Oui,,Oui,,,,,,,,Oui,Oui,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,236B,2-Bassin,Bassin Arcachon Nord Atlantique,,236,Lège-Cap-Ferret,PIJ – Espace Jeunesse,75 Av. de la Mairie,33950,,05 57 17 07 80,,,pij@legecapferret.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundi/mardi/jeudi/vendredi : 9h-11H30/14h-16h30,,,Gratuit,,20,20,,,40,2,2,1 ou 2,,,,,,,,,,,,,,,,Oui,,,Oui,,Oui,,,,,,,,Oui,Oui,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,EPN,236A,2-Bassin,Bassin Arcachon Nord Atlantique,,236,Lège-Cap-Ferret,Médiathèque municipale,"1, bis avenue des écoles - Petit-Piquey",33950,,05 56 60 81 78,,Responsable de la Médiathèque,mediatheque@legecapferret.fr,www.ville-lege-capferret.fr,,Adjoint du patrimoine,mediatheque.sb@legecapferret.fr,35,"0,2",38,FPT,,Littéraire,"BDP, Médiaquitaine",Elodie Salanier,,,,35,"0,35",23,CDD CAE,,Gestion,"BDP, Médiaquitaine",,,,,,,,,,,,,,Mardi/vendredi : 10h-13h/15h-18h mercredi : 10h-18h jeudi : 10h-13h samedi :10h-17h,1,10,Payant,2 à 3€,31,31,,Ouvert WE,186,6,6,6 à 10,espace multimédia,,8,,2001,5 ans et +,,,,10 à 50,,,Oui,,,Oui,,,Oui,Oui,Oui,,Oui,,,Oui,Oui,,,Oui,,Oui,Oui,Oui,Oui,,Municipale,B2,Oui,,,,Claudette Chat,mediatheque.cc@legecapferret.fr,,Médias-Cité 2004,BDP 2007,DUI 2007,ARPEL 2008,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,EPN,199A,2-Bassin,Bassin Arcachon Sud - Pôle Atlantique,,199,Gujan-Mestras,Médiathèque Michel Bézian,Allée Mozart,33470,,05 57 52 54 60,,Responsable médiathèque,multimedia@ville-gujanmestras.fr,mediatheque.ville-gujanmestras.fr,responsable multimédia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10 à 30 €,Gratuit,,30,30,,Ouvert WE,300,10,10,6 à 10,espace multimédia,2,10,,,1 à 2 ans,,3800,,10 à 50,,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,,,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,,Oui,,,Municipale,,,Cyberbase,,,,,,,,DUI 2007,ARPEL 2008,AECOM 2007,Cyber-base,,,Net Public,,,,,,,,,,,,,,,,,,,
Jeunesse,EPN,9A,2-Bassin,Bassin Arcachon Sud - Pôle Atlantique,,9,Arcachon,Maison des jeunes – BIJ,8 allée José Maria de Heredia,33120,,05 57 72 71 93,,,mmjarcachon@hotmail.fr,www.multimedia.com/arcachonmmj,Animateur,,,,,,,,,,Christophe TUCCIO,,,,,,,,,,,,,,,,,,,,,,,,"Lundi : 10h-17h, Mardi : 10h-19h, Mercredi : 10h-14h/16h30-19h, Jeudi : 12h -19h, Vendredi : 10h-23h, Samedi : 14h-17h",adhésion,,Gratuit,,49,49,Ouvert soir,Ouvert WE,294,6,6,6 à 10,,2,5,,2000,5 ans et +,,,2500,,,Oui,,,,Oui,Oui,,,,Oui,Oui,Oui,Oui,Oui,,,,Oui,Oui,,,,,,,Municipale,,,Point Cyb,,,,,,Médias-Cité 2004,,DUI 2007,,AECOM 2007,,,Point Cyb,Net Public,,,,,,,,,,,,,,,,,,,
Jeunesse,EPN,529A,2-Bassin,Bassin Arcachon Sud - Pôle Atlantique,,529,La Teste-de-Buch,i-Kb@ne - PIJ,9 bis rue jean de Grailly,33164,,05 57 52 28 91,Hotel de Ville 18 Rue Du 14 Juillet,Responsable BIJ,pij@i-kbane.net,http://www.i-kbane.net,Responsable BIJ,,,35,,,FPT,Bac+3,Animation,"DUT Animation, Licence Sc. Educ",recrutement en cours,Animateur multimédia,,,,,,,,,,,,,,,,,,,,,,,Mardi au vendredi : 14h-18h + mercredi/samedi : 9h-12h30 (Vacances scolaires : le matin du mardi au samedi),adhésion,"0,00 €",Gratuit,,20,20,,Ouvert WE,140,7,7,6 à 10,,1,2,,2004,2 à 5 ans,,227,,10 à 50,,Oui,Oui,,,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,,Oui,,,,Oui,Oui,Oui,Oui,Oui,Oui,,,Municipale,,,Point Cyb,,Equipé en logiciels libres,Amélie fournier,,,,,DUI 2007,,AECOM 2007,,,Point Cyb,Net Public,,,,,,,,,,,,,,,,,,,
EducPop,PAPI,199B,2-Bassin,Bassin Arcachon Sud - Pôle Atlantique,,199,Gujan-Mestras,PRAJ,"Centre Saint Exupéry 41, cours de l'Yser",33471,,05 56 66 73 03,,responsable,praj@ville-gujanmestras.fr,http://www.ville-gujanmestras.fr/praj/,responsable,Animateur territorial,,35,,,FPT,,,,Mlle Bart,Animatrice,Adjoint animation,,35,,,FPT,,,,,,,,,,,,,,,,,Mardi au samedi : 14h-19h Vendredi soir jusqu'à 21h,adhésion,"0,00 €",Gratuit,,27,27,Ouvert soir,Ouvert WE,54,2,2,1 ou 2,,,5,,2000,5 ans et +,,,,10 à 50,,Oui,,,,Oui,,,,,,,,,,,,,Oui,Oui,,,,,,,Municipale,,,,,,Mlle Bart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,29A,2-Bassin,Val de l Eyre,,29,Le Barp,Médiathèque Le Chalet,32 Avenue des Pyrénées,33114,,05 56 88 63 90,,Bibliothécaire,mediatheque.lebarp@orange.fr,,Bibliothécaire,,,39,,47,FPT,,Littéraire,CAFB,,,,,,,,,,,,,,,,,,,,,,,,,Mercredi 9h30-12h30 et 14h-18h jeudi et vendredi 16h-19h samedi 10h-16h,0,"8,74 € à 12,56€",Payant,2 à 3€,19,19,,Ouvert WE,95,5,5,3 à 5,postes dispersés,0,3,,2002,5 ans et +,,,147,moins de 10,,Oui,Oui,,,Oui,,,Oui,,Oui,Oui,,,,Oui,Oui,,Oui,Oui,,Oui,Oui,Oui,,,Municipale,B1,Oui,,,,Pascale Caillou,,,Médias-Cité 2004,BDP 2007,DUI 2007,ARPEL 2008,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,358A,3-Coeur-Entre-Deux-Mers,Canton de Targon,,358,Romagne,Bibliothèque municipale,,,,,,Resp. Bibliothèque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,30,2,2,1 ou 2,espace multimédia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Municipale,B3,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,523A,3-Coeur-Entre-Deux-Mers,Canton de Targon,,523,Targon,Bibliothèque municipale,10 Place de l'église,33760,,05.56.23.69.37,,Adjoint technique territorial,Bibliotheque.targon@wanadoo.fr,,Adjoint technique territorial,,,27,,32,Autres,Bac+,Littéraire,"Bibliothéconomie CNFPT,BDP",,,,,,,,,,,,,,,,,,,,,,,,,Lundi : 10h-12h/15h-16h30  Mardi/Vendredi :14h30–16h30 Mercredi : 14h30–18h  Samedi : 9h30–12h30,0,2 à 4 €,Payant,2 à 3€,14,14,,Ouvert WE,14,1,1,1 ou 2,postes dispersés,,1,2,2003,2 à 5 ans,,35,,moins de 10,oui,Oui,,,,Oui,,,,,Oui,Oui,Oui,,,,,,,,,,,,,,Municipale,B2,Oui,,,,Patricia Salvage,,,,BDP 2007,,ARPEL 2008,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,496A,3-Coeur-Entre-Deux-Mers,Coteaux Bordelais,,496,Salleboeuf,Bibliothèque municipale,3 av. de la Tour,33370,,05 56 78 35 26,,Resp. Bibliothèque,mediatheque.salleboeuf@hotmail.fr,www.salleboeuf.fr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardi : 16h-18h Mercredi : 10h–12h/15h-18h Vendredi : 16h-17h Samedi : 9h-12h,,,,,11,11,,Ouvert WE,22,2,2,1 ou 2,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Municipale,,,,,,,,,,,DUI 2007,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,165A,3-Coeur-Entre-Deux-Mers,Coteaux Bordelais,,165,Fargues-Saint-Hilaire,Bibliothèque municipale,Bourg,33370,,06 98 83 07 80,,Resp. Bibliothèque,mairie-fargues-st-hilaire@wanadoo.fr,,,,bibli-fargues-st-hilaire@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,12,12,,,12,1,1,1 ou 2,postes dispersés,1,2,,,1 à 2 ans,,254,,moins de 10,oui,,,,,Oui,Oui,,,,,,,,,Oui,,,,Oui,Oui,,,,,,Municipale,B2,Oui,,,,,,,,BDP 2007,,ARPEL 2008,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
EducPop,PAPI,330A,3-Coeur-Entre-Deux-Mers,Coteaux Bordelais,,330,Pompignac,Point Accueil jeunes,3 route de l’église,33370,,05 56 72 89 09,,,pajp@cdc-coteaux-bordelais.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lundi 14h à 19h mardi, mercredi, jeudi, vendredi : 10h-12h / 14h-19h",,,,,15,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Intercommunale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,496B,3-Coeur-Entre-Deux-Mers,Coteaux Bordelais,,496,Salleboeuf,Point accueil Jeunes- PIJ,Foyer rural 3 ave de la Tour,33370,,05 56 21 20 69,,Responsable à la CDC,Pij-salleboeuf@cdc-coteaux-bordelais.fr,www.salleboeuf.fr/,Responsable PIJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardi au samedi : 14h-19h (Vacances scolaires lundi au vendredi  : 14h-19h),adhésion,"0,00 €",Gratuit,,25,25,,Ouvert WE,25,1,1,1 ou 2,,1,1,,,5 ans et +,,,,,,Oui,Oui,,,Oui,,,Oui,,Oui,Oui,,,,,,,Oui,Oui,,,,,,,Intercommunale,,,,,,Aurélie Dulaurent,,,Médias-Cité 2004,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
