TYPE,THEMES,TYPE1,STYLE,RAISON_SOCIALE,ADRESSE,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,LABELS,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Parc et jardin,Jardin botanique;Jardin d'agrément,Collection de végétaux,Japonais;Exotique;En terrasse,Jardin du Fond de l'Or,7 rue St Exupéry,33240,LUGON-ET-L'ILE-DU-CARNAY,+33 5 57 84 45 79,www.lejardindufonddelor.fr,,,-0.3541887,44.957176
Parc et jardin,Jardin d'agrément,Collection de végétaux,Contemporain,Jardin de Casaque,2, rue Bois Perron,33830,LUGOS,+33 5 57 71 95 09,www.jardin-casaque.com,,,-0.886391,44.487755
Parc et jardin,Parc,Collection de végétaux,A la française,Château Pierrail,,33220,MARGUERON,+33 5 57 41 21 75,www.chateaupierrail.com,,,0.25405883,44.78866
Parc et jardin,Parc,Collection de végétaux,,Bois du Burck,impasse du Colonel Raynal,33700,MERIGNAC,+33 5 56 55 66 00;+33 5 56 34 80 71,www.merignac.com/environnement-et-cadre-de-vie/les-parcs,,,-0.639262,44.818214
Parc et jardin,Conservatoire,Collection de végétaux;Plantes médicinales / simples,,Les Serres Municipales,165 avenue des Marronniers,33700,MERIGNAC,+33 5 56 34 55 97,www.merignac.com/environnement-et-cadre-de-vie/collection-de-cactee ,,,-0.6905603,44.84661
Parc et jardin,Parc,Collection de végétaux,,Parc de Beaudésert,rue André Curvale,33700,MERIGNAC,+33 5 56 55 66 00;+33 5 56 34 80 71,www.merignac.com/environnement-et-cadre-de-vie/les-parcs,,,-0.680254,44.842644
Parc et jardin,Parc,Collection de végétaux;Plantes médicinales / simples;Potager,A l'anglaise,Parc départemental de Bourran,,33700,MERIGNAC,+33 5 56 55 66 00;+33 5 56 34 80 71,www.merignac.com/environnement-et-cadre-de-vie/les-parcs,,,-0.681769,44.831352
Parc et jardin,Parc,Collection de végétaux,,Parc du Château,allée du Président René Coty,33700,MERIGNAC,+33 5 56 55 66 00;+33 5 56 34 80 71,www.merignac.com/environnement-et-cadre-de-vie/les-parcs,,,-0.651287,44.837563
Parc et jardin,Parc,Collection de végétaux,A l'anglaise,Parc du Vivier,avenue du Mal de Lattre-de-Tassigny,33700,MERIGNAC,+33 5 56 55 66 00;+33 5 56 34 80 71,www.merignac.com/environnement-et-cadre-de-vie/les-parcs,,,-0.648234,44.8861
Parc et jardin,Jardin botanique,Collection de végétaux,,Château de Carbonneau,,33890,PESSAC-SUR-DORDOGNE,+33 5 57 47 46 46,www.chateau-carbonneau.com,,,0.071972,44.801697
Parc et jardin,Jardin botanique;Jardin d'agrément,Plantes médicinales / simples;Collection de végétaux,,Les Jardins du Château de Mongenan,rue de Mongenan,33640,PORTETS,+33 5 56 67 18 11,www.chateaudemongenan.com,Jardin remarquable,,-0.430501,44.696053
Parc et jardin,Parc,Collection de végétaux,,Le Château Robillard et son parc,rue Robillard,33240,SAINT-ANDRE-DE-CUBZAC,+33 5 57 43 64 80,www.cubzaguais-tourisme.com,,,-0.44986,44.9944
Parc et jardin,Parc,Collection de végétaux;Plantes médicinales / simples,,Le Jardin,1 la Grande Pièce,33220,SAINT-AVIT-SAINT-NAZAIRE,+33 5 57 46 55 06,www.tourisme-dordogne-paysfoyen.com ,,,0.275433,44.83528
Parc et jardin,Arboretum;Jardin botanique,Collection de végétaux,,Arboretum de Picampeau,11 route de Pinguey,33910,SAINT-DENIS-DE-PILE,+33 5 57 49 24 02,www.botaparc.fr ,,,-0.138419,44.997643
Parc et jardin,Conservatoire,Potager;Collection de végétaux,,Jardin conservatoire Flore et Vie,70, route du Gouat,33340,SAINT-GERMAIN-D'ESTEUIL,+33 5 56 41 28 24,www.floreetvie.fr ,,,-0.8660663,45.2656
Parc et jardin,Jardin botanique;Jardin d'agrément;Parc,Collection de végétaux;Potager;Serre et orangerie,A l'anglaise,Jardin du Moulin de la Souloire,31, route de la Souloire,33750,SAINT-GERMAIN-DU-PUCH,+33 5 57 24 52 32,,,,-0.309403,44.8474
Parc et jardin,Parc,Collection de végétaux,A la française,Jardin du Château Beychevelle,,33250,SAINT-JULIEN-BEYCHEVELLE,+33 5 56 73 38 01,www.beychevelle.com,,,-0.790763,45.189285
Parc et jardin,Jardin botanique,Collection de végétaux,,Parc du Domaine de Franc,avenue du Stade,33350,SAINT-MAGNE-DE-CASTILLON,+33 5 57 40 29 37,,,,-0.0722189,44.844784
Parc et jardin,Parc;Arboretum,Collection de végétaux,A l'anglaise,Domaine de Grenade,route de Grenade,33650,SAINT-SELVE,+33 5 56 78 50 40,www.domainedegrenade.com,Jardin remarquable,,-0.456,44.63156
Parc et jardin,Parc,,,Parc du Chalet Mauriac,,33113,SAINT-SYMPHORIEN,+33 5 56 65 01 10,www.francois-mauriac.com,,,-0.491023,44.409096
Parc et jardin,Parc;Jardin botanique,Collection de végétaux,A la française;A l'anglaise,Roseraie du Château Loudenne,,33340,SAINT-YZANS-DE-MEDOC,+33 5 56 73 17 80;+33 5 56 73 17 97,www.lafragette.com,,,-0.894869,45.32131
Parc et jardin,Jardin d'agrément,Collection de végétaux,A la française,Jardin de Lusseau,Lusseau,33760,SOULIGNAC,+33 5 56 23 93 89,,,,-0.265067,44.695545
Parc et jardin,,,,Bois de Thouars,Thouars,33400,TALENCE,+33 5 56 84 78 33,www.talence.fr,,,-0.59147,44.79169
Parc et jardin,Parc;Jardin botanique,Collection de végétaux,A la française,Parc du Château Peixotto,1 avenue du Maréchal Leclerc,33400,TALENCE,+33 5 56 84 78 33,www.talence.fr,,,-0.589895,44.8067
Parc et jardin,Parc;Arboretum,Collection de végétaux;Potager,A la française,Parc Sourreil,chemin de Leysotte,33140,VILLENAVE-D'ORNON,+33 5 57 99 52 24,www.villenavedornon.fr,,,-0.5795624,44.79625
