CATEGORIE,NOM_DU_SITE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,LONGITUDE,LATITUDE
Sites classés ou inscrits,Les coteaux du Mugron,La Roque de Thau,,33710,GAURIAC,+33 5 57 68 31 76,www.bourg-en-gironde.fr,-0.6342887,45.07558
Sites classés ou inscrits,Vallée du Dropt,,,33210,GIRONDE-SUR-DROPT,+33 5 56 61 82 73,www.entredeuxmers.com;www.medieval.dropt.org,-0.087626,44.58308
Forêts,Parc de la Chêneraie,,,33470,GUJAN-MESTRAS,+33 5 56 66 12 65,www.gujanmestras.com,-1.118122,44.63943
Lacs, étangs, plans d'eau, marais,Lac de la Magdeleine,,,33470,GUJAN-MESTRAS,+33 5 56 66 12 65,www.gujanmestras.com,-1.092453,44.614986
Forêts;Lacs, étangs, plans d'eau, marais;Parc Naturel Régional,Domaine Départemental Gérard Lagors,,,33125,HOSTENS,+33 5 56 88 70 29,www.cg33.fr/cg33/jcms/c_9971/domaine-g-lagors-a-hostens,-0.632644,44.51996
Lacs, étangs, plans d'eau, marais;Reserve naturelle,Lagune de Contaut,,,33990,HOURTIN,+33 5 56 03 21 01,www.medococean.com,-1.055969,45.210167
Reserve naturelle,Réserve naturelle des dunes et marais d'Hourtin,,,33990,HOURTIN,+33 5 56 03 21 01,www.medococean.com,-1.055969,45.210167
Sites classés ou inscrits;Domaine du Conservatoire de l'Espace Littoral,Rives Est du lac d'Hourtin,,,33990,HOURTIN,+33 5 56 03 21 01,www.medococean.com,-1.0739135,45.139187
Domaine du Conservatoire de l'Espace Littoral,Dune de Camicas,,,33260,LA TESTE-DE-BUCH,+33 5 56 54 02 22;+33 5 56 54 63 14,www.tourisme-latestedebuch.fr,-1.1621475,44.646645
Domaine du Conservatoire de l'Espace Littoral,Prés salés ouest,Avenue du Général Leclerc,,33260,LA TESTE-DE-BUCH,+33 5 56 54 63 14,www.tourisme-latestedebuch.fr,-1.1473953,44.639774
Forêts;Sites classés ou inscrits,Forêt usagère de La Teste de Buch,,,33260,LA TESTE-DE-BUCH,+33 5 56 54 63 14,www.tourisme-latestedebuch.fr,-1.18374,44.56051
Reserve naturelle,Le banc d'Arguin,,,33260,LA TESTE-DE-BUCH,+33 5 56 54 53 83;+33 5 56 91 33 65,www.tourisme-latestedebuch.fr;www.sepanso.org/reserves/arguin_p.php,-1.2407684,44.58264
Reserve naturelle;Domaine du Conservatoire de l'Espace Littoral,L'Ile aux Oiseaux,,,33260,LA TESTE-DE-BUCH,+33 5 56 54 63 14,www.tourisme-latestedebuch.fr,-1.1782836,44.6966
Reserve naturelle;ZNIEFF,Les prés salés de La Teste de Buch,,,33260,LA TESTE-DE-BUCH,+33 5 56 54 63 14,www.tourisme-latestedebuch.fr,-1.1269569,44.644627
Reserve naturelle;Domaine du Conservatoire de l'Espace Littoral,Réserve naturelle Nationale de l'étang de Cousseau,lieu-dit Marmande,,33680,LACANAU OCEAN,+33 5 56 03 21 01;+33 5 56 91 33 65;0556526140,www.medococean.com;www.sepanso.org/reserves/cousseau_p.php;www.lacanau.com,-1.1449813,45.03823
Lacs, étangs, plans d'eau, marais;Sites classés ou inscrits,Lac de Lacanau,,,33680,LACANAU VILLE,+33 5 56 03 21 01,www.medococean.com,-1.057218,44.939075
Lacs, étangs, plans d'eau, marais;Natura 2000;ZNIEFF;Reserve naturelle,Etang de Langouarde,route de l'Océan,,33680,LE PORGE,+33 5 56 26 50 15,www.leporge.com,-1.1540794,44.862198
Non classé,Cordon dunaire du Porge,,,33680,LE PORGE,+33 5 56 26 54 34,www.leporge.com,-1.215105,44.895405
Domaine du Conservatoire de l'Espace Littoral;Parc Naturel Régional,Delta de la Leyre,Maison de la Nature du,Bassin d'Arcachon,33470,LE TEICH,+33 5 56 22 80 93;+33 5 56 22 61 53;+33 5 56 22 80 46,www.parc-landes-de-gascogne.fr;www.leteich-tourisme.com,-1.0124158,44.641315
Reserve naturelle;Parc Naturel Régional,Réserve Ornithologique du Teich,Rue du Port,,33470,LE TEICH,+33 5 56 22 80 93,www.parc-ornithologique-du-teich.com,-1.0204839,44.641056
Domaine du Conservatoire de l'Espace Littoral,La Pointe de Grave,,,33123,LE VERDON-SUR-MER,+33 5 56 09 61 78  ,www.tourisme-leverdon.com ,-1.0628199,45.570778
Lacs, étangs, plans d'eau, marais,Marais de Neyran,,,33123,LE VERDON-SUR-MER,+33 5 56 09 61 78,www.tourisme-leverdon.com ,-1.064967,45.550423
Lacs, étangs, plans d'eau, marais,Marais du Logit,,,33123,LE VERDON-SUR-MER,+33 5 56 09 65 57,www.curuma.org,-1.064967,45.550423
Lacs, étangs, plans d'eau, marais,Marais du Conseiller,,,33123,LE VERDON-SUR-MER,+33 5 56 09 65 57,www.curuma.org,-1.064967,45.550423
Domaine du Conservatoire de l'Espace Littoral,Pointe du Cap Ferret,Cap Ferret,,33950,LEGE-CAP FERRET,+33 5 56 03 94 49,www.lege-capferret.com,-1.2472057,44.62215
Domaine du Conservatoire de l'Espace Littoral;Sites classés ou inscrits,Réservoirs de Piraillan,Piraillan,,33950,LEGE-CAP FERRET,+33 5 56 03 94 49,www.lege-capferret.com,-1.2203836,44.71163
Reserve naturelle;Domaine du Conservatoire de l'Espace Littoral,La Cabane du Résinier et la réserve naturelle des Prés Salés,Cabane du Résinier D 106,Route de Lège,33950,LEGE-CAP FERRET,+33 5 56 03 94 49,www.captermer.com,-1.1798715,44.763554
Lacs, étangs, plans d'eau, marais;Forêts,Parc forestier du Lac Bleu,Chemin des Terres Rousses,,33850,LEOGNAN,+33 5 57 96 00 40;+33 5 56 78 47 72,www.tourisme-montesquieu.com,-0.6215107,44.723473
Lacs, étangs, plans d'eau, marais,Marais des Brizards,,,33500,LES BILLAUX,+33 5 56 28 47 72,www.cistude.org,-0.2395963,44.963127
Lacs, étangs, plans d'eau, marais;ZNIEFF,Site naturel des Dagueys,ZA Les Dagueys,,33500,LIBOURNE,+33 5 57 51 15 04,www.libourne-tourisme.com,-0.2447891,44.947426
ZNIEFF,Parc de l'Ermitage Sainte-Catherine,Rue Saint-Cricq,,33305,LORMONT,+33 5 57 77 63 40,www.lormont.fr,-0.5192363,44.87656
Lacs, étangs, plans d'eau, marais;Parc Naturel Régional,Lagunes du Gât Mort,,,33125,LOUCHATS,+33 5 56 88 70 29;+33 5 57 71 99 99,www.cg33.fr,-0.632644,44.51996
Lacs, étangs, plans d'eau, marais,Domaine de Pachan,10 chemin de Labarde,,33290,LUDON-MEDOC,+33 5 57 88 57 00,www.chasseurs33.com,-0.632419,44.946896
Non classé,Ile Margaux,,,33460,MARGAUX,+33 5 57 42 12 09;+33 5 56 59 03 08,www.pauillac-medoc.com;www.gensdestuaire.fr,-0.65,45.05
Non classé,La Canopée, parc conservatoire de la biodiversité,3 La Bernarde,Rue Théodore Monod,33620,MARSAS,+33 5 57 68 71 74,www.ecogitelacanopee.fr,-0.3798651,45.05169
Lacs, étangs, plans d'eau, marais;ZNIEFF,Marais de la Maréchale,,,33340,ORDONNAC,+33 5 56 41 21 96;+33 5 56 44 81 65,www.tourisme-coeurmedoc.com;http://petronilleasso.free.fr,-0.8304977,45.303993
ZNIEFF;Domaine du Conservatoire de l'Espace Littoral,L'île de Patiras,,,33250,PAUILLAC,+33 5 56 59 03 08;+33 5 56 39 27 66,www.pauillac-medoc.com;www.gensdestuaire.fr,-0.746212,45.199585
Lacs, étangs, plans d'eau, marais;Natura 2000,Le site naturel du Moron,,,33710,PRIGNAC-ET-MARCAMPS,+33 5 57 68 31 76;+33 5 57 68 44 44,www.bourg-en-gironde.fr,-0.5027103,45.03908
Forêts;Natura 2000,La forêt galerie du Ciron,,,33720,PUJOLS-SUR-CIRON,+33 5 56 63 68 00,www.sauternais-graves-langon.com,-0.353643,44.562664
Non classé,Plages océanes,Route de Biscarrosse,,33115,PYLA-SUR-MER,+33 5 56 54 53 83;+33 5 56 54 63 14,wwww.tourisme-latestedebuch.fr,-1.2507247,44.544483
Sites classés ou inscrits;Domaine du Conservatoire de l'Espace Littoral,La Dune du Pilat,Route de Biscarrosse,D 218,33115,PYLA-SUR-MER,+33 5 56 22 12 85,www.ladunedupilat.com,-1.1998915,44.598244
Non classé;Grotte, gouffre,Grotte Célestine,6 rue de l'Hôpital,,33420,RAUZAN,+33 5 57 84 08 69,http://grotte-celestine.over-blog.com,-0.124707,44.77863
Domaine du Conservatoire de l'Espace Littoral,L'Ile Patiras,,,33390,SAINT-ANDRONY,+33 5 57 42 12 09,www.tourisme-blaye.com;www.gensdestuaire.fr,-0.7154846,45.20478
Lacs, étangs, plans d'eau, marais,Les Lacs du Moulin Blanc,,,33920,SAINT-CHRISTOLY-DE-BLAYE,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.4757836,45.152355
Forêts,Forêt de la Double,,,33230,SAINT-CHRISTOPHE-DE-DOUBLE,+33 5 57 69 36 53,www.pays-de-coutras.com,0.015391,45.08048
Sites classés ou inscrits;Grotte, gouffre,Grottes d'huîtres fossiles,,,33410,SAINTE-CROIX-DU-MONT,+33 5 56 62 12 92,www.sainte-croix-du-mont.fr/patrimoine/huitre.asp,-0.28123,44.59341
Lacs, étangs, plans d'eau, marais;Natura 2000,Marais du Blayais,,,33390,SAINT-GENES-DE-BLAYE,+33 5 57 42 80 96;+33 5 57 42 12 09,www.tourisme-blaye.com,-0.6667327,45.15735
Lacs, étangs, plans d'eau, marais,Retenue d'eau du Carpe,,,33210,SAINT-PARDON-DE-CONQUES,+33 5 56 63 68 00,www.sauternais-graves-langon.com,-0.179475,44.559715
Sites classés ou inscrits;Natura 2000,Vallée de l'Isle,,,33660,SAINT-SEURIN-SUR-L'ISLE,+33 5 57 49 59 69,www.stseurinsurlisle.com,-0.0019741,45.01612
Lacs, étangs, plans d'eau, marais,Port de Lamena,,,33340,SAINT-YZANS-DE-MEDOC,+33 5 56 41 21 96,www.coeurmedoc-tourisme.com,-0.894869,45.32131
Reserve naturelle,Réserve naturelle géologique de Saucats-La Brède,17 chemin de l'Eglise,,33650,SAUCATS,+33 5 56 72 27 98,www.rngeologique-saucatslabrede.reserves-naturelles.org,-0.596713,44.654182
Sites classés ou inscrits,Site du Sauternais,,,33210,SAUTERNES,+33 5 56 63 68 00,www.sauternais-graves-langon.com,-0.259755,44.53664
Domaine du Conservatoire de l'Espace Littoral,Dune des Arros,,,33780,SOULAC-SUR-MER,+33 5 56 09 86 61,www.soulac.com,-1.1198008,45.520607
ZNIEFF;Forêts,Vallée du Ciron et Haute Lande Girondine,,,33730,VILLANDRAUT,+33 5 56 25 31 39,www.cc-villandraut.fr,-0.385505,44.42922
Sites classés ou inscrits;Reserve naturelle;Parc Naturel Régional,Le Bassin d'Arcachon,,,,,+33 5 56 52 61 40,www.tourisme-gironde.fr;www.bassin-arcachon.com,-1.1418914,44.695015
