TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE_1,ADRESSE_SUITE_2,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,LABEL,CLASSEMENT_LABEL,THEMES_LABEL,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Meublés,2 étoiles,Meublé Dugast ,28 Q allée du Mayne,,,33470,GUJAN-MESTRAS,+33 5 56 66 83 50,www.location-vacances-bassin-arcachon.com,Clévacances,2 clés (Clévacances),,,-1.0930653,44.633358
Meublés,2 étoiles,Meublé Lavandier Tiquet,16 bis rue Pasteur,,,33470,GUJAN-MESTRAS,+33 5 56 85 35 31,,Clévacances,2 clés (Clévacances),,,-1.057534,44.641277
Meublés,2 étoiles,Meublé Pena,39 bis place du Marché,La Hume,,33470,GUJAN-MESTRAS,+33 5 56 66 20 06,,Clévacances,2 clés (Clévacances),,,-1.111355,44.638947
Meublés,2 étoiles,Meublé Doxaran ,8 allée des Papillons,La Hume,,33470,GUJAN-MESTRAS,+33 5 56 36 06 01,,Clévacances,2 clés (Clévacances),,,-1.067357,44.639854
Meublés,3 étoiles,Meublé Dugast ,28 ter allée du Mayne,,,33470,GUJAN-MESTRAS,+33 5 56 66 83 50,,Clévacances,2 clés (Clévacances),,,-1.0930653,44.633358
Meublés,3 étoiles,Meublé Mano ,37quai Port La Hume,La Hume,,33470,GUJAN-MESTRAS,+33 5 61 76 38 18,,Clévacances,3 clés (Clévacances),,,-1.116399,44.642105
Meublés,Non classé,Madame Agnès DERON,15 bis rue Pierre Daney,Maison C,,33470,GUJAN-MESTRAS,+33 6 62 65 30 50,,Clévacances,3 clés (Clévacances),,,-1.071189,44.63573
Meublés,Non classé,Gîte Taures,385 route des Lacs,,,33470,GUJAN-MESTRAS,+33 5 56 66 38 56,www.gite-taures.com,Clévacances,2 clés (Clévacances),,,-1.097222,44.582222
Meublés,Non classé,Monsieur Alain LABURTHE,39 quai Port La Hume,La Hume,,33470,GUJAN-MESTRAS,+33 5 57 52 44 10,,Clévacances,3 clés (Clévacances),,,-1.116399,44.642105
Meublés,Non classé,Meublé Philippeau ,113 route des Lacs,Lot n° 3,,33470,GUJAN-MESTRAS,+33 6 07 43 71 07;+33 6 98 91 83 50,,Clévacances,2 clés (Clévacances),,,-1.110528,44.627098
Meublés,Non classé,Meublé Faure,43 bis allée du Mayne,Meyran,,33470,GUJAN-MESTRAS,+33 5 57 42 17 63,http://locationgujan.perso.neuf.fr/index.htm,Clévacances,2 clés (Clévacances),,,-1.0929108,44.632095
Meublés,Parc résidentiel de loisirs classé,Meublé Ramos ,72 allée des Mésanges - Khélus,20 allée des Fragons,,33470,GUJAN-MESTRAS,+33 5 56 66 73 67,,Clévacances,2 clés (Clévacances),,,-1.1112928,44.618332
Meublés,Parc résidentiel de loisirs classé,Meublé Pouzergues ,268 allée des Lilas - Khélus,20 allée des Fragons,,33470,GUJAN-MESTRAS,+33 5 53 54 86 42,,Clévacances,2 clés (Clévacances),,,-1.1121940,44.62192
Meublés,Parc résidentiel de loisirs classé,Meublé Pouzergues ,306 allée des Arbousiers - Khélus,20 allée des Fragons,,33470,GUJAN-MESTRAS,+33 5 53 54 86 42,,Clévacances,2 clés (Clévacances),,,-1.1121940,44.62192
Meublés,2 étoiles,Gîte Suy Broye,36 route d'Arcachon,,,33125,HOSTENS,+33 3 88 64 33 10,http://suy.broye.33.free.fr,Clévacances,2 clés (Clévacances),,,-0.659650,44.49635
Meublés,Non classé,Meublé Vavasori ,19 rue des Métairies,Lotissement Le Pommier,,33990,HOURTIN,+33 5 56 05 59 33,,Clévacances,2 clés (Clévacances),,,-1.055969,45.210167
Meublés,3 étoiles,Le Martouret,66 rue du Martouret,,,33190,LA REOLE,+33 5 56 61 04 81,,Clévacances,2 clés (Clévacances),,,-0.041651,44.585506
Meublés,3 étoiles,Meublé Gregoire,17 rue du Moulin de Bordes,,,33260,LA TESTE-DE-BUCH,+33 5 56 66 15 90,,Clévacances,3 clés (Clévacances),,,-1.130263,44.641426
Meublés,3 étoiles,Villa Les Mouettes,21 rue Chemin des Dames,,,33260,LA TESTE-DE-BUCH,+33 5 56 54 39 28,http://mouettes.testedebuch.free.fr,Clévacances,3 clés (Clévacances),,,-1.149728,44.634735
Meublés,3 étoiles,Meublé Duverge ,62 allée Christophe Colomb,Les Miquelots,,33260,LA TESTE-DE-BUCH,+33 5 57 84 15 35,,Clévacances,3 clés (Clévacances),,,-1.143796,44.610233
Meublés,2 étoiles,Villa Pas Sans Peine,9, rue des Genêts,,,33680,LACANAU,+33 5 56 08 63 31,,Clévacances,2 clés (Clévacances),,,-1.188978,45.000774
Meublés,4 étoiles,Villa Rachel,14 rue Gabriel Dupuy,,,33680,LACANAU,+33 6 22 19 72 12,www.villa-rachel.fr,Clévacances,4 clés (Clévacances),,Handicap auditif;Handicap mental,-1.1982285,45.000435
Meublés,Non classé,Meublé Afonso,Méogas,,,33680,LACANAU,+33 5 56 74 65 38,,Clévacances,3 clés (Clévacances),,,-1.008817,44.999306
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine Pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.130882,45.09542
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine Pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.130882,45.09542
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine Pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.130882,45.09542
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine Pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.130882,45.09542
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine Pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.130882,45.09542
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine Pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.130882,45.09542
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine Pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.130882,45.09542
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine Pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.130882,45.09542
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine Pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.130882,45.09542
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine Pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.130882,45.09542
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.130882,45.09542
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine Pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.130882,45.09542
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine Pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.130882,45.09542
Meublés,Non classé,Le Maine Pommier,Domaine du Maine Pommier,1 lieu dit Maine Pommier,,33230,LAGORCE,+33 5 57 69 11 48,http://mainepommier.jimdo.com,Clévacances,1 clé (Clévacances),,,-0.1391016,45.069263
Meublés,2 étoiles,Résidence le Port Neuf,Avenue Guyemer,Appartement numéro 7,,33138,LANTON,+33 6 11 50 21 40;+33 6 29 54 60 69,www.vacances-arcachon.eu,Clévacances,2 clés (Clévacances),,,-1.046884,44.710556
Meublés,Non classé,Résidence le Port Neuf,Avenue Guyemer,Appt n° 6,,33138,LANTON,+33 5 53 41 29 36,,Clévacances,2 clés (Clévacances),,,-1.047212,44.710625
Meublés,Non classé,Meublé Dupouy,13 chemin de la Gare,,,33430,LE NIZAN,+33 5 56 25 25 15,,Clévacances,2 clés (Clévacances),,,-0.2928901,44.462555
Meublés,Non classé,Meublé Lacouture,28 rue du Lieutenant Rouch,,,33550,LE TOURNE,+33 5 56 67 62 29,,Clévacances,2 clés (Clévacances),,,-0.402042,44.709503
Meublés,2 étoiles,Meublé Colas,38 avenue Ouest,Cap Ferret,La Pointe,33950,LEGE-CAP FERRET,+33 5 59 26 84 52,,Clévacances,1 clé (Clévacances),,,-1.249398,44.626266
Meublés,2 étoiles,Meublé Rolland ,16 rue du Port,Claouey,Appt n° 16,33970,LEGE-CAP FERRET,+33 5 57 40 62 04,,Clévacances,2 clés (Clévacances),,,-1.178177,44.745075
Meublés,3 étoiles,Meublé Benkert ,2 avenue de la Plaine,Lège,,33950,LEGE-CAP FERRET,+33 5 59 21 05 46,,Clévacances,3 clés (Clévacances),,,-1.1446255,44.7989
Meublés,4 étoiles,Meublé Guignard ,18 allée de la Chapelle,Piraillan,,33950,LEGE-CAP FERRET,+33 5 56 62 38 63,http://pierreguignard.hypersimple.eu,Clévacances,4 clés (Clévacances),,,-1.230746,44.705967
Meublés,Non classé,Square Habitat,13 rue de l'Océan,Appt n°26 Résidence les Canonniers,Le Canon,33970,LEGE-CAP FERRET,+33 5 56 03 96 30,www.aquitaine.squarehabitat.fr,Clévacances,2 clés (Clévacances),,,-1.2457898,44.651585
Meublés,Non classé,Domaine les Jourdis,2 les Jourdis,,,33220,LES LEVES-ET-THOUMEYRAGUES,+33 5 57 40 72 88,www.domainelesjourdis.com,Clévacances,4 clés (Clévacances),Clévacances Bacchus,,0.1729153,44.80538
Meublés,2 étoiles,Meublé Petiteau ,11 la Pluie,,,33230,LES PEINTURES,+33 9 52 97 67 01,,Clévacances,2 clés (Clévacances),,,-0.0923389,45.07627
Meublés,2 étoiles,Meublé Noailles ,7, route de Pauillac,Canquillac,,33340,LESPARRE-MEDOC,+33 5 56 41 08 23,,Clévacances,2 clés (Clévacances),,,-0.9047476,45.288975
Meublés,Non classé,Meublé Theodor ,3 cours des Girondins,,,33500,LIBOURNE,+33 6 81 01 76 43,,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,-0.24762,44.91282
Meublés,2 étoiles,Meublé Artaud ,30 route de la Lande,,,33360,LIGNAN-DE-BORDEAUX,+33 5 56 21 90 66,http://monsite.orange.fr/cinqchemins,Clévacances,2 clés (Clévacances),,,-0.461100,44.76847
Meublés,2 étoiles,Desclaux,1 route de Sainte-Croix-du-Mont,Lieu dit Desclaux,,33410,LOUPIAC,+33 5 56 76 96 99,,Clévacances,2 clés (Clévacances),,,-0.2966523,44.62027
Meublés,3 étoiles,Gîte La Palombière,54 le Bourg,,,33840,LUCMAU,+33 5 56 65 87 25,www.gite-lapalombiere.com,Clévacances,3 clés (Clévacances),,,-0.308025,44.34275
Meublés,Non classé,Meublé Altamira,2 l'Hermitage,,,33240,LUGON-ET-L'ILE-DU-CARNAY,+33 5 57 84 48 54,,Clévacances,2 clés (Clévacances),,,-0.3512191,44.940258
Meublés,Non classé,Domaine de Beaucaillat,23 Beaucaillat,,,33230,MARANSIN,+33 5 57 69 46 87,http://beaucaillat.jimdo.com/,Clévacances,2 clés (Clévacances),,,-0.2742490,45.063927
Meublés,2 étoiles,Meublé Delaval ,43 route de Gassian,,,33380,MIOS,+33 5 56 26 62 41,,Clévacances,2 clés (Clévacances),,,-0.9392315,44.57735
Meublés,3 étoiles,La Girondine,65 route de Curchade,,,33380,MIOS,+33 6 26 99 33 66,,Clévacances,2 clés (Clévacances),,,-0.9326999,44.571285
Meublés,3 étoiles,La Landaise,67 route de Curchade,,,33380,MIOS,+33 6 26 99 33 66,,Clévacances,2 clés (Clévacances),,,-0.93414,44.56947
Meublés,Non classé,Meublé Doize ,28 route des Douils,Lacanau-de-Mios,,33380,MIOS,+33 5 57 71 17 03,,Clévacances,2 clés (Clévacances),Clévacances pêche,,-0.896752,44.631245
Meublés,Non classé,Meublé Roque,29 rue de Crastalis,,,33380,MIOS,+33 5 56 04 42 54,,Clévacances,3 clés (Clévacances),,,-0.8868026,44.59432
Meublés,Non classé,La Maison du Miquelet,60 rue Latraine,,,33580,MONSEGUR,+33 5 56 61 81 51,http://perso.wanadoo.fr/miquelet.monsegur/html,Clévacances,3 clés (Clévacances),,,0.078163,44.649017
Meublés,3 étoiles,Gîte Le Lys,Lys de Maison Neuve,,,33570,MONTAGNE,+33 6 45 45 32 55,www.gitelelys.fr,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,-0.1126,44.9106
Meublés,2 étoiles,Gîte le Tilleul,4 bis Giraude,,,33420,NAUJAN-ET-POSTIAC,+33 5 57 84 69 07,,Clévacances,2 clés (Clévacances),,,-0.1837969,44.78893
Meublés,Parc résidentiel de loisirs classé,La Grange du Gélat,2 Le Gélat,Route d'Antonion,,33730,NOAILLAN,+33 5 56 25 37 18,www.gites-sud-gironde.com,Clévacances,2 clés (Clévacances),,,-0.3803185,44.483837
Meublés,Parc résidentiel de loisirs classé,La Grange du Gélat,2 Le Gélat,Route d'Antonion,,33730,NOAILLAN,+33 5 56 25 37 18,www.gites-sud-gironde.com,Clévacances,2 clés (Clévacances),,,-0.3803185,44.483837
Meublés,Parc résidentiel de loisirs classé,La Grange du Gélat,2 Le Gélat,Route d'Antonion,,33730,NOAILLAN,+33 5 56 25 37 18,www.gites-sud-gironde.com,Clévacances,2 clés (Clévacances),,,-0.3803185,44.483837
Meublés,Parc résidentiel de loisirs classé,La Grange du Gélat,2 Le Gélat,Route d'Antonion,,33730,NOAILLAN,+33 5 56 25 37 18,www.gites-sud-gironde.com,Clévacances,2 clés (Clévacances),,,-0.3838499,44.48354
Meublés,Parc résidentiel de loisirs classé,La Grange du Gélat,2 Le Gélat,Route d'Antonion,,33730,NOAILLAN,+33 5 56 25 37 18,www.gites-sud-gironde.com,Clévacances,2 clés (Clévacances),,,-0.3838499,44.483837
Meublés,Parc résidentiel de loisirs classé,La Grange du Gélat,2 Le Gélat,Route d'Antonion,,33730,NOAILLAN,+33 5 56 25 37 18,www.gites-sud-gironde.com,Clévacances,3 clés (Clévacances),,,-0.3838499,44.48354
Meublés,Non classé,Gîte Aigle Royal,13 allée de Bordes,,,33290,PAREMPUYRE,+33 5 56 35 01 09,,Clévacances,2 clés (Clévacances),,,-0.5625343,44.957054
Meublés,Non classé,Gîte de la Bécassine,13 allée de Bordes,,,33290,PAREMPUYRE,+33 5 56 35 01 09,,Clévacances,2 clés (Clévacances),,,-0.5625343,44.957054
Meublés,4 étoiles,Maison Eden,Lieu dit Gréal,,,33890,PESSAC-SUR-DORDOGNE,+33 5 57 47 41 59,www.maison-greal.com,Clévacances,4 clés (Clévacances),Clévacances Bacchus,,0.098397,44.823013
Meublés,Non classé,Maison Les Crèches,Lieu dit Gréal,,,33890,PESSAC-SUR-DORDOGNE,+33 5 57 47 41 59,www.maison-greal.com,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,0.098397,44.823013
Meublés,Non classé,Meublé Rodrigues ,1 Guillemat,,,33890,PESSAC-SUR-DORDOGNE,+33 5 57 47 40 73,,Clévacances,2 clés (Clévacances),,,0.091002,44.82267
Meublés,Non classé,Gîte des Graves,34 cours du Maréchal Foch,,,33720,PODENSAC,+33 5 56 27 35 03,www.gitedesgraves33.fr,Clévacances,2 clés (Clévacances),,,-0.3596302,44.653137
Meublés,2 étoiles,Gîte Salix - Viminalis,1 Croix,,,33190,PONDAURAT,+33 5 56 61 22 27,www.gitessalix.com,Clévacances,2 clés (Clévacances),,,-0.07901,44.54718
Meublés,3 étoiles,Gîte Salix - Alba,1 Croix,,,33190,PONDAURAT,+33 5 56 61 22 27,www.gitessalix.com,Clévacances,3 clés (Clévacances),,,-0.07901,44.54718
Meublés,Non classé,Gîte Salix - Purpuréa,1 Croix,,,33190,PONDAURAT,+33 5 56 61 22 27,www.gitessalix.com,Clévacances,3 clés (Clévacances),,Handicap auditif;Handicap mental;Handicap moteur,-0.07901,44.54718
Meublés,3 étoiles,Domaine de Bellevue,33 route de Mathas,Appt ST Mezz,,33640,PORTETS,+33 5 56 24 68 61,,Clévacances,3 clés (Clévacances),,,-0.4076736,44.684883
Meublés,Non classé,Vignobles Lavau ,Terrasson,Monbadon,,33570,PUISSEGUIN,+33 5 57 40 60 55;+33 5 57 40 59 13,www.vignobles-lavau.com,Clévacances,2 clés (Clévacances),,,-0.032890,44.92946
Meublés,2 étoiles,Meublé Mailliez ,8 allée Messidor,,,33115,PYLA-SUR-MER,+33 2 54 70 75 38,,Clévacances,2 clés (Clévacances),,,-1.182986,44.640846
Meublés,2 étoiles,Villa Mimi Pinson,201, boulevard de l'Océan,Appt n° 8,,33115,PYLA-SUR-MER,+33 5 56 21 92 36,,Clévacances,1 clé (Clévacances),,,-1.201609,44.619225
Meublés,3 étoiles,Meublé Roumegous,31 avenue des Pluviers,,,33115,PYLA-SUR-MER,+33 5 56 21 92 91,,Clévacances,3 clés (Clévacances),,,-1.198016,44.620373
Meublés,Non classé,Meublé Martinet ,201 boulevard de l'Océan,,,33115,PYLA-SUR-MER,+33 5 56 36 60 62,,Clévacances,1 clé (Clévacances),,,-1.201613,44.619164
Meublés,Non classé,Le manoir lacustre,8 rue de la Gravière,,,33340,QUEYRAC,+33 5 56 59 30 36,,Clévacances,4 clés (Clévacances),,Handicap auditif;Handicap mental;Handicap moteur,-0.9834122,45.36284
Meublés,4 étoiles,Les Maillets,,,,33220,RIOCAUD,+33 5 47 84 94 69,www.lesmaillets.fr,Clévacances,3 clés (Clévacances),,,0.1989759,44.77026
Meublés,Non classé,Chambres en vigne,28 le bourg,,,33350,RUCH,+33 5 57 49 62 17,www.chambresenvigne.com,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,-0.0366926,44.774754
Meublés,Non classé,Meublé communal Ruch,rue Théo Turier,,,33350,RUCH,+33 5 57 40 54 36,,Clévacances,3 clés (Clévacances),,,-0.047323,44.84318
Meublés,Non classé,Meublé communal Ruch,Saguet,,,33350,RUCH,+33 5 57 40 54 36,,Clévacances,2 clés (Clévacances),,,-0.047323,44.84318
Meublés,3 étoiles,Château La Gontrie - Le Pigeonnier,13 chemin de Fosse Ferrière,,,33880,SAINT-CAPRAIS-DE-BORDEAUX,+33 5 56 21 34 21,www.chateaulagontrie.net,Clévacances,3 clés (Clévacances),,,-0.441930,44.738804
Meublés,3 étoiles,Château la Gontrie - Le Relais,13 chemin de Fosse Ferrière,,,33880,SAINT-CAPRAIS-DE-BORDEAUX,+33 5 56 21 34 21,www.chateaulagontrie.net,Clévacances,3 clés (Clévacances),,,-0.441930,44.738804
Meublés,3 étoiles,Château La Gontrie - Les Grands Mères,13 chemin de Fosse Ferrière,,,33880,SAINT-CAPRAIS-DE-BORDEAUX,+33 5 56 21 34 21,www.chateaulagontrie.net,Clévacances,3 clés (Clévacances),,,-0.441930,44.738804
Meublés,3 étoiles,Château la Gontrie - Magnolia,13 chemin de Fosse Ferrière,,,33880,SAINT-CAPRAIS-DE-BORDEAUX,+33 5 56 21 34 21,www.chateaulagontrie.net,Clévacances,3 clés (Clévacances),,,-0.441930,44.738804
Meublés,Non classé,Gîte "Au pied levé",15 route de Tabanac,,,33880,SAINT-CAPRAIS-DE-BORDEAUX,+33 6 78 78 95 08,,Clévacances,2 clés (Clévacances),,,-0.4181308,44.74497
Meublés,3 étoiles,Clos de Grange Vieille,2 route de Breuil,,,33340,SAINT-CHRISTOLY-MEDOC,+33 5 56 41 38 26,,Clévacances,2 clés (Clévacances),Clévacances Bacchus,,-0.832833,45.351414
Meublés,2 étoiles,Meublé Thienpont ,15 le Bourg,,,33570,SAINT-CIBARD,+33 5 57 56 05 45,,Clévacances,3 clés (Clévacances),,Handicap auditif;Handicap mental;Handicap moteur,-0.0240325,44.93661
Meublés,Non classé,Meublé Tinon,2 La Grave,,,33410,SAINTE-CROIX-DU-MONT,+33 5 56 76 16 53,,Clévacances,3 clés (Clévacances),,,-0.259056,44.59519
Meublés,2 étoiles,Château les Bouzigues,Maison Merlot,,,33580,SAINTE-GEMME,+33 5 56 61 80 77,chateau-les-bouzigues.com,Clévacances,2 clés (Clévacances),,,0.0694039,44.61969
Meublés,2 étoiles,Château les Bouzigues,Maison Cabernet,,,33580,SAINTE-GEMME,+33 5 56 61 80 77,chateau-les-bouzigues.com,Clévacances,2 clés (Clévacances),,,0.0694039,44.61969
Meublés,4 étoiles,Le Melchior,5 route du grand Jeannot,,,33350,SAINTE-TERRE,+33 6 81 91 80 56;+33 6 87 21 89 37,www.lemelchior.fr,Clévacances,3 clés (Clévacances),,Handicap auditif;Handicap mental;Handicap moteur,-0.1123094,44.829105
Meublés,2 étoiles,Appart'Hotel les Tilleuls,16 allée des Tilleuls,Appt n° 5,,33490,SAINT-MACAIRE,+33 5 56 62 28 38,www.tilleul-medieval.com,Clévacances,2 clés (Clévacances),,,-0.2265930,44.56557
Meublés,2 étoiles,Appart'Hotel les Tilleuls,16 allée des Tilleuls,Appt n° 6,,33490,SAINT-MACAIRE,+33 5 56 62 28 38,www.tilleul-medieval.com,Clévacances,2 clés (Clévacances),,,-0.2265930,44.56557
Meublés,3 étoiles,Domaine de Dame Blanche,9 rue Chanzy,,,33490,SAINT-MACAIRE,+33 5 56 76 23 44,www.domainededameblanche.com,Clévacances,3 clés (Clévacances),,,-0.224431,44.567104
Meublés,3 étoiles,Thuron Palais,8 rue du Palais,,,33490,SAINT-MACAIRE,+33 5 56 63 39 41,,Clévacances,3 clés (Clévacances),,,-0.222909,44.565975
Meublés,Non classé,Meublé Bathazard ,1 lieu dit Jambon,,,33840,SAINT-MICHEL-DE-CASTELNAU,+33 5 56 65 80 26,,Clévacances,3 clés (Clévacances),,,-0.119702,44.269802
Meublés,4 étoiles,Château Haut Pelletan,Marchand,,,33220,SAINT-QUENTIN-DE-CAPLONG,+33 5 57 41 22 51,www.chateau-hautpelletan.com,Clévacances,4 clés (Clévacances),,,0.115532,44.795254
Meublés,Non classé,Meublé Cachard ,140 route de Cadillac,,,33240,SAINT-ROMAIN-LA-VIRVEE,+33 5 57 58 22 38,,Clévacances,2 clés (Clévacances),Clévacances Bacchus,,-0.393398,44.9667
Meublés,2 étoiles,Meublé Stern ,4 rue de l'Agenais,,,33510,ANDERNOS-LES-BAINS,+33 5 56 03 08 99,,Clévacances,2 clés (Clévacances),,,-1.0741916,44.731525
Meublés,2 étoiles,Résidence Lobélia - Appt RDC,2 boulevard de la Plage,,,33510,ANDERNOS-LES-BAINS,+33 5 56 82 15 99,,Clévacances,3 clés (Clévacances),,,-1.106517,44.74421
Meublés,2 étoiles,Meublé Biguey ,27 boulevard de l'Union,,,33510,ANDERNOS-LES-BAINS,+33 5 53 66 32 16,,Clévacances,2 clés (Clévacances),,,-1.084806,44.73059
Meublés,3 étoiles,Meublé Morvan ,23 rue Edouard Branly,,,33510,ANDERNOS-LES-BAINS,+33 1 40 61 99 60,,Clévacances,3 clés (Clévacances),,,-1.086781,44.741917
Meublés,4 étoiles,Meublé Drape,15 rue Claude Forbin,,,33510,ANDERNOS-LES-BAINS,+33 5 53 66 47 20;+33 9 75 75 39 59,,Clévacances,4 clés (Clévacances),,,-1.079406,44.757553
Meublés,Non classé,Meublé Puissant,9 boulevard de l'Union,,,33510,ANDERNOS-LES-BAINS,+33 6 80 15 03 30,,Clévacances,3 clés (Clévacances),,,-1.0868203,44.72868
Meublés,Non classé,Meublé Oudart ,15 avenue Ludwig Van Beethoven,,,33510,ANDERNOS-LES-BAINS,+33 6 84 38 31 78,,Clévacances,3 clés (Clévacances),,,-1.0810658,44.740803
